year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,admin-2 unit,0.372247756767347,0.1283069449507961,0.24394081181654623,0.34468157999132626,0.6553184200086611,nan,4.6629367034256575e-15,39
1993,all,lit_only,theil_l,admin-2 unit,0.3086546009482174,0.10897180338125091,0.19968279756696272,0.35305420054157227,0.6469457994584156,nan,3.774758283725532e-15,38
1994,all,lit_only,theil_l,admin-2 unit,0.34731630155360127,0.12844849576444237,0.2188678057891516,0.3698314625310466,0.6301685374689324,nan,7.327471962526033e-15,41
1995,all,lit_only,theil_l,admin-2 unit,0.3400069351356527,0.12374032650724008,0.2162666086284054,0.36393471344304007,0.6360652865569387,nan,7.216449660063518e-15,46
1996,all,lit_only,theil_l,admin-2 unit,0.3363580080713531,0.119973682953967,0.21638432511738087,0.35668448520635926,0.6433155147936253,nan,5.218048215738236e-15,50
1997,all,lit_only,theil_l,admin-2 unit,0.42121360439550726,0.14008222420580302,0.2811313801896984,0.33256813821775305,0.6674318617822331,nan,5.828670879282072e-15,54
1998,all,lit_only,theil_l,admin-2 unit,0.4089487382686833,0.1230035463454506,0.285945191923222,0.3007798651395669,0.6992201348604069,nan,1.0658141036401503e-14,54
1999,all,lit_only,theil_l,admin-2 unit,0.4166837490681997,0.11794104141043425,0.29874270765775607,0.28304689509532693,0.7169531049046506,nan,9.381384558082573e-15,56
2000,all,lit_only,theil_l,admin-2 unit,0.43832816447310474,0.13588020496739606,0.30244795950570175,0.30999651854617133,0.6900034814538129,nan,6.938893903907228e-15,61
2001,all,lit_only,theil_l,admin-2 unit,0.4250600586083281,0.12046392594826572,0.30459613266005536,0.2834044825163573,0.7165955174836263,nan,6.994405055138486e-15,59
2002,all,lit_only,theil_l,admin-2 unit,0.41732269952645956,0.12567821576297142,0.29164448376348046,0.3011535579195184,0.6988464420804632,nan,7.716050021144838e-15,61
2003,all,lit_only,theil_l,admin-2 unit,0.4324912301194349,0.14104481200918056,0.2914464181102466,0.3261217851058627,0.6738782148941194,nan,7.771561172376096e-15,73
2004,all,lit_only,theil_l,admin-2 unit,0.4655054567449525,0.1523506455003035,0.3131548112446431,0.32728004214089257,0.6727199578590948,nan,5.88418203051333e-15,80
2005,all,lit_only,theil_l,admin-2 unit,0.4767589729674929,0.15992897870320044,0.31682999426428926,0.3354503801108426,0.6645496198891506,nan,3.219646771412954e-15,83
2006,all,lit_only,theil_l,admin-2 unit,0.47981136977239,0.16416007262143786,0.31565129715095025,0.34213460322816264,0.6578653967718335,nan,1.8318679906315083e-15,95
2007,all,lit_only,theil_l,admin-2 unit,0.49145821383006455,0.18755496507074645,0.30390324875931696,0.3816295257517027,0.6183704742482949,nan,1.1657341758564144e-15,97
2008,all,lit_only,theil_l,admin-2 unit,0.46072128214018965,0.17582116115872665,0.2849001209814602,0.3816215312259599,0.6183784687740341,nan,2.7755575615628914e-15,109
2009,all,lit_only,theil_l,admin-2 unit,0.45265809238160204,0.17507963255106893,0.27757845983052876,0.38678118318819854,0.6132188168117918,nan,4.3298697960381105e-15,119
2010,all,lit_only,theil_l,admin-2 unit,0.4276068611094749,0.15958969164019465,0.2680171694692764,0.37321592835559503,0.626784071644396,nan,3.83026943495679e-15,134
2011,all,lit_only,theil_l,admin-2 unit,0.394558243719801,0.15035053402098114,0.24420770969881683,0.3810604300229851,0.6189395699770072,nan,3.0531133177191805e-15,138
2012,all,lit_only,theil_l,admin-2 unit,0.40407135778489733,0.17102095123986175,0.23305040654503445,0.42324442934384565,0.5767555706561516,nan,1.1102230246251565e-15,140
2013,all,lit_only,theil_l,admin-2 unit,0.4492304879692362,0.1889794585314305,0.2602510294378051,0.4206737155924556,0.5793262844075431,nan,6.106226635438361e-16,146
2014,all,lit_only,theil_l,admin-2 unit,0.5181079683656099,0.19289379480077687,0.32521417356483334,0.3723042427030552,0.6276957572969454,nan,3.3306690738754696e-16,146
2015,all,lit_only,theil_l,admin-2 unit,0.550174143360826,0.18253946050577852,0.36763468285504763,0.331784877040399,0.6682151229596012,nan,1.1102230246251565e-16,146
2016,all,lit_only,theil_l,admin-2 unit,0.5838019955400682,0.16537299105279143,0.4184290044872776,0.28326897187085986,0.7167310281291416,nan,8.881784197001252e-16,145
2017,all,lit_only,theil_l,admin-2 unit,0.617437837351501,0.16405120349200225,0.45338663385949995,0.26569671239407633,0.7343032876059256,nan,1.1102230246251565e-15,146
2018,all,lit_only,theil_l,admin-2 unit,0.6255644997198236,0.16136477868275073,0.4641997210370751,0.2579506649674373,0.7420493350325662,nan,2.1094237467877974e-15,147
2019,all,lit_only,theil_l,admin-2 unit,0.6390007684305541,0.17346103271976962,0.46553973571078716,0.27145668877019696,0.7285433112298072,nan,2.6645352591003757e-15,148
2020,all,lit_only,theil_l,admin-2 unit,0.6592061100399649,0.17694455469993445,0.48226155534003345,0.2684206836147302,0.7315793163852744,nan,2.9976021664879227e-15,147
2021,all,lit_only,theil_l,admin-2 unit,0.6672394224779188,0.18137271018005457,0.48586671229786743,0.2718255307914706,0.7281744692085342,nan,3.219646771412954e-15,147
2022,all,lit_only,theil_l,admin-2 unit,0.6982345788516027,0.19764395942300889,0.5005906194285966,0.2830624053997397,0.7169375946002643,nan,2.886579864025407e-15,153
1992,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1993,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1994,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1995,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1996,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1997,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1998,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1999,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2000,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2001,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2002,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2003,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2004,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2005,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2006,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2007,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2008,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2009,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
