year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,ALB.1_1,Berat,1822,1816.1048,569.0,0.31229418221734356,0.31330791122249474
1992,ALB.2_1,Dibër,2613,2613.1598,205.0,0.07845388442403368,0.0784490859551444
1992,ALB.3_1,Durrës,782,779.7657,662.0,0.8465473145780051,0.8489729264746405
1992,ALB.4_1,Elbasan,3169,3167.3385,659.0,0.2079520353423793,0.2080611207292263
1992,ALB.5_1,Fier,1871,1875.7068,1775.0,0.948690539818279,0.9463099320848536
1992,ALB.6_1,Gjirokastër,2897,2896.8128,178.0,0.06144287193648602,0.06144684242779868
1992,ALB.7_1,Korçë,3717,3720.1973,422.0,0.11353241861716439,0.11343484530348724
1992,ALB.8_1,Kukës,2406,2408.308,43.0,0.017871986699916874,0.01785485881564146
1992,ALB.9_1,Lezhë,1669,1665.0106,102.0,0.06111443978430198,0.061260869536391274
1992,ALB.10_1,Shkodër,3511,3504.0222,459.0,0.13073198518940474,0.13099232113357404
1992,ALB.11_1,Tiranë,1636,1636.3544,2439.0,1.4908312958435208,1.4905084307188514
1992,ALB.12_1,Vlorë,2642,2644.8605,819.0,0.30999242997728993,0.3096571637273813
1993,ALB.1_1,Berat,1822,1816.1048,1331.0,0.7305159165751921,0.7328872229123735
1993,ALB.2_1,Dibër,2613,2613.1598,1615.0,0.6180635285112897,0.6180257259393083
1993,ALB.3_1,Durrës,782,779.7657,1752.0,2.2404092071611252,2.246828651334698
1993,ALB.4_1,Elbasan,3169,3167.3385,2485.0,0.7841590407068476,0.7845703869683268
1993,ALB.5_1,Fier,1871,1875.7068,4819.0,2.5756280064136825,2.569164824065864
1993,ALB.6_1,Gjirokastër,2897,2896.8128,634.0,0.21884708318950638,0.21886122527654137
1993,ALB.7_1,Korçë,3717,3720.1973,1364.0,0.36696260425073984,0.3666472251041626
1993,ALB.8_1,Kukës,2406,2408.308,299.0,0.12427265170407314,0.12415355315992548
1993,ALB.9_1,Lezhë,1669,1665.0106,772.0,0.46255242660275614,0.46366069884405947
1993,ALB.10_1,Shkodër,3511,3504.0222,1034.0,0.2945029906009684,0.29508945545123216
1993,ALB.11_1,Tiranë,1636,1636.3544,4163.0,2.5446210268948657,2.5440699455033124
1993,ALB.12_1,Vlorë,2642,2644.8605,2104.0,0.7963663890991673,0.7955050946061175
1994,ALB.1_1,Berat,1822,1816.1048,1737.0,0.9533479692645445,0.9564426042064559
1994,ALB.2_1,Dibër,2613,2613.1598,1913.0,0.732108687332568,0.7320639094253231
1994,ALB.3_1,Durrës,782,779.7657,2835.0,3.625319693094629,3.6357073210809756
1994,ALB.4_1,Elbasan,3169,3167.3385,3404.0,1.0741558851372672,1.074719355026231
1994,ALB.5_1,Fier,1871,1875.7068,5885.0,3.1453768038482095,3.1374839156728807
1994,ALB.6_1,Gjirokastër,2897,2896.8128,1001.0,0.34552985847428375,0.34555218691138473
1994,ALB.7_1,Korçë,3717,3720.1973,1684.0,0.4530535377993005,0.45266416941012444
1994,ALB.8_1,Kukës,2406,2408.308,454.0,0.1886949293433084,0.1885140907511912
1994,ALB.9_1,Lezhë,1669,1665.0106,1141.0,0.6836428999400839,0.6852809033433573
1994,ALB.10_1,Shkodër,3511,3504.0222,1675.0,0.4770720592423811,0.4780220869253519
1994,ALB.11_1,Tiranë,1636,1636.3544,6069.0,3.7096577017114916,3.7088543116165273
1994,ALB.12_1,Vlorë,2642,2644.8605,2877.0,1.0889477668433005,1.087770036683365
1995,ALB.1_1,Berat,1822,1816.1048,2254.0,1.2371020856201975,1.2411178064947332
1995,ALB.2_1,Dibër,2613,2613.1598,1646.0,0.6299272866437046,0.6298887584495984
1995,ALB.3_1,Durrës,782,779.7657,3582.0,4.580562659846548,4.5936873453658045
1995,ALB.4_1,Elbasan,3169,3167.3385,4137.0,1.305459135373935,1.3061439399951582
1995,ALB.5_1,Fier,1871,1875.7068,7443.0,3.9780865847140565,3.9681041264831354
1995,ALB.6_1,Gjirokastër,2897,2896.8128,1327.0,0.4580600621332413,0.4580896623690385
1995,ALB.7_1,Korçë,3717,3720.1973,2085.0,0.5609362389023406,0.5604541527435329
1995,ALB.8_1,Kukës,2406,2408.308,480.0,0.19950124688279303,0.19931005189553255
1995,ALB.9_1,Lezhë,1669,1665.0106,1826.0,1.0940683043738766,1.096689684053436
1995,ALB.10_1,Shkodër,3511,3504.0222,3281.0,0.9344915978353745,0.9363525177325849
1995,ALB.11_1,Tiranë,1636,1636.3544,7852.0,4.799511002444988,4.798471585897672
1995,ALB.12_1,Vlorë,2642,2644.8605,3775.0,1.4288417865253595,1.427296450635976
1996,ALB.1_1,Berat,1822,1816.1048,2378.0,1.305159165751921,1.3093958047224825
1996,ALB.2_1,Dibër,2613,2613.1598,1628.0,0.6230386528893992,0.6230005460242686
1996,ALB.3_1,Durrës,782,779.7657,3756.0,4.80306905370844,4.816831286765483
1996,ALB.4_1,Elbasan,3169,3167.3385,4271.0,1.347743767750079,1.3484507536183998
1996,ALB.5_1,Fier,1871,1875.7068,7985.0,4.267771245323356,4.257061863491581
1996,ALB.6_1,Gjirokastër,2897,2896.8128,1512.0,0.5219192267863307,0.5219529536563573
1996,ALB.7_1,Korçë,3717,3720.1973,2120.0,0.5703524347592144,0.5698622560269976
1996,ALB.8_1,Kukës,2406,2408.308,514.0,0.21363258520365752,0.21342784723813277
1996,ALB.9_1,Lezhë,1669,1665.0106,1935.0,1.15937687237867,1.1621547309109521
1996,ALB.10_1,Shkodër,3511,3504.0222,3391.0,0.9658217032184563,0.9677450129933542
1996,ALB.11_1,Tiranë,1636,1636.3544,8452.0,5.166259168704157,5.165140326541916
1996,ALB.12_1,Vlorë,2642,2644.8605,4233.0,1.6021953065859198,1.6004624835873076
1997,ALB.1_1,Berat,1822,1816.1048,2420.0,1.3282107574094402,1.3325222234770426
1997,ALB.2_1,Dibër,2613,2613.1598,1735.0,0.6639877535399924,0.6639471421081733
