year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,county,all,,12,0.573427577030704,0.5752280181810134,0.7105735318783369,8332.0,nan
1993,adm1,county,all,,12,0.4585388748133066,0.3642426831647494,0.41096067998706076,22372.0,nan
1994,adm1,county,all,,12,0.46295119521463124,0.3734288577801911,0.4086864776287923,30675.0,nan
1995,adm1,county,all,,12,0.4591963506912591,0.3666589177153446,0.41134107883173565,39688.0,nan
1996,adm1,county,all,,12,0.46222978100792633,0.37034983535612637,0.41534424640090295,42175.0,nan
1997,adm1,county,all,,12,0.4608935950336668,0.3685104473274117,0.4134364355120806,43521.0,nan
1998,adm1,county,all,,12,0.4578280049581642,0.3648377789573574,0.40552389520585475,46513.0,nan
1999,adm1,county,all,,12,0.45131856029032646,0.35029470546628855,0.3819988415085341,52849.0,nan
2000,adm1,county,all,,12,0.43035667390780796,0.32089575550787275,0.3422212597855099,58654.0,nan
2001,adm1,county,all,,12,0.43866541123376934,0.33566364638491014,0.357561975547262,60291.0,nan
2002,adm1,county,all,,12,0.4378747272455987,0.33780920512775303,0.35143866823739905,63390.0,nan
2003,adm1,county,all,,12,0.44185032022846205,0.3433650014705706,0.36428746074020085,67089.0,nan
2004,adm1,county,all,,12,0.4438189231258005,0.3466126955499624,0.3679338688091074,71189.0,nan
2005,adm1,county,all,,12,0.44721449325396767,0.35400152019306685,0.36757327616179275,72742.0,nan
2006,adm1,county,all,,12,0.4638502558491464,0.37898770265682946,0.39816950960551195,74243.0,nan
2007,adm1,county,all,,12,0.4591912130807432,0.368836254835183,0.3846474078740651,76142.0,nan
2008,adm1,county,all,,12,0.4668963279800733,0.3821972568948003,0.3959948721414993,80785.0,nan
2009,adm1,county,all,,12,0.46505666505503895,0.37783088563618356,0.3893393438786425,82621.0,nan
2010,adm1,county,all,,12,0.46792281216485554,0.37986657402001384,0.38903606038471705,86671.0,nan
2011,adm1,county,all,,12,0.4698006597389186,0.38241621487514416,0.38666839215646853,91254.0,nan
2012,adm1,county,all,,12,0.4690917550398257,0.3811923533087327,0.38315063725910653,94760.0,nan
2013,adm1,county,all,,12,0.4568773105792072,0.35851644050747766,0.3606386080034712,104232.0,nan
2014,adm1,county,all,,12,0.4642940461630327,0.36972800375808385,0.3769726934237672,103516.41777789593,nan
2015,adm1,county,all,,12,0.47246961945077737,0.38417970718316563,0.39672652762825794,100838.3462266922,nan
2016,adm1,county,all,,12,0.4695705860906225,0.3798309388517232,0.3926086299707713,102258.94791543484,nan
2017,adm1,county,all,,12,0.4491131138628559,0.34346334905845,0.35576499128697436,111509.21917426586,nan
2018,adm1,county,all,,12,0.4437462192187245,0.33381860413902664,0.3467090197471552,114654.99164772034,nan
2019,adm1,county,all,,12,0.4332900363267489,0.31662533492840506,0.32699665488298657,121075.29229485989,nan
2020,adm1,county,all,,12,0.4188136338543038,0.2942141072305489,0.30010996311468613,130735.60081064701,nan
2021,adm1,county,all,,12,0.402827588338039,0.27371851338525666,0.2717969196091891,144934.19944405556,nan
2022,adm1,county,all,,12,0.40129328917281315,0.27165759218630986,0.27075029972741804,147133.64275813103,nan
1992,adm2,admin-2 unit,all,,37,0.736184654947118,1.0481411173597,nan,8332.0,nan
1993,adm2,admin-2 unit,all,,37,0.5940078780398683,0.6187695073660057,nan,22372.0,nan
1994,adm2,admin-2 unit,all,,37,0.573053652392836,0.5672718150826522,nan,30675.0,nan
1995,adm2,admin-2 unit,all,,37,0.5640530962595707,0.5434197075084752,0.7639353274219661,39688.0,nan
