year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,admin-2 unit,0.3446422447389578,0.06855438709174312,0.27608785764721483,0.19891463724555367,0.8010853627544468,,1.1102230246251565e-16,28
1993,all,lit_only,theil_l,admin-2 unit,0.26534124576690354,0.04591443865434132,0.21942680711256166,0.17303920663233843,0.8269607933676594,,5.551115123125783e-16,35
1994,all,lit_only,theil_l,admin-2 unit,0.3215092330178261,0.050769710469867384,0.27073952254795897,0.1579105831372888,0.842089416862712,,2.7755575615628914e-16,35
1995,all,lit_only,theil_l,admin-2 unit,0.22899511235804224,0.03809173417820224,0.19090337817984024,0.1663430008874793,0.8336569991125218,,2.498001805406602e-16,37
1996,all,lit_only,theil_l,admin-2 unit,0.21999912621184325,0.04102120226787458,0.1789779239439686,0.18646075088668365,0.8135392491133161,,5.551115123125783e-17,37
1997,all,lit_only,theil_l,admin-2 unit,0.2870364194681748,0.052651442842838715,0.2343849766253371,0.18343122778772136,0.8165687722122822,,9.992007221626409e-16,37
1998,all,lit_only,theil_l,admin-2 unit,0.28208392712237307,0.050321230965728665,0.23176269615664455,0.1783909897989275,0.821609010201073,,1.6653345369377348e-16,37
1999,all,lit_only,theil_l,admin-2 unit,0.313303984288753,0.05669052922861915,0.25661345506013383,0.1809441694695174,0.8190558305304825,,0.0,37
2000,all,lit_only,theil_l,admin-2 unit,0.2701878044856526,0.047021664619134526,0.22316613986651818,0.1740332607115561,0.8259667392884442,,1.1102230246251565e-16,37
2001,all,lit_only,theil_l,admin-2 unit,0.26692028276683244,0.05176080658478476,0.21515947618204784,0.19391859639981082,0.8060814036001898,,1.6653345369377348e-16,37
2002,all,lit_only,theil_l,admin-2 unit,0.2768591321898561,0.05453099889799158,0.22232813329186452,0.1969629770442138,0.8030370229557863,,0.0,37
2003,all,lit_only,theil_l,admin-2 unit,0.2655759245729403,0.05083715482617253,0.21473876974676834,0.19142230195723228,0.8085776980427698,,5.551115123125783e-16,37
2004,all,lit_only,theil_l,admin-2 unit,0.2925597280479584,0.0574743260718413,0.23508540197611782,0.19645330700614994,0.8035466929938526,,7.771561172376096e-16,37
2005,all,lit_only,theil_l,admin-2 unit,0.2584893968167794,0.04851514173354848,0.20997425508323125,0.1876871636941326,0.8123128363058687,,3.3306690738754696e-16,37
2006,all,lit_only,theil_l,admin-2 unit,0.2590608813616453,0.05187004491232306,0.2071908364493222,0.20022337853438096,0.799776621465619,,0.0,37
2007,all,lit_only,theil_l,admin-2 unit,0.28273940892487825,0.0594318406008054,0.22330756832407334,0.21020005957710688,0.7897999404228948,,4.996003610813204e-16,37
2008,all,lit_only,theil_l,admin-2 unit,0.27103319442822527,0.05389506360226835,0.2171381308259579,0.1988504165180431,0.8011495834819605,,9.992007221626409e-16,37
2009,all,lit_only,theil_l,admin-2 unit,0.2570226277496937,0.055910892656433106,0.2011117350932605,0.2175329586579551,0.7824670413420445,,1.1102230246251565e-16,37
2010,all,lit_only,theil_l,admin-2 unit,0.25786491639970366,0.05659659902385561,0.20126831737584733,0.21948157901452564,0.7805184209854715,,7.216449660063518e-16,37
2011,all,lit_only,theil_l,admin-2 unit,0.256148478541154,0.06117006769970026,0.19497841084145234,0.23880707021210115,0.7611929297878933,,1.4432899320127035e-15,37
2012,all,lit_only,theil_l,admin-2 unit,0.27071440663689206,0.06457882038121955,0.20613558625567152,0.23854962572360922,0.7614503742763872,,9.992007221626409e-16,37
2013,all,lit_only,theil_l,admin-2 unit,0.3125608016449883,0.06487626393110138,0.24768453771388596,0.2075636599012467,0.7924363400987503,,9.43689570931383e-16,37
2014,all,lit_only,theil_l,admin-2 unit,0.322144214332209,0.06233209900853655,0.25981211532367177,0.19349128817274674,0.806508711827251,,7.216449660063518e-16,37
