year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,emirate,all,,7,0.31848353196601575,0.16718038824878398,0.18597833436073388,470199.0,nan
1993,adm1,emirate,all,,7,0.2950711860527413,0.14370115244286055,0.16158603636619145,524748.0,nan
1994,adm1,emirate,all,,7,0.29151292713949606,0.14008664017966574,0.15655223581484115,545996.0,nan
1995,adm1,emirate,all,,7,0.2841967336562534,0.13280340126911364,0.14804817723475716,573452.0,nan
1996,adm1,emirate,all,,7,0.27461308956494634,0.12367191669902641,0.13660238827979107,611520.0,nan
1997,adm1,emirate,all,,7,0.2541929663267759,0.10863523939999228,0.12260702259772002,639333.0,nan
1998,adm1,emirate,all,,7,0.2506395171851168,0.10584463559071722,0.11898926236141952,659607.0,nan
1999,adm1,emirate,all,,7,0.24718989987164575,0.10355802322923349,0.11581167511421182,683601.0,nan
2000,adm1,emirate,all,,7,0.24105409375235065,0.09724347073028987,0.10693683082006207,734707.0,nan
2001,adm1,emirate,all,,7,0.2396671899261631,0.09553765667180789,0.1055749536027299,752529.0,nan
2002,adm1,emirate,all,,7,0.23271983660190476,0.08982279214817109,0.09899529398102844,789769.0,nan
2003,adm1,emirate,all,,7,0.22784671418821656,0.08603979383949213,0.0947866628062059,821378.0,nan
2004,adm1,emirate,all,,7,0.22910433910938943,0.08683324597465214,0.0955398594403756,834414.0,nan
2005,adm1,emirate,all,,7,0.2258019675526839,0.08587992699664791,0.09594953841975525,850563.0,nan
2006,adm1,emirate,all,,7,0.22315072270396996,0.08626918968633145,0.09791769781688908,866851.0,nan
2007,adm1,emirate,all,,7,0.2168054668312156,0.08367985260371386,0.09694558906785983,871880.0,nan
2008,adm1,emirate,all,,7,0.21928217936397787,0.08734281752281177,0.10479850514555483,846593.0,nan
2009,adm1,emirate,all,,7,0.21633259541063454,0.08578911824097489,0.10353824879477609,871970.0,nan
2010,adm1,emirate,all,,7,0.2114019684267956,0.08119741429572552,0.09606507073016098,934326.0,nan
2011,adm1,emirate,all,,7,0.20405224243991427,0.07714262132158937,0.09233593336668106,970930.0,nan
2012,adm1,emirate,all,,7,0.19966912531656011,0.07455020747699309,0.08952717129525878,1004512.0,nan
2013,adm1,emirate,all,,7,0.19771729806927807,0.0728256033507446,0.08771428068687463,1027369.0,nan
2014,adm1,emirate,all,,7,0.1923126831814157,0.06997461545560936,0.0846302297469917,1053777.0824724436,nan
2015,adm1,emirate,all,,7,0.1898807329857679,0.0684419441208092,0.08264417099614378,1070496.182125926,nan
2016,adm1,emirate,all,,7,0.1861620829802082,0.06688755158075456,0.08130460220846757,1086865.7981506586,nan
2017,adm1,emirate,all,,7,0.18229704730679175,0.0642692533298782,0.07765465117075687,1118598.183382988,nan
2018,adm1,emirate,all,,7,0.17764804184670835,0.06137167923772625,0.0739071779024193,1158106.1281300783,nan
2019,adm1,emirate,all,,7,0.17789199680943568,0.06096621961421326,0.07380707844451173,1177305.1039054394,nan
2020,adm1,emirate,all,,7,0.17470683174196,0.05956873443854625,0.07257996589726899,1197750.988604784,nan
2021,adm1,emirate,all,,7,0.17381204100794911,0.05954023874183627,0.07322560389912211,1227293.1351280212,nan
2022,adm1,emirate,all,,7,0.1750832905280828,0.05972412870122519,0.0730634050639832,1248739.9642500877,nan
1992,adm2,district,all,,195,0.3975012864636174,0.3140896604277013,nan,470199.0,nan
1993,adm2,district,all,,195,0.38484276992731536,0.2977684960200254,nan,524748.0,nan
1994,adm2,district,all,,195,0.3829481880938914,0.29567906000047195,nan,545996.0,nan
