year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,state,all,,11,0.8213522467915311,1.5914246997380603,,1141351.0,
1993,adm1,state,all,,11,0.7974872126546044,1.4168836963959055,,1454780.0,
1994,adm1,state,all,,11,0.7966523709827646,1.4144340083131532,,1490780.0,
1995,adm1,state,all,,11,0.7911951644671813,1.3699055899695551,,1589362.0,
1996,adm1,state,all,,11,0.7899683359184113,1.3646865796306558,,1636161.0,
1997,adm1,state,all,,11,0.7898410685692423,1.3620389048869486,,1648865.0,
1998,adm1,state,all,,11,0.7892411592800124,1.3592863844711527,,1663143.0,
1999,adm1,state,all,,11,0.7890987625270562,1.3618595139397025,,1683808.0,
2000,adm1,state,all,,11,0.7877642542850489,1.3579711589336743,,1721583.0,
2001,adm1,state,all,,11,0.7876141022738241,1.3519611248795553,,1726912.0,
2002,adm1,state,all,,11,0.7866984973687972,1.344198082388361,,1746364.0,
2003,adm1,state,all,,11,0.7871482746040803,1.346623184736459,,1742915.0,
2004,adm1,state,all,,11,0.7864833464996561,1.3394107733680696,,1758997.0,
2005,adm1,state,all,,11,0.7870422044632774,1.340617123286135,,1759244.0,
2006,adm1,state,all,,11,0.7885807335731738,1.365978666425523,,1758898.0,
2007,adm1,state,all,,11,0.7896366161996766,1.376162525866805,,1755571.0,
2008,adm1,state,all,,11,0.7901324309697935,1.3742241877042425,,1752689.0,
2009,adm1,state,all,,11,0.7887482153075247,1.363998002133061,,1805840.0,
2010,adm1,state,all,,11,0.7864664417612652,1.340669151853266,,1871726.0,
2011,adm1,state,all,,11,0.7882179564580634,1.3545502906081752,,1884946.0,
2012,adm1,state,all,,11,0.7888997452474646,1.364794549961236,,1924609.0,
2013,adm1,state,all,,11,0.7878112972709033,1.3459841470437925,,1936817.0,
2014,adm1,state,all,,11,0.7865853517875487,1.34038051027296,,1989504.6855992079,
2015,adm1,state,all,,11,0.7868778633850857,1.341663358372333,,1982489.9305843115,
2016,adm1,state,all,,11,0.7850373141925782,1.3187528706802973,,2005949.1301704645,
2017,adm1,state,all,,11,0.779276854711694,1.26534216762327,,2098218.333304763,
2018,adm1,state,all,,11,0.7787883014996002,1.262979869915485,,2129895.5476384163,
2019,adm1,state,all,,11,0.7776982357306554,1.2585054494659997,,2154323.729884267,
2020,adm1,state,all,,11,0.7735865094168213,1.240431227754805,,2276979.832730174,
2021,adm1,state,all,,11,0.7711120486088097,1.2284841120299257,,2324657.8597580194,
2022,adm1,state,all,,11,0.7693870616899035,1.2209233833510271,,2384200.76831007,
1992,adm2,admin-2 unit,all,,568,0.8045707141485869,1.386512350905162,,1141351.0,
1993,adm2,admin-2 unit,all,,568,0.7903875846455637,1.311943224161273,,1454780.0,
1994,adm2,admin-2 unit,all,,568,0.7891968799513287,1.305413852736749,,1490780.0,
1995,adm2,admin-2 unit,all,,568,0.7859472882074119,1.287355274107877,,1589362.0,
1996,adm2,admin-2 unit,all,,568,0.7844933313646822,1.2809995075974534,,1636161.0,
1997,adm2,admin-2 unit,all,,568,0.784103254956741,1.2790125981715117,,1648865.0,
1998,adm2,admin-2 unit,all,,568,0.78378929823339,1.2773723114409885,,1663143.0,
1999,adm2,admin-2 unit,all,,568,0.7830495727247979,1.273578689964804,,1683808.0,
2000,adm2,admin-2 unit,all,,568,0.7818088157141818,1.2666630843265476,,1721583.0,
2001,adm2,admin-2 unit,all,,568,0.7815727690259024,1.2654430221332678,,1726912.0,
2002,adm2,admin-2 unit,all,,568,0.780899642324312,1.2621709594805774,,1746364.0,
2003,adm2,admin-2 unit,all,,568,0.7808959794425627,1.2621800663880167,,1742915.0,
2004,adm2,admin-2 unit,all,,568,0.7803189308774812,1.2592872976337892,,1758997.0,
2005,adm2,admin-2 unit,all,,568,0.7802327794506956,1.2589485370879934,,1759244.0,
2006,adm2,admin-2 unit,all,,568,0.7804599843392297,1.260545476031225,,1758898.0,
2007,adm2,admin-2 unit,all,,568,0.780771008154407,1.2625633840470767,,1755571.0,
