year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,admin-2 unit,0.5856060008075878,0.20955543143858113,0.376050569369008,0.3578437228265948,0.6421562771734074,,1.3322676295501878e-15,523
1993,all,lit_only,theil_l,admin-2 unit,0.5061872847337396,0.180773081485815,0.32541420324792625,0.3571268716892083,0.6428731283107948,,1.5543122344752192e-15,550
1994,all,lit_only,theil_l,admin-2 unit,0.5641852257861617,0.19382423115874825,0.3703609946274149,0.34354715845078115,0.6564528415492213,,1.4432899320127035e-15,550
1995,all,lit_only,theil_l,admin-2 unit,0.5001202313151156,0.18156581396920585,0.31855441734591156,0.3630443293440871,0.6369556706559165,,1.7763568394002505e-15,552
1996,all,lit_only,theil_l,admin-2 unit,0.47564287791682375,0.17245908461285536,0.30318379330397005,0.3625810300538411,0.6374189699461623,,1.6653345369377348e-15,553
1997,all,lit_only,theil_l,admin-2 unit,0.5371423465256349,0.18400083577716958,0.3531415107484671,0.3425550730962304,0.657444926903773,,1.7763568394002505e-15,551
1998,all,lit_only,theil_l,admin-2 unit,0.5334075304256172,0.1829532333087706,0.3504542971168483,0.34298959589638406,0.6570104041036192,,1.7763568394002505e-15,549
1999,all,lit_only,theil_l,admin-2 unit,0.5543858398434106,0.1852647127833751,0.36912112706003697,0.33418009528472836,0.6658199047152743,,1.4432899320127035e-15,551
2000,all,lit_only,theil_l,admin-2 unit,0.5501125663393904,0.18792651329000767,0.362186053049385,0.34161465268922236,0.6583853473107817,,2.220446049250313e-15,552
2001,all,lit_only,theil_l,admin-2 unit,0.5617160390259904,0.19212964685082318,0.3695863921751692,0.34204052137085833,0.6579594786291452,,1.887379141862766e-15,552
2002,all,lit_only,theil_l,admin-2 unit,0.5473388924400443,0.19193111036736954,0.3554077820726766,0.3506622917142577,0.6493377082857457,,1.887379141862766e-15,553
2003,all,lit_only,theil_l,admin-2 unit,0.5392513577603578,0.18730923254605053,0.351942125214309,0.34735050705109277,0.6526494929489104,,1.6653345369377348e-15,552
2004,all,lit_only,theil_l,admin-2 unit,0.5567383837368012,0.1907974822885417,0.36594090144826075,0.3427058163439679,0.6572941836560344,,1.3322676295501878e-15,555
2005,all,lit_only,theil_l,admin-2 unit,0.5519763645528832,0.19264403604457062,0.35933232850831376,0.3490077626795086,0.6509922373204934,,1.1102230246251565e-15,553
2006,all,lit_only,theil_l,admin-2 unit,0.5359851356900662,0.18681800113725058,0.3491671345528169,0.34855071287887024,0.651449287121132,,1.2212453270876722e-15,554
2007,all,lit_only,theil_l,admin-2 unit,0.5154467007676875,0.1819867148593088,0.33345998590838,0.35306601941241345,0.6469339805875891,,1.3322676295501878e-15,549
2008,all,lit_only,theil_l,admin-2 unit,0.4846349447513547,0.17731068437704403,0.30732426037431176,0.3658644228967321,0.6341355771032702,,1.1102230246251565e-15,547
2009,all,lit_only,theil_l,admin-2 unit,0.478604772358872,0.17400151477890907,0.3046032575799642,0.3635599242383601,0.6364400757616426,,1.27675647831893e-15,554
2010,all,lit_only,theil_l,admin-2 unit,0.4618028955618693,0.1684038461069578,0.29339904945491124,0.36466606798136925,0.6353339320186302,,2.7755575615628914e-16,556
2011,all,lit_only,theil_l,admin-2 unit,0.43593154923832855,0.16144381516367667,0.27448773407465077,0.3703421223945725,0.629657877605425,,1.1102230246251565e-15,555
2012,all,lit_only,theil_l,admin-2 unit,0.4332035909688313,0.15769891131746797,0.27550467965136133,0.36402955701448536,0.63597044298551,,1.9984014443252818e-15,550
2013,all,lit_only,theil_l,admin-2 unit,0.471831433160381,0.16576272766920486,0.3060687054911741,0.35131768682494746,0.6486823131750482,,2.0539125955565396e-15,552
2014,all,lit_only,theil_l,admin-2 unit,0.48732267768425436,0.1597616618740053,0.3275610158102478,0.32783547573281197,0.6721645242671855,,1.2212453270876722e-15,554
2015,all,lit_only,theil_l,admin-2 unit,0.49996297023288166,0.15880317542764094,0.34115979480524017,0.3176298743758378,0.6823701256241611,,5.551115123125783e-16,554
2016,all,lit_only,theil_l,admin-2 unit,0.5135690894999922,0.15931090511100132,0.3542581843889908,0.31020345337782196,0.6897965466221778,,1.1102230246251565e-16,554
2017,all,lit_only,theil_l,admin-2 unit,0.5386839809121406,0.16015956852618488,0.3785244123859561,0.29731637509433734,0.7026836249056632,,3.3306690738754696e-16,553
2018,all,lit_only,theil_l,admin-2 unit,0.5311388019161146,0.1584654159443339,0.37267338597178135,0.2983502906823236,0.7016497093176776,,5.551115123125783e-16,554
2019,all,lit_only,theil_l,admin-2 unit,0.5298681630310587,0.15581760715185275,0.37405055587920627,0.2940686344703435,0.7059313655296572,,3.3306690738754696e-16,554
2020,all,lit_only,theil_l,admin-2 unit,0.5375718067553074,0.15742394900859152,0.38014785774671667,0.2928426435879811,0.7071573564120205,,7.771561172376096e-16,557
2021,all,lit_only,theil_l,admin-2 unit,0.5300607246694682,0.15488244230657386,0.37517828236289485,0.2921975447306617,0.7078024552693394,,5.551115123125783e-16,559
2022,all,lit_only,theil_l,admin-2 unit,0.5473343628876983,0.15854315186323492,0.38879121102446357,0.28966416620869956,0.7103358337913007,,2.220446049250313e-16,559
1992,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
1993,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
1994,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
1995,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
1996,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
1997,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
1998,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
1999,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2000,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2001,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2002,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2003,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2004,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2005,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2006,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2007,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2008,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2009,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2010,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2011,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2012,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2013,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2014,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2015,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2016,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2017,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2018,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2019,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2020,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2021,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
2022,all,zeros_included,theil_l,admin-2 unit,,,,,,,,0
1992,all,lit_only,theil_l,nested,0.5856060008075878,0.007829280804995103,0.376050569369008,0.013369536504404032,0.6421562771734074,0.20172615063358604,1.3322676295501878e-15,523
1993,all,lit_only,theil_l,nested,0.5061872847337396,0.0068427190713735795,0.32541420324792625,0.013518156772691216,0.6428731283107948,0.17393036241444143,1.5543122344752192e-15,550
1994,all,lit_only,theil_l,nested,0.5641852257861617,0.008139294927286614,0.3703609946274149,0.014426636067871052,0.6564528415492213,0.18568493623146165,1.4432899320127035e-15,550
1995,all,lit_only,theil_l,nested,0.5001202313151156,0.008437804385997453,0.31855441734591156,0.01687155179427437,0.6369556706559165,0.1731280095832084,1.7763568394002505e-15,552
1996,all,lit_only,theil_l,nested,0.47564287791682375,0.007215506345789734,0.30318379330397005,0.015170008173761657,0.6374189699461623,0.16524357826706562,1.6653345369377348e-15,553
1997,all,lit_only,theil_l,nested,0.5371423465256349,0.007674797063045894,0.3531415107484671,0.014288199604235854,0.657444926903773,0.1763260387141237,1.7763568394002505e-15,551
1998,all,lit_only,theil_l,nested,0.5334075304256172,0.0074311044306309935,0.3504542971168483,0.01393138267977124,0.6570104041036192,0.17552212887813962,1.7763568394002505e-15,549
1999,all,lit_only,theil_l,nested,0.5543858398434106,0.0072037924272750145,0.36912112706003697,0.012994185474343584,0.6658199047152743,0.1780609203561001,1.4432899320127035e-15,551
2000,all,lit_only,theil_l,nested,0.5501125663393904,0.00721823660814274,0.362186053049385,0.01312138105874402,0.6583853473107817,0.18070827668186493,2.220446049250313e-15,552
2001,all,lit_only,theil_l,nested,0.5617160390259904,0.006435371491739563,0.3695863921751692,0.011456627627899726,0.6579594786291452,0.18569427535908362,1.887379141862766e-15,552
2002,all,lit_only,theil_l,nested,0.5473388924400443,0.006496682025446871,0.3554077820726766,0.011869578637988931,0.6493377082857457,0.18543442834192267,1.887379141862766e-15,553
2003,all,lit_only,theil_l,nested,0.5392513577603578,0.00659834418334857,0.351942125214309,0.01223611973969449,0.6526494929489104,0.18071088836270197,1.6653345369377348e-15,552
2004,all,lit_only,theil_l,nested,0.5567383837368012,0.006863010313823301,0.36594090144826075,0.012327172895389584,0.6572941836560344,0.1839344719747184,1.3322676295501878e-15,555
2005,all,lit_only,theil_l,nested,0.5519763645528832,0.006372761602352307,0.35933232850831376,0.01154535232231262,0.6509922373204934,0.1862712744422183,1.1102230246251565e-15,553
2006,all,lit_only,theil_l,nested,0.5359851356900662,0.007177600614361826,0.3491671345528169,0.013391417292050201,0.651449287121132,0.17964040052288877,1.2212453270876722e-15,554
2007,all,lit_only,theil_l,nested,0.5154467007676875,0.007137219253187715,0.33345998590838,0.013846667836961224,0.6469339805875891,0.1748494956061211,1.3322676295501878e-15,549
2008,all,lit_only,theil_l,nested,0.4846349447513547,0.007126663817353907,0.30732426037431176,0.014705220691442897,0.6341355771032702,0.17018402055969012,1.1102230246251565e-15,547
2009,all,lit_only,theil_l,nested,0.478604772358872,0.007278346571136787,0.3046032575799642,0.015207425816638677,0.6364400757616426,0.16672316820777228,1.27675647831893e-15,554
2010,all,lit_only,theil_l,nested,0.4618028955618693,0.006758976730426331,0.29339904945491124,0.014636063990466703,0.6353339320186302,0.16164486937653147,2.7755575615628914e-16,556
2011,all,lit_only,theil_l,nested,0.43593154923832855,0.005851168961334398,0.27448773407465077,0.013422219546985574,0.629657877605425,0.15559264620234228,1.1102230246251565e-15,555
2012,all,lit_only,theil_l,nested,0.4332035909688313,0.006825645262327531,0.27550467965136133,0.01575620656112851,0.63597044298551,0.15087326605514043,1.9984014443252818e-15,550
2013,all,lit_only,theil_l,nested,0.471831433160381,0.009050404392885635,0.3060687054911741,0.019181435904481795,0.6486823131750482,0.15671232327631923,2.0539125955565396e-15,552
2014,all,lit_only,theil_l,nested,0.48732267768425436,0.00678918461734007,0.3275610158102478,0.013931600001875783,0.6721645242671855,0.15297247725666524,1.2212453270876722e-15,554
2015,all,lit_only,theil_l,nested,0.49996297023288166,0.0059426864112693606,0.34115979480524017,0.011886253112908082,0.6823701256241611,0.1528604890163716,5.551115123125783e-16,554
2016,all,lit_only,theil_l,nested,0.5135690894999922,0.005752203218497176,0.3542581843889908,0.011200446709317117,0.6897965466221778,0.15355870189250415,1.1102230246251565e-16,554
2017,all,lit_only,theil_l,nested,0.5386839809121406,0.005212401411063522,0.3785244123859561,0.009676176748819387,0.7026836249056632,0.15494716711512135,3.3306690738754696e-16,553
2018,all,lit_only,theil_l,nested,0.5311388019161146,0.0054170370757317225,0.37267338597178135,0.010198910447117479,0.7016497093176776,0.15304837886860218,5.551115123125783e-16,554
2019,all,lit_only,theil_l,nested,0.5298681630310587,0.00599027669856156,0.37405055587920627,0.011305221027613306,0.7059313655296572,0.1498273304532912,3.3306690738754696e-16,554
2020,all,lit_only,theil_l,nested,0.5375718067553074,0.0060551034714884325,0.38014785774671667,0.011263804007944566,0.7071573564120205,0.15136884553710309,7.771561172376096e-16,557
2021,all,lit_only,theil_l,nested,0.5300607246694682,0.006460498161436755,0.37517828236289485,0.012188222708757284,0.7078024552693394,0.1484219441451371,5.551115123125783e-16,559
2022,all,lit_only,theil_l,nested,0.5473343628876983,0.007302717672591413,0.38879121102446357,0.013342333622290365,0.7103358337913007,0.1512404341906435,2.220446049250313e-16,559
1992,all,zeros_included,theil_l,nested,,,,,,,,0
1993,all,zeros_included,theil_l,nested,,,,,,,,0
1994,all,zeros_included,theil_l,nested,,,,,,,,0
1995,all,zeros_included,theil_l,nested,,,,,,,,0
1996,all,zeros_included,theil_l,nested,,,,,,,,0
1997,all,zeros_included,theil_l,nested,,,,,,,,0
1998,all,zeros_included,theil_l,nested,,,,,,,,0
1999,all,zeros_included,theil_l,nested,,,,,,,,0
2000,all,zeros_included,theil_l,nested,,,,,,,,0
2001,all,zeros_included,theil_l,nested,,,,,,,,0
2002,all,zeros_included,theil_l,nested,,,,,,,,0
2003,all,zeros_included,theil_l,nested,,,,,,,,0
2004,all,zeros_included,theil_l,nested,,,,,,,,0
2005,all,zeros_included,theil_l,nested,,,,,,,,0
2006,all,zeros_included,theil_l,nested,,,,,,,,0
2007,all,zeros_included,theil_l,nested,,,,,,,,0
2008,all,zeros_included,theil_l,nested,,,,,,,,0
2009,all,zeros_included,theil_l,nested,,,,,,,,0
2010,all,zeros_included,theil_l,nested,,,,,,,,0
2011,all,zeros_included,theil_l,nested,,,,,,,,0
2012,all,zeros_included,theil_l,nested,,,,,,,,0
2013,all,zeros_included,theil_l,nested,,,,,,,,0
2014,all,zeros_included,theil_l,nested,,,,,,,,0
2015,all,zeros_included,theil_l,nested,,,,,,,,0
2016,all,zeros_included,theil_l,nested,,,,,,,,0
2017,all,zeros_included,theil_l,nested,,,,,,,,0
2018,all,zeros_included,theil_l,nested,,,,,,,,0
2019,all,zeros_included,theil_l,nested,,,,,,,,0
2020,all,zeros_included,theil_l,nested,,,,,,,,0
2021,all,zeros_included,theil_l,nested,,,,,,,,0
2022,all,zeros_included,theil_l,nested,,,,,,,,0
1992,all,lit_only,theil_l,state,0.5856060008075878,0.007829280804995103,0.5777767200026388,0.013369536504404032,0.9866304634956746,,4.6074255521943996e-14,9
1993,all,lit_only,theil_l,state,0.5061872847337396,0.0068427190713735795,0.49934456566249197,0.013518156772691216,0.9864818432275575,,1.2589929099249275e-13,9
1994,all,lit_only,theil_l,state,0.5641852257861617,0.008139294927286614,0.556045930859017,0.014426636067871052,0.9855733639323805,,1.41886502547095e-13,9
