year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,AUT.1.1_2,Eisenstadt-Umgebung,460,453.0758,3130.0,6.804347826086956,6.908335912394765
1992,AUT.1.2_2,Eisenstadt Stadt,41,42.8822,806.0,19.658536585365855,18.79569109648311
1992,AUT.1.3_2,Güssing,482,485.4453,1039.0,2.1556016597510372,2.140302750691063
1992,AUT.1.4_2,Jennersdorf,255,253.4059,934.0,3.6627450980392156,3.6857857476813365
1992,AUT.1.5_2,Mattersburg,234,237.8568,2334.0,9.974358974358974,9.812628481418692
1992,AUT.1.6_2,Neusiedl am See,1038,1038.4489,3872.0,3.7302504816955686,3.728638046255872
1992,AUT.1.7_2,Oberpullendorf,705,701.4356,2074.0,2.9418439716312057,2.956793288591332
1992,AUT.1.8_2,Oberwart,735,732.7453,3226.0,4.389115646258503,4.402621330160614
1992,AUT.1.9_2,Rust Stadt,19,20.009,92.0,4.842105263157895,4.597929076813613
1992,AUT.2.1_2,Feldkirchen,559,558.9807,1834.0,3.2808586762075134,3.280971981433406
1992,AUT.2.2_2,Hermagor,814,809.5314,976.0,1.199017199017199,1.2056357950711656
1992,AUT.2.3_2,Klagenfurt Land,766,766.7858,4481.0,5.849869451697128,5.843874394011757
1992,AUT.2.4_2,Klagenfurt Stadt,120,120.1144,3649.0,30.408333333333335,30.379371191383846
1992,AUT.2.5_2,Sankt Veit an der Glan,1492,1494.8848,3549.0,2.378686327077748,2.374096033355435
1992,AUT.2.6_2,Spittal an der Drau,2770,2766.3742,4709.0,1.7,1.7022281394869383
1992,AUT.2.7_2,Villach Land,1007,1009.8794,6712.0,6.665342601787487,6.646337865718223
1992,AUT.2.8_2,Villach Stadt,139,134.9958,3734.0,26.863309352517987,27.660110371679497
1992,AUT.2.9_2,Völkermarkt,912,908.7591,2905.0,3.1853070175438596,3.19666683011551
1992,AUT.2.10_2,Wolfsberg,974,974.8295,2594.0,2.6632443531827517,2.6609782714521106
1992,AUT.3.1_2,Amstetten,1194,1187.1727,7758.0,6.49748743718593,6.534853572302448
1992,AUT.3.2_2,Baden,759,754.2642,10081.0,13.281949934123848,13.365343584529526
1992,AUT.3.3_2,Bruck an der Leitha,699,703.8353,9833.0,14.067238912732474,13.970597098301349
1992,AUT.3.4_2,Gänserndorf,1273,1272.8852,9851.0,7.738413197172035,7.739111124816388
1992,AUT.3.5_2,Gmünd,784,787.033,3626.0,4.625,4.60717662912072
1992,AUT.3.6_2,Hollabrunn,1013,1011.2858,3415.0,3.3711747285291214,3.376888945182461
1992,AUT.3.7_2,Horn,782,784.0968,2207.0,2.8222506393861893,2.814703558646594
1992,AUT.3.8_2,Korneuburg,660,662.5007,7263.0,11.004545454545454,10.963007771325783
1992,AUT.3.9_2,Krems an der Donau Stadt,52,51.736,1302.0,25.03846153846154,25.166215267409072
1992,AUT.3.10_2,Krems Land,925,923.4879,4474.0,4.836756756756757,4.84467630164407
