year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,BDI.1_1,Bubanza,1058,1052.2696,0.0,0.0,0.0
1992,BDI.2_1,Bujumbura Mairie,198,201.6074,3184.0,16.08080808080808,15.793068382761136
1992,BDI.3_1,Bujumbura Rural,1559,1558.0745,117.0,0.0750481077613855,0.07509268577424917
1992,BDI.4_1,Bururi,3082,3084.9311,0.0,0.0,0.0
1992,BDI.5_1,Cankuzo,1884,1886.7579,0.0,0.0,0.0
1992,BDI.6_1,Cibitoke,1558,1558.0274,0.0,0.0,0.0
1992,BDI.7_1,Gitega,1893,1898.0243,53.0,0.027997886951928157,0.027923772597287237
1992,BDI.8_1,Karuzi,1409,1410.9286,0.0,0.0,0.0
1992,BDI.9_1,Kayanza,1187,1180.0244,0.0,0.0,0.0
1992,BDI.10_1,Kirundo,1771,1768.2234,0.0,0.0,0.0
1992,BDI.11_1,Makamba,2555,2556.2305,0.0,0.0,0.0
1992,BDI.12_1,Muramvya,663,666.1673,0.0,0.0,0.0
1992,BDI.13_1,Muyinga,1785,1789.9678,0.0,0.0,0.0
1992,BDI.14_1,Mwaro,825,820.8037,0.0,0.0,0.0
1992,BDI.15_1,Ngozi,1406,1405.9386,0.0,0.0,0.0
1992,BDI.16_1,Rutana,1852,1847.9882,0.0,0.0,0.0
1992,BDI.17_1,Ruyigi,2254,2249.3299,0.0,0.0,0.0
1993,BDI.1_1,Bubanza,1058,1052.2696,0.0,0.0,0.0
1993,BDI.2_1,Bujumbura Mairie,198,201.6074,4174.0,21.08080808080808,20.70360157966237
1993,BDI.3_1,Bujumbura Rural,1559,1558.0745,744.0,0.477228992944195,0.47751246338496905
1993,BDI.4_1,Bururi,3082,3084.9311,95.0,0.03082414016872161,0.03079485289832205
1993,BDI.5_1,Cankuzo,1884,1886.7579,0.0,0.0,0.0
1993,BDI.6_1,Cibitoke,1558,1558.0274,0.0,0.0,0.0
1993,BDI.7_1,Gitega,1893,1898.0243,391.0,0.20655044902271527,0.20600368085923226
1993,BDI.8_1,Karuzi,1409,1410.9286,0.0,0.0,0.0
1993,BDI.9_1,Kayanza,1187,1180.0244,16.0,0.013479359730412805,0.013559041091157222
1993,BDI.10_1,Kirundo,1771,1768.2234,13.0,0.007340485601355167,0.00735201211817324
1993,BDI.11_1,Makamba,2555,2556.2305,0.0,0.0,0.0
1993,BDI.12_1,Muramvya,663,666.1673,0.0,0.0,0.0
1993,BDI.13_1,Muyinga,1785,1789.9678,25.0,0.014005602240896359,0.013966731738917397
1993,BDI.14_1,Mwaro,825,820.8037,0.0,0.0,0.0
1993,BDI.15_1,Ngozi,1406,1405.9386,63.0,0.04480796586059744,0.04480992341413488
1993,BDI.16_1,Rutana,1852,1847.9882,85.0,0.0458963282937365,0.04599596493426731
1993,BDI.17_1,Ruyigi,2254,2249.3299,0.0,0.0,0.0
1994,BDI.1_1,Bubanza,1058,1052.2696,40.0,0.03780718336483932,0.03801307048326998
1994,BDI.2_1,Bujumbura Mairie,198,201.6074,4165.0,21.035353535353536,20.65896036878145
1994,BDI.3_1,Bujumbura Rural,1559,1558.0745,776.0,0.49775497113534317,0.49805063385313975
1994,BDI.4_1,Bururi,3082,3084.9311,83.0,0.02693056456846204,0.02690497674274453
1994,BDI.5_1,Cankuzo,1884,1886.7579,0.0,0.0,0.0
1994,BDI.6_1,Cibitoke,1558,1558.0274,0.0,0.0,0.0
1994,BDI.7_1,Gitega,1893,1898.0243,392.0,0.20707871104067618,0.20653054449314334
1994,BDI.8_1,Karuzi,1409,1410.9286,0.0,0.0,0.0
1994,BDI.9_1,Kayanza,1187,1180.0244,16.0,0.013479359730412805,0.013559041091157222
1994,BDI.10_1,Kirundo,1771,1768.2234,15.0,0.00846979107848673,0.008483090905584507
1994,BDI.11_1,Makamba,2555,2556.2305,0.0,0.0,0.0
1994,BDI.12_1,Muramvya,663,666.1673,0.0,0.0,0.0
1994,BDI.13_1,Muyinga,1785,1789.9678,29.0,0.016246498599439777,0.016201408817144183
1994,BDI.14_1,Mwaro,825,820.8037,0.0,0.0,0.0
1994,BDI.15_1,Ngozi,1406,1405.9386,68.0,0.04836415362731152,0.04836626654224083
1994,BDI.16_1,Rutana,1852,1847.9882,71.0,0.03833693304535637,0.03842015894509387
1994,BDI.17_1,Ruyigi,2254,2249.3299,0.0,0.0,0.0
1995,BDI.1_1,Bubanza,1058,1052.2696,26.0,0.024574669187145556,0.02470849581412549
