year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,admin-2 unit,0.21610528065250978,0.07263213646684581,0.1434731441856485,0.33609607431868316,0.6639039256812452,nan,1.5487611193520934e-14,11
1993,all,lit_only,theil_l,admin-2 unit,0.21296945429682448,0.0743987284290264,0.13857072586777877,0.3493399026384965,0.6506600973614128,nan,1.9317880628477724e-14,11
1994,all,lit_only,theil_l,admin-2 unit,0.21176854565778144,0.07470171695790806,0.13706682869985318,0.35275171166650143,0.6472482883334032,nan,2.020605904817785e-14,11
1995,all,lit_only,theil_l,admin-2 unit,0.20350641759988175,0.07370389126553081,0.12980252633433054,0.36216986242881827,0.6378301375710815,nan,2.040034807748725e-14,11
1996,all,lit_only,theil_l,admin-2 unit,0.18707363930834314,0.06485080601596792,0.12222283329235087,0.3466592420810177,0.653340757918852,nan,2.4369395390522186e-14,11
1997,all,lit_only,theil_l,admin-2 unit,0.1866568450416259,0.06396567870861208,0.1226911663329888,0.3426913097901513,0.6573086902097146,nan,2.503552920529728e-14,11
1998,all,lit_only,theil_l,admin-2 unit,0.18795468843278806,0.06399370047307941,0.12396098795968379,0.3404740845076782,0.6595259154921895,nan,2.4868995751603507e-14,11
1999,all,lit_only,theil_l,admin-2 unit,0.18595116159199743,0.06517108018099388,0.12078008141097843,0.3504741762462783,0.6495258237535866,nan,2.5118795932144167e-14,11
2000,all,lit_only,theil_l,admin-2 unit,0.18641687700548115,0.06550620183071204,0.12091067517474367,0.35139630532908234,0.6486036946707813,nan,2.5424107263916085e-14,11
2001,all,lit_only,theil_l,admin-2 unit,0.187554652677382,0.06573700371207111,0.1218176489652856,0.35049519046134875,0.6495048095385164,nan,2.528532938583794e-14,11
2002,all,lit_only,theil_l,admin-2 unit,0.18502209431578515,0.06418125603281892,0.12084083828294229,0.34688428033507185,0.6531157196647988,nan,2.3925306180672123e-14,11
2003,all,lit_only,theil_l,admin-2 unit,0.18454460078310367,0.06407893297457615,0.12046566780850354,0.3472273515597917,0.6527726484400783,nan,2.398081733190338e-14,11
2004,all,lit_only,theil_l,admin-2 unit,0.18481728383310922,0.0642100190671623,0.12060726476592301,0.347424319497868,0.6525756805020025,nan,2.3897550605056495e-14,11
2005,all,lit_only,theil_l,admin-2 unit,0.18395230460676104,0.0638667059985603,0.12008559860817646,0.3471916600071393,0.6528083399927287,nan,2.42861286636753e-14,11
2006,all,lit_only,theil_l,admin-2 unit,0.18402911272958025,0.06395710541791305,0.12007200731164286,0.34753797629777294,0.6524620237020947,nan,2.4341639814906557e-14,11
2007,all,lit_only,theil_l,admin-2 unit,0.18162144432617133,0.0633451091246715,0.11827633520147582,0.348775494874443,0.6512245051254248,nan,2.400857290751901e-14,11
2008,all,lit_only,theil_l,admin-2 unit,0.17715221570404416,0.06111892565011518,0.11603329005390484,0.34500796621264,0.6549920337872237,nan,2.4147350785597155e-14,11
2009,all,lit_only,theil_l,admin-2 unit,0.17839681521935094,0.061469111283799456,0.11692770393552712,0.34456394980044364,0.6554360501994198,nan,2.4369395390522186e-14,11
2010,all,lit_only,theil_l,admin-2 unit,0.1688288650834442,0.05944381613501114,0.10938504894840936,0.35209510000337235,0.6479048999964874,nan,2.3703261575747092e-14,11
2011,all,lit_only,theil_l,admin-2 unit,0.16865541707228165,0.05944578291959307,0.10920963415266545,0.35246886196436866,0.6475311380354941,nan,2.3148150063434514e-14,11
2012,all,lit_only,theil_l,admin-2 unit,0.16842126545603434,0.0593238534323924,0.10909741202361908,0.35223493465484407,0.6477650653450202,nan,2.2842838731662596e-14,11
2013,all,lit_only,theil_l,admin-2 unit,0.16818742820524596,0.05953079537324648,0.10865663283197638,0.3539550845655279,0.6460449154343348,nan,2.3092638912203256e-14,11
2014,all,lit_only,theil_l,admin-2 unit,0.16794191574341244,0.05979435585260599,0.10814755989078384,0.35604188262304876,0.6439581173768166,nan,2.2593038551121936e-14,11
2015,all,lit_only,theil_l,admin-2 unit,0.1666318612801836,0.05933025258949003,0.10730160869067099,0.3560558715102451,0.6439441284896195,nan,2.2565282975506307e-14,11
2016,all,lit_only,theil_l,admin-2 unit,0.16870097235993436,0.05951416878837086,0.10918680357154083,0.3527790501491216,0.647220949850744,nan,2.2676305277968822e-14,11
2017,all,lit_only,theil_l,admin-2 unit,0.17746690777823373,0.06169211609088047,0.11577479168733187,0.3476260270899192,0.6523739729099602,nan,2.1399548799649892e-14,11
2018,all,lit_only,theil_l,admin-2 unit,0.1769116700827421,0.061765918687612976,0.11514575139510758,0.34913422420762225,0.6508657757922559,nan,2.1566082253343666e-14,11
2019,all,lit_only,theil_l,admin-2 unit,0.17684600886965915,0.06214559414342521,0.11470041472621306,0.3514107812816312,0.6485892187182507,nan,2.0872192862952943e-14,11
2020,all,lit_only,theil_l,admin-2 unit,0.17804835912570083,0.062361098423148895,0.11568726070253069,0.35024809399744267,0.649751906002438,nan,2.1260770921571748e-14,11
2021,all,lit_only,theil_l,admin-2 unit,0.17732701140436502,0.06249836530806683,0.11482864609627678,0.3524469555602536,0.6475530444396257,nan,2.1399548799649892e-14,11
2022,all,lit_only,theil_l,admin-2 unit,0.1776474717492465,0.06254700940268593,0.11510046234653915,0.3520849961263309,0.6479150038735485,nan,2.142730437526552e-14,11
1992,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1993,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1994,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1995,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1996,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1997,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1998,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1999,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2000,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2001,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2002,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2003,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2004,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2005,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2006,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2007,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2008,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2009,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2010,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2011,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2012,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2013,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2014,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2015,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2016,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2017,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2018,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2019,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2020,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2021,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
2022,all,zeros_included,theil_l,admin-2 unit,nan,nan,nan,nan,nan,nan,nan,0
1992,all,lit_only,theil_l,nested,0.21610528065250978,0.039278412124124695,0.1434731441856485,0.18175591084830128,0.6639039256812452,0.03335372434272112,1.5487611193520934e-14,11
1993,all,lit_only,theil_l,nested,0.21296945429682448,0.03999286834840704,0.13857072586777877,0.18778687526084045,0.6506600973614128,0.034405860080619355,1.9317880628477724e-14,11
1994,all,lit_only,theil_l,nested,0.21176854565778144,0.040292987644048,0.13706682869985318,0.1902689916431762,0.6472482883334032,0.03440872931386006,2.020605904817785e-14,11
1995,all,lit_only,theil_l,nested,0.20350641759988175,0.039249956023834465,0.12980252633433054,0.1928683944552777,0.6378301375710815,0.03445393524169635,2.040034807748725e-14,11
1996,all,lit_only,theil_l,nested,0.18707363930834314,0.03667722825449664,0.12222283329235087,0.19605770428212813,0.653340757918852,0.02817357776147128,2.4369395390522186e-14,11
1997,all,lit_only,theil_l,nested,0.1866568450416259,0.036248437897184294,0.1226911663329888,0.19419827807065212,0.6573086902097146,0.02771724081142779,2.503552920529728e-14,11
1998,all,lit_only,theil_l,nested,0.18795468843278806,0.03620526304019396,0.12396098795968379,0.19262761329383296,0.6595259154921895,0.02778843743288545,2.4868995751603507e-14,11
1999,all,lit_only,theil_l,nested,0.18595116159199743,0.036614356344957286,0.12078008141097843,0.19690307945101332,0.6495258237535866,0.028556723836036593,2.5118795932144167e-14,11
2000,all,lit_only,theil_l,nested,0.18641687700548115,0.036907873117761,0.12091067517474367,0.19798568515164972,0.6486036946707813,0.028598328712951038,2.5424107263916085e-14,11
2001,all,lit_only,theil_l,nested,0.187554652677382,0.036998283016545314,0.1218176489652856,0.19726667661072153,0.6495048095385164,0.0287387206955258,2.528532938583794e-14,11
2002,all,lit_only,theil_l,nested,0.18502209431578515,0.036501304136628165,0.12084083828294229,0.19728078569000426,0.6531157196647988,0.027679951896190755,2.3925306180672123e-14,11
2003,all,lit_only,theil_l,nested,0.18454460078310367,0.03645352566353363,0.12046566780850354,0.19753233369518988,0.6527726484400783,0.027625407311042516,2.398081733190338e-14,11
2004,all,lit_only,theil_l,nested,0.18481728383310922,0.0365181763591443,0.12060726476592301,0.197590699320743,0.6525756805020025,0.027691842708018,2.3897550605056495e-14,11
2005,all,lit_only,theil_l,nested,0.18395230460676104,0.03637330848537196,0.12008559860817646,0.19773227937061183,0.6528083399927287,0.027493397513188342,2.42861286636753e-14,11
2006,all,lit_only,theil_l,nested,0.18402911272958025,0.0363918139825153,0.12007200731164286,0.19775030940887536,0.6524620237020947,0.02756529143539775,2.4341639814906557e-14,11
2007,all,lit_only,theil_l,nested,0.18162144432617133,0.03596070588636781,0.11827633520147582,0.19799812747764792,0.6512245051254248,0.027384403238303698,2.400857290751901e-14,11
2008,all,lit_only,theil_l,nested,0.17715221570404416,0.035012517004923416,0.11603329005390484,0.19764086419001603,0.6549920337872237,0.026106408645191766,2.4147350785597155e-14,11
2009,all,lit_only,theil_l,nested,0.17839681521935094,0.03537212248300575,0.11692770393552712,0.19827776880160858,0.6554360501994198,0.026096988800793704,2.4369395390522186e-14,11
2010,all,lit_only,theil_l,nested,0.1688288650834442,0.033659026624029836,0.10938504894840936,0.19936772427744365,0.6479048999964874,0.0257847895109813,2.3703261575747092e-14,11
2011,all,lit_only,theil_l,nested,0.16865541707228165,0.03367675431951847,0.10920963415266545,0.19967786925625652,0.6475311380354941,0.0257690286000746,2.3148150063434514e-14,11
2012,all,lit_only,theil_l,nested,0.16842126545603434,0.033661349230247745,0.10909741202361908,0.19986400849740021,0.6477650653450202,0.025662504202144658,2.2842838731662596e-14,11
2013,all,lit_only,theil_l,nested,0.16818742820524596,0.03366138583364012,0.10865663283197638,0.20014210451307787,0.6460449154343348,0.025869409539606363,2.3092638912203256e-14,11
2014,all,lit_only,theil_l,nested,0.16794191574341244,0.033847598090456205,0.10814755989078384,0.20154347972408362,0.6439581173768166,0.02594675776214979,2.2593038551121936e-14,11
2015,all,lit_only,theil_l,nested,0.1666318612801836,0.03371310221919771,0.10730160869067099,0.20232086445047098,0.6439441284896195,0.025617150370292323,2.2565282975506307e-14,11
2016,all,lit_only,theil_l,nested,0.16870097235993436,0.03403091342348466,0.10918680357154083,0.20172327964344816,0.647220949850744,0.0254832553648862,2.2676305277968822e-14,11
2017,all,lit_only,theil_l,nested,0.17746690777823373,0.03515448242661842,0.11577479168733187,0.19809035310711662,0.6523739729099602,0.026537633664262046,2.1399548799649892e-14,11
2018,all,lit_only,theil_l,nested,0.1769116700827421,0.0352762673166835,0.11514575139510758,0.19940045391117886,0.6508657757922559,0.026489651370929478,2.1566082253343666e-14,11
2019,all,lit_only,theil_l,nested,0.17684600886965915,0.03540290027574319,0.11470041472621306,0.20019055279803458,0.6485892187182507,0.026742693867682014,2.0872192862952943e-14,11
2020,all,lit_only,theil_l,nested,0.17804835912570083,0.03575054560649413,0.11568726070253069,0.20079121078141757,0.649751906002438,0.026610552816654767,2.1260770921571748e-14,11
2021,all,lit_only,theil_l,nested,0.17732701140436502,0.03577496287713304,0.11482864609627678,0.20174570469444236,0.6475530444396257,0.02672340243093379,2.1399548799649892e-14,11
2022,all,lit_only,theil_l,nested,0.1776474717492465,0.035818236075627494,0.11510046234653915,0.20162536355251798,0.6479150038735485,0.026728773327058433,2.142730437526552e-14,11
1992,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
1993,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
1994,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
1995,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
1996,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
1997,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
1998,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
1999,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
2000,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
2001,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
2002,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
2003,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
2004,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
2005,all,zeros_included,theil_l,nested,nan,nan,nan,nan,nan,nan,nan,0
