year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
1992,all,zeros_included,department,Alibori,26857,0.015973489220687344,0.23296583190930145,0.03358910115878484,6.107243929915476,0.2051368341633056
1992,all,zeros_included,department,Atakora,20514,0.0,0.17794470997458428,0.0,0.0,0.0
1992,all,zeros_included,department,Atlantique,3193,0.7738803632947072,0.027697058542890104,0.1934700908236768,2.67534012324999,0.5175982966294023
1992,all,zeros_included,department,Borgou,25639,0.03970513670579976,0.22240052739779498,0.07970560601315377,5.815126153202801,0.4634981540839689
1992,all,zeros_included,department,Collines,14027,0.007129108148570614,0.12167448799909787,0.007829627309740057,6.482398806349407,0.05075476672681966
1992,all,zeros_included,department,Donga,11136,0.005567528735632184,0.0965970698194877,0.0048543689320388345,6.878591912740402,0.03339122287738059
1992,all,zeros_included,department,Kouffo,2425,0.0622680412371134,0.021035191658787505,0.011822737237707485,4.098797684489242,0.04845900801424018
1992,all,zeros_included,department,Littoral,75,44.04,0.0006505729379006445,0.2586125900407141,0.04015777527368236,0.010385306273799941
1992,all,zeros_included,department,Mono,1583,0.20277953253316489,0.013731426142622937,0.02513310366426558,3.38282125441879,0.08502079726498837
1992,all,zeros_included,department,Ouémé,1285,2.7587548638132295,0.011146483002697709,0.277560288130285,1.3711980584220382,0.38059012817930826
1992,all,zeros_included,department,Plateau,3313,0.1427709025052822,0.028737975243531135,0.03703413717507047,3.604122851526456,0.1334755800792369
1992,all,zeros_included,department,Zou,5236,0.17169595110771582,0.04541866537130366,0.0703883495145631,3.784087283777827,0.2663556583241674
1992,all,zeros_included,commune,Banikoara,4469,0.023495189080331172,0.03876547279303974,0.00822110867522706,5.713904543803507,0.04697463021448233
1992,all,zeros_included,commune,Gogounou,4817,0.0,0.04178413122489873,0.0,0.0,0.0
1992,all,zeros_included,commune,Kandi,3463,0.05082298585041871,0.030039121119332424,0.013780144065142498,4.973463664117349,0.06853504579428855
1992,all,zeros_included,commune,Karimama,6091,0.0,0.05283519686337101,0.0,0.0,0.0
1992,all,zeros_included,commune,Malanville,3414,0.043350908025776215,0.02961408013323734,0.011587848418415283,5.086039196196537,0.058936251255644174
