year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,canton,0.23076057898530622,0.012535248973080917,0.21822533001222677,0.05432144878557921,0.9456785512144271,,1.4710455076283324e-15,15
1993,all,lit_only,theil_l,canton,0.19673605815280212,0.01752558503818073,0.17921047311462193,0.08908171284274108,0.9109182871572616,,5.273559366969494e-16,17
1994,all,lit_only,theil_l,canton,0.24373387879392688,0.009192434166576915,0.23454144462735063,0.03771504483522774,0.962284955164775,,6.661338147750939e-16,17
1995,all,lit_only,theil_l,canton,0.1979456479309972,0.006634620747629712,0.19131102718336362,0.03351738629758865,0.9664826137023919,,3.858025010572419e-15,17
1996,all,lit_only,theil_l,canton,0.21163157844027133,0.014183694644426781,0.19744788379583983,0.06702069109421606,0.9329793089057616,,4.718447854656915e-15,18
1997,all,lit_only,theil_l,canton,0.27140628652451537,0.021153717344448847,0.2502525691800602,0.07794114725687494,0.9220588527431018,,6.328271240363392e-15,18
1998,all,lit_only,theil_l,canton,0.2510855301510464,0.019926956951444544,0.23115857319959127,0.07936322311945661,0.9206367768805013,,1.0602629885170245e-14,18
1999,all,lit_only,theil_l,canton,0.25568490705393454,0.020613240361531344,0.23507166669239318,0.08061969945368405,0.9193803005462768,,9.992007221626409e-15,18
2000,all,lit_only,theil_l,canton,0.2696006857568114,0.022112400869832384,0.24748828488696661,0.08201908243578612,0.9179809175641679,,1.2378986724570495e-14,18
2001,all,lit_only,theil_l,canton,0.23948673723755992,0.02157165870742588,0.21791507853011988,0.09007454423677658,0.9099254557631643,,1.4155343563970746e-14,18
2002,all,lit_only,theil_l,canton,0.23698732231925468,0.02051804718123774,0.2164692751380041,0.08657867003365309,0.9134213299662928,,1.2850831510036187e-14,18
2003,all,lit_only,theil_l,canton,0.24875485961694993,0.016075913275894325,0.23267894634104322,0.0646255245049248,0.9353744754950254,,1.2378986724570495e-14,18
2004,all,lit_only,theil_l,canton,0.26379242703260664,0.017517215402845267,0.2462752116297487,0.06640530056111131,0.9335946994388407,,1.2656542480726785e-14,18
2005,all,lit_only,theil_l,canton,0.22830615698353432,0.016132656114521617,0.21217350086900158,0.07066237865711664,0.9293376213428346,,1.1129985821867194e-14,18
2006,all,lit_only,theil_l,canton,0.22206425013973588,0.017537909735680868,0.20452634040404347,0.07897673634835406,0.9210232636515939,,1.1546319456101628e-14,18
2007,all,lit_only,theil_l,canton,0.2554553331191247,0.018670578811227426,0.2367847543078839,0.07308744970503671,0.9269125502949108,,1.3378187446733136e-14,18
2008,all,lit_only,theil_l,canton,0.20510665657093108,0.01739527896112415,0.18771137760979412,0.08481089425349012,0.9151891057464474,,1.2823075934420558e-14,18
