year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,BLM.1_1,Au Vent,13,12.8385,174.0,13.384615384615385,13.552980251537498
1992,BLM.2_1,Sous le Vent,10,8.1152,280.0,28.0,34.503281156974964
1993,BLM.1_1,Au Vent,13,12.8385,284.0,21.846153846153847,22.120956272624422
1993,BLM.2_1,Sous le Vent,10,8.1152,323.0,32.3,39.80199933465326
1994,BLM.1_1,Au Vent,13,12.8385,285.0,21.923076923076923,22.198846963725213
1994,BLM.2_1,Sous le Vent,10,8.1152,333.0,33.3,41.0342593759738
1995,BLM.1_1,Au Vent,13,12.8385,285.0,21.923076923076923,22.198846963725213
1995,BLM.2_1,Sous le Vent,10,8.1152,333.0,33.3,41.0342593759738
1996,BLM.1_1,Au Vent,13,12.8385,341.0,26.23076923076923,26.560725665369468
1996,BLM.2_1,Sous le Vent,10,8.1152,354.0,35.4,43.62200546274692
1997,BLM.1_1,Au Vent,13,12.8385,345.0,26.53846153846154,26.872288429772627
1997,BLM.2_1,Sous le Vent,10,8.1152,383.0,38.3,47.195559582576465
1998,BLM.1_1,Au Vent,13,12.8385,353.0,27.153846153846153,27.49541395857895
1998,BLM.2_1,Sous le Vent,10,8.1152,401.0,40.1,49.41362765695343
1999,BLM.1_1,Au Vent,13,12.8385,354.0,27.23076923076923,27.573304649679738
1999,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2000,BLM.1_1,Au Vent,13,12.8385,354.0,27.23076923076923,27.573304649679738
2000,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2001,BLM.1_1,Au Vent,13,12.8385,360.0,27.692307692307693,28.04064879628448
2001,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2002,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2002,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2003,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2003,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2004,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2004,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2005,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2005,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2006,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2006,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2007,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2007,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2008,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2008,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2009,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2009,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2010,BLM.1_1,Au Vent,13,12.8385,364.0,28.0,28.352211560687643
2010,BLM.2_1,Sous le Vent,10,8.1152,404.0,40.4,49.78330566934959
2011,BLM.1_1,Au Vent,13,12.8385,378.0,29.076923076923077,29.442681236098704
2011,BLM.2_1,Sous le Vent,10,8.1152,406.0,40.6,50.029757677613695
2012,BLM.1_1,Au Vent,13,12.8385,378.0,29.076923076923077,29.442681236098704
2012,BLM.2_1,Sous le Vent,10,8.1152,406.0,40.6,50.029757677613695
2013,BLM.1_1,Au Vent,13,12.8385,378.0,29.076923076923077,29.442681236098704
2013,BLM.2_1,Sous le Vent,10,8.1152,406.0,40.6,50.029757677613695
2014,BLM.1_1,Au Vent,13,12.8385,395.8999996185303,30.453846124502327,30.83692457708991
2014,BLM.2_1,Sous le Vent,10,8.1152,449.54285049438477,44.954285049438475,55.395369152556135
2015,BLM.1_1,Au Vent,13,12.8385,399.70000076293945,30.746153904841496,31.132909292411735
2015,BLM.2_1,Sous le Vent,10,8.1152,453.9714241027832,45.39714241027832,55.94108458232375
2016,BLM.1_1,Au Vent,13,12.8385,399.70000076293945,30.746153904841496,31.132909292411735
2016,BLM.2_1,Sous le Vent,10,8.1152,453.9714241027832,45.39714241027832,55.94108458232375
2017,BLM.1_1,Au Vent,13,12.8385,399.70000076293945,30.746153904841496,31.132909292411735
2017,BLM.2_1,Sous le Vent,10,8.1152,453.9714241027832,45.39714241027832,55.94108458232375
2018,BLM.1_1,Au Vent,13,12.8385,399.70000076293945,30.746153904841496,31.132909292411735
2018,BLM.2_1,Sous le Vent,10,8.1152,453.9714241027832,45.39714241027832,55.94108458232375
2019,BLM.1_1,Au Vent,13,12.8385,445.6916694641113,34.28397457416241,34.7152321524246
2019,BLM.2_1,Sous le Vent,10,8.1152,453.97142791748047,45.397142791748045,55.941085052393646
2020,BLM.1_1,Au Vent,13,12.8385,453.6916694641113,34.89935918954703,35.33835768123092
2020,BLM.2_1,Sous le Vent,10,8.1152,465.82142639160156,46.58214263916015,57.40131301333052
2021,BLM.1_1,Au Vent,13,12.8385,474.6500015258789,36.511538578913765,36.970816649841844
2021,BLM.2_1,Sous le Vent,10,8.1152,481.4881057739258,48.14881057739258,59.33185531163236
2022,BLM.1_1,Au Vent,13,12.8385,502.5416717529297,38.657051673302284,39.143318119782165
2022,BLM.2_1,Sous le Vent,10,8.1152,489.9166831970215,48.99166831970215,60.370475227998085
