year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,region,all,,7,0.5860284546374397,0.7713319060179965,0.6714718328601592,467562.0,nan
1993,adm1,region,all,,7,0.565029318404703,0.7213057020055093,0.6178154361129206,506302.0,nan
1994,adm1,region,all,,7,0.5611085317286988,0.7154387448346978,0.609439928516075,504802.0,nan
1995,adm1,region,all,,7,0.5491479400329902,0.7007063152129637,0.5907315763260705,514736.0,nan
1996,adm1,region,all,,7,0.5374766115065654,0.665217599783086,0.558907130687014,550313.0,nan
1997,adm1,region,all,,7,0.5345878749656818,0.6632819808155903,0.5551195979500445,562448.0,nan
1998,adm1,region,all,,7,0.5349507951884047,0.6719702834875025,0.5609358179141308,551904.0,nan
1999,adm1,region,all,,7,0.5334105792038448,0.6660984997980443,0.5561095505415081,557691.0,nan
2000,adm1,region,all,,7,0.5207072421785852,0.6258579937674911,0.5212427613276065,600612.0,nan
2001,adm1,region,all,,7,0.5311904923662838,0.6583626831412455,0.5500215921324358,571299.0,nan
2002,adm1,region,all,,7,0.5497993525526899,0.7092719016901434,0.5981157745727725,523600.0,nan
2003,adm1,region,all,,7,0.5536174506576903,0.715808925832366,0.6053083905255715,519084.0,nan
2004,adm1,region,all,,7,0.5474674426171786,0.6956373056754678,0.5868637453156823,539200.0,nan
2005,adm1,region,all,,7,0.5384232960077793,0.673284174004454,0.5645256494418353,560867.0,nan
2006,adm1,region,all,,7,0.5448691713431162,0.6927880913573479,0.5813005291343181,548093.0,nan
2007,adm1,region,all,,7,0.5539931550699009,0.7261328065586556,0.6108015420580525,518500.0,nan
2008,adm1,region,all,,7,0.5708498500341563,0.7706779574159813,0.6547748743192591,474944.0,nan
2009,adm1,region,all,,7,0.5583644388071873,0.7368314498051866,0.6214000541273275,522641.0,nan
2010,adm1,region,all,,7,0.4420904611858889,0.4616438835952459,0.37398906301531226,898653.0,nan
2011,adm1,region,all,,7,0.45792469320591844,0.49196849060117476,0.39982759944119195,851134.0,nan
2012,adm1,region,all,,7,0.48290517938575195,0.5388083687542365,0.44197568862090897,806887.0,nan
2013,adm1,region,all,,7,0.4847554028975276,0.544031688128217,0.44649824886079614,801230.0,nan
2014,adm1,region,all,,7,0.4946984602719786,0.5689745883731713,0.46805471754772643,767488.9242451191,nan
2015,adm1,region,all,,7,0.4981510510610949,0.5792700536098171,0.47707265806881716,754914.3356627226,nan
2016,adm1,region,all,,7,0.4965652755440142,0.5779120909823089,0.47576198890020016,757226.920462966,nan
2017,adm1,region,all,,7,0.49069287557146435,0.567702424382711,0.4660080090986722,769354.6333651543,nan
2018,adm1,region,all,,7,0.4821572251503159,0.5517396746887477,0.45156494396197555,792481.9067194462,nan
2019,adm1,region,all,,7,0.48566218410834394,0.5674917740823955,0.46349468526655746,766291.0437829494,nan
2020,adm1,region,all,,7,0.48085407359811394,0.557406783995192,0.4545078574401332,778575.3289866447,nan
2021,adm1,region,all,,7,0.4663041774298391,0.51260678719916,0.41847255174716474,847675.8681612015,nan
2022,adm1,region,all,,7,0.4639165835869541,0.5066555622430792,0.41363817643568224,857578.1202054024,nan
1992,adm2,district,all,,118,0.5694816801824689,0.6069126307055642,0.5949529752902769,467562.0,nan
1993,adm2,district,all,,118,0.5473975257036645,0.5518725902399748,0.5345674354766771,506302.0,nan
1994,adm2,district,all,,118,0.5402567438194823,0.5363289004933034,0.5179998563949295,504802.0,nan
1995,adm2,district,all,,118,0.5368722233762493,0.5268092948050331,0.5164481368986662,514736.0,nan
1996,adm2,district,all,,118,0.5248872713449024,0.49878546858734973,0.4933847370211078,550313.0,nan
1997,adm2,district,all,,118,0.5196622281733276,0.49107158601138323,0.4748472644906271,562448.0,nan
1998,adm2,district,all,,118,0.5210230275377872,0.4965855677853156,0.4754854362225647,551904.0,nan
1999,adm2,district,all,,118,0.5176590283527915,0.4891074321383888,0.46895282229989615,557691.0,nan
2000,adm2,district,all,,118,0.5009355691499302,0.4511398749812197,0.4384684761994714,600612.0,nan
2001,adm2,district,all,,118,0.5154161616655095,0.4836733574031216,0.4642474322566301,571299.0,nan
2002,adm2,district,all,,118,0.5344086423589232,0.5300176425645258,0.49857894595878693,523600.0,nan
2003,adm2,district,all,,118,0.5384621354179084,0.5380532471894713,0.5083435560954419,519084.0,nan
2004,adm2,district,all,,118,0.5301951197075989,0.517501717691027,0.4922263775864816,539200.0,nan
2005,adm2,district,all,,118,0.5102133498291437,0.4785476152134502,0.44773577441846507,560867.0,nan
2006,adm2,district,all,,118,0.5118956733794326,0.4878088093251556,0.44607283104668427,548093.0,nan
2007,adm2,district,all,,118,0.5173973813936232,0.5084310757667966,0.45303701049382367,518500.0,nan
2008,adm2,district,all,,118,0.547264833809304,0.5728258309896008,0.518630409401479,474944.0,nan
2009,adm2,district,all,,118,0.5315730035492405,0.5347139788114174,0.48829629519561113,522641.0,nan
2010,adm2,district,all,,118,0.3837096559226798,0.26113149637618466,0.2518092336092085,898653.0,nan
2011,adm2,district,all,,118,0.40753884091854675,0.29435369195365846,0.2825317364752995,851134.0,nan
2012,adm2,district,all,,118,0.4321018017641287,0.3339061878634705,0.3178759533010923,806887.0,nan
2013,adm2,district,all,,118,0.428091518460189,0.33052755102632514,0.3090499229140851,801230.0,nan
2014,adm2,district,all,,118,0.4389393146974645,0.34939887439227285,0.3237732226498665,767488.9242451191,nan
2015,adm2,district,all,,118,0.4458943676383518,0.3607613371259207,0.3346555444580856,754914.3356627226,nan
2016,adm2,district,all,,118,0.4491250393560633,0.36503591772228655,0.3389543531559296,757226.920462966,nan
2017,adm2,district,all,,118,0.44586484843147955,0.3587625371698417,0.3330779134095997,769354.6333651543,nan
2018,adm2,district,all,,118,0.44421618189062184,0.3552310174555056,0.32972128327947825,792481.9067194462,nan
2019,adm2,district,all,,118,0.449870759922371,0.3667648188741932,0.3383572370207261,766291.0437829494,nan
2020,adm2,district,all,,118,0.44236698656225193,0.3545665528053034,0.32705182285678436,778575.3289866447,nan
2021,adm2,district,all,,118,0.4180261678376789,0.31308763052396726,0.2964057608282909,847675.8681612015,nan
2022,adm2,district,all,,118,0.41471503604983195,0.3077873908651579,0.2916612310566036,857578.1202054024,nan
1992,pixel,pixel (1 km),all,lit_only,31638,0.39224030958961786,0.26573636630238845,0.29159931134299555,467562.0,0.15279924271694614
1993,pixel,pixel (1 km),all,lit_only,36739,0.3954149517005827,0.27166676397760364,0.28038935533958026,506302.0,0.17743509002395488
1994,pixel,pixel (1 km),all,lit_only,37672,0.41949384547417345,0.3004336216910914,0.31672648689909305,504802.0,0.18194111737887333
1995,pixel,pixel (1 km),all,lit_only,36309,0.38906611256568957,0.26184473442625245,0.2593858789453929,514736.0,0.1753583571594158
1996,pixel,pixel (1 km),all,lit_only,43814,0.4168269656797514,0.30292468361157404,0.3050224668351707,550313.0,0.21160459006259177
1997,pixel,pixel (1 km),all,lit_only,45133,0.42036777220316135,0.3085480131001939,0.3115590034661912,562448.0,0.21797484738428252
1998,pixel,pixel (1 km),all,lit_only,41151,0.4085448574525803,0.289570438701809,0.2910868275459367,551904.0,0.19874333513638823
1999,pixel,pixel (1 km),all,lit_only,44049,0.43404155093939023,0.3262236988458676,0.34768492705032605,557691.0,0.21273954872111892
2000,pixel,pixel (1 km),all,lit_only,54444,0.45750908828707026,0.36554945836340436,0.37289342148305005,600612.0,0.2629433583185225
2001,pixel,pixel (1 km),all,lit_only,45813,0.42541629736278885,0.31464593211377845,0.31172178034428105,571299.0,0.22125898307704195
2002,pixel,pixel (1 km),all,lit_only,36480,0.39977953406242883,0.2736179931507787,0.2704204249068916,523600.0,0.17618422069391856
2003,pixel,pixel (1 km),all,lit_only,36748,0.41426072994168006,0.2932136300173983,0.307626471783417,519084.0,0.1774785565257708
2004,pixel,pixel (1 km),all,lit_only,45405,0.47946656100698726,0.3927412516327189,0.4402891236707366,539200.0,0.2192885016613863
2005,pixel,pixel (1 km),all,lit_only,49785,0.4818130254273636,0.3985569338494384,0.42259099659438304,560867.0,0.24044219921180743
2006,pixel,pixel (1 km),all,lit_only,45462,0.46626315232730287,0.3712300845759625,0.3905802311757532,548093.0,0.21956378950622055
2007,pixel,pixel (1 km),all,lit_only,37592,0.4337333381833226,0.31793085903590357,0.33065879326801206,518500.0,0.18155474847384281
2008,pixel,pixel (1 km),all,lit_only,30302,0.4088496700868358,0.2779958253249734,0.28415444225000985,474944.0,0.1463468820029364
2009,pixel,pixel (1 km),all,lit_only,37396,0.43703374010586593,0.3234075094042672,0.342301377694782,522641.0,0.18060814465651803
2010,pixel,pixel (1 km),all,lit_only,91973,0.3881310777890705,0.3099700681925879,0.26551225586511806,898653.0,0.44419384127965383
2011,pixel,pixel (1 km),all,lit_only,78181,0.37890095222530706,0.28869109789304814,0.2409051683790905,851134.0,0.37758384205239165
2012,pixel,pixel (1 km),all,lit_only,65850,0.37893887019483197,0.2758331102964445,0.23622057422562123,806887.0,0.31802990495324934
2013,pixel,pixel (1 km),all,lit_only,67763,0.40195026147475343,0.30419450613831367,0.27938676854976535,801230.0,0.32726895139479173
2014,pixel,pixel (1 km),all,lit_only,62593,0.41869748251364536,0.3185008211040863,0.3112351892418134,767488.9242451191,0.3022998609071942
2015,pixel,pixel (1 km),all,lit_only,61495,0.4283904802347973,0.3301960194593463,0.3321539941510191,754914.3356627226,0.29699694768565027
2016,pixel,pixel (1 km),all,lit_only,64736,0.45390536052656083,0.36616293195131144,0.38456967911187934,757226.920462966,0.31264971795069935
2017,pixel,pixel (1 km),all,lit_only,68857,0.47229906520082876,0.3940271467838756,0.4213169283581073,769354.6333651543,0.33255254617108415
2018,pixel,pixel (1 km),all,lit_only,72024,0.4803237413024437,0.40495022641652645,0.42766452416561473,792481.9067194462,0.34784792519898
2019,pixel,pixel (1 km),all,lit_only,65550,0.4688989512455253,0.3836381987158459,0.401563302140698,766291.0437829494,0.3165810215593849
2020,pixel,pixel (1 km),all,lit_only,69204,0.4802668234728906,0.40256552137716217,0.4229451347284887,778575.3289866447,0.33422842129665403
2021,pixel,pixel (1 km),all,lit_only,82834,0.48334662523224137,0.4161344231990102,0.40725349301736935,847675.8681612015,0.40005602349122943
2022,pixel,pixel (1 km),all,lit_only,85207,0.48634955366758525,0.42232741614799674,0.4131605582325076,857578.1202054024,0.4115166911366973
1992,pixel,pixel (1 km),all,zeros_included,207056,0.907134779551408,2.144366724605315,nan,467562.0,0.15279924271694614
1993,pixel,pixel (1 km),all,zeros_included,207056,0.8927253975278557,2.0008171909310537,nan,506302.0,0.17743509002395488
1994,pixel,pixel (1 km),all,zeros_included,207056,0.8943820616002582,2.0045057968291524,nan,504802.0,0.18194111737887333
