year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,district,0.29159931134299555,0.04970990315518224,0.24188940818780982,0.17047332151175984,0.8295266784882283,,3.497202527569243e-15,118
1993,all,lit_only,theil_l,district,0.28038935533958026,0.0571144050375066,0.22327495030207042,0.20369676647793994,0.7963032335220486,,3.219646771412954e-15,118
1994,all,lit_only,theil_l,district,0.31672648689909305,0.06672110452641898,0.2500053823726714,0.2106584301794623,0.7893415698205293,,2.6645352591003757e-15,118
1995,all,lit_only,theil_l,district,0.2593858789453929,0.05598776974171869,0.20339810920367166,0.21584740838380603,0.7841525916161842,,2.55351295663786e-15,118
1996,all,lit_only,theil_l,district,0.3050224668351707,0.055451497318936005,0.24957096951623278,0.18179479660723194,0.8182052033927618,,1.942890293094024e-15,118
1997,all,lit_only,theil_l,district,0.3115590034661912,0.05675027039065572,0.25480873307553425,0.1821493513565368,0.8178506486434592,,1.2212453270876722e-15,118
1998,all,lit_only,theil_l,district,0.2910868275459367,0.054804210987931055,0.23628261655800475,0.18827444529169687,0.8117255547083001,,8.881784197001252e-16,118
1999,all,lit_only,theil_l,district,0.34768492705032605,0.06098229945493065,0.2867026275953945,0.17539529243412874,0.8246047075658687,,8.881784197001252e-16,118
2000,all,lit_only,theil_l,district,0.37289342148305005,0.06802397640298609,0.3048694450800624,0.18242203397540532,0.8175779660245905,,1.5543122344752192e-15,118
2001,all,lit_only,theil_l,district,0.31172178034428105,0.054291963532548476,0.25742981681173155,0.17416801441524468,0.825831985584752,,1.0547118733938987e-15,118
2002,all,lit_only,theil_l,district,0.2704204249068916,0.049269995914997096,0.22115042899189327,0.18219776088274856,0.8178022391172468,,1.2212453270876722e-15,118
2003,all,lit_only,theil_l,district,0.307626471783417,0.05514674048325331,0.2524797313001627,0.17926526336809895,0.8207347366318979,,9.992007221626409e-16,118
2004,all,lit_only,theil_l,district,0.4402891236707366,0.07336445872327962,0.3669246649474566,0.16662791511094446,0.8333720848890548,,3.3306690738754696e-16,118
2005,all,lit_only,theil_l,district,0.42259099659438304,0.08399838605467416,0.3385926105397083,0.19876993767403572,0.8012300623259629,,5.551115123125783e-16,118
2006,all,lit_only,theil_l,district,0.3905802311757532,0.07889765272657494,0.3116825784491776,0.20200114196530491,0.7979988580346935,,6.106226635438361e-16,118
2007,all,lit_only,theil_l,district,0.33065879326801206,0.07277323802524925,0.25788555524276224,0.22008559731923916,0.7799144026807591,,5.551115123125783e-16,118
2008,all,lit_only,theil_l,district,0.28415444225000985,0.0593397112656373,0.2248147309843725,0.20882908180414075,0.791170918195859,,5.551115123125783e-17,118
2009,all,lit_only,theil_l,district,0.342301377694782,0.06750294338786596,0.27479843430691614,0.19720324774169018,0.80279675225831,,5.551115123125783e-17,118
2010,all,lit_only,theil_l,district,0.26551225586511806,0.06545600724148112,0.20005624862363353,0.24652725362227043,0.7534727463777167,,3.4416913763379853e-15,118
2011,all,lit_only,theil_l,district,0.2409051683790905,0.06159077036666565,0.1793143980124208,0.2556639642938082,0.7443360357061749,,4.052314039881821e-15,118
2012,all,lit_only,theil_l,district,0.23622057422562123,0.05760098498667477,0.1786195892389437,0.2438440647073289,0.7561559352926593,,2.7755575615628914e-15,118
2013,all,lit_only,theil_l,district,0.27938676854976535,0.06589447797492089,0.21349229057484237,0.2358539680206206,0.7641460319793719,,2.1094237467877974e-15,118
2014,all,lit_only,theil_l,district,0.3112351892418134,0.06840089389170455,0.24283429535010753,0.21977236590223942,0.7802276340977563,,1.3322676295501878e-15,118
2015,all,lit_only,theil_l,district,0.3321539941510191,0.06890129772033426,0.26325269643068366,0.20743781177897622,0.7925621882210203,,1.1657341758564144e-15,118
2016,all,lit_only,theil_l,district,0.38456967911187934,0.07004034482786951,0.31452933428400937,0.18212653943394563,0.8178734605660531,,4.440892098500626e-16,118
2017,all,lit_only,theil_l,district,0.4213169283581073,0.07026147363371597,0.3510554547243916,0.16676631985220336,0.8332336801477973,,2.7755575615628914e-16,118
2018,all,lit_only,theil_l,district,0.42766452416561473,0.06965374495024104,0.358010779215375,0.16287005588349282,0.8371299441165102,,1.3322676295501878e-15,118
2019,all,lit_only,theil_l,district,0.401563302140698,0.07015680177877866,0.3314065003619205,0.1747091962955256,0.8252908037044773,,1.1102230246251565e-15,118
2020,all,lit_only,theil_l,district,0.4229451347284887,0.0771720534183475,0.34577308131014234,0.18246350905038405,0.8175364909496187,,1.1102230246251565e-15,118
2021,all,lit_only,theil_l,district,0.40725349301736935,0.07890699624533803,0.3283464967720349,0.1937540072663604,0.8062459927336485,,3.608224830031759e-15,118
2022,all,lit_only,theil_l,district,0.4131605582325076,0.08009907878768428,0.33306147944482645,0.1938691319673555,0.8061308680326521,,3.164135620181696e-15,118
1992,all,zeros_included,theil_l,district,,,,,,,,0
1993,all,zeros_included,theil_l,district,,,,,,,,0
1994,all,zeros_included,theil_l,district,,,,,,,,0
1995,all,zeros_included,theil_l,district,,,,,,,,0
1996,all,zeros_included,theil_l,district,,,,,,,,0
1997,all,zeros_included,theil_l,district,,,,,,,,0
1998,all,zeros_included,theil_l,district,,,,,,,,0
1999,all,zeros_included,theil_l,district,,,,,,,,0
2000,all,zeros_included,theil_l,district,,,,,,,,0
2001,all,zeros_included,theil_l,district,,,,,,,,0
2002,all,zeros_included,theil_l,district,,,,,,,,0
2003,all,zeros_included,theil_l,district,,,,,,,,0
2004,all,zeros_included,theil_l,district,,,,,,,,0
2005,all,zeros_included,theil_l,district,,,,,,,,0
2006,all,zeros_included,theil_l,district,,,,,,,,0
2007,all,zeros_included,theil_l,district,,,,,,,,0
2008,all,zeros_included,theil_l,district,,,,,,,,0
2009,all,zeros_included,theil_l,district,,,,,,,,0
2010,all,zeros_included,theil_l,district,,,,,,,,0
2011,all,zeros_included,theil_l,district,,,,,,,,0
2012,all,zeros_included,theil_l,district,,,,,,,,0
2013,all,zeros_included,theil_l,district,,,,,,,,0
2014,all,zeros_included,theil_l,district,,,,,,,,0
2015,all,zeros_included,theil_l,district,,,,,,,,0
2016,all,zeros_included,theil_l,district,,,,,,,,0
2017,all,zeros_included,theil_l,district,,,,,,,,0
2018,all,zeros_included,theil_l,district,,,,,,,,0
2019,all,zeros_included,theil_l,district,,,,,,,,0
2020,all,zeros_included,theil_l,district,,,,,,,,0
2021,all,zeros_included,theil_l,district,,,,,,,,0
2022,all,zeros_included,theil_l,district,,,,,,,,0
1992,all,lit_only,theil_l,nested,0.29159931134299555,0.020016225515616964,0.24188940818780982,0.06864291079231237,0.8295266784882283,0.029693677639565277,3.497202527569243e-15,118
1993,all,lit_only,theil_l,nested,0.28038935533958026,0.022650827611669103,0.22327495030207042,0.08078347904554589,0.7963032335220486,0.0344635774258375,3.219646771412954e-15,118
1994,all,lit_only,theil_l,nested,0.31672648689909305,0.02495560929890034,0.2500053823726714,0.07879230292113533,0.7893415698205293,0.04176549522751864,2.6645352591003757e-15,118
1995,all,lit_only,theil_l,nested,0.2593858789453929,0.023060558985972757,0.20339810920367166,0.08890445031060296,0.7841525916161842,0.032927210755745936,2.55351295663786e-15,118
1996,all,lit_only,theil_l,nested,0.3050224668351707,0.022692147295377788,0.24957096951623278,0.07439500286921574,0.8182052033927618,0.03275935002355822,1.942890293094024e-15,118
1997,all,lit_only,theil_l,nested,0.3115590034661912,0.022331063446139422,0.25480873307553425,0.07167523068728353,0.8178506486434592,0.0344192069445163,1.2212453270876722e-15,118
1998,all,lit_only,theil_l,nested,0.2910868275459367,0.022792908710154255,0.23628261655800475,0.07830278306412641,0.8117255547083001,0.0320113022777768,8.881784197001252e-16,118
1999,all,lit_only,theil_l,nested,0.34768492705032605,0.02593228020292178,0.2867026275953945,0.07458557500011549,0.8246047075658687,0.035050019252008874,8.881784197001252e-16,118
2000,all,lit_only,theil_l,nested,0.37289342148305005,0.02559683196584569,0.3048694450800624,0.06864382821247812,0.8175779660245905,0.0424271444371404,1.5543122344752192e-15,118
2001,all,lit_only,theil_l,nested,0.31172178034428105,0.02389729289350545,0.25742981681173155,0.07666224948129095,0.825831985584752,0.030394670639043025,1.0547118733938987e-15,118
2002,all,lit_only,theil_l,nested,0.2704204249068916,0.022055503331679625,0.22115042899189327,0.08156004983452544,0.8178022391172468,0.02721449258331747,1.2212453270876722e-15,118
2003,all,lit_only,theil_l,nested,0.307626471783417,0.02351166901674674,0.2524797313001627,0.07642927762504138,0.8207347366318979,0.03163507146650657,9.992007221626409e-16,118
2004,all,lit_only,theil_l,nested,0.4402891236707366,0.027368672834053406,0.3669246649474566,0.06216068342973797,0.8333720848890548,0.04599578588922622,3.3306690738754696e-16,118
2005,all,lit_only,theil_l,nested,0.42259099659438304,0.029084239802635407,0.3385926105397083,0.06882361440973016,0.8012300623259629,0.054914146252038755,5.551115123125783e-16,118
2006,all,lit_only,theil_l,nested,0.3905802311757532,0.028662210286355475,0.3116825784491776,0.07338366870252085,0.7979988580346935,0.05023544244021946,6.106226635438361e-16,118
2007,all,lit_only,theil_l,nested,0.33065879326801206,0.02438935152718074,0.25788555524276224,0.07375987581074912,0.7799144026807591,0.04838388649806851,5.551115123125783e-16,118
2008,all,lit_only,theil_l,nested,0.28415444225000985,0.020164610277045227,0.2248147309843725,0.07096355811781974,0.791170918195859,0.039175100988592074,5.551115123125783e-17,118
2009,all,lit_only,theil_l,nested,0.342301377694782,0.025476119330668002,0.27479843430691614,0.07442599121930545,0.80279675225831,0.04202682405719796,5.551115123125783e-17,118
2010,all,lit_only,theil_l,nested,0.26551225586511806,0.025485173315439896,0.20005624862363353,0.09598492255056779,0.7534727463777167,0.03997083392604123,3.4416913763379853e-15,118
2011,all,lit_only,theil_l,nested,0.2409051683790905,0.024216647666388508,0.1793143980124208,0.10052357045441622,0.7443360357061749,0.037374122700277145,4.052314039881821e-15,118
2012,all,lit_only,theil_l,nested,0.23622057422562123,0.02289336107677698,0.1786195892389437,0.09691518679872,0.7561559352926593,0.03470762390989779,2.7755575615628914e-15,118
2013,all,lit_only,theil_l,nested,0.27938676854976535,0.02466244852740035,0.21349229057484237,0.08827350219703546,0.7641460319793719,0.04123202944752054,2.1094237467877974e-15,118
2014,all,lit_only,theil_l,nested,0.3112351892418134,0.024235342467811248,0.24283429535010753,0.07786825945629708,0.7802276340977563,0.0441655514238933,1.3322676295501878e-15,118
2015,all,lit_only,theil_l,nested,0.3321539941510191,0.025036038853767907,0.26325269643068366,0.07537479390473587,0.7925621882210203,0.04386525886656636,1.1657341758564144e-15,118
2016,all,lit_only,theil_l,nested,0.38456967911187934,0.027655975615393593,0.31452933428400937,0.07191408246032806,0.8178734605660531,0.04238436921247592,4.440892098500626e-16,118
2017,all,lit_only,theil_l,nested,0.4213169283581073,0.027876387492727864,0.3510554547243916,0.06616488827392603,0.8332336801477973,0.04238508614098811,2.7755575615628914e-16,118
2018,all,lit_only,theil_l,nested,0.42766452416561473,0.02762619468277411,0.358010779215375,0.06459781703117316,0.8371299441165102,0.042027550267466934,1.3322676295501878e-15,118
2019,all,lit_only,theil_l,nested,0.401563302140698,0.028305457907951515,0.3314065003619205,0.07048815904505629,0.8252908037044773,0.041851343870827146,1.1102230246251565e-15,118
2020,all,lit_only,theil_l,nested,0.4229451347284887,0.03141119472198045,0.34577308131014234,0.0742677764626492,0.8175364909496187,0.04576085869636705,1.1102230246251565e-15,118
2021,all,lit_only,theil_l,nested,0.40725349301736935,0.03180327536473419,0.3283464967720349,0.07809208738543044,0.8062459927336485,0.04710372088060384,3.608224830031759e-15,118
2022,all,lit_only,theil_l,nested,0.4131605582325076,0.031735290534685316,0.33306147944482645,0.07681103605447781,0.8061308680326521,0.04836378825299897,3.164135620181696e-15,118
1992,all,zeros_included,theil_l,nested,,,,,,,,0
1993,all,zeros_included,theil_l,nested,,,,,,,,0
1994,all,zeros_included,theil_l,nested,,,,,,,,0
1995,all,zeros_included,theil_l,nested,,,,,,,,0
1996,all,zeros_included,theil_l,nested,,,,,,,,0
1997,all,zeros_included,theil_l,nested,,,,,,,,0
1998,all,zeros_included,theil_l,nested,,,,,,,,0
1999,all,zeros_included,theil_l,nested,,,,,,,,0
2000,all,zeros_included,theil_l,nested,,,,,,,,0
2001,all,zeros_included,theil_l,nested,,,,,,,,0
2002,all,zeros_included,theil_l,nested,,,,,,,,0
2003,all,zeros_included,theil_l,nested,,,,,,,,0
2004,all,zeros_included,theil_l,nested,,,,,,,,0
2005,all,zeros_included,theil_l,nested,,,,,,,,0
