year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
1992,all,zeros_included,district,Belize,3365,0.5191679049034176,0.1525731126728633,0.31920336195870636,3.694449120094487,1.1792805797195447
1992,all,zeros_included,district,Cayo,5286,0.16515323496027243,0.23967354341419178,0.15951032340581034,4.120346182924197,0.6572377521821349
1992,all,zeros_included,district,Corozal,1996,0.7379759519038076,0.09050102017683065,0.2691394116572264,2.7443023125834336,0.7385999098182711
1992,all,zeros_included,district,Orange Walk,4672,0.19777397260273974,0.2118340512355475,0.1688287959071807,4.155762750607607,0.7016124212609957
1992,all,zeros_included,district,Stann Creek,2313,0.08430609597924774,0.10487417819088642,0.035629453681710214,4.528769568267848,0.16135758556773808
1992,all,zeros_included,district,Toledo,4423,0.0590097219082071,0.20054409430968034,0.04768865338936598,4.830936465600846,0.2303808546540875
1992,all,lit_only,district,Belize,151,11.56953642384106,0.2298325722983257,0.31920336195870636,0.5905457148305833,0.18850417756422966
1992,all,lit_only,district,Cayo,112,7.794642857142857,0.1704718417047184,0.15951032340581034,0.26602795905505694,0.042434205783859806
1992,all,lit_only,district,Corozal,206,7.150485436893204,0.3135464231354642,0.2691394116572264,0.4732780245016053,0.12737776906465642
1992,all,lit_only,district,Orange Walk,119,7.764705882352941,0.1811263318112633,0.1688287959071807,0.48554371921107364,0.0819737614746998
1992,all,lit_only,district,Stann Creek,30,6.5,0.045662100456621,0.035629453681710214,0.18366628769856463,0.006543929490447672
1992,all,lit_only,district,Toledo,39,6.6923076923076925,0.0593607305936073,0.04768865338936598,0.09992463386216555,0.004765271229312116
1993,all,zeros_included,district,Belize,3365,0.8172362555720654,0.1525731126728633,0.24507619641743156,3.0020154332949187,0.7357225239783464
1993,all,zeros_included,district,Cayo,5286,0.3564131668558456,0.23967354341419178,0.16789947420016038,3.3216561491146726,0.557704320910083
1993,all,zeros_included,district,Corozal,1996,1.6452905811623246,0.09050102017683065,0.2926655378308528,1.6873390326163702,0.49382598548366086
1993,all,zeros_included,district,Orange Walk,4672,0.5113441780821918,0.2118340512355475,0.21290437572408874,2.8966957753128875,0.6167192057055956
1993,all,zeros_included,district,Stann Creek,2313,0.2083873757025508,0.10487417819088642,0.04295517333570982,3.4103325905464974,0.1464914275593451
1993,all,zeros_included,district,Toledo,4423,0.09767126384806692,0.20054409430968034,0.03849924249175652,4.373646044029785,0.1683820596222143
1993,all,lit_only,district,Belize,275,10.0,0.18068331143232588,0.2450761964174316,0.4976032888826616,0.12195072136416714
1993,all,lit_only,district,Cayo,252,7.476190476190476,0.16557161629434955,0.1678994742001604,0.2782681414618615,0.046721074638102406
1993,all,lit_only,district,Corozal,487,6.743326488706366,0.3199737187910644,0.29266553783085286,0.2767026988275505,0.08098134417161357
1993,all,lit_only,district,Orange Walk,348,6.864942528735632,0.22864651773981604,0.21290437572408877,0.29955573057929885,0.06377672581355895
1993,all,lit_only,district,Stann Creek,96,5.020833333333333,0.06307490144546649,0.04295517333570983,0.22838011978289474,0.009810107631704416
1993,all,lit_only,district,Toledo,64,6.75,0.04204993429697766,0.03849924249175653,0.13795564952112982,0.005311188004021752
1994,all,zeros_included,district,Belize,3365,0.8936106983655275,0.1525731126728633,0.24516918059518955,2.889052897786043,0.708306731646362
1994,all,zeros_included,district,Cayo,5286,0.38611426409383276,0.23967354341419178,0.16640847941296372,3.305767353212625,0.5501077185411306
1994,all,zeros_included,district,Corozal,1996,1.7745490981963927,0.09050102017683065,0.28878923766816145,1.6339236971938087,0.47185957892054387
1994,all,zeros_included,district,Orange Walk,4672,0.5524400684931506,0.2118340512355475,0.21043620057072973,2.804299939322045,0.5901262244916591
1994,all,zeros_included,district,Stann Creek,2313,0.2723735408560311,0.10487417819088642,0.051365674684060336,3.155139836629638,0.16206588643103728
1994,all,zeros_included,district,Toledo,4423,0.10490617228125707,0.20054409430968034,0.03783122706889523,4.269304444763764,0.1615130258761016
1994,all,lit_only,district,Belize,334,9.002994011976048,0.19162363740676994,0.24516918059518955,0.5790106486839148,0.14195556629372458
1994,all,lit_only,district,Cayo,271,7.531365313653136,0.15547905909351692,0.16640847941296372,0.33506907892809146,0.05575833592272602
1994,all,lit_only,district,Corozal,529,6.695652173913044,0.30349971313826735,0.28878923766816145,0.3060116721806987,0.0883728775266233
1994,all,lit_only,district,Orange Walk,400,6.4525,0.22948938611589215,0.21043620057072973,0.34642196192196395,0.0728997214611161
1994,all,lit_only,district,Stann Creek,136,4.632352941176471,0.07802639127940333,0.051365674684060336,0.32149406013425064,0.016513759305713648
1994,all,lit_only,district,Toledo,73,6.3561643835616435,0.04188181296615032,0.03783122706889523,0.16519040804382779,0.006249355836309507
1995,all,zeros_included,district,Belize,3365,1.0032689450222882,0.1525731126728633,0.2278925340893749,2.756257035134905,0.6281304003385607
1995,all,zeros_included,district,Cayo,5286,0.46689368142262583,0.23967354341419178,0.16659916295396246,3.1627505377239298,0.5269115922170013
1995,all,zeros_included,district,Corozal,1996,2.05310621242485,0.09050102017683065,0.2766302146618064,1.5689817276198226,0.43402775211192335
1995,all,zeros_included,district,Orange Walk,4672,0.7337328767123288,0.2118340512355475,0.23140272714999324,2.5736449303529283,0.595548455599422
1995,all,zeros_included,district,Stann Creek,2313,0.3748378728923476,0.10487417819088642,0.0585257189145403,3.0359761382652293,0.17768268609936236
1995,all,zeros_included,district,Toledo,4423,0.13045444268595977,0.20054409430968034,0.03894964223032267,4.178120050671788,0.1627362811690038
