year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,BMU.1_1,Devonshire,4,4.8249,209.0,52.25,43.31695204749237
1992,BMU.2_1,Hamilton,11,10.6194,430.0,39.09090909090909,40.4919743976389
1992,BMU.3_1,Hamilton Municipality,2,1.1229,120.0,60.0,106.86852215970339
1992,BMU.4_1,Paget,7,6.5536,332.0,47.42857142857143,50.65932345670819
1992,BMU.5_1,Pembroke,5,6.7917,285.0,57.0,41.963216593941105
1992,BMU.6_1,Saint George's,11,10.4616,374.0,34.0,35.74977844819798
1992,BMU.7_1,Saint George municipality,3,2.5674,47.0,15.666666666666666,18.306441097093767
1992,BMU.8_1,Sandys,7,8.5121,254.0,36.285714285714285,29.83971068963114
1992,BMU.9_1,Smiths,5,5.1769,198.0,39.6,38.246871262462165
1992,BMU.10_1,Southampton,7,5.9895,230.0,32.857142857142854,38.40024221970059
1992,BMU.11_1,Warwick,6,5.4429,297.0,49.5,54.56614389930975
1993,BMU.1_1,Devonshire,4,4.8249,221.0,55.25,45.804049772707245
1993,BMU.2_1,Hamilton,11,10.6194,445.0,40.45454545454545,41.90448513244026
1993,BMU.3_1,Hamilton Municipality,2,1.1229,121.0,60.5,107.75909317770092
1993,BMU.4_1,Paget,7,6.5536,376.0,53.714285714285715,57.37320969795867
1993,BMU.5_1,Pembroke,5,6.7917,285.0,57.0,41.963216593941105
1993,BMU.6_1,Saint George's,11,10.4616,390.0,35.45454545454545,37.279180734751904
1993,BMU.7_1,Saint George municipality,3,2.5674,63.0,21.0,24.538421045040582
1993,BMU.8_1,Sandys,7,8.5121,254.0,36.285714285714285,29.83971068963114
1993,BMU.9_1,Smiths,5,5.1769,224.0,44.8,43.26918769086628
1993,BMU.10_1,Southampton,7,5.9895,232.0,33.142857142857146,38.73415736943711
1993,BMU.11_1,Warwick,6,5.4429,307.0,51.166666666666664,56.40338780164342
1994,BMU.1_1,Devonshire,4,4.8249,221.0,55.25,45.804049772707245
1994,BMU.2_1,Hamilton,11,10.6194,447.0,40.63636363636363,42.09281989708044
1994,BMU.3_1,Hamilton Municipality,2,1.1229,121.0,60.5,107.75909317770092
1994,BMU.4_1,Paget,7,6.5536,376.0,53.714285714285715,57.37320969795867
1994,BMU.5_1,Pembroke,5,6.7917,285.0,57.0,41.963216593941105
1994,BMU.6_1,Saint George's,11,10.4616,393.0,35.72727272727273,37.56594366348076
1994,BMU.7_1,Saint George municipality,3,2.5674,63.0,21.0,24.538421045040582
