year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,department,all,,9,0.5005869247723349,0.47912878002223447,0.6715657226446374,128906.0,nan
1993,adm1,department,all,,9,0.5183148285140846,0.5147561353605362,0.6622247546018614,191968.0,nan
1994,adm1,department,all,,9,0.5124416787069728,0.5074359399227338,0.6356658384843897,187921.0,nan
1995,adm1,department,all,,9,0.5105334762888143,0.5059664321414306,0.5939280427772867,199005.0,nan
1996,adm1,department,all,,9,0.5132650510157131,0.5116783299674623,0.5867735367136551,211574.0,nan
1997,adm1,department,all,,9,0.5252288971707118,0.5471552252831354,0.610109711481756,217930.0,nan
1998,adm1,department,all,,9,0.5096974483417085,0.5022867908668954,0.577178036486991,221569.0,nan
1999,adm1,department,all,,9,0.5024634678251607,0.48795448079679704,0.5752413405875137,228811.0,nan
2000,adm1,department,all,,9,0.4921772058422189,0.46669203377696833,0.5543664373280642,230474.0,nan
2001,adm1,department,all,,9,0.4955848457499066,0.4635531415362123,0.5515758100466174,226823.0,nan
2002,adm1,department,all,,9,0.49575546073810717,0.4573961378484013,0.5371252859890709,221863.0,nan
2003,adm1,department,all,,9,0.49746872949092524,0.4550941661067194,0.5225969495938563,217307.0,nan
2004,adm1,department,all,,9,0.5026646893214104,0.46059401916695647,0.5262831292776227,218217.0,nan
2005,adm1,department,all,,9,0.4928350604073162,0.4377413851903428,0.5015160806216741,218064.0,nan
2006,adm1,department,all,,9,0.4900923109230988,0.4312934503097096,0.495840297483837,219837.0,nan
2007,adm1,department,all,,9,0.48765629349344075,0.42529342672984427,0.4899352241638751,220902.0,nan
2008,adm1,department,all,,9,0.4845978015921717,0.419294564833141,0.48601135805071777,220050.0,nan
2009,adm1,department,all,,9,0.4794272216376312,0.4069844190291794,0.4784190320218938,237108.0,nan
2010,adm1,department,all,,9,0.4798857828598715,0.39879050738351085,0.4785080620225268,268550.0,nan
2011,adm1,department,all,,9,0.47570734960874805,0.3890669477098433,0.4700637745380847,272299.0,nan
2012,adm1,department,all,,9,0.47606666990467694,0.3882109575202493,0.46823024974039756,286399.0,nan
2013,adm1,department,all,,9,0.48032211751274767,0.3930764112071935,0.48844257827552284,300240.0,nan
2014,adm1,department,all,,9,0.47421749020132187,0.384059150626527,0.48678427361329446,327833.9692790508,nan
2015,adm1,department,all,,9,0.47468749180505965,0.3847133720198375,0.4816897866308419,346419.2915034294,nan
2016,adm1,department,all,,9,0.4711729391650161,0.3774597859574844,0.4746459929664637,364768.0622521639,nan
2017,adm1,department,all,,9,0.46049816180049885,0.36266881335545764,0.46553880871452835,414053.07204163074,nan
2018,adm1,department,all,,9,0.4589684116132511,0.36009525082159,0.45753898421578504,426606.11834073067,nan
2019,adm1,department,all,,9,0.4589552161827404,0.3605318996535417,0.45619477500629363,432037.48981308937,nan
2020,adm1,department,all,,9,0.4588081822252448,0.36757061174176847,0.46646027716257293,481567.47734081745,nan
2021,adm1,department,all,,9,0.4584563821942753,0.36491260159353084,0.4586130256712869,500274.95034861565,nan
2022,adm1,department,all,,9,0.4527516721651814,0.3540554301759185,0.4439638440657507,528235.8372654915,nan
1992,adm2,province,all,,112,0.9193218292576752,2.450329647938212,nan,128906.0,nan
1993,adm2,province,all,,112,0.9020971343035362,2.2457848661788273,nan,191968.0,nan
1994,adm2,province,all,,112,0.9010240905544928,2.239445238233591,nan,187921.0,nan
1995,adm2,province,all,,112,0.8949758012203688,2.186599635172531,nan,199005.0,nan
1996,adm2,province,all,,112,0.8939553223075805,2.1781786119789404,nan,211574.0,nan
1997,adm2,province,all,,112,0.8938510734067244,2.171983614765754,nan,217930.0,nan
1998,adm2,province,all,,112,0.890371467870622,2.137332026040453,nan,221569.0,nan
1999,adm2,province,all,,112,0.8879492372861164,2.111919194741387,nan,228811.0,nan
