year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,BRN.1.1_1,Bukit Sawat,307,306.6667,3.0,0.009771986970684038,0.009782606470479212
1992,BRN.1.2_1,Kuala Balai,351,351.231,4.0,0.011396011396011397,0.011388515631366997
1992,BRN.1.3_1,Kuala Belait,67,66.8481,1173.0,17.507462686567163,17.547256897033982
1992,BRN.1.4_1,Labi,428,431.7785,0.0,0.0,0.0
1992,BRN.1.5_1,Liang,120,119.4183,879.0,7.325,7.360680122826397
1992,BRN.1.6_1,Melilas,625,625.5563,0.0,0.0,0.0
1992,BRN.1.7_1,Seria,132,127.3211,1642.0,12.43939393939394,12.896528786984444
1992,BRN.1.8_1,Sukang,818,814.4661,0.0,0.0,0.0
1992,BRN.2.1_1,Berakas A,54,50.978,2858.0,52.925925925925924,56.06340137205302
1992,BRN.2.2_1,Berakas B,30,32.0376,1079.0,35.96666666666667,33.679226156304736
1992,BRN.2.12_1,Burong Pingai Ayer,0,0.5162,0.0,,0.0
1992,BRN.2.13_1,Gadong 'A',49,51.4902,2118.0,43.224489795918366,41.13403512452555
1992,BRN.2.14_1,Gadong 'B',24,23.6396,1411.0,58.791666666666664,59.68804559968731
1992,BRN.2.4_1,Kianggeh,16,16.7492,816.0,51.0,48.71882406518681
1992,BRN.2.5_1,Kilanas,37,35.7318,1211.0,32.729729729729726,33.8914152851792
1992,BRN.2.6_1,Kota Batu,49,48.1327,822.0,16.775510204081634,17.077801695806997
1992,BRN.2.7_1,Lumapas,34,37.3166,541.0,15.911764705882353,14.497574670694219
1992,BRN.2.8_1,Mentiri,45,42.9662,739.0,16.42222222222222,17.199578928718935
1992,BRN.2.9_1,Pengkalan Batu,75,77.7305,484.0,6.453333333333333,6.226639830215536
1992,BRN.2.15_1,Peramu,0,0.1868,0.0,,0.0
1992,BRN.2.16_1,Saba,0,0.1079,0.0,,0.0
1992,BRN.2.10_1,Sengkurong,75,73.7728,2470.0,32.93333333333333,33.481164743103776
1992,BRN.2.11_1,Serasa,38,36.5704,538.0,14.157894736842104,14.711358979952992
1992,BRN.2.17_1,Sungai Kebun,1,0.628,37.0,37.0,58.91672559198368
1992,BRN.2.18_1,Sungai Kedayan,0,0.8352,0.0,,0.0
1992,BRN.2.19_1,Tamoi,2,0.881,102.0,51.0,115.78238282066371
1992,BRN.3.1_1,Amo,518,515.6055,0.0,0.0,0.0
1992,BRN.3.2_1,Bangar,111,108.5622,187.0,1.6846846846846846,1.7225145870073229
1992,BRN.3.3_1,Batu Apoi,205,208.7578,3.0,0.014634146341463415,0.014370722331357201
1992,BRN.3.4_1,Bukok,127,127.0258,0.0,0.0,0.0
1992,BRN.3.5_1,Labu,317,315.6715,0.0,0.0,0.0
1992,BRN.4.1_1,Keriam,98,98.385,789.0,8.051020408163266,8.019518451662485
1992,BRN.4.2_1,Kiudang,76,75.0936,58.0,0.7631578947368421,0.772369911908212
1992,BRN.4.3_1,Lamunin,129,129.6065,196.0,1.5193798449612403,1.5122693441571542
1992,BRN.4.4_1,Pekan Tutong,70,66.4617,690.0,9.857142857142858,10.381925584753306
1992,BRN.4.5_1,Rambai,483,479.6041,0.0,0.0,0.0
1992,BRN.4.6_1,Tanjong Maya,75,77.9438,116.0,1.5466666666666666,1.4882521971122056
1992,BRN.4.7_1,Telisai,62,64.3408,147.0,2.370967741935484,2.2847094882969685
1992,BRN.4.8_1,Ukong,136,136.8733,10.0,0.07352941176470588,0.07306029243099008
1993,BRN.1.1_1,Bukit Sawat,307,306.6667,10.0,0.03257328990228013,0.03260868823493071
1993,BRN.1.2_1,Kuala Balai,351,351.231,115.0,0.32763532763532766,0.3274198244018012
1993,BRN.1.3_1,Kuala Belait,67,66.8481,2157.0,32.19402985074627,32.267206416796505
1993,BRN.1.4_1,Labi,428,431.7785,138.0,0.32242990654205606,0.3196083151873592
1993,BRN.1.5_1,Liang,120,119.4183,1492.0,12.433333333333334,12.493896181179732
1993,BRN.1.6_1,Melilas,625,625.5563,0.0,0.0,0.0
1993,BRN.1.7_1,Seria,132,127.3211,2748.0,20.818181818181817,21.583228444965442
1993,BRN.1.8_1,Sukang,818,814.4661,0.0,0.0,0.0
1993,BRN.2.1_1,Berakas A,54,50.978,3005.0,55.648148148148145,58.94699829356869
1993,BRN.2.2_1,Berakas B,30,32.0376,1527.0,50.9,47.662815885706515
1993,BRN.2.12_1,Burong Pingai Ayer,0,0.5162,0.0,,0.0
1993,BRN.2.13_1,Gadong 'A',49,51.4902,2246.0,45.83673469387755,43.619944707122
1993,BRN.2.14_1,Gadong 'B',24,23.6396,1438.0,59.916666666666664,60.83019813773944
1993,BRN.2.4_1,Kianggeh,16,16.7492,965.0,60.3125,57.61478581238391
1993,BRN.2.5_1,Kilanas,37,35.7318,1626.0,43.945945945945944,45.505731836252174
1993,BRN.2.6_1,Kota Batu,49,48.1327,1429.0,29.163265306122447,29.68878178018029
1993,BRN.2.7_1,Lumapas,34,37.3166,866.0,25.470588235294116,23.20683856713714
1993,BRN.2.8_1,Mentiri,45,42.9662,1207.0,26.822222222222223,28.09186977938262
1993,BRN.2.9_1,Pengkalan Batu,75,77.7305,951.0,12.68,12.234575368873914
1993,BRN.2.15_1,Peramu,0,0.1868,0.0,,0.0
1993,BRN.2.16_1,Saba,0,0.1079,0.0,,0.0
1993,BRN.2.10_1,Sengkurong,75,73.7728,3128.0,41.70666666666666,42.400438589647216
