year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,region,all,,16,0.6660767933832079,0.8860713766376014,0.9801095184110971,237704.0,
1993,adm1,region,all,,16,0.6093447079667882,0.688344094931399,0.7928532422252955,369868.0,
1994,adm1,region,all,,16,0.6011840221338385,0.6670251503902531,0.7611482003744947,384943.0,
1995,adm1,region,all,,16,0.586560287620975,0.631452639385208,0.71381213026609,416697.0,
1996,adm1,region,all,,16,0.5793537959834221,0.6116280642816757,0.6904909606181167,450149.0,
1997,adm1,region,all,,16,0.5925393720508161,0.6409439980479836,0.7250158169856922,484997.0,
1998,adm1,region,all,,16,0.5941043281280585,0.6429024996513657,0.7305060470445754,526804.0,
1999,adm1,region,all,,16,0.5899875087645181,0.6341380916076997,0.7174270272104748,545823.0,
2000,adm1,region,all,,16,0.5853950705914863,0.6217386457748106,0.7040350019631472,569432.0,
2001,adm1,region,all,,16,0.5825726807967426,0.6143908624345681,0.6988704764448141,580913.0,
2002,adm1,region,all,,16,0.5805539002222042,0.6071401525553322,0.6977360957614812,596830.0,
2003,adm1,region,all,,16,0.5806801657450256,0.6060399103485425,0.7015770230102343,604695.0,
2004,adm1,region,all,,16,0.5793810955504588,0.6034305399134766,0.6988057233386635,616463.0,
2005,adm1,region,all,,16,0.579838711937082,0.6047994591084201,0.7049928742777491,620439.0,
2006,adm1,region,all,,16,0.5796889233783977,0.6034194693393888,0.707758314888656,628361.0,
2007,adm1,region,all,,16,0.5810445581713386,0.605928991361196,0.7173388752846037,626704.0,
2008,adm1,region,all,,16,0.5848491008739016,0.6142392639156723,0.7279034370165076,623979.0,
2009,adm1,region,all,,16,0.5831214701714085,0.6089358672281068,0.7298135097456758,666900.0,
2010,adm1,region,all,,16,0.5724835019064329,0.5844319345629128,0.7089996100888848,712224.0,
2011,adm1,region,all,,16,0.5707116050984622,0.5804171464817124,0.7083265874197129,723831.0,
2012,adm1,region,all,,16,0.5683044441288467,0.5742316502880707,0.7027071492562923,751115.0,
2013,adm1,region,all,,16,0.5662104233656133,0.5698642043587573,0.6960496143077475,773270.0,
2014,adm1,region,all,,16,0.564362988150164,0.5658008214302034,0.6839501414531244,794170.4818761349,
2015,adm1,region,all,,16,0.5629457287097215,0.562715808021502,0.6808821628220214,809747.5643544197,
2016,adm1,region,all,,16,0.5602532099105662,0.5561894624434638,0.6725050123466397,825786.3005543947,
2017,adm1,region,all,,16,0.546611402622504,0.5217577437081855,0.6556016710352705,938529.4067312479,
2018,adm1,region,all,,16,0.547357024572525,0.5227662911281303,0.6555904595398647,965667.8695180416,
2019,adm1,region,all,,16,0.546799489450837,0.5207403913527147,0.6626293288331505,986428.2316907644,
2020,adm1,region,all,,16,0.548340408121174,0.5194411990093485,0.684304852044989,1145366.492522955,
2021,adm1,region,all,,16,0.5410279835033263,0.5046205237894046,0.6690949954229771,1195515.0149812698,
2022,adm1,region,all,,16,0.5446043395534423,0.5115340361688316,0.6767308997919964,1273564.3959742785,
1992,adm2,province,all,,55,0.7999025962270079,1.4285534936217728,,237704.0,
1993,adm2,province,all,,55,0.7492297875292415,1.1667164789641165,,369868.0,
1994,adm2,province,all,,55,0.7446727083821183,1.1484940125376313,1.5493930902279258,384943.0,
1995,adm2,province,all,,55,0.7344691024327799,1.106427698450259,1.4296633525291114,416697.0,
1996,adm2,province,all,,55,0.7285043055119793,1.078773839865573,1.3853456650219018,450149.0,
1997,adm2,province,all,,55,0.7292479179860709,1.070487223155793,1.406983086207728,484997.0,
1998,adm2,province,all,,55,0.7240373249680017,1.0433739478418262,1.3958812520470574,526804.0,
1999,adm2,province,all,,55,0.7200218370729976,1.0306880499983395,1.3810122225080597,545823.0,
2000,adm2,province,all,,55,0.7143067294864582,1.0119559209744082,1.346203151885449,569432.0,
2001,adm2,province,all,,55,0.7127946997211865,1.0057654888949197,1.348996332069865,580913.0,
2002,adm2,province,all,,55,0.7093018811924328,0.9925514905056129,1.334337420016384,596830.0,
2003,adm2,province,all,,55,0.7083783761447404,0.9878352674746362,1.328780395164167,604695.0,
2004,adm2,province,all,,55,0.7072322744063246,0.9827245283779328,1.315224041363682,616463.0,
2005,adm2,province,all,,55,0.7075134431192427,0.9833903501228561,1.3168960664295821,620439.0,
2006,adm2,province,all,,55,0.706587177349403,0.980107821504981,1.3190205048361676,628361.0,
2007,adm2,province,all,,55,0.7077327072131938,0.982689088622781,1.3350225490291572,626704.0,
2008,adm2,province,all,,55,0.709440465834738,0.9881561092527551,1.377345175669354,623979.0,
2009,adm2,province,all,,55,0.7051887219638724,0.9700475327163577,1.3628001163096803,666900.0,
2010,adm2,province,all,,55,0.6958385768020505,0.9371186641877802,1.2821137021597138,712224.0,
2011,adm2,province,all,,55,0.6959164452643132,0.9377433778065785,1.2734776868274256,723831.0,
2012,adm2,province,all,,55,0.6927608293684473,0.9254183375516979,1.257976179198544,751115.0,
2013,adm2,province,all,,55,0.6902164839030751,0.9158127084357275,1.2400661565372548,773270.0,
2014,adm2,province,all,,55,0.68821054962987,0.90911454007069,1.2054918992151715,794170.4818761349,
2015,adm2,province,all,,55,0.6870772068426059,0.9045106824257884,1.203771303567866,809747.5643544197,
2016,adm2,province,all,,55,0.6841599644561362,0.8949373685997616,1.1894478880214538,825786.3005543947,
2017,adm2,province,all,,55,0.6668453097629936,0.8371802422072954,1.1371544889600214,938529.4067312479,
2018,adm2,province,all,,55,0.665437782816777,0.8312212143698945,1.129159203175099,965667.8695180416,
2019,adm2,province,all,,55,0.6642542459249801,0.8263222979614715,1.1310561020908372,986428.2316907644,
2020,adm2,province,all,,55,0.6531869374267913,0.7856178478367418,1.111821595569415,1145366.492522955,
2021,adm2,province,all,,55,0.6466606348609494,0.7676642830842144,1.0836172645440352,1195515.0149812698,
2022,adm2,province,all,,55,0.6470530500577902,0.7670260694372627,1.0822019710804487,1273564.3959742785,
1992,pixel,pixel (1 km),all,lit_only,12176,0.48680097071776407,0.38848740768355206,0.4885524975407637,237704.0,0.01618195663990495
