year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,CMR.1_1,Adamaoua,64048,63981.3328,244.0,0.003809642767924057,0.0038136123334839337
1992,CMR.2_1,Centre,68771,68798.1389,9910.0,0.14410143810617848,0.14404459423656094
1992,CMR.3_1,Est,108921,108939.7341,463.0,0.0042507872678363215,0.004250056271917445
1992,CMR.4_1,Extrême-Nord,34300,34294.184,2037.0,0.059387755102040814,0.05939782682085533
1992,CMR.5_1,Littoral,20140,20126.7097,11300.0,0.5610724925521351,0.5614429868410514
1992,CMR.7_1,Nord,66357,66355.0742,2527.0,0.038081890380818904,0.03808299561210269
1992,CMR.6_1,Nord-Ouest,17451,17455.243,158.0,0.009053922411323133,0.009051721606276205
1992,CMR.8_1,Ouest,13894,13892.35,316.0,0.022743630344033396,0.02274633165406204
1992,CMR.10_1,Sud,47303,47275.2955,725.0,0.0153267234636281,0.015335705294503512
1992,CMR.9_1,Sud-Ouest,24924,24921.9722,2720.0,0.10913176055207832,0.10914063995326746
1993,CMR.1_1,Adamaoua,64048,63981.3328,827.0,0.012912190856857356,0.012925645081111528
1993,CMR.2_1,Centre,68771,68798.1389,11792.0,0.17146762443471814,0.1713999853922832
1993,CMR.3_1,Est,108921,108939.7341,1139.0,0.010457120298197776,0.01045532201666084
1993,CMR.4_1,Extrême-Nord,34300,34294.184,2729.0,0.07956268221574345,0.07957617545120972
1993,CMR.5_1,Littoral,20140,20126.7097,13161.0,0.653475670307845,0.6539071813995645
1993,CMR.7_1,Nord,66357,66355.0742,3269.0,0.04926383049263831,0.04926526025166747
1993,CMR.6_1,Nord-Ouest,17451,17455.243,209.0,0.011976391037762879,0.011973479846276752
1993,CMR.8_1,Ouest,13894,13892.35,427.0,0.03073269036994386,0.030736340557862313
1993,CMR.10_1,Sud,47303,47275.2955,1364.0,0.028835380419846523,0.02885227865062454
1993,CMR.9_1,Sud-Ouest,24924,24921.9722,3192.0,0.1280693307655272,0.12807975100398153
1994,CMR.1_1,Adamaoua,64048,63981.3328,858.0,0.013396202847864101,0.013410161402168915
1994,CMR.2_1,Centre,68771,68798.1389,11783.0,0.17133675531837547,0.17126916790004013
1994,CMR.3_1,Est,108921,108939.7341,1298.0,0.011916893895575693,0.011914844580883032
1994,CMR.4_1,Extrême-Nord,34300,34294.184,2771.0,0.0807871720116618,0.08080087291143354
