year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,COD.1.1_1,Aketi,27205,27199.1316,0.0,0.0,0.0
1992,COD.1.2_1,Aketi (ville),104,106.4895,0.0,0.0,0.0
1992,COD.1.3_1,Ango,34361,34353.8042,0.0,0.0,0.0
1992,COD.1.4_1,Bambesa,9886,9871.1659,0.0,0.0,0.0
1992,COD.1.5_1,Bondo,37568,37561.9882,0.0,0.0,0.0
1992,COD.1.6_1,Bondo (ville),31,31.863,0.0,0.0,0.0
1992,COD.1.7_1,Buta,17489,17505.3902,0.0,0.0,0.0
1992,COD.1.8_1,Buta (ville),37,36.1387,0.0,0.0,0.0
1992,COD.1.9_1,Dingila,14,15.5838,0.0,0.0,0.0
1992,COD.1.10_1,Poko,21921,21921.8804,0.0,0.0,0.0
1992,COD.2.1_1,Basankusu,16520,16523.1304,0.0,0.0,0.0
1992,COD.2.2_1,Basankusu (ville),137,138.0336,0.0,0.0,0.0
1992,COD.2.3_1,Bikoro,11895,11880.1677,0.0,0.0,0.0
1992,COD.2.4_1,Bolomba,23649,23645.2171,0.0,0.0,0.0
1992,COD.2.5_1,Bomongo,16612,16612.9836,3.0,0.0001805923428846617,0.00018058165095432178
1992,COD.2.6_1,Ingende,16955,16951.7196,0.0,0.0,0.0
1992,COD.2.7_1,Lukolela,8530,8519.8008,0.0,0.0,0.0
1992,COD.2.8_1,Makanza,7028,7038.0703,0.0,0.0,0.0
1992,COD.2.9_1,Mbandaka,698,697.7416,0.0,0.0,0.0
1992,COD.3.1_1,Kambove,21286,21282.2981,304.0,0.014281687494127596,0.014284171718231453
1992,COD.3.2_1,Kasenga,23432,23427.0903,0.0,0.0,0.0
1992,COD.3.3_1,Kipushi,8640,8642.0528,41.0,0.00474537037037037,0.00474424318106606
1992,COD.3.4_1,Kipushi (ville),26,28.4598,259.0,9.961538461538462,9.100566464314127
1992,COD.3.5_1,Likasi,272,269.5697,2180.0,8.014705882352942,8.086963296748461
1992,COD.3.6_1,Lubumbashi,817,821.9967,6727.0,8.233782129742963,8.18373087579334
1992,COD.3.7_1,Mitwaba,24284,24297.5422,0.0,0.0,0.0
1992,COD.3.8_1,Pweto,23881,23877.908,0.0,0.0,0.0
1992,COD.3.9_1,Sakania,21609,21607.4493,583.0,0.02697949928270628,0.026981435523347166
1992,COD.4.1_1,Bukama,18942,18941.2784,0.0,0.0,0.0
1992,COD.4.2_1,Kabongo,20580,20581.3413,0.0,0.0,0.0
1992,COD.4.3_1,Kamina,40851,40849.8277,0.0,0.0,0.0
1992,COD.4.4_1,Kamina (ville),64,63.321,0.0,0.0,0.0
1992,COD.4.5_1,Kaniama,13642,13634.1252,0.0,0.0,0.0
1992,COD.4.6_1,Malemba-Nkulu,15011,15008.7521,0.0,0.0,0.0
1992,COD.5.1_1,Aba,76,75.1069,0.0,0.0,0.0
1992,COD.5.2_1,Dungu,33534,33517.316,0.0,0.0,0.0
1992,COD.5.3_1,Dungu (ville),109,105.7442,0.0,0.0,0.0
1992,COD.5.4_1,Faradje,12526,12523.2799,0.0,0.0,0.0
1992,COD.5.5_1,Isiro,60,59.263,0.0,0.0,0.0
1992,COD.5.6_1,Niangara,9323,9333.5688,0.0,0.0,0.0
1992,COD.5.7_1,Rungu,9303,9325.8626,0.0,0.0,0.0
1992,COD.5.8_1,Wamba,9711,9700.316,0.0,0.0,0.0
1992,COD.5.9_1,Wamba (ville),123,124.6504,0.0,0.0,0.0
1992,COD.5.10_1,Watsa,16311,16316.2418,0.0,0.0,0.0
1992,COD.5.11_1,Watsa (ville),108,108.5431,0.0,0.0,0.0
1992,COD.6.1_1,Ariwara,6,5.6436,0.0,0.0,0.0
1992,COD.6.2_1,Aru,6860,6860.1759,0.0,0.0,0.0
1992,COD.6.3_1,Aru (ville),90,94.5244,0.0,0.0,0.0
1992,COD.6.4_1,Bunia,74,77.2487,161.0,2.175675675675676,2.084177205396863
1992,COD.6.5_1,Djugu,9208,9206.1124,0.0,0.0,0.0
1992,COD.6.6_1,Ingbokolo,19,20.2157,0.0,0.0,0.0
1992,COD.6.7_1,Irumu,7881,7881.9547,48.0,0.006090597639893415,0.006089859891136478
1992,COD.6.8_1,Mahagi,5039,5048.1505,0.0,0.0,0.0
1992,COD.6.9_1,Mahagi (ville),159,159.964,0.0,0.0,0.0
1992,COD.6.10_1,Mambasa,35582,35578.5566,0.0,0.0,0.0
1992,COD.6.11_1,Mongwalu,10,8.8293,0.0,0.0,0.0
1992,COD.9.1_1,Dekese,25641,25648.5434,0.0,0.0,0.0
1992,COD.9.2_1,Ilebo,15891,15900.0846,7.0,0.00044050091246617583,0.00044024923101664855
1992,COD.9.3_1,Ilebo (ville),197,199.0202,29.0,0.14720812182741116,0.14571387798362267
1992,COD.9.4_1,Kamonia,26942,26919.7676,0.0,0.0,0.0
1992,COD.9.5_1,Luebo,8142,8149.2902,0.0,0.0,0.0
1992,COD.9.6_1,Luebo (ville),19,17.7586,0.0,0.0,0.0
1992,COD.9.7_1,Mweka,19682,19664.6,0.0,0.0,0.0
1992,COD.9.8_1,Tshikapa,81,84.1953,0.0,0.0,0.0
1992,COD.7.1_1,Demba,9411,9409.0121,0.0,0.0,0.0
1992,COD.7.2_1,Dibaya,7062,7063.8427,0.0,0.0,0.0
1992,COD.7.3_1,Dimbelenge,11674,11675.8865,0.0,0.0,0.0
1992,COD.7.4_1,Kananga,756,755.9192,53.0,0.0701058201058201,0.07011331681885138
1992,COD.7.5_1,Kazumba,12301,12304.9277,0.0,0.0,0.0
1992,COD.7.6_1,Luiza,15833,15838.2846,0.0,0.0,0.0
1992,COD.7.7_1,Tshimbulu,26,27.9431,0.0,0.0,0.0
1992,COD.8.1_1,Kabeya-Kamwanga,2247,2255.2026,0.0,0.0,0.0
1992,COD.8.2_1,Katanda,2160,2163.207,0.0,0.0,0.0
1992,COD.8.3_1,Lukalaba,10,10.0954,0.0,0.0,0.0
1992,COD.8.4_1,Lupatapata,2102,2100.186,0.0,0.0,0.0
