year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
1992,all,zeros_included,state,Baden-Württemberg,36085,15.652514895385895,0.1008318593467515,0.13212304577210277,0.40527914479327753,0.05354671499800087
1992,all,zeros_included,state,Bayern,70534,9.154847307681402,0.1970922645743043,0.15104882803636618,0.6558962608282983,0.09907236151154922
1992,all,zeros_included,state,Berlin,893,56.8421052631579,0.0024952986115186113,0.011873789755324141,0.017878538342339212,0.00021228600540943717
1992,all,zeros_included,state,Brandenburg,29654,6.308659877250961,0.08286179734151501,0.04376109074185923,0.9895947916688608,0.043305747475892296
1992,all,zeros_included,state,Bremen,401,50.46384039900249,0.0011205092309282902,0.004733609327989348,0.03373401858203273,0.00015968366503047615
1992,all,zeros_included,state,Hamburg,730,50.9027397260274,0.0020398297720140945,0.008692241007054565,0.04376345338474419,0.00038040248412119437
1992,all,zeros_included,state,Hessen,21115,14.300734075301918,0.05900137758366795,0.070634545991286,0.5096030288241642,0.035995578576779076
1992,all,zeros_included,state,Mecklenburg-Vorpommern,23404,3.4969663305417877,0.06539750134824365,0.019144731578900585,1.4997533426715601,0.02871237518000593
1992,all,zeros_included,state,Niedersachsen,47670,11.05494021397105,0.1332036783998793,0.12327337646510074,0.5031221283417833,0.06202156353499938
1992,all,zeros_included,state,Nordrhein-Westfalen,34127,23.70926246080816,0.09536064469797945,0.189270922174279,0.24694743735133828,0.04673996919606278
1992,all,zeros_included,state,Rheinland-Pfalz,19873,13.730287324510643,0.05553087268388507,0.06382793578048179,0.281359061383605,0.017958568101249375
1992,all,zeros_included,state,Saarland,2566,22.669524551831646,0.007170141362997488,0.013607138496201838,0.18148157461146974,0.002469444920247056
1992,all,zeros_included,state,Sachsen,18432,14.7470703125,0.05150430459967642,0.06358372308338647,0.29116443181285545,0.018513318604120164
1992,all,zeros_included,state,Sachsen-Anhalt,20570,7.087408847836655,0.057478490973054686,0.03410275927598889,0.847186215278267,0.02889138756157084
1992,all,zeros_included,state,Schleswig-Holstein,15634,11.220161187156197,0.0436858885694087,0.04103334719700433,0.5194024959875319,0.021312822952847043
1992,all,zeros_included,state,Thüringen,16185,7.736113685511276,0.04522554090417551,0.02928891531667416,0.5808425347304182,0.01701224781204159
1992,all,zeros_included,district,Alb-Donau-Kreis,1367,11.275786393562546,0.003819790819648311,0.003605646085275144,0.26148795197641794,0.0009428330103903862
1992,all,zeros_included,district,Baden-Baden,136,23.095588235294116,0.0003800230808135847,0.000734743373157469,0.2834664871628023,0.00020827512295509574
1992,all,zeros_included,district,Biberach,1411,8.430191353649894,0.003942739463440942,0.002782480873514197,0.4967437600616127,0.0013821800114089627
1992,all,zeros_included,district,Böblingen,620,30.35322580645161,0.0017324581625325186,0.00440214439333028,0.10036629109418804,0.0004418269056196347
1992,all,zeros_included,district,Bodensee,281,10.583629893238435,0.0007851947478574802,0.0006956786984305358,0.6241666579103238,0.0004342194481787915
1992,all,zeros_included,district,Bodenseekreis,659,14.641881638846737,0.0018414353695305318,0.002257096086468137,0.2625794427935806,0.0005926670327163748
1992,all,zeros_included,district,Breisgau-Hochschwarzwald,1378,11.193759071117562,0.0038505279805964685,0.0036082192075625468,0.4722742698202218,0.0017040690916029012
1992,all,zeros_included,district,Calw,801,14.837702871410736,0.002238224174497657,0.00278014167143474,0.168262006993964,0.000467792217363163
1992,all,zeros_included,district,Emmendingen,682,12.120234604105573,0.0019057039787857704,0.0019335844388792228,0.418522344050714,0.0008092482917797169
1992,all,zeros_included,district,Enzkreis,576,21.973958333333332,0.0016095095187398881,0.002960728071968827,0.06006104021688907,0.00017782440780179216
1992,all,zeros_included,district,Esslingen,644,35.97360248447205,0.0017995210591466805,0.005419229457478219,0.10053383057391985,0.0005448158961193108
1992,all,zeros_included,district,Freiburg im Breisgau,152,32.57236842105263,0.0004247316785563594,0.0011581389495392005,0.18329453507992444,0.00021228054031373982
1992,all,zeros_included,district,Freudenstadt,869,10.599539700805524,0.0024282357149044494,0.002154639035387917,0.3043447921885867,0.0006557531694665524
1992,all,zeros_included,district,Göppingen,639,24.58528951486698,0.0017855496223520635,0.0036748864668270736,0.1875339805800822,0.0006891660873039553
1992,all,zeros_included,district,Heidelberg,113,43.2212389380531,0.0003157544715583461,0.0011424662956068382,0.04853718095884174,5.545209332924669e-05
1992,all,zeros_included,district,Heidenheim,635,14.258267716535434,0.0017743724729163699,0.0021179135627404405,0.32337854358735507,0.0006848878033629101
1992,all,zeros_included,district,Heilbronn,1102,17.26950998185118,0.0030793046695336054,0.00445173547741477,0.13300996675299803,0.0005921251878440804
1992,all,zeros_included,district,Heilbronn (Stadtkreis),105,38.31428571428572,0.0002934001726869588,0.0009410609965655835,0.08195724899829449,7.712677041810868e-05
1992,all,zeros_included,district,Hohenlohekreis,778,7.9987146529562985,0.0021739555652424184,0.0014556854540461411,0.4729672174183355,0.0006884914986365496
1992,all,zeros_included,district,Karlsruhe,1081,25.433857539315447,0.0030206246349962136,0.0064314021972592976,0.09886464893376301,0.0006358383203838725
1992,all,zeros_included,district,Karlsruhe (Stadtkreis),175,48.48,0.000489000287811598,0.001984579044211387,0.029970664529834323,5.9479152766998715e-05
1992,all,zeros_included,district,Konstanz,863,15.334878331402086,0.0024114699907509087,0.0030957000319535005,0.30054257322815303,0.0009303896535457805
1992,all,zeros_included,district,Lörrach,807,14.475836431226766,0.0022549898986511975,0.0027326558692217615,0.6226108814346372,0.0017013812793936955
1992,all,zeros_included,district,Ludwigsburg,682,33.651026392961874,0.0019057039787857704,0.005368468772354,0.11379722512823642,0.0006109168494814752
1992,all,zeros_included,district,Main-Tauber-Kreis,1315,5.60532319391635,0.0036744878769842935,0.001724225852767814,0.789111223971328,0.0013606059730806167
1992,all,zeros_included,district,Mannheim,144,56.18055555555556,0.00040237737968497203,0.001892414482280778,0.006316138854079334,1.1952752639556049e-05
1992,all,zeros_included,district,Neckar-Odenwald-Kreis,1126,8.450266429840141,0.0031463675661477673,0.002225750778603412,0.38120442867443183,0.0008484660539291855
1992,all,zeros_included,district,Ortenaukreis,1859,13.984400215169446,0.005194580200238632,0.006081223645964572,0.31423078896190004,0.0019109077041252098
1992,all,zeros_included,district,Ostalbkreis,1505,14.516943521594685,0.004205402475179742,0.005110688703197829,0.26555877175883236,0.0013571882148629554
1992,all,zeros_included,district,Pforzheim,96,34.59375,0.000268251586456648,0.0007768490105876964,0.09919419346624414,7.70589110502963e-05
