year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,DJI.1.1_2,Ali Adde,595,598.4368,0.0,0.0,0.0
1992,DJI.1.2_2,Ali Sabieh,757,756.8675,120.0,0.15852047556142668,0.15854823305118176
1992,DJI.1.3_2,Holhol,972,973.1117,48.0,0.04938271604938271,0.04932630212627907
1992,DJI.6.1_2,Arta,1809,1811.189,293.0,0.16196793808734108,0.16177218816706673
1992,DJI.6.2_2,Yuboki,348,348.3146,0.0,0.0,0.0
1992,DJI.2.1_2,As Eyla,1960,1969.8863,0.0,0.0,0.0
1992,DJI.2.2_2,Dikhil,1506,1503.3952,157.0,0.10424966799468792,0.10443029531885464
1992,DJI.2.3_2,Galafi,660,664.1887,0.0,0.0,0.0
1992,DJI.2.4_2,Yuboki,2553,2553.0898,18.0,0.007050528789659225,0.007050280886685384
1992,DJI.3.1_2,Djiboutii,196,195.5705,2048.0,10.448979591836734,10.471926031855398
1992,DJI.4.1_2,Adailou,510,510.8212,0.0,0.0,0.0
1992,DJI.4.2_2,Dadda'to,348,350.892,0.0,0.0,0.0
1992,DJI.4.3_2,Khôr 'Angar,993,989.1281,0.0,0.0,0.0
1992,DJI.4.4_2,Moulhoule,1250,1251.0824,0.0,0.0,0.0
1992,DJI.4.5_2,Obock,1241,1237.634,58.0,0.046736502820306204,0.04686361390741488
1992,DJI.5.1_2,Balho,1312,1310.0158,0.0,0.0,0.0
1992,DJI.5.2_2,Dorra,2045,2041.0714,0.0,0.0,0.0
1992,DJI.5.3_2,Lac 'Assal,222,225.6835,0.0,0.0,0.0
1992,DJI.5.4_2,Mousa Ali,239,239.1818,0.0,0.0,0.0
1992,DJI.5.5_2,Randa,1693,1687.9782,0.0,0.0,0.0
1992,DJI.5.6_2,Tadjoura,1147,1154.8143,66.0,0.05754141238012206,0.057152047851285054
1993,DJI.1.1_2,Ali Adde,595,598.4368,0.0,0.0,0.0
1993,DJI.1.2_2,Ali Sabieh,757,756.8675,233.0,0.30779392338177014,0.3078478191743779
