year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,parish,0.30895727986950294,0.13513772921391862,0.17381955065558458,0.43739940120847115,0.5626005987915297,nan,2.220446049250313e-16,8
1993,all,lit_only,theil_l,parish,0.17224100992783037,0.0642334142498724,0.10800759567795838,0.3729275291452741,0.6270724708547283,nan,4.163336342344337e-16,10
1994,all,lit_only,theil_l,parish,0.16816538409416673,0.07066044340750133,0.09750494068666592,0.4201842358230749,0.5798157641769282,nan,5.273559366969494e-16,10
1995,all,lit_only,theil_l,parish,0.19931588995945632,0.0790048889948722,0.12031100096458452,0.3963802836338985,0.6036197163661036,nan,3.885780586188048e-16,10
1996,all,lit_only,theil_l,parish,0.16155877298556912,0.06434325471390023,0.09721551827166926,0.39826530942796623,0.6017346905720361,nan,3.608224830031759e-16,10
1997,all,lit_only,theil_l,parish,0.1901056711284312,0.0697272868490767,0.1203783842793548,0.36678172952542004,0.6332182704745816,nan,3.0531133177191805e-16,10
1998,all,lit_only,theil_l,parish,0.20014471189148308,0.05774519169467243,0.1423995201968109,0.28851719912530804,0.7114828008746932,nan,2.498001805406602e-16,10
1999,all,lit_only,theil_l,parish,0.21458336223104185,0.063487860456486,0.151095501774556,0.29586571762319874,0.7041342823768019,nan,1.3877787807814457e-16,10
2000,all,lit_only,theil_l,parish,0.19149129796919773,0.06752351769566772,0.12396778027352989,0.3526192490821656,0.6473807509178339,nan,1.1102230246251565e-16,10
2001,all,lit_only,theil_l,parish,0.1934886053731793,0.06714171599015738,0.12634688938302183,0.3470060464835224,0.6529939535164772,nan,1.1102230246251565e-16,10
2002,all,lit_only,theil_l,parish,0.166285242207634,0.06355882875695888,0.10272641345067515,0.3822277185463964,0.6177722814536039,nan,2.7755575615628914e-17,10
2003,all,lit_only,theil_l,parish,0.1624213275135952,0.0641053155171121,0.0983160119964831,0.39468533165231195,0.6053146683476881,nan,0.0,10
2004,all,lit_only,theil_l,parish,0.1749018471270906,0.06182716354689038,0.11307468358020013,0.3534963441636172,0.6465036558363824,nan,8.326672684688674e-17,10
2005,all,lit_only,theil_l,parish,0.15827000491513085,0.06197356852194079,0.09629643639319006,0.3915686270128878,0.6084313729871123,nan,0.0,10
2006,all,lit_only,theil_l,parish,0.1448349789690074,0.06007216285254469,0.0847628161164629,0.4147628099245229,0.5852371900754784,nan,1.942890293094024e-16,10
2007,all,lit_only,theil_l,parish,0.14175909678764378,0.06446772596899482,0.07729137081864902,0.45476958748945734,0.545230412510543,nan,5.551115123125783e-17,10
2008,all,lit_only,theil_l,parish,0.14518530800075813,0.07355394073238637,0.0716313672683716,0.5066211019919611,0.49337889800803786,nan,1.6653345369377348e-16,10
2009,all,lit_only,theil_l,parish,0.1879772344468317,0.07964348685960963,0.1083337475872223,0.4236868740727024,0.5763131259272989,nan,2.498001805406602e-16,10
2010,all,lit_only,theil_l,parish,0.1302638721849512,0.04755579469092115,0.08270807749402968,0.3650727856715368,0.6349272143284604,nan,3.608224830031759e-16,10
2011,all,lit_only,theil_l,parish,0.11148306834452604,0.04906223663850378,0.06242083170602183,0.44008688823384723,0.5599131117661489,nan,4.3021142204224816e-16,10
2012,all,lit_only,theil_l,parish,0.11255091853629826,0.05093730220119599,0.06161361633510201,0.4525711816804804,0.5474288183195173,nan,2.498001805406602e-16,10
2013,all,lit_only,theil_l,parish,0.11954265591774857,0.04963387831904697,0.06990877759870136,0.41519805577347724,0.5848019442265208,nan,2.498001805406602e-16,10
2014,all,lit_only,theil_l,parish,0.20758396508943805,0.05493464069438747,0.15264932439505025,0.2646381702494157,0.7353618297505827,nan,3.3306690738754696e-16,10
2015,all,lit_only,theil_l,parish,0.19741139561950063,0.04710400963038253,0.15030738598911783,0.2386083613996269,0.7613916386003717,nan,2.7755575615628914e-16,10
2016,all,lit_only,theil_l,parish,0.19901281790989653,0.04767141270038554,0.15134140520951075,0.239539408572009,0.7604605914279898,nan,2.498001805406602e-16,10
2017,all,lit_only,theil_l,parish,0.20728425368166464,0.05315276252208599,0.15413149115957864,0.25642450682102935,0.7435754931789705,nan,0.0,10
2018,all,lit_only,theil_l,parish,0.20728425368166464,0.05315276252208599,0.15413149115957864,0.25642450682102935,0.7435754931789705,nan,0.0,10
2019,all,lit_only,theil_l,parish,0.306330877878713,0.09160976869364831,0.21472110918506473,0.2990549608581078,0.7009450391418924,nan,5.551115123125783e-17,10
2020,all,lit_only,theil_l,parish,0.28812375273529056,0.09824946395406425,0.18987428878122634,0.3409974464838013,0.6590025535161987,nan,0.0,10
2021,all,lit_only,theil_l,parish,0.30186181881715934,0.11444125707380663,0.18742056174335273,0.37911802665949224,0.6208819733405078,nan,0.0,10
2022,all,lit_only,theil_l,parish,0.2942284469485859,0.10975502288038785,0.18447342406819808,0.3730265513706996,0.6269734486293005,nan,5.551115123125783e-17,10
1992,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
1993,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
1994,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
1995,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
1996,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
1997,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
1998,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
1999,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2000,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2001,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2002,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2003,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2004,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2005,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2006,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2007,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2008,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2009,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2010,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2011,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2012,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2013,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2014,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2015,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2016,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2017,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2018,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2019,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2020,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2021,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
2022,all,zeros_included,theil_l,parish,nan,nan,nan,nan,nan,nan,nan,0
1992,all,lit_only,theil_t,parish,0.3246001546739714,0.12743425340206546,0.1971659012719058,0.3925883939582854,0.6074116060417142,nan,1.1102230246251565e-16,8
1993,all,lit_only,theil_t,parish,0.2172096527280497,0.06543490577529353,0.1517747469527559,0.3012522922138234,0.6987477077861753,nan,2.7755575615628914e-16,10
1994,all,lit_only,theil_t,parish,0.2170507389955828,0.07318374984333013,0.14386698915225246,0.33717346543943116,0.6628265345605678,nan,2.220446049250313e-16,10
1995,all,lit_only,theil_t,parish,0.23564701210153577,0.08347837508268817,0.15216863701884736,0.3542517867645143,0.6457482132354847,nan,2.220446049250313e-16,10
1996,all,lit_only,theil_t,parish,0.20739316392550727,0.06953858958367164,0.1378545743418353,0.33529836889247194,0.6647016311075264,nan,3.3306690738754696e-16,10
1997,all,lit_only,theil_t,parish,0.22647145540310826,0.07485942199487751,0.15161203340823048,0.33054683143900565,0.6694531685609932,nan,2.7755575615628914e-16,10
1998,all,lit_only,theil_t,parish,0.23783274452264075,0.0633821521522496,0.17445059237039073,0.266498846823911,0.7335011531760872,nan,4.163336342344337e-16,10
1999,all,lit_only,theil_t,parish,0.2523672996071036,0.0695505773823065,0.18281672222479686,0.2755926678717325,0.7244073321282667,nan,2.220446049250313e-16,10
2000,all,lit_only,theil_t,parish,0.23224393820293487,0.07354881658260845,0.15869512162032617,0.31668777730741654,0.6833122226925824,nan,2.498001805406602e-16,10
2001,all,lit_only,theil_t,parish,0.23397498941254277,0.07377944413932401,0.16019554527321864,0.31533047324659436,0.6846695267534051,nan,1.3877787807814457e-16,10
2002,all,lit_only,theil_t,parish,0.21197930361415254,0.06988568023459354,0.1420936233795586,0.32968162005947693,0.6703183799405212,nan,3.885780586188048e-16,10
2003,all,lit_only,theil_t,parish,0.20929934142644602,0.070046092474896,0.13925324895154978,0.33466943563944407,0.6653305643605548,nan,2.220446049250313e-16,10
2004,all,lit_only,theil_t,parish,0.21788396792894044,0.06792024367130688,0.1499637242576332,0.31172666955219963,0.6882733304477988,nan,3.3306690738754696e-16,10
2005,all,lit_only,theil_t,parish,0.2049787740288121,0.06759238039249023,0.13738639363632166,0.32975307181313,0.6702469281868689,nan,2.220446049250313e-16,10
2006,all,lit_only,theil_t,parish,0.19587045632727837,0.0657158390316083,0.13015461729566974,0.3355066418071964,0.6644933581928019,nan,3.3306690738754696e-16,10
2007,all,lit_only,theil_t,parish,0.19334926836712668,0.06871128456544215,0.1246379838016845,0.3553739051909672,0.6446260948090327,nan,2.7755575615628914e-17,10
2008,all,lit_only,theil_t,parish,0.19466092990513403,0.07836248535009332,0.11629844455504067,0.4025588770601397,0.5974411229398601,nan,2.7755575615628914e-17,10
2009,all,lit_only,theil_t,parish,0.21410636972810643,0.08540484476839316,0.12870152495971307,0.39888978957911775,0.6011102104208813,nan,1.942890293094024e-16,10
2010,all,lit_only,theil_t,parish,0.16382580579645617,0.05153666603650993,0.11228913975994625,0.31458210009075843,0.6854178999092416,nan,0.0,10
2011,all,lit_only,theil_t,parish,0.14481518503838473,0.05294817235918548,0.09186701267919894,0.3656258309178767,0.6343741690821212,nan,3.0531133177191805e-16,10
2012,all,lit_only,theil_t,parish,0.14767295074771128,0.0552628696623768,0.09241008108533395,0.3742247268884704,0.625775273111526,nan,5.273559366969494e-16,10
2013,all,lit_only,theil_t,parish,0.1492311161645081,0.053748222155567016,0.09548289400894062,0.36016766165788455,0.6398323383421124,nan,4.718447854656915e-16,10
2014,all,lit_only,theil_t,parish,0.20224327172897089,0.05925601773282384,0.14298725399614673,0.2929937655094587,0.7070062344905397,nan,3.3306690738754696e-16,10
2015,all,lit_only,theil_t,parish,0.19577251747686375,0.0506126322368151,0.14515988524004814,0.258527769316735,0.7414722306832624,nan,4.996003610813204e-16,10
2016,all,lit_only,theil_t,parish,0.1978230669702088,0.05115497167999918,0.14666809529020933,0.25858951872231806,0.7414104812776805,nan,2.7755575615628914e-16,10
2017,all,lit_only,theil_t,parish,0.20339488514289866,0.05462480807895306,0.14877007706394524,0.26856529868278367,0.7314347013172146,nan,3.608224830031759e-16,10
2018,all,lit_only,theil_t,parish,0.20339488514289866,0.05462480807895306,0.14877007706394524,0.26856529868278367,0.7314347013172146,nan,3.608224830031759e-16,10
2019,all,lit_only,theil_t,parish,0.27711066905926734,0.08801050711538996,0.1891001619438771,0.3176005724145057,0.6823994275854933,nan,2.7755575615628914e-16,10
2020,all,lit_only,theil_t,parish,0.28018546902887015,0.09506138726157576,0.18512408176729458,0.33928021888879856,0.6607197811112021,nan,1.6653345369377348e-16,10
2021,all,lit_only,theil_t,parish,0.29255370144625104,0.1088131145638568,0.18374058688239472,0.37194236143974513,0.6280576385602565,nan,4.996003610813204e-16,10
2022,all,lit_only,theil_t,parish,0.28759730023541186,0.1068804287876554,0.1807168714477568,0.3716322395939349,0.6283677604060663,nan,3.3306690738754696e-16,10
1992,all,zeros_included,theil_t,parish,2.08140460886845,0.8276354117525303,1.2537691971159193,0.39763312151137786,0.6023668784886219,nan,4.440892098500626e-16,10
1993,all,zeros_included,theil_t,parish,1.2037645324804418,0.3967326080110298,0.807031924469412,0.32957658853225574,0.6704234114677442,nan,0.0,10
1994,all,zeros_included,theil_t,parish,1.3725889644597022,0.47821154749359024,0.8943774169661117,0.34840113091090646,0.6515988690890934,nan,2.220446049250313e-16,10
1995,all,zeros_included,theil_t,parish,1.1214455989570127,0.3401493573842484,0.7812962415727639,0.3033132928611074,0.6966867071388922,nan,4.440892098500626e-16,10
1996,all,zeros_included,theil_t,parish,0.9178165216773219,0.2611601001493279,0.6566564215279936,0.28454499780855363,0.715455002191446,nan,3.3306690738754696e-16,10
1997,all,zeros_included,theil_t,parish,0.8897656728133728,0.25382059597400425,0.6359450768393683,0.28526678846964554,0.7147332115303542,nan,3.3306690738754696e-16,10
1998,all,zeros_included,theil_t,parish,0.803726431814523,0.24686849861389631,0.5568579332006262,0.3071548836045577,0.6928451163954417,nan,4.440892098500626e-16,10
1999,all,zeros_included,theil_t,parish,0.7618762674883475,0.23741377257574206,0.5244624949126051,0.3116172306540224,0.6883827693459772,nan,3.3306690738754696e-16,10
2000,all,zeros_included,theil_t,parish,0.7136429471522853,0.22168834090471362,0.49195460624757154,0.3106432170167685,0.6893567829832313,nan,1.1102230246251565e-16,10
2001,all,zeros_included,theil_t,parish,0.6818278758706895,0.21532730966160138,0.4665005662090879,0.3158088973505665,0.6841911026494332,nan,2.220446049250313e-16,10
2002,all,zeros_included,theil_t,parish,0.6827737593147061,0.2133807244226509,0.4693930348920546,0.31252039421787275,0.6874796057821264,nan,5.551115123125783e-16,10
2003,all,zeros_included,theil_t,parish,0.6906983503757965,0.2154719294325023,0.4752264209432939,0.31196242080970354,0.6880375791902961,nan,3.3306690738754696e-16,10
2004,all,zeros_included,theil_t,parish,0.5999105030650873,0.1949972637984626,0.4049132392666242,0.3250439237222462,0.6749560762777529,nan,4.440892098500626e-16,10
2005,all,zeros_included,theil_t,parish,0.5967047062536726,0.18783124864948283,0.4088734576041895,0.3147809070063402,0.6852190929936595,nan,2.220446049250313e-16,10
2006,all,zeros_included,theil_t,parish,0.6457873270062766,0.19704321306643754,0.44874411393983865,0.3051209040906472,0.6948790959093522,nan,4.440892098500626e-16,10
2007,all,zeros_included,theil_t,parish,1.0823478579532746,0.3703984475301577,0.7119494104231167,0.3422175641670166,0.6577824358329832,nan,2.220446049250313e-16,10
2008,all,zeros_included,theil_t,parish,1.1195524425518881,0.3849449614767774,0.7346074810751108,0.34383825790182787,0.6561617420981722,nan,0.0,10
2009,all,zeros_included,theil_t,parish,0.8621718664365459,0.2513362553680704,0.6108356110684754,0.2915152594886582,0.7084847405113417,nan,0.0,10
2010,all,zeros_included,theil_t,parish,0.6137426764754543,0.1808832739741896,0.43285940250126476,0.29472168207847244,0.7052783179215276,nan,0.0,10
2011,all,zeros_included,theil_t,parish,0.6631347826017836,0.19300307414674472,0.4701317084550386,0.29104652509630796,0.7089534749036916,nan,3.3306690738754696e-16,10
2012,all,zeros_included,theil_t,parish,0.8160953845248948,0.23378745272338172,0.5823079318015125,0.28647074491113006,0.7135292550888692,nan,5.551115123125783e-16,10
