year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,municipality,0.2947749789165329,0.08650626795049281,0.20826871096603986,0.29346543681710346,0.7065345631828956,,2.7755575615628914e-16,98
1993,all,lit_only,theil_l,municipality,0.27131590166854186,0.08063708746341929,0.19067881420512153,0.2972073769635924,0.7027926230364038,,1.0547118733938987e-15,98
1994,all,lit_only,theil_l,municipality,0.3394723794146144,0.09715543647655983,0.24231694293805106,0.2861954090170591,0.7138045909829306,,3.497202527569243e-15,98
1995,all,lit_only,theil_l,municipality,0.23563646120897727,0.07020360264514604,0.16543285856382453,0.2979318323019843,0.7020681676979873,,6.689093723366568e-15,98
1996,all,lit_only,theil_l,municipality,0.22551291510522442,0.0682024308689051,0.15731048423631294,0.3024324830224549,0.6975675169775168,,6.38378239159465e-15,98
1997,all,lit_only,theil_l,municipality,0.264424514975971,0.07370147426146297,0.19072304071450205,0.27872405956066676,0.7212759404393105,,5.995204332975845e-15,98
1998,all,lit_only,theil_l,municipality,0.2606176696177369,0.07246943966238091,0.18814822995534963,0.2780680211310156,0.72193197886896,,6.38378239159465e-15,98
1999,all,lit_only,theil_l,municipality,0.27267844932513696,0.07509242257146267,0.1975860267536681,0.275388182517951,0.7246118174820263,,6.217248937900877e-15,98
2000,all,lit_only,theil_l,municipality,0.25625869167075177,0.07481034915287324,0.18144834251787229,0.29193292397274717,0.7080670760272284,,6.217248937900877e-15,98
2001,all,lit_only,theil_l,municipality,0.23295789931633012,0.0697992528449209,0.16315864647140474,0.2996217473189931,0.7003782526809876,,4.468647674116255e-15,98
2002,all,lit_only,theil_l,municipality,0.2484146117150658,0.0718583587173886,0.17655625299767283,0.2892678422628815,0.710732157737101,,4.3576253716537394e-15,98
2003,all,lit_only,theil_l,municipality,0.3313383976166244,0.08842482707119875,0.2429135705454221,0.2668716566122554,0.7331283433877337,,3.552713678800501e-15,98
2004,all,lit_only,theil_l,municipality,0.3067147606691112,0.0865958941903652,0.22011886647874201,0.28233363794247335,0.7176663620575137,,3.9968028886505635e-15,98
2005,all,lit_only,theil_l,municipality,0.29836922999388177,0.08436973655883025,0.21399949343504784,0.2827695622653861,0.7172304377346016,,3.6637359812630166e-15,98
2006,all,lit_only,theil_l,municipality,0.2828452042221622,0.08057250089512226,0.20227270332703573,0.2848642992434695,0.7151357007565157,,4.218847493575595e-15,98
