year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
1992,all,zeros_included,governorate,Ad Daqahliyah,3697,20.287800919664594,0.0037578241415552128,0.05899119426415949,0.19803045910794825,0.011682053283457667
1992,all,zeros_included,governorate,Al Bahr al Ahmar,104700,0.2982903533906399,0.10642255548304863,0.02456340979233061,4.334880183308515,0.10647943834326028
1992,all,zeros_included,governorate,Al Buhayrah,11442,7.859639923090369,0.011630247180869555,0.07073060237021843,0.7594420454408204,0.05371579333930002
1992,all,zeros_included,governorate,Al Fayyum,5845,6.4196749358426,0.005941163675247557,0.029512113785585523,1.1383133757150194,0.03359403386775562
1992,all,zeros_included,governorate,Al Gharbiyah,1999,23.677338669334667,0.0020318881414576333,0.0372261774800935,0.09556000376987628,0.0035573336603358183
1992,all,zeros_included,governorate,Al Iskandariyah,2561,16.86372510737993,0.0026031343323026507,0.033967677695596506,0.6584472468675182,0.022365923861148725
1992,all,zeros_included,governorate,Al Isma`iliyah,5689,6.855686412374759,0.005782597116934705,0.03067535809677815,1.1768753298128407,0.03610107217727278
1992,all,zeros_included,governorate,Al Jizah,36382,2.1895717662580396,0.036980567464988304,0.06265395880589314,2.688095929681456,0.16841985164455095
1992,all,zeros_included,governorate,Al Minufiyah,2166,25.984764542936286,0.002201635675036135,0.04426699091741359,0.16952002058690763,0.007504141211640405
1992,all,zeros_included,governorate,Al Minya,31379,2.1434080117275887,0.03189525662371139,0.05289890864245692,2.4282391612367817,0.12845120155230075
1992,all,zeros_included,governorate,Al Qahirah,2897,16.69968933379358,0.0029446623040534086,0.03805043714076278,0.8074010307854271,0.03072196216928797
1992,all,zeros_included,governorate,Al Qalyubiyah,1154,42.51386481802427,0.0011729859505963526,0.03858683512604566,0.05049831413734518,0.001948570121760999
1992,all,zeros_included,governorate,Al Uqsur,620,18.948387096774194,0.0006302004240638983,0.009239887875517916,0.6217143925860591,0.005744571278090913
1992,all,zeros_included,governorate,Al Wadi al Jadid,426432,0.035133385862224226,0.4334477858619617,0.011783452515407678,5.686107370497771,0.0670019761977701
1992,all,zeros_included,governorate,As Suways,9411,2.1627882265434066,0.009565832565911848,0.01600856978364757,2.194775171012155,0.03513521148456512
1992,all,zeros_included,governorate,Ash Sharqiyah,5330,20.377298311444655,0.005417690742355771,0.08542334542457238,0.27011860732353776,0.02307443509900299
1992,all,zeros_included,governorate,Aswan,61115,0.8544219913278246,0.06212048212365345,0.0410698387030809,3.484569805771995,0.14311071987268179
1992,all,zeros_included,governorate,Asyut,16495,3.6671718702637164,0.016766380636990326,0.04757582716973772,2.0758311927988142,0.09875938606214688
1992,all,zeros_included,governorate,Bani Suwayf,10676,3.266860247283627,0.010851644721461577,0.027431015443857534,1.8806492683260916,0.05158811912393239
1992,all,zeros_included,governorate,Bur Sa`id,1465,2.896928327645051,0.0014891026149251789,0.0033379370227866897,2.1320623624276753,0.00711668989443739
1992,all,zeros_included,governorate,Dumyat,935,18.236363636363638,0.0009503828975802337,0.01341073613938168,0.40229003766517835,0.005395005546629624
1992,all,zeros_included,governorate,Janub Sina',29275,1.110606319385141,0.029756640991081648,0.025571712163492848,2.8510971531331895,0.07290743575007581
1992,all,zeros_included,governorate,Kafr ash Shaykh,3774,10.057498675145734,0.0038360909684147615,0.029853457958038263,0.4638414988076449,0.013847272683847483
1992,all,zeros_included,governorate,Matrouh,158555,0.370962757402794,0.1611635939313732,0.046260786947753894,3.8580295780790785,0.1784754843496491
1992,all,zeros_included,governorate,Qina,13190,5.711296436694465,0.013407005795810997,0.059249168661773544,1.7346654985020156,0.1027774886925054
1992,all,zeros_included,governorate,Shamal Sina',26549,0.39978906926814567,0.02698579202979425,0.00834798858620592,3.5139024509370467,0.029334017553463473
1992,all,zeros_included,governorate,Suhaj,10081,6.723936117448666,0.01024685560481961,0.05331261148741116,1.5513472097853587,0.08270637107736617
1992,all,zeros_included,subdivision,Aja,243,25.86008230452675,0.00024699790814117304,0.004942411934776522,0.03139879988266481,0.0001551858032777422
1992,all,zeros_included,subdivision,Al-Jamaliyah,224,5.165178571428571,0.0002276853145005052,0.0009099889574373704,1.2367029192441772,0.0011253860001427614
1992,all,zeros_included,subdivision,Al-Mansurah,290,27.055172413793102,0.000294771166094404,0.0061709363526824615,0.054268888299093376,0.0003348898556245392
1992,all,zeros_included,subdivision,Al-Mansurah 1,12,60.833333333333336,1.2197427562527064e-05,0.0005741503361532242,0.0012112288994003961,6.954274797492373e-07
