year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,EST.1_1,Harju,4346,4339.4132,20486.0,4.713759779107225,4.720914756136308
1992,EST.2_1,Hiiu,1044,1034.4302,367.0,0.35153256704980845,0.35478469048382943
1992,EST.3_1,Ida-Viru,3314,3313.8755,22270.0,6.71997585998793,6.720228350251995
1992,EST.4_1,Järva,2621,2622.6521,2491.0,0.9504006104540251,0.9498019185325145
1992,EST.5_1,Jõgeva,2605,2604.6565,2597.0,0.9969289827255279,0.9970604503723963
1992,EST.7_1,Lääne,2427,2427.064,724.0,0.29831067161104247,0.29830279930307735
1992,EST.6_1,Lääne-Viru,3491,3488.9839,7741.0,2.21741621311945,2.2186975389181063
1992,EST.8_1,Pärnu,4820,4811.2573,3249.0,0.6740663900414938,0.6752912628005128
1992,EST.9_1,Peipsi,1770,1764.8581,138.0,0.07796610169491526,0.0781932551851887
1992,EST.10_1,Põlva,2172,2167.0356,1761.0,0.8107734806629834,0.8126308506359824
1992,EST.11_1,Rapla,2980,2980.2811,1861.0,0.624496644295302,0.6244377333609398
1992,EST.12_1,Saare,2941,2940.5708,716.0,0.24345460727643659,0.24349014210620853
1992,EST.13_1,Tartu,3261,3264.147,8545.0,2.620361852192579,2.6178354963585457
1992,EST.14_1,Valga,2030,2029.1571,1741.0,0.8576354679802956,0.8579917423471527
1992,EST.15_1,Viljandi,3397,3418.409,2991.0,0.8804827789225788,0.8749684306204086
1992,EST.16_1,Võru,2281,2283.0512,2277.0,0.9982463831652784,0.9973495227033967
1993,EST.1_1,Harju,4346,4339.4132,32855.0,7.559825126553152,7.571300122662228
1993,EST.2_1,Hiiu,1044,1034.4302,436.0,0.41762452107279696,0.42148807915790093
1993,EST.3_1,Ida-Viru,3314,3313.8755,27635.0,8.33886541943271,8.339178736381404
1993,EST.4_1,Järva,2621,2622.6521,6402.0,2.442579168256391,2.4410404987736483
1993,EST.5_1,Jõgeva,2605,2604.6565,4426.0,1.6990403071017275,1.6992643640154896
1993,EST.7_1,Lääne,2427,2427.064,1496.0,0.6163988463123198,0.6163825797754195
1993,EST.6_1,Lääne-Viru,3491,3488.9839,16000.0,4.583213978802635,4.585862372134053
1993,EST.8_1,Pärnu,4820,4811.2573,5248.0,1.0887966804979252,1.0907751761086768
1993,EST.9_1,Peipsi,1770,1764.8581,354.0,0.2,0.20058269808374493
1993,EST.10_1,Põlva,2172,2167.0356,2632.0,1.2117863720073665,1.2145624070834218
1993,EST.11_1,Rapla,2980,2980.2811,4714.0,1.5818791946308726,1.5817299704801022
1993,EST.12_1,Saare,2941,2940.5708,1167.0,0.3968038082284937,0.39686172603064995
1993,EST.13_1,Tartu,3261,3264.147,12238.0,3.7528365532045385,3.7492183504313497
1993,EST.14_1,Valga,2030,2029.1571,2851.0,1.404433497536946,1.4050169198344242
1993,EST.15_1,Viljandi,3397,3418.409,5536.0,1.6296732410950838,1.6194668110714083
1993,EST.16_1,Võru,2281,2283.0512,3055.0,1.3393248575186323,1.3381215598853213
1994,EST.1_1,Harju,4346,4339.4132,31883.0,7.336171191900598,7.347306705549835
1994,EST.2_1,Hiiu,1044,1034.4302,460.0,0.44061302681992337,0.44468925782714314
