iso3,gid,name,area_km2,pixels_total,pixels_classified,pixels_unclassified,hyper_arid_share,arid_share,semi_arid_share,dry_subhumid_share,humid_share,desert_share,dryland_share,level
FRA,FRA.1_1,Auvergne-Rhône-Alpes,71213.1664,118095,118095,0,0.0,0.0,0.0,8.427693619501373e-05,0.9999157230638049,0.0,8.427693619501373e-05,adm1
FRA,FRA.2_1,Bourgogne-Franche-Comté,48057.6446,82206,82206,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.3_1,Bretagne,27631.7048,48119,48119,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.4_1,Centre-Val de Loire,39520.6772,67922,67922,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.5_1,Corse,8745.9206,13718,13718,0,0.0,0.0,0.13821458513774842,0.20468918572932873,0.6570962291329155,0.0,0.34290377086707713,adm1
FRA,FRA.6_1,Grand Est,57730.4549,101539,101539,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.7_1,Hauts-de-France,31984.1896,57721,57721,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.8_1,Île-de-France,12065.4541,21229,21229,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.9_1,Normandie,30161.6791,53503,53503,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.10_1,Nouvelle-Aquitaine,84807.6854,139892,139892,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.11_1,Occitanie,73293.407,117856,117856,0,0.0,0.0,0.04773232066216058,0.10628645039645863,0.8459812289413922,0.0,0.15401877105861922,adm1
FRA,FRA.12_1,Pays de la Loire,32383.9583,55649,55649,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
FRA,FRA.13_1,Provence-Alpes-Côte d'Azur,31931.5707,51561,51561,0,0.0,0.0,0.05064413690805273,0.2585465341546023,0.6908093289372855,0.0,0.3091906710626551,adm1
