year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,region,all,,13,0.3029602068526629,0.1718120278696654,0.15268839430829265,4349075.0,nan
1993,adm1,region,all,,13,0.27227390291419495,0.13771155432178714,0.1219607641980203,4906441.0,nan
1994,adm1,region,all,,13,0.2653486801776246,0.13110922702975725,0.11595180649324544,5034390.0,nan
1995,adm1,region,all,,13,0.24717729267334398,0.11588708203615891,0.10161428048159935,5453039.0,nan
1996,adm1,region,all,,13,0.23927070409207052,0.1083549780357816,0.09589245364970375,5703611.0,nan
1997,adm1,region,all,,13,0.23260877192148666,0.10243037003958821,0.09197201839122511,5913947.0,nan
1998,adm1,region,all,,13,0.2296366856666281,0.09937434942498287,0.08957277175688891,6016801.0,nan
1999,adm1,region,all,,13,0.22780113060753426,0.09647257112170342,0.0881981045637884,6206826.0,nan
2000,adm1,region,all,,13,0.22552709265784365,0.09438332494603452,0.08665675576665664,6291249.0,nan
2001,adm1,region,all,,13,0.22348294435821936,0.09279016226728246,0.08536594929956046,6353913.0,nan
2002,adm1,region,all,,13,0.2229921337917422,0.09222620626485752,0.08463963352145573,6365216.0,nan
2003,adm1,region,all,,13,0.22123848071785335,0.0908238748962744,0.08335099578433745,6406514.0,nan
2004,adm1,region,all,,13,0.22014126214084007,0.08967836210041198,0.08235057992781394,6440785.0,nan
2005,adm1,region,all,,13,0.21893062002452557,0.08880725815005601,0.08160643341172415,6475234.0,nan
2006,adm1,region,all,,13,0.2194720858856578,0.0892080089417238,0.08210753978778174,6459921.0,nan
2007,adm1,region,all,,13,0.22153092615298364,0.09010036174913162,0.08385696674783935,6502300.0,nan
2008,adm1,region,all,,13,0.22620777783072032,0.09356922246740526,0.0871744327702324,6436557.0,nan
2009,adm1,region,all,,13,0.22352374776960326,0.09097655867374295,0.08503177008987264,6567933.0,nan
2010,adm1,region,all,,13,0.2212819398737227,0.0876281445924939,0.08302540782138525,6820267.0,nan
2011,adm1,region,all,,13,0.2218768913463125,0.08797297576989747,0.0832425298345344,6819858.0,nan
2012,adm1,region,all,,13,0.2214517196959085,0.08757212352351881,0.08313523707647327,6857117.0,nan
