year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,FRO.1_1,Eysturoyar,392,394.3623,565.0,1.441326530612245,1.4326925724914292
1992,FRO.2_1,Norderøerne,257,256.6619,134.0,0.5214007782101168,0.5220875955011451
1992,FRO.3_1,Sandoyar,131,129.9545,0.0,0.0,0.0
1992,FRO.4_1,Streymoyar,295,292.1777,1423.0,4.823728813559322,4.8703229714858045
1992,FRO.5_1,Suðuroyar,179,176.2342,0.0,0.0,0.0
1992,FRO.6_1,Vågø,188,190.2235,24.0,0.1276595744680851,0.1261674017023683
1993,FRO.1_1,Eysturoyar,392,394.3623,1537.0,3.920918367346939,3.8974309449899587
1993,FRO.2_1,Norderøerne,257,256.6619,557.0,2.167315175097276,2.1701700798069985
1993,FRO.3_1,Sandoyar,131,129.9545,0.0,0.0,0.0
1993,FRO.4_1,Streymoyar,295,292.1777,1825.0,6.186440677966102,6.2461977673658415
1993,FRO.5_1,Suðuroyar,179,176.2342,96.0,0.5363128491620112,0.5447298334738812
1993,FRO.6_1,Vågø,188,190.2235,155.0,0.824468085106383,0.8148311359944618
1994,FRO.1_1,Eysturoyar,392,394.3623,2229.0,5.686224489795919,5.652162378908665
1994,FRO.2_1,Norderøerne,257,256.6619,741.0,2.8832684824902723,2.887066479599616
1994,FRO.3_1,Sandoyar,131,129.9545,28.0,0.21374045801526717,0.2154599796204274
1994,FRO.4_1,Streymoyar,295,292.1777,2252.0,7.633898305084746,7.7076369162234935
1994,FRO.5_1,Suðuroyar,179,176.2342,646.0,3.6089385474860336,3.665577837751325
1994,FRO.6_1,Vågø,188,190.2235,284.0,1.5106382978723405,1.4929809201446913
1995,FRO.1_1,Eysturoyar,392,394.3623,2739.0,6.987244897959184,6.945389302750486
1995,FRO.2_1,Norderøerne,257,256.6619,925.0,3.5992217898832686,3.603962879392233
1995,FRO.3_1,Sandoyar,131,129.9545,126.0,0.9618320610687023,0.9695699082919232
1995,FRO.4_1,Streymoyar,295,292.1777,2859.0,9.691525423728814,9.785139406519969
1995,FRO.5_1,Suðuroyar,179,176.2342,1000.0,5.58659217877095,5.674269098686262
1995,FRO.6_1,Vågø,188,190.2235,731.0,3.8882978723404253,3.8428487768513007
1996,FRO.1_1,Eysturoyar,392,394.3623,2732.0,6.969387755102041,6.92763912928599
1996,FRO.2_1,Norderøerne,257,256.6619,1048.0,4.0778210116731515,4.083192537949254
1996,FRO.3_1,Sandoyar,131,129.9545,100.0,0.7633587786259542,0.7694999272158122
1996,FRO.4_1,Streymoyar,295,292.1777,2717.0,9.210169491525424,9.29913388160712
1996,FRO.5_1,Suðuroyar,179,176.2342,1030.0,5.754189944134078,5.844497171646849
1996,FRO.6_1,Vågø,188,190.2235,584.0,3.106382978723404,3.0700734414242947
1997,FRO.1_1,Eysturoyar,392,394.3623,2023.0,5.160714285714286,5.129800131239223
1997,FRO.2_1,Norderøerne,257,256.6619,597.0,2.32295719844358,2.326017123240176
1997,FRO.3_1,Sandoyar,131,129.9545,0.0,0.0,0.0
1997,FRO.4_1,Streymoyar,295,292.1777,2068.0,7.010169491525423,7.077883278308253
1997,FRO.5_1,Suðuroyar,179,176.2342,434.0,2.4245810055865924,2.4626327888298376
1997,FRO.6_1,Vågø,188,190.2235,445.0,2.367021276595745,2.339353906564745
1998,FRO.1_1,Eysturoyar,392,394.3623,1904.0,4.857142857142857,4.828047182342798
1998,FRO.2_1,Norderøerne,257,256.6619,597.0,2.32295719844358,2.326017123240176
1998,FRO.3_1,Sandoyar,131,129.9545,0.0,0.0,0.0
1998,FRO.4_1,Streymoyar,295,292.1777,2026.0,6.867796610169491,6.934135165305861
1998,FRO.5_1,Suðuroyar,179,176.2342,391.0,2.184357541899441,2.2186392175863285
