year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,FSM.1.1_1,Eot,1,0.5415,0.0,0.0,0.0
1992,FSM.1.2_1,Etal,3,2.1614,0.0,0.0,0.0
1992,FSM.1.3_1,Fala-Beguets,2,1.8915,0.0,0.0,0.0
1992,FSM.1.4_1,Fayo,0,0.3156,0.0,nan,0.0
1992,FSM.1.5_1,Fefan,12,12.8748,0.0,0.0,0.0
1992,FSM.1.6_1,Fono,1,0.508,0.0,0.0,0.0
1992,FSM.1.7_1,Losap,3,1.9798,0.0,0.0,0.0
1992,FSM.1.8_1,Lukunor,6,4.558,0.0,0.0,0.0
1992,FSM.1.9_1,Makur,3,1.8052,0.0,0.0,0.0
1992,FSM.1.10_1,Murilo,3,1.8446,0.0,0.0,0.0
1992,FSM.1.11_1,Nama,1,1.1373,0.0,0.0,0.0
1992,FSM.1.12_1,Namoluk,1,1.6777,0.0,0.0,0.0
1992,FSM.1.13_1,Neoch,0,0.5109,0.0,nan,0.0
1992,FSM.1.14_1,Nomwin,3,1.971,0.0,0.0,0.0
1992,FSM.1.15_1,Onomue,0,0.0906,0.0,nan,0.0
1992,FSM.1.16_1,Onoun,2,2.5044,0.0,0.0,0.0
1992,FSM.1.17_1,Paata,4,4.6949,0.0,0.0,0.0
1992,FSM.1.18_1,Param,3,2.2241,0.0,0.0,0.0
1992,FSM.1.19_1,Piis-Penau,2,1.798,0.0,0.0,0.0
1992,FSM.1.20_1,Polle,10,10.021,0.0,0.0,0.0
1992,FSM.1.21_1,Pulap,1,1.3293,0.0,0.0,0.0
1992,FSM.1.22_1,Pulawat,5,3.9496,0.0,0.0,0.0
1992,FSM.1.23_1,Pulusuk,2,3.2431,0.0,0.0,0.0
1992,FSM.1.24_1,Romanum,1,1.0249,0.0,0.0,0.0
1992,FSM.1.25_1,Satawan,9,7.4881,0.0,0.0,0.0
1992,FSM.1.26_1,Tol,16,17.2532,0.0,0.0,0.0
1992,FSM.1.27_1,Tonowas,10,10.5602,0.0,0.0,0.0
1992,FSM.1.28_1,Tsis,1,0.6878,0.0,0.0,0.0
1992,FSM.1.29_1,Udot,6,5.2403,0.0,0.0,0.0
1992,FSM.1.30_1,Uman,8,7.4785,0.0,0.0,0.0
1992,FSM.1.31_1,Weno,21,20.3701,213.0,10.142857142857142,10.456478599870124
1992,FSM.1.32_1,Wonei,4,4.0363,0.0,0.0,0.0
1992,FSM.2.1_1,Lelu,25,25.615,87.0,3.48,3.396451258053813
1992,FSM.2.2_1,Malem,15,15.6912,4.0,0.26666666666666666,0.25492069029904174
1992,FSM.2.3_1,Utwe,30,30.8935,0.0,0.0,0.0
1992,FSM.2.4_1,Walung,44,41.2875,14.0,0.3181818181818182,0.33908559215398293
1992,FSM.3.1_1,Ant,3,4.1217,0.0,0.0,0.0
1992,FSM.3.2_1,Kapingamarangi,3,2.0238,0.0,0.0,0.0
1992,FSM.3.3_1,Kitti,129,127.5409,2.0,0.015503875968992248,0.015681247663013487
1992,FSM.3.4_1,Kolonia,60,62.7033,263.0,4.383333333333334,4.194359139058896
1992,FSM.3.5_1,Madolenihmw,104,102.3762,0.0,0.0,0.0
1992,FSM.3.6_1,Minto Reef,2,2.6487,0.0,0.0,0.0
1992,FSM.3.7_1,Mwoakilloa,1,1.7724,0.0,0.0,0.0
