year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,nested,0.60051029135138,0.29353075986125665,0.2983234588039538,0.4888022138649766,0.4967832576734211,0.008656072686169858,2.220446049250313e-16,6
1993,all,lit_only,theil_l,nested,0.3478526404579032,0.10149227730175525,0.2408632644225795,0.29176802328754425,0.6924290242716399,0.005497098733568434,0.0,9
1994,all,lit_only,theil_l,nested,0.33283000108551547,0.11940043111516777,0.20973982774421226,0.35874299409832855,0.6301710394500251,0.003689742226135745,2.7755575615628914e-16,9
1995,all,lit_only,theil_l,nested,0.2879678640360225,0.09569211476758926,0.18619023134483514,0.33230136664006005,0.6465660047453914,0.0060855179235976,4.440892098500626e-16,8
1996,all,lit_only,theil_l,nested,0.24289307246400194,0.10390981530372216,0.1321585287777428,0.4278006542122446,0.544101679957667,0.006824728382536949,0.0,8
1997,all,lit_only,theil_l,nested,0.3095431440649109,0.15021973762967666,0.15245503807480426,0.48529499202274606,0.49251628084140214,0.0068683683604298384,1.1102230246251565e-16,8
1998,all,lit_only,theil_l,nested,0.16669057307751986,0.06001678521438937,0.1066737878631302,0.3600490664008841,0.6399509335991141,0.0,3.0531133177191805e-16,4
1999,all,lit_only,theil_l,nested,0.20800783152414629,0.11452007145256113,0.09348776007158471,0.5505565372872379,0.44944346271276003,0.0,4.440892098500626e-16,5
2000,all,lit_only,theil_l,nested,0.23575840163361167,0.050686229051715645,0.18507217258189587,0.21499224927087135,0.785007750729128,0.0,1.6653345369377348e-16,3
2001,all,lit_only,theil_l,nested,0.2457850589793213,0.04836099414120704,0.1974240648381143,0.1967613261035359,0.8032386738964643,0.0,5.551115123125783e-17,3
2002,all,lit_only,theil_l,nested,0.5047588528877893,0.1773451045751012,0.3274137483126882,0.35134619939895534,0.6486538006010448,0.0,1.1102230246251565e-16,5
2003,all,lit_only,theil_l,nested,0.3569037764942418,0.13571937402587758,0.2211844024683641,0.3802688090302884,0.6197311909697112,0.0,1.6653345369377348e-16,3
2004,all,lit_only,theil_l,nested,0.2983332260178769,0.08826013270017417,0.21007309331770235,0.295844126644095,0.7041558733559039,0.0,3.3306690738754696e-16,3
2005,all,lit_only,theil_l,nested,0.321492246331278,0.07926029162881029,0.2422319547024675,0.2465387347075781,0.7534612652924213,0.0,1.6653345369377348e-16,3
2006,all,lit_only,theil_l,nested,0.44357392717470057,0.16737536757266583,0.2761985596020346,0.3773336468145149,0.6226663531854848,0.0,1.1102230246251565e-16,4
2007,all,lit_only,theil_l,nested,0.46629545676365103,0.18785065477370919,0.278444801989942,0.40285757034283987,0.5971424296571605,0.0,1.1102230246251565e-16,5
2008,all,lit_only,theil_l,nested,0.3384194856030559,0.14170712639302196,0.19105055896300854,0.4187321724117128,0.5645377027347014,0.005661800247026089,6.661338147750939e-16,7
2009,all,lit_only,theil_l,nested,0.2510465656812946,0.07211253637154313,0.17893402930975144,0.28724765135042923,0.7127523486495708,0.0,0.0,4
2010,all,lit_only,theil_l,nested,0.27123424883227376,0.08976861201688732,0.1732004089857823,0.3309634104224005,0.6385639340586602,0.008265227829604357,2.220446049250313e-16,5
2011,all,lit_only,theil_l,nested,0.32584448415078227,0.13115542983336148,0.18846605326021582,0.4025092834552026,0.5783926456554792,0.00622300105720569,7.216449660063518e-16,6
2012,all,lit_only,theil_l,nested,0.3141886027072923,0.11901484936898277,0.19308568768121495,0.37880065776880084,0.6145534434331453,0.0020880656570945733,0.0,4
2013,all,lit_only,theil_l,nested,0.32124183902096265,0.1363973358363203,0.1833710512900961,0.42459393288250874,0.5708193299134059,0.0014734518945465347,2.7755575615628914e-16,4
