year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,province,all,,7,0.8504348102002663,1.834321170367843,nan,6969.0,nan
1993,adm1,province,all,,7,0.8470646258603052,1.7928371558163259,nan,9521.0,nan
1994,adm1,province,all,,7,0.8492720155100384,1.821176448010152,nan,9269.0,nan
1995,adm1,province,all,,7,0.8488045134564841,1.8159004321202608,nan,9944.0,nan
1996,adm1,province,all,,7,0.8466194039069133,1.7887313239942657,nan,10340.0,nan
1997,adm1,province,all,,7,0.8449610646016772,1.7733136760578487,nan,10514.0,nan
1998,adm1,province,all,,7,0.8439327620022299,1.7605576094740176,nan,10747.0,nan
1999,adm1,province,all,,7,0.8437169809839518,1.756644786623641,nan,10823.0,nan
2000,adm1,province,all,,7,0.8431004394458219,1.7530457831372455,nan,10758.0,nan
2001,adm1,province,all,,7,0.8425226810357449,1.756401420091265,nan,10357.0,nan
2002,adm1,province,all,,7,0.8407880792787288,1.744353482730365,nan,10581.0,nan
2003,adm1,province,all,,7,0.8428469908637257,1.7772943942997528,nan,9818.0,nan
2004,adm1,province,all,,7,0.8081734019034219,1.4901425957162169,2.440153394541845,9280.0,nan
2005,adm1,province,all,,7,0.8388606740662754,1.760081809606114,nan,8962.0,nan
2006,adm1,province,all,,7,0.8375387733054518,1.7476814327774708,nan,9278.0,nan
2007,adm1,province,all,,7,0.8063407845850492,1.5396720666010955,2.118202634948145,10397.0,nan
2008,adm1,province,all,,7,0.7699054693700966,1.2880120741244112,1.6901465432057872,11895.0,nan
2009,adm1,province,all,,7,0.7452230534056683,1.1461398973002128,1.5606022811753557,13642.0,nan
2010,adm1,province,all,,7,0.7261264623619605,1.0702396502340399,1.3910548175453104,16889.0,nan
2011,adm1,province,all,,7,0.7394355743746768,1.139486746070752,1.4681221012104657,18116.0,nan
2012,adm1,province,all,,7,0.7316438337832767,1.1089509820876542,1.3974244221340832,19475.0,nan
2013,adm1,province,all,,7,0.7184220303387514,1.0559391646397167,1.2817085510697481,22648.0,nan
2014,adm1,province,all,,7,0.7038946623401197,0.9972383415608553,1.187999471994578,26625.27277624607,nan
2015,adm1,province,all,,7,0.6879741077951065,0.9574207349749908,1.0755208742294,31911.313636541367,nan
2016,adm1,province,all,,7,0.6899180987465348,0.9648789277535216,1.0864645053319653,32198.028319835663,nan
2017,adm1,province,all,,7,0.6617902022184246,0.8806518216385205,0.9505856353646563,38541.134383916855,nan
2018,adm1,province,all,,7,0.6654530755852077,0.8921604033383985,0.9662609390760541,37641.88437962532,nan
2019,adm1,province,all,,7,0.7410826143997811,1.1866177350850484,nan,36909.160259366035,nan
2020,adm1,province,all,,7,0.7385832842939939,1.1742513611804088,nan,37102.18938887119,nan
2021,adm1,province,all,,7,0.7371237936096426,1.1670855300916816,nan,36787.920907616615,nan
2022,adm1,province,all,,7,0.7321792595917997,1.1468111996557708,nan,37565.91536438465,nan
1992,adm2,admin-2 unit,all,,32,0.944309514567407,2.6466852873152504,nan,6969.0,nan
1993,adm2,admin-2 unit,all,,32,0.944625518336013,2.64824558307286,nan,9521.0,nan
1994,adm2,admin-2 unit,all,,32,0.9462151697069268,2.684346172896755,nan,9269.0,nan
1995,adm2,admin-2 unit,all,,32,0.9441269096152913,2.6415309850948137,nan,9944.0,nan
1996,adm2,admin-2 unit,all,,32,0.9436535294009032,2.6292741076130497,nan,10340.0,nan
1997,adm2,admin-2 unit,all,,32,0.9427147977567649,2.609683478466279,nan,10514.0,nan
1998,adm2,admin-2 unit,all,,32,0.9413623870272334,2.582957394847744,nan,10747.0,nan
1999,adm2,admin-2 unit,all,,32,0.9410129617166343,2.5764556712570155,nan,10823.0,nan
2000,adm2,admin-2 unit,all,,32,0.9415591347884971,2.58642216709598,nan,10758.0,nan
2001,adm2,admin-2 unit,all,,32,0.9439513549749812,2.6411712454069507,nan,10357.0,nan
2002,adm2,admin-2 unit,all,,32,0.943126798689969,2.6303092498272904,nan,10581.0,nan
2003,adm2,admin-2 unit,all,,32,0.9468969590561676,2.719878090996453,nan,9818.0,nan
2004,adm2,admin-2 unit,all,,32,0.9439388182287944,2.6720759296609966,nan,9280.0,nan
2005,adm2,admin-2 unit,all,,32,0.9532374175508647,2.871837008835937,nan,8962.0,nan
2006,adm2,admin-2 unit,all,,32,0.9520918219627519,2.8450295562335985,nan,9278.0,nan
2007,adm2,admin-2 unit,all,,32,0.9397471433717839,2.6673238511435584,nan,10397.0,nan
2008,adm2,admin-2 unit,all,,32,0.9252960495512226,2.4626274647169955,nan,11895.0,nan
2009,adm2,admin-2 unit,all,,32,0.912195380346644,2.301768945375283,nan,13642.0,nan
2010,adm2,admin-2 unit,all,,32,0.8917147091404838,2.1013050168913705,nan,16889.0,nan
2011,adm2,admin-2 unit,all,,32,0.903008842457452,2.1504987427167004,nan,18116.0,nan
2012,adm2,admin-2 unit,all,,32,0.8961173822033002,2.092950038828494,nan,19475.0,nan
2013,adm2,admin-2 unit,all,,32,0.8725024747056915,1.9222233810598857,nan,22648.0,nan
2014,adm2,admin-2 unit,all,,32,0.8628909666005229,1.8264041919299234,nan,26625.27277624607,nan
2015,adm2,admin-2 unit,all,,32,0.8535083638894883,1.7632893960680707,nan,31911.313636541367,nan
2016,adm2,admin-2 unit,all,,32,0.8533231864268402,1.762619475027151,nan,32198.028319835663,nan
2017,adm2,admin-2 unit,all,,32,0.835403368862895,1.6346118108490155,nan,38541.134383916855,nan
2018,adm2,admin-2 unit,all,,32,0.8385119871606854,1.6539949792912991,nan,37641.88437962532,nan
2019,adm2,admin-2 unit,all,,32,0.8596153627210599,1.808295527618492,nan,36909.160259366035,nan
2020,adm2,admin-2 unit,all,,32,0.8576591425335467,1.797268890790019,nan,37102.18938887119,nan
2021,adm2,admin-2 unit,all,,32,0.8582299824522939,1.8056204712528512,nan,36787.920907616615,nan
2022,adm2,admin-2 unit,all,,32,0.8541408987201522,1.7766817475897576,nan,37565.91536438465,nan
1992,pixel,pixel (1 km),all,lit_only,560,0.4468587930221595,0.3549810271821351,0.34550660223666535,6969.0,0.020733829464252656
1993,pixel,pixel (1 km),all,lit_only,570,0.4274457017451727,0.32041050062312193,0.2957314985994586,9521.0,0.021104076418971454
1994,pixel,pixel (1 km),all,lit_only,520,0.41467941110567064,0.2986486213003663,0.2775310200355384,9269.0,0.019252841645377466
1995,pixel,pixel (1 km),all,lit_only,584,0.4424551460783126,0.3375915606625396,0.32650881032140067,9944.0,0.02162242215557777
1996,pixel,pixel (1 km),all,lit_only,628,0.45700821742290776,0.36323102246128747,0.35654478034261483,10340.0,0.02325150875634048
1997,pixel,pixel (1 km),all,lit_only,698,0.48904557874260157,0.41749556847456204,0.4377723635620686,10514.0,0.02584323743937206
1998,pixel,pixel (1 km),all,lit_only,745,0.49393899842815503,0.4295720458816764,0.4434348533733414,10747.0,0.027583398126550408
1999,pixel,pixel (1 km),all,lit_only,736,0.4817142890141366,0.4093651530713685,0.4087085824655881,10823.0,0.02725017586730349
2000,pixel,pixel (1 km),all,lit_only,729,0.4848913278815574,0.4137913230957768,0.42303390201802227,10758.0,0.026991002999000334
2001,pixel,pixel (1 km),all,lit_only,666,0.4880978787032664,0.4118925866883725,0.44294109202477133,10357.0,0.02465844718427191
2002,pixel,pixel (1 km),all,lit_only,656,0.46685484911979835,0.37650340086726286,0.3894714356228494,10581.0,0.024288200229553112
2003,pixel,pixel (1 km),all,lit_only,539,0.4589695727547487,0.35381380392498896,0.3942075408522533,9818.0,0.01995631085934318
2004,pixel,pixel (1 km),all,lit_only,539,0.5144616467276566,0.44021953354097965,0.5300195550723981,9280.0,0.01995631085934318
2005,pixel,pixel (1 km),all,lit_only,501,0.5119931972698208,0.4341375910635278,0.5246636850453302,8962.0,0.01854937243141175
2006,pixel,pixel (1 km),all,lit_only,547,0.5302697541273356,0.4680941410338807,0.5705306048046267,9278.0,0.02025250842311822
2007,pixel,pixel (1 km),all,lit_only,775,0.5702793920082407,0.5608142205514899,0.6360636279909253,10397.0,0.028694138990706802
2008,pixel,pixel (1 km),all,lit_only,849,0.5225315147113212,0.46982601430625004,0.49836233338049896,11895.0,0.031433966455625906
2009,pixel,pixel (1 km),all,lit_only,1013,0.5219260014185909,0.4724833573787353,0.49593792209052784,13642.0,0.03750601651301418
2010,pixel,pixel (1 km),all,lit_only,1447,0.49512293837116794,0.4581530363702192,0.42653371311156396,16889.0,0.05357473434780999
2011,pixel,pixel (1 km),all,lit_only,1217,0.48811902043491107,0.4176822871651044,0.41377116489197974,18116.0,0.045059054389277646
2012,pixel,pixel (1 km),all,lit_only,1286,0.49399996406446833,0.4291583100716241,0.43113924445524443,19475.0,0.04761375837683735
2013,pixel,pixel (1 km),all,lit_only,1619,0.5054538246699114,0.45472735830770866,0.4660326040957897,22648.0,0.059942981968973304
2014,pixel,pixel (1 km),all,lit_only,1913,0.5540728024092201,0.5348604351135747,0.6088124371885292,26625.27277624607,0.07082824243770595
2015,pixel,pixel (1 km),all,lit_only,2086,0.5474856801288466,0.5118662579446174,0.5835699138887711,31911.313636541367,0.07723351475434115
2016,pixel,pixel (1 km),all,lit_only,2103,0.5490752863109514,0.5149829510316818,0.5871218079223496,32198.028319835663,0.0778629345773631
2017,pixel,pixel (1 km),all,lit_only,2429,0.5552531651019956,0.5223829194557102,0.6215429650618222,38541.134383916855,0.0899329853011959
2018,pixel,pixel (1 km),all,lit_only,2137,0.5206455130660717,0.4524008168393887,0.5281177535939336,37641.88437962532,0.07912177422340701
2019,pixel,pixel (1 km),all,lit_only,1974,0.5063395900988366,0.4245374093264702,0.49463366677922127,36909.160259366035,0.07308674886149061
2020,pixel,pixel (1 km),all,lit_only,2079,0.5234403767312561,0.4569038292177949,0.5440722145526072,37102.18938887119,0.07697434188603798
2021,pixel,pixel (1 km),all,lit_only,2051,0.5254365581284344,0.46024829047527616,0.5518878822244959,36787.920907616615,0.07593765041282535
2022,pixel,pixel (1 km),all,lit_only,2345,0.5599325762964278,0.5314373064319298,0.6489391662819948,37565.91536438465,0.086822910881558
1992,pixel,pixel (1 km),all,zeros_included,27009,0.9885312645448705,4.230969666229527,nan,6969.0,0.020733829464252656
1993,pixel,pixel (1 km),all,zeros_included,27009,0.9879167703356195,4.178699562571111,nan,9521.0,0.021104076418971454
1994,pixel,pixel (1 km),all,zeros_included,27009,0.9887309153902384,4.24874523250148,nan,9269.0,0.019252841645377466
1995,pixel,pixel (1 km),all,zeros_included,27009,0.9879445297978353,4.171616000610898,nan,9944.0,0.02162242215557777
1996,pixel,pixel (1 km),all,zeros_included,27009,0.9873746218127877,4.1246162787696745,nan,10340.0,0.02325150875634048
1997,pixel,pixel (1 km),all,zeros_included,27009,0.9867952835707481,4.073201888488775,nan,10514.0,0.02584323743937206
1998,pixel,pixel (1 km),all,zeros_included,27009,0.986041117917323,4.020113250278703,nan,10747.0,0.027583398126550408
1999,pixel,pixel (1 km),all,zeros_included,27009,0.9858766232261247,4.0120604571190785,nan,10823.0,0.02725017586730349
2000,pixel,pixel (1 km),all,zeros_included,27009,0.9860967002860399,4.026043013863705,nan,10758.0,0.026991002999000334
2001,pixel,pixel (1 km),all,zeros_included,27009,0.9873772885784877,4.11452833892457,nan,10357.0,0.02465844718427191
2002,pixel,pixel (1 km),all,zeros_included,27009,0.9870508638240063,4.094268034699759,nan,10581.0,0.024288200229553112
2003,pixel,pixel (1 km),all,zeros_included,27009,0.9892030286095304,4.268023655792578,nan,9818.0,0.01995631085934318
2004,pixel,pixel (1 km),all,zeros_included,27009,0.9903104456879634,4.354429385408569,nan,9280.0,0.01995631085934318
