year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,decentralized administration,0.4173441758742057,0.07260375341640327,0.3447404224578001,0.17396613541885683,0.8260338645811377,,2.3314683517128287e-15,7
1993,all,lit_only,theil_l,decentralized administration,0.33545896994066005,0.05632954545762938,0.27912942448304995,0.16791783945319338,0.8320821605468641,,1.9262369477246466e-14,7
1994,all,lit_only,theil_l,decentralized administration,0.355727505507435,0.0509143681827632,0.3048131373247145,0.1431274427602536,0.8568725572398664,,4.268807529683727e-14,7
1995,all,lit_only,theil_l,decentralized administration,0.30385131993116155,0.04456802760060592,0.25928329233058606,0.14667709065967838,0.8533229093404218,,3.042011087472929e-14,7
1996,all,lit_only,theil_l,decentralized administration,0.29790151697418743,0.04435980505991144,0.25354171191431263,0.14890761722356427,0.8510923827765587,,3.6637359812630166e-14,7
1997,all,lit_only,theil_l,decentralized administration,0.36782773361227494,0.04952003817108387,0.31830769544125154,0.13462834268848975,0.8653716573116746,,6.045164369083977e-14,7
1998,all,lit_only,theil_l,decentralized administration,0.3662723912374979,0.0486973818268293,0.317575009410746,0.1329540063401967,0.8670459936600147,,7.743805596760467e-14,7
1999,all,lit_only,theil_l,decentralized administration,0.384641997412803,0.04942140488400171,0.3352205925288971,0.12848676227874822,0.8715132377215007,,9.575673587391975e-14,7
2000,all,lit_only,theil_l,decentralized administration,0.36006139321271335,0.046971934592190366,0.3130894586206103,0.1304553486645006,0.8695446513357419,,8.72635297355373e-14,7
2001,all,lit_only,theil_l,decentralized administration,0.3621603699041477,0.04559364277056187,0.3165667271336705,0.12589351723555245,0.8741064827646814,,8.471001677889944e-14,7
2002,all,lit_only,theil_l,decentralized administration,0.3704316789645533,0.04438307939175229,0.3260485995729018,0.11981448108275673,0.8801855189175153,,1.0075273948473296e-13,7
2003,all,lit_only,theil_l,decentralized administration,0.34695455015691457,0.04218296230815025,0.3047715878488723,0.12158065743502276,0.8784193425652885,,1.0802470029602773e-13,7
2004,all,lit_only,theil_l,decentralized administration,0.35929606177198664,0.042914571267058374,0.3163814905050413,0.11944069482813438,0.8805593051721802,,1.1302070390684094e-13,7
