year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,arrondissement,0.39954629034203637,0.01158032182532575,0.3879659685167091,0.028983680002165148,0.9710163199978311,,1.4988010832439613e-15,2
1993,all,lit_only,theil_l,arrondissement,0.3424248131659231,0.0026288029804166432,0.3397960101855006,0.007677022456730809,0.992322977543252,,5.88418203051333e-15,2
1994,all,lit_only,theil_l,arrondissement,0.4288280797114593,0.0010039430178517168,0.4278241366936036,0.002341131715365348,0.9976588682846254,,3.9968028886505635e-15,2
1995,all,lit_only,theil_l,arrondissement,0.38274308301901794,0.0017722125574678137,0.3809708704615429,0.004630292841581556,0.9953697071583996,,7.271960811294775e-15,2
1996,all,lit_only,theil_l,arrondissement,0.39188100519574287,0.004923491335704584,0.3869575138600338,0.01256374070298539,0.9874362592970032,,4.496403249731884e-15,2
1997,all,lit_only,theil_l,arrondissement,0.42294105230276835,0.0029533144107591787,0.41998773789200516,0.006982803855713223,0.9930171961442773,,3.9968028886505635e-15,2
1998,all,lit_only,theil_l,arrondissement,0.43559452305047663,0.00671405421765367,0.4288804688328195,0.015413541406891487,0.9845864585931006,,3.4416913763379853e-15,2
1999,all,lit_only,theil_l,arrondissement,0.4601394304404316,0.0065914194484260336,0.4535480109920024,0.01432483071949936,0.9856751692804938,,3.1086244689504383e-15,2
2000,all,lit_only,theil_l,arrondissement,0.5076228078009656,0.0042570874757268465,0.5033657203252386,0.008386320335306945,0.9916136796646928,,1.1102230246251565e-16,2
2001,all,lit_only,theil_l,arrondissement,0.4986263408106011,0.007616771684310866,0.491009569126291,0.01527551005815,0.9847244899418516,,7.771561172376096e-16,2
2002,all,lit_only,theil_l,arrondissement,0.43816088002362197,0.01325816823094024,0.4249027117926819,0.03025867628854833,0.969741323711452,,1.6653345369377348e-16,2
2003,all,lit_only,theil_l,arrondissement,0.46334259297438135,0.016123799727381878,0.4472187932470001,0.03479887230715562,0.9652011276928457,,6.106226635438361e-16,2
2004,all,lit_only,theil_l,arrondissement,0.44873777652243585,0.012224394020302058,0.4365133825021363,0.0272417314963695,0.972758268503636,,2.4980018054066022e-15,2
2005,all,lit_only,theil_l,arrondissement,0.40423628073622914,0.01183215202756014,0.39240412870866964,0.029270386136569505,0.970729613863432,,6.661338147750939e-16,2
2006,all,lit_only,theil_l,arrondissement,0.3940009190904895,0.015405687959580076,0.37859523113090954,0.03910063965115238,0.9608993603488479,,1.1102230246251565e-16,2
2007,all,lit_only,theil_l,arrondissement,0.4075074098190524,0.013951228253169468,0.3935561815658815,0.034235520427381434,0.965764479572615,,1.4432899320127035e-15,2
2008,all,lit_only,theil_l,arrondissement,0.3742572537260544,0.0113232596673868,0.3629339940586631,0.030255284445802895,0.9697447155541852,,4.496403249731884e-15,2
2009,all,lit_only,theil_l,arrondissement,0.40096612681375277,0.007604529048284049,0.3933615977654672,0.018965514889531614,0.9810344851104646,,1.4988010832439613e-15,2
2010,all,lit_only,theil_l,arrondissement,0.3894033732121758,0.006365433769033153,0.3830379394431396,0.016346632327616725,0.9836533676723754,,3.0531133177191805e-15,2
2011,all,lit_only,theil_l,arrondissement,0.331608601678513,0.004761324585363623,0.32684727709314443,0.014358266224890084,0.9856417337750949,,4.9960036108132044e-15,2
