year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,department,all,,18,0.6917825251008893,0.9397289366138258,nan,48920.0,nan
1993,adm1,department,all,,18,0.6395893603350808,0.7784946075763102,1.186216534203606,79225.0,nan
1994,adm1,department,all,,18,0.6359352663665738,0.7671905512132832,1.1037734807401034,80956.0,nan
1995,adm1,department,all,,18,0.6214874893876119,0.7276268590543171,1.005745554416503,93895.0,nan
1996,adm1,department,all,,18,0.6218842184262727,0.7308918918761789,1.0051049291354948,101752.0,nan
1997,adm1,department,all,,18,0.6185868961970993,0.7248931640256128,0.9889910986382177,105970.0,nan
1998,adm1,department,all,,18,0.5994422070768024,0.6773350103621248,0.910120812466832,120117.0,nan
1999,adm1,department,all,,18,0.5893844548288378,0.6521739755661575,0.8744666376156641,125078.0,nan
2000,adm1,department,all,,18,0.5789525026888227,0.630623976734141,0.8361701158361013,133086.0,nan
2001,adm1,department,all,,18,0.5707196226394864,0.612035415440063,0.8358168301703062,138980.0,nan
2002,adm1,department,all,,18,0.5638432099800821,0.5960864506922778,0.8101710227104973,144239.0,nan
2003,adm1,department,all,,18,0.5518294653745222,0.569860970543058,0.7738374355131558,150474.0,nan
2004,adm1,department,all,,18,0.5289479332695155,0.5211105076525501,0.708439070008585,159949.0,nan
2005,adm1,department,all,,18,0.5175380603497679,0.4975798893747308,0.6877759307500536,166579.0,nan
2006,adm1,department,all,,18,0.51109029416417,0.48265303662730596,0.67093835056303,171798.0,nan
2007,adm1,department,all,,18,0.5073255303693314,0.47875151562928897,0.6688207212480651,172892.0,nan
2008,adm1,department,all,,18,0.5076201380018894,0.48172077814966835,0.6766378154078597,169630.0,nan
2009,adm1,department,all,,18,0.4993460904598328,0.46506828917054954,0.6716123124903999,180222.0,nan
2010,adm1,department,all,,18,0.4752493505407316,0.4246944855911935,0.6204582928161614,193814.0,nan
2011,adm1,department,all,,18,0.4943459237642187,0.4621194176193781,0.6500848570077664,190458.0,nan
2012,adm1,department,all,,18,0.5045002252721169,0.4804957160582214,0.6571590340921583,195285.0,nan
2013,adm1,department,all,,18,0.49401946420328446,0.4565249088950838,0.6329985045732271,207299.0,nan
2014,adm1,department,all,,18,0.4827595975133061,0.43437734624976604,0.6111588043606185,221104.47547471523,nan
2015,adm1,department,all,,18,0.47279550853061836,0.41909387825701605,0.600677486859455,227106.9227617979,nan
2016,adm1,department,all,,18,0.4682773703655181,0.4109121317899091,0.5981444662398826,230565.24711287022,nan
2017,adm1,department,all,,18,0.4107927462351417,0.3120410261344657,0.5197805435843457,294987.10532927513,nan
2018,adm1,department,all,,18,0.4103477186783593,0.30964297626791504,0.5185178909777213,299212.50075912476,nan
2019,adm1,department,all,,18,0.40560454342743224,0.3031523185294515,0.5063811797824251,307696.2990643978,nan
2020,adm1,department,all,,18,0.3991385384255275,0.29075126924082917,0.48590642663823913,340016.67348217964,nan
2021,adm1,department,all,,18,0.4102314128720346,0.30542396806753636,0.5002376984560758,339054.6114470959,nan
2022,adm1,department,all,,18,0.409177451680685,0.3026517322470801,0.4990480757642233,344008.8467720747,nan
1992,adm2,municipality,all,,298,0.9078040987952278,2.1108300175516344,nan,48920.0,nan
1993,adm2,municipality,all,,298,0.8564394430500113,1.674939077951912,nan,79225.0,nan
1994,adm2,municipality,all,,298,0.843320854169588,1.5963712726493386,nan,80956.0,nan
1995,adm2,municipality,all,,298,0.8240640545407445,1.477025590879341,nan,93895.0,nan
1996,adm2,municipality,all,,298,0.8176132463179533,1.4453760921612442,nan,101752.0,nan
1997,adm2,municipality,all,,298,0.8085720375061634,1.4068700162277288,nan,105970.0,nan
1998,adm2,municipality,all,,298,0.7721106063557757,1.2467144969960886,nan,120117.0,nan
1999,adm2,municipality,all,,298,0.7595775703866692,1.1904067272633092,nan,125078.0,nan
2000,adm2,municipality,all,,298,0.7439177175900755,1.1265877169671612,nan,133086.0,nan
2001,adm2,municipality,all,,298,0.728634282536041,1.0713781002989013,nan,138980.0,nan
2002,adm2,municipality,all,,298,0.7252280823705277,1.0551443431880567,nan,144239.0,nan
2003,adm2,municipality,all,,298,0.7140138064136519,1.0113124665555366,nan,150474.0,nan
2004,adm2,municipality,all,,298,0.6815828734119689,0.9031145981110236,nan,159949.0,nan
2005,adm2,municipality,all,,298,0.6628847513277019,0.8463666122413295,nan,166579.0,nan
2006,adm2,municipality,all,,298,0.650668193870366,0.8117693281985607,nan,171798.0,nan
2007,adm2,municipality,all,,298,0.6571188736066331,0.8253560568081093,nan,172892.0,nan
2008,adm2,municipality,all,,298,0.667108831589881,0.852554865982727,nan,169630.0,nan
2009,adm2,municipality,all,,298,0.6499756393539271,0.7969687472613776,nan,180222.0,nan
2010,adm2,municipality,all,,298,0.6169696093672492,0.7042758693929909,nan,193814.0,nan
2011,adm2,municipality,all,,298,0.6494751211090295,0.791608740964,nan,190458.0,nan
2012,adm2,municipality,all,,298,0.6550257728411173,0.8113150777044666,nan,195285.0,nan
2013,adm2,municipality,all,,298,0.6301876117721958,0.7381906160361882,nan,207299.0,nan
2014,adm2,municipality,all,,298,0.6139611450004872,0.6905000404359606,nan,221104.47547471523,nan
2015,adm2,municipality,all,,298,0.6151749670607469,0.690026277426871,nan,227106.9227617979,nan
2016,adm2,municipality,all,,298,0.6094975590996285,0.6746563223556417,nan,230565.24711287022,nan
2017,adm2,municipality,all,,298,0.5113207768936536,0.4633238163916608,nan,294987.10532927513,nan
2018,adm2,municipality,all,,298,0.5098462604716014,0.45989178191548413,nan,299212.50075912476,nan
2019,adm2,municipality,all,,298,0.5016482826662576,0.4448017825414971,nan,307696.2990643978,nan
2020,adm2,municipality,all,,298,0.47653780485777775,0.4026408863209593,nan,340016.67348217964,nan
2021,adm2,municipality,all,,298,0.4896668709043579,0.4231125648836629,nan,339054.6114470959,nan
2022,adm2,municipality,all,,298,0.4839903226426088,0.4134512800949175,nan,344008.8467720747,nan
1992,pixel,pixel (1 km),all,lit_only,4373,0.5397294200511986,0.520576208483511,0.5377155050829301,48920.0,0.038947621549889115
1993,pixel,pixel (1 km),all,lit_only,7948,0.4771165097589998,0.44246793536017104,0.39294217565542877,79225.0,0.07078794787983506
1994,pixel,pixel (1 km),all,lit_only,8443,0.49232795360630566,0.4647442438447024,0.4234344822637117,80956.0,0.0751966084485968
1995,pixel,pixel (1 km),all,lit_only,9733,0.46037232884729784,0.41839721783016626,0.37037231420732564,93895.0,0.08668584508233954
1996,pixel,pixel (1 km),all,lit_only,10348,0.45877295306143595,0.4176065699100453,0.3579209301826646,101752.0,0.09216327184958897
1997,pixel,pixel (1 km),all,lit_only,11038,0.48353097570938175,0.4545862184143552,0.40942761069992945,105970.0,0.09830867749089323
1998,pixel,pixel (1 km),all,lit_only,14092,0.5002858936682821,0.49153770773634303,0.44010400292852403,120117.0,0.12550877724240508
1999,pixel,pixel (1 km),all,lit_only,15114,0.4977890033221095,0.4908602231581485,0.4333880232002877,125078.0,0.13461110269952528
2000,pixel,pixel (1 km),all,lit_only,15994,0.48414071827135796,0.4692073653546712,0.4043944410799914,133086.0,0.14244872148843507
2001,pixel,pixel (1 km),all,lit_only,16969,0.4848531602764137,0.47217125677811284,0.4091297164364507,138980.0,0.1511324468511476
2002,pixel,pixel (1 km),all,lit_only,17587,0.4787619600670099,0.46197078049516743,0.39744562775378395,144239.0,0.15663659277335923
2003,pixel,pixel (1 km),all,lit_only,18440,0.4690779090352146,0.4468063373055387,0.37941654368233446,150474.0,0.16423373916760925
2004,pixel,pixel (1 km),all,lit_only,20997,0.4726618935355964,0.45794141618608586,0.38717862595898644,159949.0,0.18700736558038458
2005,pixel,pixel (1 km),all,lit_only,22052,0.46310057847910313,0.4455489891508795,0.37143637905409255,166579.0,0.1964036017420889
2006,pixel,pixel (1 km),all,lit_only,23297,0.461637293436596,0.445660794833818,0.37068445477109646,171798.0,0.20749205105139876
2007,pixel,pixel (1 km),all,lit_only,22201,0.44725363556242903,0.41988220026407697,0.344989250772502,172892.0,0.19773065310521112
2008,pixel,pixel (1 km),all,lit_only,19803,0.4245959921521272,0.38214620911865593,0.30496130599882276,169630.0,0.176373141905432
2009,pixel,pixel (1 km),all,lit_only,20747,0.4144346772151537,0.3652070328469226,0.29513830083135556,180222.0,0.1847807693335352
2010,pixel,pixel (1 km),all,lit_only,22538,0.39158228658791416,0.3429651661878233,0.27263374875227764,193814.0,0.20073210484596407
2011,pixel,pixel (1 km),all,lit_only,18937,0.3886502823373754,0.3215572864868667,0.2555666509035475,190458.0,0.1686602125063458
2012,pixel,pixel (1 km),all,lit_only,18634,0.4010851402472295,0.33159827560695754,0.27421613066280603,195285.0,0.16596157785516436
2013,pixel,pixel (1 km),all,lit_only,20821,0.41212360642550694,0.34591831675908136,0.30246097676299105,207299.0,0.18543984182260262
2014,pixel,pixel (1 km),all,lit_only,23751,0.45912516432533534,0.4076331710195895,0.4035335563914816,221104.47547471523,0.21153554983567718
2015,pixel,pixel (1 km),all,lit_only,24923,0.48148522557857665,0.4352263687025011,0.4446523812178178,227106.9227617979,0.22197383304090704
2016,pixel,pixel (1 km),all,lit_only,25824,0.4898454329702331,0.4478180223930476,0.4594809834589222,230565.24711287022,0.22999848591455213
2017,pixel,pixel (1 km),all,lit_only,41859,0.534109842717932,0.527681912772181,0.5125355626921219,294987.10532927513,0.3728123691874705
2018,pixel,pixel (1 km),all,lit_only,41755,0.5273980408834675,0.5150304485842612,0.4953327497886122,299212.50075912476,0.3718861051487812
2019,pixel,pixel (1 km),all,lit_only,44141,0.5326340025247993,0.5272221172890019,0.5044341789010183,307696.2990643978,0.3931367397287115
2020,pixel,pixel (1 km),all,lit_only,46878,0.5125073907583766,0.48958349383979227,0.45715906803869893,340016.67348217964,0.4175135154392184
2021,pixel,pixel (1 km),all,lit_only,44768,0.5057451941594351,0.47385359167853014,0.44425146428623474,339054.6114470959,0.39872104311580975
2022,pixel,pixel (1 km),all,lit_only,46225,0.5091227383791448,0.4815203399979088,0.45141002690015597,344008.8467720747,0.41169764604244785
1992,pixel,pixel (1 km),all,zeros_included,112279,0.9820735556416063,3.766113781201084,nan,48920.0,0.038947621549889115
1993,pixel,pixel (1 km),all,zeros_included,112279,0.9629861507455939,3.0905344558189567,nan,79225.0,0.07078794787983506
1994,pixel,pixel (1 km),all,zeros_included,112279,0.9618247839070355,3.0523933933056955,nan,80956.0,0.0751966084485968
1995,pixel,pixel (1 km),all,zeros_included,112279,0.9532219192963134,2.8638618895341654,nan,93895.0,0.08668584508233954
1996,pixel,pixel (1 km),all,zeros_included,112279,0.9501187445406509,2.8018001507346186,nan,101752.0,0.09216327184958897
1997,pixel,pixel (1 km),all,zeros_included,112279,0.9492266132569773,2.7742291985454015,nan,105970.0,0.09830867749089323
1998,pixel,pixel (1 km),all,zeros_included,112279,0.937281493543525,2.5669172924057078,nan,120117.0,0.12550877724240508
1999,pixel,pixel (1 km),all,zeros_included,112279,0.9323968239493616,2.496225601707976,nan,125078.0,0.13461110269952528
2000,pixel,pixel (1 km),all,zeros_included,112279,0.9265165048498125,2.417980558593329,nan,133086.0,0.14244872148843507
2001,pixel,pixel (1 km),all,zeros_included,112279,0.9221445976249385,2.3617699519357798,nan,138980.0,0.1511324468511476
2002,pixel,pixel (1 km),all,zeros_included,112279,0.9183550494010324,2.315797632889297,nan,144239.0,0.15663659277335923
2003,pixel,pixel (1 km),all,zeros_included,112279,0.9128046797941678,2.2532709643254467,nan,150474.0,0.16423373916760925
2004,pixel,pixel (1 km),all,zeros_included,112279,0.9013838899399436,2.1345486909589297,nan,159949.0,0.18700736558038458
2005,pixel,pixel (1 km),all,zeros_included,112279,0.8945510198400519,2.0731325335717985,nan,166579.0,0.1964036017420889
2006,pixel,pixel (1 km),all,zeros_included,112279,0.8882940178055772,2.0183230430650094,nan,171798.0,0.20749205105139876
2007,pixel,pixel (1 km),all,zeros_included,112279,0.8907051003582283,2.0407317125036517,nan,172892.0,0.19773065310521112
2008,pixel,pixel (1 km),all,zeros_included,112279,0.8985141872708928,2.1172996128922685,nan,169630.0,0.176373141905432
2009,pixel,pixel (1 km),all,zeros_included,112279,0.8917987891607764,2.053792220084276,nan,180222.0,0.1847807693335352
2010,pixel,pixel (1 km),all,zeros_included,112279,0.8778710317612235,1.9487492378060214,nan,193814.0,0.20073210484596407
2011,pixel,pixel (1 km),all,zeros_included,112279,0.8968896267033273,2.1014264513544543,nan,190458.0,0.1686602125063458
2012,pixel,pixel (1 km),all,zeros_included,112279,0.9006031448745258,2.1275972517270803,nan,195285.0,0.16596157785516436
2013,pixel,pixel (1 km),all,zeros_included,112279,0.8909842945643041,2.03094306913438,nan,207299.0,0.18543984182260262
2014,pixel,pixel (1 km),all,zeros_included,112279,0.8855857442432786,1.960995381310539,nan,221104.47547471523,0.21153554983567718
2015,pixel,pixel (1 km),all,zeros_included,112279,0.8849032880333354,1.9404221419445806,nan,227106.9227617979,0.22197383304090704
2016,pixel,pixel (1 km),all,zeros_included,112279,0.8826652220007598,1.9175005754538654,nan,230565.24711287022,0.22999848591455213
2017,pixel,pixel (1 km),all,zeros_included,112279,0.826310386682549,1.5143619303423574,nan,294987.10532927513,0.3728123691874705
2018,pixel,pixel (1 km),all,zeros_included,112279,0.8242458981384693,1.5041980891274247,nan,299212.50075912476,0.3718861051487812
2019,pixel,pixel (1 km),all,zeros_included,112279,0.8162612554925424,1.4608199066773544,nan,307696.2990643978,0.3931367397287115
2020,pixel,pixel (1 km),all,zeros_included,112279,0.7964652469648927,1.363021856745486,nan,340016.67348217964,0.4175135154392184
2021,pixel,pixel (1 km),all,zeros_included,112279,0.8029302082502481,1.3933468383438155,nan,339054.6114470959,0.39872104311580975
2022,pixel,pixel (1 km),all,zeros_included,112279,0.7979069868949311,1.368986407873076,nan,344008.8467720747,0.41169764604244785
