iso3,gid,name,area_km2,pixels_total,pixels_classified,pixels_unclassified,hyper_arid_share,arid_share,semi_arid_share,dry_subhumid_share,humid_share,desert_share,dryland_share,level
IRL,IRL.1_1,Carlow,899.5075,1723,1723,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.2_1,Cavan,1932.4173,3812,3812,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.3_1,Clare,3265.863,6620,6273,347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.5_1,Donegal,4850.1392,9818,9785,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.6_1,Dublin,907.995,1776,1766,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.7_1,Galway,6155.7246,11968,11964,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.8_1,Kerry,4742.7408,9088,8960,128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.9_1,Kildare,1689.2109,3270,3270,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.10_1,Kilkenny,2067.3192,3946,3946,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.11_1,Laois,1723.2293,3320,3320,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.12_1,Leitrim,1586.7462,3141,3141,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.13_1,Limerick,2701.4812,5261,5147,114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.14_1,Longford,1090.5791,2137,2137,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.15_1,Louth,819.8536,1616,1614,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.16_1,Mayo,5586.5883,11014,11002,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.17_1,Meath,2342.2628,4581,4581,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.18_1,Monaghan,1298.8457,2572,2572,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.19_1,Offaly,2001.9639,3877,3877,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.20_1,Roscommon,2547.3949,4993,4993,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.21_1,Sligo,1839.0836,3644,3642,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.22_1,Tipperary,4305.4762,8231,8231,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.23_1,Waterford,1853.896,3514,3507,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.24_1,Westmeath,1833.8511,3578,3578,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.25_1,Wexford,2364.1438,4508,4501,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.26_1,Wicklow,2022.4111,3898,3896,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
IRL,IRL.4_1,NA,7458.7292,14098,14030,68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
