year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
1992,all,zeros_included,parish,Grouville,7,25.857142857142858,0.05785123966942149,0.05114439107092399,0.022403549805270817,0.0011458159126176938
1992,all,zeros_included,parish,Saint Berlade,12,33.083333333333336,0.09917355371900827,0.11217858152020345,0.035009175831250516,0.003927279684941072
1992,all,zeros_included,parish,Saint Clement,6,26.333333333333332,0.049586776859504134,0.04464538005086183,0.11418490792770841,0.005097828610505208
1992,all,zeros_included,parish,Saint Helier,10,54.8,0.08264462809917356,0.15484600169539417,0.002479143772329273,0.0003838855007732245
1992,all,zeros_included,parish,Saint John,12,20.5,0.09917355371900827,0.06951116134501271,0.026738440297389587,0.0018586200376258374
1992,all,zeros_included,parish,Saint Lawrence,8,40.0,0.06611570247933884,0.09042102288782142,0.02003299986909024,0.001811404339674732
1992,all,zeros_included,parish,Saint Martin,11,15.818181818181818,0.09090909090909091,0.049166431195252894,0.021267446047059213,0.00104564442277149
1992,all,zeros_included,parish,Saint Mary,7,23.285714285714285,0.05785123966942149,0.04605820853348404,0.010994530623270382,0.0005063883841743635
1992,all,zeros_included,parish,Saint Ouen,15,18.866666666666667,0.12396694214876033,0.07996609211641707,0.05953576267462202,0.004760842282259969
1992,all,zeros_included,parish,Saint Peter,11,36.54545454545455,0.09090909090909091,0.11359141000282566,0.005264721907548342,0.0005980271847511821
1992,all,zeros_included,parish,Saint Saviour,9,38.0,0.0743801652892562,0.09663746821135914,0.03464514127904961,0.003348018739032203
1992,all,zeros_included,parish,Trinity,13,25.0,0.10743801652892562,0.09183385137044363,0.06538794244497081,0.006004826587910572
1992,all,lit_only,parish,Grouville,7,25.857142857142858,0.05785123966942149,0.05114439107092399,0.022403549805270817,0.0011458159126176938
1992,all,lit_only,parish,Saint Berlade,12,33.083333333333336,0.09917355371900827,0.11217858152020345,0.035009175831250516,0.003927279684941072
1992,all,lit_only,parish,Saint Clement,6,26.333333333333332,0.049586776859504134,0.04464538005086183,0.11418490792770841,0.005097828610505208
1992,all,lit_only,parish,Saint Helier,10,54.8,0.08264462809917356,0.15484600169539417,0.002479143772329273,0.0003838855007732245
1992,all,lit_only,parish,Saint John,12,20.5,0.09917355371900827,0.06951116134501271,0.026738440297389587,0.0018586200376258374
