iso3,gid,name,area_km2,pixels_total,pixels_classified,pixels_unclassified,hyper_arid_share,arid_share,semi_arid_share,dry_subhumid_share,humid_share,desert_share,dryland_share,level
KAZ,KAZ.1_1,Almaty,222566.3969,365605,365601,4,0.0,0.25798137880972016,0.5843193522636024,0.05218717716647999,0.1055120917597941,0.25798137880972016,0.8944879082398026,adm1
KAZ,KAZ.2_1,Aqmola,147043.7476,275643,275643,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,adm1
KAZ,KAZ.3_1,Aqtöbe,301703.4159,529771,529771,0,0.0,0.6352743589544778,0.3647256410455805,0.0,0.0,0.6352743589544778,1.0000000000000582,adm1
KAZ,KAZ.4_1,Atyrau,117370.4966,201742,201742,0,0.0,0.9798166771346954,0.020183322865357727,0.0,0.0,0.9798166771346954,1.000000000000053,adm1
KAZ,KAZ.5_1,East Kazakhstan,280642.9793,494714,494714,0,0.0,0.021230088783157994,0.7827267150435071,0.10238118671370057,0.09366200945954026,0.021230088783157994,0.9063379905403657,adm1
KAZ,KAZ.6_1,Mangghystau,166122.2679,268959,268959,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adm1
KAZ,KAZ.7_1,North Kazakhstan,98861.3571,194306,194306,0,0.0,0.0,0.9892100070733932,0.010789992926553282,0.0,0.0,0.9999999999999465,adm1
KAZ,KAZ.8_1,Pavlodar,125090.5076,236062,236062,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,adm1
KAZ,KAZ.9_1,Qaraghandy,429772.363,748561,748561,0,0.0,0.5814603312006638,0.4185396687993817,0.0,0.0,0.5814603312006638,1.0000000000000455,adm1
KAZ,KAZ.10_1,Qostanay,201069.5585,375566,375566,0,0.0,0.29507554380545387,0.7049244561947068,0.0,0.0,0.29507554380545387,1.0000000000001608,adm1
KAZ,KAZ.11_1,Qyzylorda,229194.367,377855,377855,0,0.0,0.999358791109037,0.0006412088909645925,0.0,0.0,0.999358791109037,1.0000000000000016,adm1
KAZ,KAZ.12_1,South Kazakhstan,115895.552,184896,184896,0,0.0,0.691187122502591,0.26657981580915685,0.016021193890383856,0.026211867797480984,0.691187122502591,0.9737881322021316,adm1
KAZ,KAZ.13_1,West Kazakhstan,154941.2154,278623,278623,0,0.0,0.3037162055409431,0.6962837944591256,0.0,0.0,0.3037162055409431,1.0000000000000686,adm1
KAZ,KAZ.14_1,Zhambyl,140290.466,227829,227829,0,0.0,0.6829274635252169,0.3001459238884745,0.0070544539219783335,0.009872158664390432,0.6829274635252169,0.9901278413356698,adm1
