year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,district,0.3843525999824031,0.04885267085706489,0.3354999291253365,0.12710378662535787,0.8728962133746376,,1.7208456881689926e-15,172
1993,all,lit_only,theil_l,district,0.2908301375042235,0.03762433594133201,0.2532058015628871,0.12936876578269205,0.8706312342172928,,4.385380947269368e-15,172
1994,all,lit_only,theil_l,district,0.2774224371036809,0.041207938689952914,0.23621449841372513,0.14853859377838388,0.8514614062216057,,2.886579864025407e-15,172
1995,all,lit_only,theil_l,district,0.25571315885806445,0.03584644825002589,0.219866710608036,0.14018225894242203,0.859817741057568,,2.55351295663786e-15,172
1996,all,lit_only,theil_l,district,0.2937795781794941,0.032707979924935966,0.2610715982545553,0.11133510411997381,0.8886648958800164,,2.886579864025407e-15,172
1997,all,lit_only,theil_l,district,0.34294438338217004,0.038532423900033135,0.3044119594821333,0.11235764679981187,0.8876423532001776,,3.608224830031759e-15,172
1998,all,lit_only,theil_l,district,0.3386996655732603,0.03800235210321381,0.30069731347004325,0.11220073701251987,0.8877992629874705,,3.2751579226442118e-15,172
1999,all,lit_only,theil_l,district,0.38959610893941005,0.04411867609381484,0.345477432845592,0.1132420860514194,0.8867579139485724,,3.164135620181696e-15,172
2000,all,lit_only,theil_l,district,0.4338325455525097,0.056656490254536764,0.3771760552979706,0.13059529727623728,0.8694047027237573,,2.3314683517128287e-15,172
2001,all,lit_only,theil_l,district,0.4526791904643058,0.05564065879373109,0.3970385316705708,0.12291410775180842,0.8770858922481829,,3.941291737419306e-15,172
2002,all,lit_only,theil_l,district,0.4581975583392638,0.060203085624352635,0.39799447271490573,0.13139110963960307,0.8686088903603851,,5.440092820663267e-15,172
2003,all,lit_only,theil_l,district,0.4283294076588206,0.05319768980038218,0.3751317178584296,0.12419807944346423,0.8758019205565151,,8.826273045769994e-15,172
2004,all,lit_only,theil_l,district,0.48020087985557386,0.05603239786288097,0.424168481992684,0.1166853294390743,0.8833146705609072,,8.93729534823251e-15,172
2005,all,lit_only,theil_l,district,0.4707099135395168,0.054453285727037136,0.41625662781247086,0.11568332036513546,0.8843166796348458,,8.826273045769994e-15,172
2006,all,lit_only,theil_l,district,0.4701615320741349,0.055678671716288444,0.41448286035783927,0.11842455819526522,0.8815754418047195,,7.216449660063518e-15,172
2007,all,lit_only,theil_l,district,0.44240040123558755,0.05582084422620451,0.3865795570093762,0.12617720072201907,0.8738227992779655,,6.8833827526759706e-15,172
2008,all,lit_only,theil_l,district,0.4038494787630821,0.05491493252151742,0.34893454624155795,0.1359787133803216,0.8640212866196618,,6.716849298982197e-15,172
2009,all,lit_only,theil_l,district,0.37860059399060464,0.05278499552169716,0.32581559846890096,0.13942132252176834,0.8605786774782145,,6.5503158452884236e-15,172
2010,all,lit_only,theil_l,district,0.3779189471004385,0.048617106274279946,0.3293018408261522,0.12864426789736771,0.8713557321026155,,6.328271240363392e-15,172
2011,all,lit_only,theil_l,district,0.3527697917376561,0.0461302260509596,0.30663956568669415,0.1307658057220081,0.8692341942779852,,2.3314683517128287e-15,172
2012,all,lit_only,theil_l,district,0.3546260045416201,0.05177772566501415,0.3028482788766035,0.14600656748774143,0.8539934325122517,,2.4424906541753444e-15,172
2013,all,lit_only,theil_l,district,0.39938460362377326,0.058211336035037205,0.3411732675887329,0.14575257911011819,0.8542474208898739,,3.164135620181696e-15,172
2014,all,lit_only,theil_l,district,0.4369964591118775,0.05896880187064826,0.3780276572412252,0.13494114343739197,0.8650588565625988,,4.052314039881821e-15,172
2015,all,lit_only,theil_l,district,0.4351240568454622,0.056659368688527056,0.37846468815693146,0.13021428670088467,0.8697857132991069,,3.6637359812630166e-15,172
2016,all,lit_only,theil_l,district,0.46776350432569225,0.062434090449226036,0.40532941387646326,0.13347362475238067,0.866526375247613,,2.942091015256665e-15,172
2017,all,lit_only,theil_l,district,0.5304922808918144,0.07435893413346753,0.4561333467583448,0.14016968165580504,0.8598303183441911,,2.1094237467877974e-15,172
2018,all,lit_only,theil_l,district,0.5271678862829867,0.07595063227664542,0.45121725400634016,0.14407294953447655,0.8559270504655213,,1.1102230246251565e-15,172
2019,all,lit_only,theil_l,district,0.5168375856018048,0.07674251557204921,0.44009507002975534,0.1484847807318238,0.8515152192681756,,2.220446049250313e-16,172
