year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,KGZ.1.1_1,Batken,5952,5943.8538,465.0,0.078125,0.07823207187445454
1992,KGZ.1.2_1,Kadamjai,6068,6079.4341,4298.0,0.7083058668424522,0.7069736940829529
1992,KGZ.1.3_1,Lailak,4489,4491.6985,1805.0,0.40209400757406993,0.4018524367464587
1992,KGZ.2.1_1,Biškek,187,193.4483,8478.0,45.336898395721924,43.8256724671013
1992,KGZ.3.1_1,Alamüdün,1421,1423.4743,7642.0,5.377902885292048,5.368554958944303
1992,KGZ.3.2_1,Chui,1607,1608.8457,2849.0,1.7728686994399503,1.7708348760930848
1992,KGZ.3.3_1,Jaiyl,2993,2996.0871,3702.0,1.236886067490812,1.2356116144066442
1992,KGZ.3.4_1,Kemin,3388,3388.5266,1493.0,0.44067296340023615,0.4406044821825719
1992,KGZ.3.5_1,Moskovsky,1475,1481.4815,3303.0,2.239322033898305,2.229525007502084
1992,KGZ.3.6_1,Panfilov,4877,4871.1705,1639.0,0.33606725445970886,0.33646943483445974
1992,KGZ.3.7_1,Sokuluk,2013,2007.5807,7906.0,3.927471435668157,3.9380733122520235
1992,KGZ.3.8_1,Ysyk-Ata,1882,1881.9385,5433.0,2.8868225292242293,2.8869168363909394
1992,KGZ.4.1_1,Aksyi,4506,4508.9772,1791.0,0.3974700399467377,0.397207601538237
1992,KGZ.4.2_1,Ala-Buka,2964,2960.4216,363.0,0.12246963562753037,0.12261766867937499
1992,KGZ.4.3_1,Bazar-Korgon,1999,1999.7591,2800.0,1.4007003501750876,1.400168677115982
1992,KGZ.4.4_1,Chatkal,6079,6088.4621,0.0,0.0,0.0
1992,KGZ.4.5_1,Nooken,2391,2395.3462,4941.0,2.066499372647428,2.062749849302683
1992,KGZ.4.6_1,Suzak,2671,2669.7234,8801.0,3.2950205915387496,3.2965962390832346
1992,KGZ.4.7_1,Togus-Toro,3960,3960.8818,519.0,0.13106060606060607,0.1310314286918964
1992,KGZ.4.8_1,Toktogul,8658,8646.7742,931.0,0.10753060753060753,0.10767021109296958
1992,KGZ.5.1_1,Ak-Talaa,6487,6489.5255,326.0,0.0502543548635733,0.050234797929221135
1992,KGZ.5.2_1,At-Bashi,18370,18364.1992,386.0,0.021012520413718018,0.021019157760838396
1992,KGZ.5.3_1,Jumgal,5489,5484.8801,681.0,0.12406631444707597,0.12415950550475044
1992,KGZ.5.4_1,Kochkor,6503,6505.7574,708.0,0.10887282792557282,0.10882668323189729
1992,KGZ.5.5_1,Naryn,7921,7924.4423,1199.0,0.15136977654336572,0.1513040238319843
1992,KGZ.5.6_1,Song-Kol,284,283.9799,0.0,0.0,0.0
1992,KGZ.7.1_1,Alai,7561,7567.9734,251.0,0.03319666710752546,0.03316607866059817
1992,KGZ.7.2_1,Aravan,557,551.4249,2583.0,4.637342908438061,4.684227873359787
