year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,province,all,,25,0.9437667792627134,2.9296375494276568,,4116.0,
1993,adm1,province,all,,25,0.9344748553232418,2.6935528375607967,,6450.0,
1994,adm1,province,all,,25,0.9411925084549522,2.8331725043525102,,6651.0,
1995,adm1,province,all,,25,0.9473322833441791,2.9129606899420177,,6852.0,
1996,adm1,province,all,,25,0.9460293555988646,2.8863934358419643,,7936.0,
1997,adm1,province,all,,25,0.9393796085974044,2.788938760540947,,9954.0,
1998,adm1,province,all,,25,0.9347756476595495,2.7204558146154687,,10924.0,
1999,adm1,province,all,,25,0.9256348043618494,2.617514186751639,,13561.0,
2000,adm1,province,all,,25,0.92102810260753,2.5632352486231795,,15389.0,
2001,adm1,province,all,,25,0.9225872929445094,2.5758824579507102,,15239.0,
2002,adm1,province,all,,25,0.9222818819840479,2.580882684988933,,15691.0,
2003,adm1,province,all,,25,0.9196381935814828,2.575271549827447,,16423.0,
2004,adm1,province,all,,25,0.9173072443836132,2.549820995899049,,17952.0,
2005,adm1,province,all,,25,0.9210482518474838,2.5727997996285796,,17100.0,
2006,adm1,province,all,,25,0.9153217118430339,2.527318662109708,,19026.0,
2007,adm1,province,all,,25,0.9163085384282175,2.5367766382348393,,20310.0,
2008,adm1,province,all,,25,0.9327577616036891,2.6800782146700715,,16204.0,
2009,adm1,province,all,,25,0.9293632991909675,2.6452558321919595,,18319.0,
2010,adm1,province,all,,25,0.8320599346353679,1.9819087443455694,1.6557503141575316,49936.0,
2011,adm1,province,all,,25,0.8703780977721398,2.1923036503677134,2.019547831547422,38400.0,
2012,adm1,province,all,,25,0.8698982246168789,2.172284298505543,2.02452881194113,41058.0,
2013,adm1,province,all,,25,0.8098302689989321,1.8434247981267269,1.4869465446331136,69366.0,
2014,adm1,province,all,,25,0.8071395326331048,1.8330226825463756,1.4641659931358932,72336.64487099648,
2015,adm1,province,all,,25,0.8081592543827272,1.8218029208242374,1.467177911315772,81863.35484993458,
2016,adm1,province,all,,25,0.8069252083039073,1.7962937145415445,1.4602626698102765,88249.43532419205,
2017,adm1,province,all,,25,0.8134503800417869,1.8440849028068567,1.5226436097491325,100174.76403021812,
2018,adm1,province,all,,25,0.8120329080812763,1.831356770416544,1.5165703673231392,101405.63495230675,
2019,adm1,province,all,,25,0.8084109818315119,1.7948038947477751,1.4739494842377616,125898.19097507,
2020,adm1,province,all,,25,0.7763999435578643,1.57876462281708,1.2854836832805736,160928.50631535053,
2021,adm1,province,all,,25,0.7672708455731041,1.4975033258783423,1.2413567729128565,180544.23336529732,
2022,adm1,province,all,,25,0.7604245792717672,1.4536479136983549,1.209845784574447,193648.2467494011,
1992,adm2,district,all,,202,0.9738981207384569,3.3791280794479692,,4116.0,
1993,adm2,district,all,,202,0.9685254223951467,3.1910536096105826,,6450.0,
1994,adm2,district,all,,202,0.9681772978884928,3.177193663394968,,6651.0,
1995,adm2,district,all,,202,0.9682178111887507,3.1648215403823574,,6852.0,
1996,adm2,district,all,,202,0.9665955115805032,3.115170049432541,,7936.0,
1997,adm2,district,all,,202,0.9635881988566359,3.030949723022027,,9954.0,
1998,adm2,district,all,,202,0.96198202537033,2.990136967645701,,10924.0,
1999,adm2,district,all,,202,0.9554411472816011,2.8412688424381143,,13561.0,
2000,adm2,district,all,,202,0.9522578699559145,2.7745073748761393,,15389.0,
2001,adm2,district,all,,202,0.9528178681908601,2.783162376498036,,15239.0,
2002,adm2,district,all,,202,0.9525245052856579,2.7742499968435075,,15691.0,
2003,adm2,district,all,,202,0.9521458557089246,2.7683503010153054,,16423.0,
2004,adm2,district,all,,202,0.951384301057405,2.749027485159708,,17952.0,
2005,adm2,district,all,,202,0.952626661018326,2.7674537828449117,,17100.0,
2006,adm2,district,all,,202,0.9493286768689388,2.704652864045455,,19026.0,
2007,adm2,district,all,,202,0.9473440198264538,2.6654177617888286,,20310.0,
2008,adm2,district,all,,202,0.9567765521982257,2.8501347416339926,,16204.0,
2009,adm2,district,all,,202,0.9545818685838088,2.798763345460251,,18319.0,
2010,adm2,district,all,,202,0.9152763238072785,2.2301556251384342,,49936.0,
2011,adm2,district,all,,202,0.9243701353101708,2.3186162361731473,,38400.0,
