year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,KOR.1_1,Busan,789,783.4887,33332.0,42.245880861850445,42.54305234219314
1992,KOR.2_1,Chungcheongbuk-do,7414,7413.9685,72695.0,9.805098462368493,9.805140086317623
1992,KOR.3_1,Chungcheongnam-do,8268,8265.4635,93225.0,11.275399129172714,11.278859316403373
1992,KOR.4_1,Daegu,881,880.0809,29969.0,34.01702610669694,34.05255153401505
1992,KOR.5_1,Daejeon,537,539.8941,19073.0,35.51769087523277,35.3272953748763
1992,KOR.6_1,Gangwon-do,16762,16758.657,73810.0,4.403412480610905,4.404290867748032
1992,KOR.7_1,Gwangju,498,498.2485,17861.0,35.86546184738956,35.847571356086235
1992,KOR.8_1,Gyeonggi-do,10166,10188.3701,238285.0,23.43940586267952,23.387941187714645
1992,KOR.9_1,Gyeongsangbuk-do,19039,19034.6551,175112.0,9.197541887704187,9.199641331163354
1992,KOR.10_1,Gyeongsangnam-do,10561,10557.2568,150077.0,14.210491430735726,14.215529908442377
1992,KOR.11_1,Incheon,1102,1098.2137,26305.0,23.870235934664247,23.952533638461777
1992,KOR.12_1,Jeju,1851,1863.1158,18839.0,10.177741761210157,10.111555984891512
1992,KOR.13_1,Jeollabuk-do,8082,8096.2769,88037.0,10.892972036624597,10.87376343272511
1992,KOR.14_1,Jeollanam-do,12443,12427.3886,108553.0,8.724021538214258,8.73498073199788
1992,KOR.15_1,Sejong,464,465.2044,7480.0,16.120689655172413,16.078954396194792
1992,KOR.16_1,Seoul,603,605.6636,36870.0,61.14427860696517,60.87537821585663
1992,KOR.17_1,Ulsan,1057,1061.6799,29028.0,27.462630085146643,27.34157442346583
1993,KOR.1_1,Busan,789,783.4887,34350.0,43.536121673003805,43.842369133395366
1993,KOR.2_1,Chungcheongbuk-do,7414,7413.9685,94817.0,12.788912867547882,12.788967158186642
1993,KOR.3_1,Chungcheongnam-do,8268,8265.4635,114520.0,13.850991775520077,13.855242358965024
1993,KOR.4_1,Daegu,881,880.0809,33546.0,38.0771850170261,38.11695064099799
1993,KOR.5_1,Daejeon,537,539.8941,22140.0,41.229050279329606,41.008038567596145
1993,KOR.6_1,Gangwon-do,16762,16758.657,106258.0,6.339219663524639,6.340484203023579
1993,KOR.7_1,Gwangju,498,498.2485,20087.0,40.33534136546185,40.31522119868452
1993,KOR.8_1,Gyeonggi-do,10166,10188.3701,274705.0,27.021935864646863,26.96260521632143
1993,KOR.9_1,Gyeongsangbuk-do,19039,19034.6551,228456.0,11.999369714795945,12.002108707297358
1993,KOR.10_1,Gyeongsangnam-do,10561,10557.2568,170489.0,16.143262948584415,16.14898671055813
1993,KOR.11_1,Incheon,1102,1098.2137,28518.0,25.878402903811253,25.96762418938046
1993,KOR.12_1,Jeju,1851,1863.1158,19580.0,10.578065910318747,10.50927682914039
1993,KOR.13_1,Jeollabuk-do,8082,8096.2769,118425.0,14.652932442464737,14.627093546128004
1993,KOR.14_1,Jeollanam-do,12443,12427.3886,144072.0,11.578558225508319,11.593103313776668
1993,KOR.15_1,Sejong,464,465.2044,9444.0,20.353448275862068,20.300754721612783
1993,KOR.16_1,Seoul,603,605.6636,37642.0,62.424543946932005,62.15001320318078
1993,KOR.17_1,Ulsan,1057,1061.6799,30413.0,28.77294228949858,28.646110753095847
1994,KOR.1_1,Busan,789,783.4887,35397.0,44.863117870722434,45.178699860692745
1994,KOR.2_1,Chungcheongbuk-do,7414,7413.9685,99432.0,13.411383868357163,13.411440801468242
1994,KOR.3_1,Chungcheongnam-do,8268,8265.4635,122136.0,14.772133526850508,14.77666678968348
1994,KOR.4_1,Daegu,881,880.0809,34470.0,39.12599318955732,39.16685412851609
1994,KOR.5_1,Daejeon,537,539.8941,22650.0,42.17877094972067,41.952668182296875
1994,KOR.6_1,Gangwon-do,16762,16758.657,111975.0,6.680288748359384,6.681621323886816
1994,KOR.7_1,Gwangju,498,498.2485,20793.0,41.75301204819277,41.73218471569906
1994,KOR.8_1,Gyeonggi-do,10166,10188.3701,287931.0,28.322939209128467,28.260752015946725
1994,KOR.9_1,Gyeongsangbuk-do,19039,19034.6551,242092.0,12.715583801670256,12.718486278176245
1994,KOR.10_1,Gyeongsangnam-do,10561,10557.2568,178617.0,16.912887037212386,16.918883677420606
1994,KOR.11_1,Incheon,1102,1098.2137,29277.0,26.567150635208712,26.658746524738472
1994,KOR.12_1,Jeju,1851,1863.1158,22439.0,12.122636412749864,12.04380300148525
1994,KOR.13_1,Jeollabuk-do,8082,8096.2769,124645.0,15.422543924771096,15.395347899996832
1994,KOR.14_1,Jeollanam-do,12443,12427.3886,161409.0,12.971871735112112,12.988167116256998
1994,KOR.15_1,Sejong,464,465.2044,10287.0,22.170258620689655,22.11286148043527
1994,KOR.16_1,Seoul,603,605.6636,37665.0,62.46268656716418,62.187988079746134
1994,KOR.17_1,Ulsan,1057,1061.6799,32327.0,30.5837275307474,30.448914027400434
1995,KOR.1_1,Busan,789,783.4887,37404.0,47.40684410646388,47.74031950700205
