year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,province,all,,6,0.26474430977781016,0.17697205652536657,0.2859023457895639,189435.0,nan
1993,adm1,province,all,,6,0.24661933611015296,0.15125156749790417,0.22925902908499596,230280.0,nan
1994,adm1,province,all,,6,0.22715894988459429,0.12497801325383975,0.1773978867615172,281234.0,nan
1995,adm1,province,all,,6,0.2191319708600692,0.11556825790508199,0.161513642487761,301766.0,nan
1996,adm1,province,all,,6,0.21371178238831767,0.1106148123589116,0.15508914242289085,313747.0,nan
1997,adm1,province,all,,6,0.20849160028806102,0.10609103406336243,0.14935828315512029,325151.0,nan
1998,adm1,province,all,,6,0.2082461880369011,0.10586206914476848,0.14902383027279742,325742.0,nan
1999,adm1,province,all,,6,0.20770386440847233,0.10512622388488053,0.14755540820797738,327542.0,nan
2000,adm1,province,all,,6,0.20655817232879192,0.10364745509066085,0.14470883695361245,331210.0,nan
2001,adm1,province,all,,6,0.20586188013009687,0.10323245158631739,0.14447859168573762,332418.0,nan
2002,adm1,province,all,,6,0.20327534788818857,0.10077299616388256,0.1407238319364065,338985.0,nan
2003,adm1,province,all,,6,0.19623985523677168,0.09303163401943125,0.1272761113080043,359936.0,nan
2004,adm1,province,all,,6,0.19471207147498015,0.09110396818959635,0.12368438053862318,365227.0,nan
2005,adm1,province,all,,6,0.19046839384821523,0.08572245712571719,0.11374713673493708,380534.0,nan
2006,adm1,province,all,,6,0.19038553243310363,0.08576316786277544,0.11394209290557965,380593.0,nan
2007,adm1,province,all,,6,0.19041286950868797,0.08580320877250927,0.11401978253085794,380478.0,nan
2008,adm1,province,all,,6,0.19096837609916806,0.08662834198679134,0.11563226565154626,378127.0,nan
2009,adm1,province,all,,6,0.1901928942600748,0.08589814119114939,0.11449237579520061,380389.0,nan
2010,adm1,province,all,,6,0.1891332912656294,0.08472269359643952,0.11248264254668602,383904.0,nan
2011,adm1,province,all,,6,0.1878360540831432,0.08338990891575576,0.11027417184041154,388071.0,nan
2012,adm1,province,all,,6,0.18667845316555054,0.08210901708538487,0.10807504714034288,392059.0,nan
2013,adm1,province,all,,6,0.18492526059789527,0.08033695087075526,0.10522539185575688,397641.0,nan
2014,adm1,province,all,,6,0.180364638127541,0.07708089098333462,0.10115617724669794,408998.4787378311,nan
2015,adm1,province,all,,6,0.1767110109687291,0.07347119045271536,0.09537041239408395,421094.8049006462,nan
2016,adm1,province,all,,6,0.17487877098995463,0.0718079889063497,0.09282591120318784,426926.86068725586,nan
2017,adm1,province,all,,6,0.17117721749923898,0.06864805082579435,0.08807231725267484,438753.96357667446,nan
2018,adm1,province,all,,6,0.16877683265627286,0.06668579495225022,0.08520134844826237,446312.27181077003,nan
2019,adm1,province,all,,6,0.16635025665046976,0.064866966294816,0.08267834853209932,453546.54726707935,nan
2020,adm1,province,all,,6,0.16161318256404122,0.062236216609743156,0.0796323419473701,465724.9484666586,nan
2021,adm1,province,all,,6,0.15965911520326403,0.06097523600280616,0.07792412387673517,471583.0325796604,nan
2022,adm1,province,all,,6,0.1578673031256561,0.05957486584013466,0.07587453167992692,477502.7288813591,nan
1992,pixel,pixel (1 km),all,lit_only,11119,0.5208012505119306,0.47356055480549236,0.489127230619387,189435.0,0.637849931161083
1993,pixel,pixel (1 km),all,lit_only,12619,0.4879637227573008,0.40570226773391155,0.4191439506558744,230280.0,0.72389857732905
1994,pixel,pixel (1 km),all,lit_only,14621,0.4952113363297359,0.40817103754050543,0.46062847119949385,281234.0,0.8387448370812299
1995,pixel,pixel (1 km),all,lit_only,14543,0.4752026609642712,0.37318059615258914,0.40768235384127743,301766.0,0.8342703074804957
1996,pixel,pixel (1 km),all,lit_only,14295,0.46240454135190756,0.34982113086482675,0.3852550576081957,313747.0,0.8200435979807251
1997,pixel,pixel (1 km),all,lit_only,14346,0.46200128485339076,0.34858356214225195,0.40092719195204585,325151.0,0.822969251950436
1998,pixel,pixel (1 km),all,lit_only,14272,0.4610050705931594,0.34692520835024687,0.39941685800893234,325742.0,0.8187241854061497
1999,pixel,pixel (1 km),all,lit_only,14505,0.4665981016854883,0.3561333529618053,0.416668446408243,327542.0,0.8320904084442404
2000,pixel,pixel (1 km),all,lit_only,14681,0.4660909272770497,0.3548645779066299,0.4120935240785385,331210.0,0.8421867829279486
2001,pixel,pixel (1 km),all,lit_only,14514,0.4619371768833396,0.3481107590947121,0.40410132497310164,332418.0,0.8326067003212483
2002,pixel,pixel (1 km),all,lit_only,14937,0.47098316609865276,0.36328664474575073,0.43566918967262647,338985.0,0.8568724185406149
2003,pixel,pixel (1 km),all,lit_only,15261,0.46616981083206266,0.35579682521018113,0.43088170329680375,359936.0,0.8754589261128958
2004,pixel,pixel (1 km),all,lit_only,15446,0.4696502284837818,0.36235795467406673,0.4453928181120732,365227.0,0.8860715924736118
2005,pixel,pixel (1 km),all,lit_only,15408,0.4575373799329632,0.34322677427998494,0.41713484643675663,380534.0,0.8838916934373566
2006,pixel,pixel (1 km),all,lit_only,14946,0.4460863813616549,0.3253615581398016,0.3926893099330399,380593.0,0.8573887104176228
2007,pixel,pixel (1 km),all,lit_only,14683,0.43900735836100013,0.31463269724873266,0.37966326548491447,380478.0,0.8423015144561725
