iso3,gid,name,area_km2,pixels_total,pixels_classified,pixels_unclassified,hyper_arid_share,arid_share,semi_arid_share,dry_subhumid_share,humid_share,desert_share,dryland_share,level
LSO,LSO.1_1,Berea,1987.4859,2655,2655,0,0.0,0.0,0.2931465355542518,0.4896482337343059,0.21720523071144116,0.0,0.7827947692885577,adm1
LSO,LSO.2_1,Butha-Buthe,1790.5221,2383,2383,0,0.0,0.0,0.0008400596782116701,0.2834397331390751,0.7157202071827093,0.0,0.28427979281728677,adm1
LSO,LSO.3_1,Leribe,2822.4376,3764,3764,0,0.0,0.0,0.24723451758098913,0.3900591616352214,0.36270632078378806,0.0,0.6372936792162105,adm1
LSO,LSO.4_1,Mafeteng,2645.9178,3555,3555,0,0.0,0.0,0.7615842235739468,0.21845681228979183,0.019958964136270223,0.0,0.9800410358637387,adm1
LSO,LSO.5_1,Maseru,3773.6467,5059,5059,0,0.0,0.0,0.24189726537677383,0.575042045727687,0.18306068889553534,0.0,0.8169393111044608,adm1
LSO,LSO.6_1,Mohale's Hoek,3442.5265,4638,4638,0,0.0,0.0,0.6796153040700996,0.2715741750713725,0.04881052085855159,0.0,0.9511894791414721,adm1
LSO,LSO.7_1,Mokhotlong,4164.1335,5564,5564,0,0.0,0.0,0.025307536911541324,0.20728031513784995,0.7674121479506002,0.0,0.23258785204939128,adm1
LSO,LSO.8_1,Qacha's Nek,2127.982,2864,2864,0,0.0,0.0,0.32463265966514265,0.4317458124419134,0.24362152789294297,0.0,0.7563784721070561,adm1
LSO,LSO.9_1,Quthing,2967.0673,4009,4009,0,0.0,0.0,0.38117284253378103,0.4519421099475018,0.16688504751871547,0.0,0.8331149524812829,adm1
LSO,LSO.10_1,Thaba-Tseka,4832.6295,6479,6479,0,0.0,0.0,0.22364543892486896,0.33477172768774716,0.44158283338737264,0.0,0.5584171666126161,adm1
