year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,LTU.1.1_1,Alytaus,1501,1493.8469,3771.0,2.512325116588941,2.524355072784683
1992,LTU.1.2_1,Druskininkų,20,20.5404,399.0,19.95,19.42513332953807
1992,LTU.1.3_1,Lazdijų,1620,1621.2615,949.0,0.5858024691358025,0.585346661553178
1992,LTU.1.4_1,Varėnos,2513,2499.509,821.0,0.32670115399920413,0.3284645096025716
1992,LTU.2.1_1,Birštono,18,16.7857,118.0,6.555555555555555,7.029781150767562
1992,LTU.2.2_1,Jonavos,934,937.343,2702.0,2.892933618843683,2.8826161339731935
1992,LTU.2.3_1,Kaišiadorių,1181,1183.3213,4419.0,3.741744284504657,3.734404285617325
1992,LTU.2.4_1,Kauno,1671,1674.4334,13345.0,7.98623578695392,7.9698601244374085
1992,LTU.2.5_1,Kėdainių,1658,1655.2783,2610.0,1.5741857659831122,1.57677410276058
1992,LTU.2.6_1,Prienų,1151,1154.6046,1159.0,1.006950477845352,1.0038068771737692
1992,LTU.2.7_1,Raseinių,1556,1552.8083,692.0,0.44473007712082263,0.4456441826777071
1992,LTU.3.1_1,Klaipėdos,1320,1321.9293,4230.0,3.2045454545454546,3.1998685401614337
1992,LTU.3.2_1,Kretingos,989,987.1383,1059.0,1.070778564206269,1.0727980425000552
1992,LTU.3.3_1,Neringos,99,97.3912,354.0,3.5757575757575757,3.63482558175925
1992,LTU.3.4_1,Palangos,88,89.9702,300.0,3.409090909090909,3.3344377393010762
1992,LTU.3.5_1,Šilutės,1929,1929.0744,1528.0,0.7921202695697253,0.7920897177466832
1992,LTU.3.6_1,Skuodo,947,951.8503,278.0,0.293558606124604,0.29206272704118014
1992,LTU.4.1_1,Marijampolės,1616,1612.8112,3332.0,2.0618811881188117,2.065957842298971
1992,LTU.4.2_1,Šakių,1562,1549.4575,801.0,0.5128040973111395,0.5169551403355531
1992,LTU.4.3_1,Vilkaviškio,1279,1284.6829,920.0,0.7193119624706802,0.716130052084194
1992,LTU.5.1_1,Biržų,1483,1481.3969,1057.0,0.7127444369521241,0.7135157580541927
1992,LTU.5.2_1,Kupiškio,1082,1080.5852,705.0,0.6515711645101664,0.6524242903401217
1992,LTU.5.3_1,Panevėžio,2201,2203.1855,4395.0,1.9968196274420718,1.9948388771247563
1992,LTU.5.4_1,Pasvalio,1286,1285.1327,873.0,0.6788491446345256,0.6793072919494599
1992,LTU.5.5_1,Rokiškio,1794,1789.0688,1758.0,0.979933110367893,0.982634120791205
1992,LTU.6.1_1,Akmenės,1054,1052.8537,2332.0,2.2125237191650853,2.2149326409303915
1992,LTU.6.2_1,Joniškio,1157,1161.1274,680.0,0.5877268798617113,0.5856376935687517
1992,LTU.6.3_1,Kelmės,1662,1665.1689,454.0,0.273164861612515,0.2726450122386497
1992,LTU.6.4_1,Pakruojo,1319,1319.4645,952.0,0.7217589082638363,0.7215047963577229
1992,LTU.6.5_1,Radviliškio,1605,1608.7938,2434.0,1.5165109034267912,1.5129347164622724
