year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,province,all,,5,0.39497430704031133,0.29757825048699144,0.2729215910475572,80981.0,nan
1993,adm1,province,all,,5,0.35520757501328126,0.241095830124131,0.2185734477070662,94246.0,nan
1994,adm1,province,all,,5,0.375943708081943,0.2755836473432349,0.24964294935022685,90505.0,nan
1995,adm1,province,all,,5,0.3678330019198164,0.2650455724066537,0.23976266386602063,102975.0,nan
1996,adm1,province,all,,5,0.3434238326411385,0.2267813482425573,0.20581538394061877,117533.0,nan
1997,adm1,province,all,,5,0.3381862608497872,0.22256873247973943,0.20013914505072972,116461.0,nan
1998,adm1,province,all,,5,0.3441499697406609,0.23539748925989143,0.21052608531087819,118641.0,nan
1999,adm1,province,all,,5,0.3309340133078982,0.23094736323055481,0.2040725117526551,121395.0,nan
2000,adm1,province,all,,5,0.32269873231903756,0.21048536335594167,0.18671184310843486,130262.0,nan
2001,adm1,province,all,,5,0.3285161519512254,0.22008111183891677,0.19476212409247556,129501.0,nan
2002,adm1,province,all,,5,0.32471445272455246,0.21785388046414522,0.19222744980045622,129618.0,nan
2003,adm1,province,all,,5,0.3240032265994619,0.21933851344294097,0.1931831800192501,129596.0,nan
2004,adm1,province,all,,5,0.3225312034104528,0.21639861668067906,0.1909886311188167,132175.0,nan
2005,adm1,province,all,,5,0.3359762500207164,0.22596273355976915,0.20134647861411914,136648.0,nan
2006,adm1,province,all,,5,0.34418101477371477,0.23697956055863148,0.21121239104263856,130837.0,nan
2007,adm1,province,all,,5,0.3431596260455858,0.2378303085594305,0.21134363475034038,129321.0,nan
2008,adm1,province,all,,5,0.3505716638866827,0.25212127221774194,0.22367838076840618,128031.0,nan
2009,adm1,province,all,,5,0.340566662570295,0.23649363096287318,0.2102487746752275,137948.0,nan
2010,adm1,province,all,,5,0.31794904209957187,0.1935662932047203,0.1764144969537033,202809.0,nan
2011,adm1,province,all,,5,0.34476354331580583,0.22866175067085692,0.2074032064711667,178538.0,nan
2012,adm1,province,all,,5,0.33917291213829515,0.23129221213587217,0.2075029224274708,176124.0,nan
2013,adm1,province,all,,5,0.33043419460941137,0.22020379594365883,0.19749170221024934,182023.0,nan
2014,adm1,province,all,,5,0.3231202168232348,0.2109883713013147,0.18893613195182146,185810.84336090088,nan
2015,adm1,province,all,,5,0.3221719973943704,0.20631605491447066,0.18569401700463128,191036.99335038662,nan
2016,adm1,province,all,,5,0.31502833795408347,0.19555360760699236,0.17590856670332114,196882.91819095612,nan
2017,adm1,province,all,,5,0.3038739864695341,0.18492318246595227,0.16602726610512683,206265.01398921013,nan
2018,adm1,province,all,,5,0.2959623780840519,0.1742788440351865,0.1571621956573219,222282.95594239235,nan
2019,adm1,province,all,,5,0.3076119594696738,0.18455262747873266,0.16764491372445314,217030.58383905888,nan
2020,adm1,province,all,,5,0.3040582885478622,0.17974477295739924,0.16330260639967653,219612.24051129818,nan
2021,adm1,province,all,,5,0.2919146835919735,0.16245215583273,0.14879706096575834,243741.30003666878,nan
2022,adm1,province,all,,5,0.2879186395665745,0.15826632526818035,0.14456689857029906,246404.55890893936,nan
1992,adm2,district,all,,26,0.5069852558198136,0.5992803909383576,0.43622755696272525,80981.0,nan
1993,adm2,district,all,,26,0.4845055725562861,0.5168460338107004,0.39431002050008157,94246.0,nan
1994,adm2,district,all,,26,0.48935936017465287,0.556650878001824,0.4099343215019763,90505.0,nan
1995,adm2,district,all,,26,0.4731563575497366,0.5207231344520762,0.38779770311942136,102975.0,nan
1996,adm2,district,all,,26,0.4477544528504753,0.4527913074271098,0.34551946850422255,117533.0,nan
