year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,MDG.1.1_1,Analamanga,17337,17340.647,4421.0,0.25500374920689856,0.25495011879273094
1992,MDG.1.2_1,Bongolava,18002,17998.7111,0.0,0.0,0.0
1992,MDG.1.3_1,Itasy,6460,6449.6948,0.0,0.0,0.0
1992,MDG.1.4_1,Vakinankaratra,18053,18064.0795,343.0,0.018999612252811167,0.018987958925994357
1992,MDG.2.1_1,Diana,20085,20100.3016,609.0,0.030321135175504107,0.030298052857373883
1992,MDG.2.2_1,Sava,23761,23756.4829,39.0,0.0016413450612347965,0.0016416571503987964
1992,MDG.3.1_1,Amoron'i mania,16564,16551.2502,0.0,0.0,0.0
1992,MDG.3.2_1,Atsimo-Atsinana,16521,16523.6844,0.0,0.0,0.0
1992,MDG.3.3_1,Haute matsiatra,20902,20895.8183,0.0,0.0,0.0
1992,MDG.3.4_1,Ihorombe,26132,26123.1658,0.0,0.0,0.0
1992,MDG.3.5_1,Vatovavy Fitovinany,20681,20691.321,29.0,0.001402253275953774,0.001401553821620139
1992,MDG.4.1_1,Betsiboka,29545,29559.3503,0.0,0.0,0.0
1992,MDG.4.2_1,Boeny,30178,30155.3765,231.0,0.007654582808668566,0.007660325507845348
1992,MDG.4.3_1,Melaky,40799,40796.8078,15.0,0.00036765607000171575,0.00036767582611878366
1992,MDG.4.4_1,Sofia,51169,51161.1004,0.0,0.0,0.0
1992,MDG.5.1_1,Alaotra-Mangoro,27408,27403.4318,0.0,0.0,0.0
1992,MDG.5.2_1,Analanjirofo,21812,21824.1864,0.0,0.0,0.0
1992,MDG.5.3_1,Atsinanana,22022,22020.0236,904.0,0.041049859231677414,0.04105354370169321
1992,MDG.6.1_1,Androy,18783,18775.0462,0.0,0.0,0.0
1992,MDG.6.2_1,Anosy,29627,29627.5046,25.0,0.0008438248894589395,0.0008438105172144496
1992,MDG.6.3_1,Atsimo-Andrefana,66623,66659.927,402.0,0.00603395223871636,0.006030609667501788
1992,MDG.6.4_1,Menabe,48983,48968.4546,49.0,0.0010003470591837984,0.0010006441988219855
1993,MDG.1.1_1,Analamanga,17337,17340.647,8418.0,0.48555113341408546,0.48544901605908375
1993,MDG.1.2_1,Bongolava,18002,17998.7111,43.0,0.0023886234862793023,0.002389059952227763
1993,MDG.1.3_1,Itasy,6460,6449.6948,16.0,0.002476780185758514,0.002480737549374505
1993,MDG.1.4_1,Vakinankaratra,18053,18064.0795,948.0,0.05251204785908159,0.05247983983044504
1993,MDG.2.1_1,Diana,20085,20100.3016,1068.0,0.05317401045556385,0.05313353111933548
1993,MDG.2.2_1,Sava,23761,23756.4829,134.0,0.005639493287319558,0.005640565593677916
1993,MDG.3.1_1,Amoron'i mania,16564,16551.2502,263.0,0.015877807292924415,0.015890038288054895
1993,MDG.3.2_1,Atsimo-Atsinana,16521,16523.6844,9.0,0.0005447612130016343,0.0005446727136979327
1993,MDG.3.3_1,Haute matsiatra,20902,20895.8183,388.0,0.01856281695531528,0.018568308499987158
1993,MDG.3.4_1,Ihorombe,26132,26123.1658,16.0,0.0006122761365375785,0.0006124831923815456
1993,MDG.3.5_1,Vatovavy Fitovinany,20681,20691.321,91.0,0.004400174072820463,0.004397979233359746
1993,MDG.4.1_1,Betsiboka,29545,29559.3503,4.0,0.00013538669825689627,0.00013532097168881903
1993,MDG.4.2_1,Boeny,30178,30155.3765,718.0,0.02379216647889191,0.023810016080662164
1993,MDG.4.3_1,Melaky,40799,40796.8078,31.0,0.0007598225446702125,0.0007598633739788195
1993,MDG.4.4_1,Sofia,51169,51161.1004,135.0,0.002638316167992339,0.0026387235421403235
1993,MDG.5.1_1,Alaotra-Mangoro,27408,27403.4318,296.0,0.010799766491535318,0.010801566847946576
1993,MDG.5.2_1,Analanjirofo,21812,21824.1864,1.0,4.5846323124885384e-05,4.5820723009354594e-05
1993,MDG.5.3_1,Atsinanana,22022,22020.0236,1045.0,0.047452547452547456,0.04745680660206793
1993,MDG.6.1_1,Androy,18783,18775.0462,0.0,0.0,0.0
1993,MDG.6.2_1,Anosy,29627,29627.5046,134.0,0.004522901407499916,0.00452282437226945
1993,MDG.6.3_1,Atsimo-Andrefana,66623,66659.927,615.0,0.009231046335349654,0.009225932700282586
1993,MDG.6.4_1,Menabe,48983,48968.4546,163.0,0.0033276851152440642,0.003328673559346605
1994,MDG.1.1_1,Analamanga,17337,17340.647,8407.0,0.48491665224664016,0.48481466833080505
1994,MDG.1.2_1,Bongolava,18002,17998.7111,45.0,0.002499722253082991,0.0025001790197732403
1994,MDG.1.3_1,Itasy,6460,6449.6948,18.0,0.0027863777089783283,0.002790829743046318
1994,MDG.1.4_1,Vakinankaratra,18053,18064.0795,962.0,0.05328754223674736,0.05325485856211828
1994,MDG.2.1_1,Diana,20085,20100.3016,1081.0,0.05382125964650236,0.053780287584271204
1994,MDG.2.2_1,Sava,23761,23756.4829,143.0,0.006018265224527588,0.006019409551462254
1994,MDG.3.1_1,Amoron'i mania,16564,16551.2502,93.0,0.005614585848828785,0.005618910877525115
1994,MDG.3.2_1,Atsimo-Atsinana,16521,16523.6844,14.0,0.0008474063313358756,0.0008472686657523398
1994,MDG.3.3_1,Haute matsiatra,20902,20895.8183,413.0,0.019758874748827863,0.01976472013014097
1994,MDG.3.4_1,Ihorombe,26132,26123.1658,19.0,0.0007270779121383744,0.0007273237909530854
1994,MDG.3.5_1,Vatovavy Fitovinany,20681,20691.321,85.0,0.004110052705381752,0.004108002580610752
1994,MDG.4.1_1,Betsiboka,29545,29559.3503,3.0,0.0001015400236926722,0.00010149072876661427
1994,MDG.4.2_1,Boeny,30178,30155.3765,759.0,0.02515077208562529,0.025169640954349003
1994,MDG.4.3_1,Melaky,40799,40796.8078,31.0,0.0007598225446702125,0.0007598633739788195
1994,MDG.4.4_1,Sofia,51169,51161.1004,180.0,0.0035177548906564523,0.0035182980561870975
1994,MDG.5.1_1,Alaotra-Mangoro,27408,27403.4318,287.0,0.010471395213076475,0.010473140828921174
1994,MDG.5.2_1,Analanjirofo,21812,21824.1864,3.0,0.00013753896937465616,0.00013746216902806377
1994,MDG.5.3_1,Atsinanana,22022,22020.0236,1061.0,0.048179093633639085,0.04818341799501825
1994,MDG.6.1_1,Androy,18783,18775.0462,0.0,0.0,0.0
1994,MDG.6.2_1,Anosy,29627,29627.5046,136.0,0.004590407398656631,0.004590329213646605
1994,MDG.6.3_1,Atsimo-Andrefana,66623,66659.927,565.0,0.008480554763370007,0.00847585687099132
1994,MDG.6.4_1,Menabe,48983,48968.4546,164.0,0.003348100361349856,0.0033490948695266455
1995,MDG.1.1_1,Analamanga,17337,17340.647,9056.0,0.5223510411259157,0.5222411842992472
1995,MDG.1.2_1,Bongolava,18002,17998.7111,79.0,0.004388401288745695,0.004389203168046355
1995,MDG.1.3_1,Itasy,6460,6449.6948,37.0,0.005727554179566563,0.005736705582928542
1995,MDG.1.4_1,Vakinankaratra,18053,18064.0795,1104.0,0.06115327092450008,0.06111576284051828
1995,MDG.2.1_1,Diana,20085,20100.3016,1319.0,0.06567089868060742,0.06562090594232536
1995,MDG.2.2_1,Sava,23761,23756.4829,174.0,0.007322924119355246,0.007324316517163861
1995,MDG.3.1_1,Amoron'i mania,16564,16551.2502,118.0,0.007123883120019319,0.007129370790838318
1995,MDG.3.2_1,Atsimo-Atsinana,16521,16523.6844,0.0,0.0,0.0
1995,MDG.3.3_1,Haute matsiatra,20902,20895.8183,567.0,0.02712659075686537,0.02713461577188845
1995,MDG.3.4_1,Ihorombe,26132,26123.1658,28.0,0.0010714832389407624,0.0010718455866677047
1995,MDG.3.5_1,Vatovavy Fitovinany,20681,20691.321,127.0,0.0061409022774527346,0.006137839149853712
1995,MDG.4.1_1,Betsiboka,29545,29559.3503,19.0,0.0006430868167202572,0.0006427746155218903
1995,MDG.4.2_1,Boeny,30178,30155.3765,1001.0,0.033169858837563786,0.033194743867329846
1995,MDG.4.3_1,Melaky,40799,40796.8078,35.0,0.0008578641633373367,0.0008579102609438285
1995,MDG.4.4_1,Sofia,51169,51161.1004,301.0,0.0058824679004866225,0.005883376193957314
1995,MDG.5.1_1,Alaotra-Mangoro,27408,27403.4318,393.0,0.014338879159369527,0.014341269497442582
1995,MDG.5.2_1,Analanjirofo,21812,21824.1864,0.0,0.0,0.0
1995,MDG.5.3_1,Atsinanana,22022,22020.0236,1179.0,0.0535373717191899,0.053542177018026875
1995,MDG.6.1_1,Androy,18783,18775.0462,18.0,0.0009583133684714902,0.0009587193463467466
1995,MDG.6.2_1,Anosy,29627,29627.5046,212.0,0.007155635062611807,0.0071555131859785326
1995,MDG.6.3_1,Atsimo-Andrefana,66623,66659.927,584.0,0.008765741560722273,0.008760885686122
1995,MDG.6.4_1,Menabe,48983,48968.4546,191.0,0.003899312006206235,0.0039004702443877397
1996,MDG.1.1_1,Analamanga,17337,17340.647,9333.0,0.5383284305243121,0.5382152134568102
