year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,admin-1 unit,all,,6,0.6641377258463879,0.8638778285938762,1.2732683166730454,7067.0,
1993,adm1,admin-1 unit,all,,6,0.6251233900777833,0.7767740807866117,0.8112109203831084,14536.0,
1994,adm1,admin-1 unit,all,,6,0.6291220481321766,0.7865738242250437,0.8331249605792316,14469.0,
1995,adm1,admin-1 unit,all,,6,0.6091199033081287,0.7248561856415373,0.7526548083010959,16542.0,
1996,adm1,admin-1 unit,all,,6,0.6086161718767418,0.7056820061112884,0.7593126869481257,17561.0,
1997,adm1,admin-1 unit,all,,6,0.6072824335455518,0.7042346272574852,0.7543223333207113,17747.0,
1998,adm1,admin-1 unit,all,,6,0.6030292116220479,0.6946950159185354,0.7359636433222925,18035.0,
1999,adm1,admin-1 unit,all,,6,0.5947349190177582,0.6679981211738465,0.7106871970384747,19249.0,
2000,adm1,admin-1 unit,all,,6,0.5975124457797039,0.6722529091230046,0.7251390228670512,20027.0,
2001,adm1,admin-1 unit,all,,6,0.6041525729125385,0.699956974351718,0.7383226026280479,19501.0,
2002,adm1,admin-1 unit,all,,6,0.6023487032102408,0.7120863948918176,0.7259596927685129,19303.0,
2003,adm1,admin-1 unit,all,,6,0.6026287937678987,0.7084065152866714,0.729305656071172,19218.0,
2004,adm1,admin-1 unit,all,,6,0.6142471314739693,0.7281584972016687,0.7794617895230376,18648.0,
2005,adm1,admin-1 unit,all,,6,0.6166209344030555,0.7402831127881376,0.7881916673373954,18043.0,
2006,adm1,admin-1 unit,all,,6,0.62596331579831,0.7695025281405099,0.8270630130214173,17532.0,
2007,adm1,admin-1 unit,all,,6,0.6286476375895365,0.7818708730121678,0.8450775013580406,17378.0,
2008,adm1,admin-1 unit,all,,6,0.6152855810867457,0.7394453881196799,0.8274448285370369,17831.0,
2009,adm1,admin-1 unit,all,,6,0.595133845992434,0.6725845908614321,0.7603711897999956,19346.0,
2010,adm1,admin-1 unit,all,,6,0.5752824926669466,0.6212330604483552,0.6886558616306682,21858.0,
2011,adm1,admin-1 unit,all,,6,0.5925280414448837,0.6544009217363835,0.7370237333769689,21522.0,
2012,adm1,admin-1 unit,all,,6,0.5820391932872071,0.6223107460431996,0.7063607281975262,23009.0,
2013,adm1,admin-1 unit,all,,6,0.5759672793768478,0.6062760068930394,0.6901472878374906,23656.0,
2014,adm1,admin-1 unit,all,,6,0.5762775748660496,0.6074672327355867,0.6914642064150918,24123.52900803089,
2015,adm1,admin-1 unit,all,,6,0.5737372547222597,0.6017951245747676,0.6866061262802213,24499.882469415665,
2016,adm1,admin-1 unit,all,,6,0.5732579666637894,0.6008641174162646,0.6824591814768078,25195.4331189394,
2017,adm1,admin-1 unit,all,,6,0.5596522147383247,0.5670355195974303,0.6464460018440281,27847.189305782318,
2018,adm1,admin-1 unit,all,,6,0.5574634711368236,0.560851127177119,0.6436984261171896,28681.223295092583,
2019,adm1,admin-1 unit,all,,6,0.5628529279130254,0.572827758474438,0.6660141679014284,28498.30162847042,
2020,adm1,admin-1 unit,all,,6,0.5452136726638432,0.5332606393442347,0.6206792606266376,30203.843522667885,
