year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,atoll,0.2846908267591766,0.024315558111793215,0.2603752686473835,0.08541040253594837,0.9145895974640519,,5.551115123125783e-17,2
1993,all,lit_only,theil_l,atoll,0.23827683820158901,0.0466398096311815,0.19163702857040776,0.19573790714699213,0.8042620928530089,,2.498001805406602e-16,2
1994,all,lit_only,theil_l,atoll,0.2832963391212181,0.039703414215031416,0.2435929249061867,0.14014799604608708,0.8598520039539129,,0.0,2
1995,all,lit_only,theil_l,atoll,0.2544185122860807,0.017896057186146744,0.23652245509993391,0.07034101813323841,0.9296589818667614,,5.551115123125783e-17,2
1996,all,lit_only,theil_l,atoll,0.24691224581163956,0.01073609506468326,0.23617615074695647,0.043481420005686715,0.956518579994314,,1.6653345369377348e-16,2
1997,all,lit_only,theil_l,atoll,0.3932184458966108,0.0032303619410781054,0.38998808395553264,0.008215184142016232,0.9917848158579836,,5.551115123125783e-17,2
1998,all,lit_only,theil_l,atoll,0.3505677948821592,0.0035145226440258456,0.34705327223813365,0.010025229628429578,0.9899747703715712,,2.7755575615628914e-16,2
1999,all,lit_only,theil_l,atoll,0.30789111270840824,0.0038081741263281954,0.3040829385820804,0.01236857437302768,0.9876314256269735,,3.885780586188048e-16,2
2000,all,lit_only,theil_l,atoll,0.3375892166642294,0.04126877403738671,0.296320442626843,0.12224553392187633,0.8777544660781245,,2.7755575615628914e-16,3
2001,all,lit_only,theil_l,atoll,0.3783142129059986,0.001689343815348493,0.37662486909065046,0.0044654516212116295,0.9955345483787893,,3.885780586188048e-16,2
2002,all,lit_only,theil_l,atoll,0.2979180521180407,0.003958478944879003,0.2939595731731619,0.013287140261344687,0.9867128597386561,,2.220446049250313e-16,2
2003,all,lit_only,theil_l,atoll,0.4232248387133727,0.15278203139406404,0.2704428073193089,0.36099495449872465,0.639005045501276,,2.7755575615628914e-16,3
2004,all,lit_only,theil_l,atoll,0.3281670073169308,0.043699382395161884,0.284467624921769,0.1331620224484015,0.8668379775515987,,1.1102230246251565e-16,3
2005,all,lit_only,theil_l,atoll,0.3281670073169308,0.043699382395161884,0.284467624921769,0.1331620224484015,0.8668379775515987,,1.1102230246251565e-16,3
2006,all,lit_only,theil_l,atoll,0.30013793481742623,0.05004206914332904,0.2500958656740974,0.16673023746155116,0.8332697625384495,,2.220446049250313e-16,3
2007,all,lit_only,theil_l,atoll,0.25378276313958464,0.06727952662686289,0.18650323651272166,0.26510676215570267,0.7348932378442969,,1.1102230246251565e-16,3
2008,all,lit_only,theil_l,atoll,0.25378276313958464,0.06727952662686289,0.18650323651272166,0.26510676215570267,0.7348932378442969,,1.1102230246251565e-16,3
2009,all,lit_only,theil_l,atoll,0.25378276313958464,0.06727952662686289,0.18650323651272166,0.26510676215570267,0.7348932378442969,,1.1102230246251565e-16,3
2010,all,lit_only,theil_l,atoll,0.32628001672846196,0.05675395983694727,0.26952605689151443,0.17394249395352726,0.8260575060464719,,2.7755575615628914e-16,3
2011,all,lit_only,theil_l,atoll,0.24496834131067508,0.07778495955371781,0.16718338175695716,0.3175306618705841,0.6824693381294155,,1.1102230246251565e-16,3
2012,all,lit_only,theil_l,atoll,0.22768432262972593,0.07552146301210984,0.1521628596176159,0.331693733410567,0.6683062665894322,,2.220446049250313e-16,3
2013,all,lit_only,theil_l,atoll,0.3435136150793272,0.06779157571155134,0.27572203936777584,0.19734756567333236,0.8026524343266676,,0.0,3
2014,all,lit_only,theil_l,atoll,0.3312990693116409,0.06808294808141045,0.2632161212302303,0.2055029862379943,0.7944970137620053,,1.1102230246251565e-16,3
2015,all,lit_only,theil_l,atoll,0.4388971620672458,0.07080723121557309,0.3680899308516731,0.16132989077000304,0.8386701092299977,,3.3306690738754696e-16,3
2016,all,lit_only,theil_l,atoll,0.4223178144295848,0.07018563391760992,0.3521321805119751,0.1661915067741295,0.8338084932258709,,1.6653345369377348e-16,3
2017,all,lit_only,theil_l,atoll,0.4448439248890034,0.05981438684361188,0.38502953804539153,0.13446151222259953,0.8655384877774005,,5.551115123125783e-17,3
2018,all,lit_only,theil_l,atoll,0.4448439248890034,0.05981438684361188,0.38502953804539153,0.13446151222259953,0.8655384877774005,,5.551115123125783e-17,3
2019,all,lit_only,theil_l,atoll,0.4448439248890034,0.05981438684361188,0.38502953804539153,0.13446151222259953,0.8655384877774005,,5.551115123125783e-17,3
2020,all,lit_only,theil_l,atoll,0.45521402112997794,0.07500760279287752,0.3802064183371001,0.16477436834367737,0.8352256316563219,,2.7755575615628914e-16,3
2021,all,lit_only,theil_l,atoll,0.45521402112997794,0.07500760279287752,0.3802064183371001,0.16477436834367737,0.8352256316563219,,2.7755575615628914e-16,3
2022,all,lit_only,theil_l,atoll,0.5706530768366089,0.05248960844467199,0.5181634683919369,0.09198164449694357,0.9080183555030564,,0.0,3
1992,all,zeros_included,theil_l,atoll,,,,,,,,0
1993,all,zeros_included,theil_l,atoll,,,,,,,,0
1994,all,zeros_included,theil_l,atoll,,,,,,,,0
1995,all,zeros_included,theil_l,atoll,,,,,,,,0
1996,all,zeros_included,theil_l,atoll,,,,,,,,0
1997,all,zeros_included,theil_l,atoll,,,,,,,,0
1998,all,zeros_included,theil_l,atoll,,,,,,,,0
1999,all,zeros_included,theil_l,atoll,,,,,,,,0
2000,all,zeros_included,theil_l,atoll,,,,,,,,0
2001,all,zeros_included,theil_l,atoll,,,,,,,,0
2002,all,zeros_included,theil_l,atoll,,,,,,,,0
2003,all,zeros_included,theil_l,atoll,,,,,,,,0
2004,all,zeros_included,theil_l,atoll,,,,,,,,0
2005,all,zeros_included,theil_l,atoll,,,,,,,,0
2006,all,zeros_included,theil_l,atoll,,,,,,,,0
2007,all,zeros_included,theil_l,atoll,,,,,,,,0
2008,all,zeros_included,theil_l,atoll,,,,,,,,0
2009,all,zeros_included,theil_l,atoll,,,,,,,,0
2010,all,zeros_included,theil_l,atoll,,,,,,,,0
2011,all,zeros_included,theil_l,atoll,,,,,,,,0
2012,all,zeros_included,theil_l,atoll,,,,,,,,0
2013,all,zeros_included,theil_l,atoll,,,,,,,,0
2014,all,zeros_included,theil_l,atoll,,,,,,,,0
2015,all,zeros_included,theil_l,atoll,,,,,,,,0
2016,all,zeros_included,theil_l,atoll,,,,,,,,0
2017,all,zeros_included,theil_l,atoll,,,,,,,,0
2018,all,zeros_included,theil_l,atoll,,,,,,,,0
2019,all,zeros_included,theil_l,atoll,,,,,,,,0
2020,all,zeros_included,theil_l,atoll,,,,,,,,0
2021,all,zeros_included,theil_l,atoll,,,,,,,,0
2022,all,zeros_included,theil_l,atoll,,,,,,,,0
1992,all,lit_only,theil_t,atoll,0.23342444833818676,0.02329319791594081,0.21013125042224556,0.09978902416508438,0.9002109758349139,,3.885780586188048e-16,2
1993,all,lit_only,theil_t,atoll,0.22243500347292677,0.04373807515341857,0.17869692831950781,0.19663305896341113,0.8033669410365871,,3.885780586188048e-16,2
1994,all,lit_only,theil_t,atoll,0.22909489036374087,0.037503277788666245,0.19159161257507418,0.16370193909223013,0.8362980609077679,,4.440892098500626e-16,2
1995,all,lit_only,theil_t,atoll,0.22541164248572684,0.01713644420255779,0.20827519828316912,0.07602288867418584,0.9239771113258145,,8.326672684688674e-17,2
1996,all,lit_only,theil_t,atoll,0.22071798043827506,0.010404064142886457,0.21031391629538837,0.047137365620269475,0.9528626343797295,,2.220446049250313e-16,2
1997,all,lit_only,theil_t,atoll,0.2904601494905671,0.003168211396087757,0.287291938094479,0.010907559614096552,0.9890924403859023,,3.3306690738754696e-16,2
1998,all,lit_only,theil_t,atoll,0.27782875168255683,0.003443665510231786,0.2743850861723248,0.012394921293698461,0.9876050787063008,,2.220446049250313e-16,2
1999,all,lit_only,theil_t,atoll,0.2652996926190364,0.003727886982830511,0.26157180563620597,0.014051606867798607,0.9859483931322016,,5.551115123125783e-17,2
2000,all,lit_only,theil_t,atoll,0.2859594917735925,0.02550838473516446,0.26045110703842783,0.08920279084619664,0.9107972091538027,,1.6653345369377348e-16,3
2001,all,lit_only,theil_t,atoll,0.29832101266908234,0.0016643204609419933,0.2966566922081403,0.005578958203618627,0.9944210417963811,,5.551115123125783e-17,2
2002,all,lit_only,theil_t,atoll,0.2605956830727785,0.0038731991856762876,0.256722483887102,0.014862867795836015,0.9851371322041633,,1.6653345369377348e-16,2
2003,all,lit_only,theil_t,atoll,0.3232895609509763,0.0678603893252702,0.255429171625706,0.20990590950618593,0.7900940904938138,,5.551115123125783e-17,3
2004,all,lit_only,theil_t,atoll,0.2874109302662911,0.031472589933974345,0.2559383403323165,0.10950380316021543,0.8904961968397836,,2.7755575615628914e-16,3
2005,all,lit_only,theil_t,atoll,0.2874109302662911,0.031472589933974345,0.2559383403323165,0.10950380316021543,0.8904961968397836,,2.7755575615628914e-16,3
2006,all,lit_only,theil_t,atoll,0.2679431719629176,0.036464120078104345,0.23147905188481313,0.13608900652691702,0.8639109934730824,,1.1102230246251565e-16,3
2007,all,lit_only,theil_t,atoll,0.23089241722549397,0.050525732300977184,0.18036668492451632,0.21882802782402674,0.7811719721759712,,4.718447854656915e-16,3
2008,all,lit_only,theil_t,atoll,0.23089241722549397,0.050525732300977184,0.18036668492451632,0.21882802782402674,0.7811719721759712,,4.718447854656915e-16,3
2009,all,lit_only,theil_t,atoll,0.23089241722549397,0.050525732300977184,0.18036668492451632,0.21882802782402674,0.7811719721759712,,4.718447854656915e-16,3
2010,all,lit_only,theil_t,atoll,0.26492020805854444,0.041865518013010805,0.22305469004553338,0.1580306701395878,0.8419693298604113,,2.220446049250313e-16,3
2011,all,lit_only,theil_t,atoll,0.22019902390346346,0.059357503531017645,0.16084152037244548,0.2695629729813894,0.730437027018609,,3.3306690738754696e-16,3
2012,all,lit_only,theil_t,atoll,0.20431712157834575,0.05458692591682615,0.14973019566151935,0.2671676533769819,0.7328323466230169,,2.498001805406602e-16,3
2013,all,lit_only,theil_t,atoll,0.24971793341699322,0.0454062156617799,0.20431171775521303,0.1818300153315702,0.8181699846684287,,2.7755575615628914e-16,3
2014,all,lit_only,theil_t,atoll,0.2419626412341083,0.04545598234078757,0.19650665889332092,0.1878636392334928,0.812136360766508,,1.942890293094024e-16,3
2015,all,lit_only,theil_t,atoll,0.3151548632347604,0.05406856976944699,0.261086293465313,0.17156190837255475,0.8284380916274439,,4.440892098500626e-16,3
2016,all,lit_only,theil_t,atoll,0.30898296096840044,0.05336202738049924,0.255620933587901,0.1727021684731559,0.8272978315268434,,2.220446049250313e-16,3
2017,all,lit_only,theil_t,atoll,0.3305682237550142,0.04486586377857681,0.28570235997643745,0.13572346207065303,0.8642765379293471,,5.551115123125783e-17,3
2018,all,lit_only,theil_t,atoll,0.3305682237550142,0.04486586377857681,0.28570235997643745,0.13572346207065303,0.8642765379293471,,5.551115123125783e-17,3
2019,all,lit_only,theil_t,atoll,0.3305682237550142,0.04486586377857681,0.28570235997643745,0.13572346207065303,0.8642765379293471,,5.551115123125783e-17,3
2020,all,lit_only,theil_t,atoll,0.3357236048583389,0.06024122817960515,0.275482376678734,0.1794369752613147,0.820563024738686,,2.220446049250313e-16,3
2021,all,lit_only,theil_t,atoll,0.3357236048583389,0.06024122817960515,0.275482376678734,0.1794369752613147,0.820563024738686,,2.220446049250313e-16,3
2022,all,lit_only,theil_t,atoll,0.40031890131049164,0.04103173536318147,0.3592871659473102,0.10249762184313355,0.8975023781568665,,0.0,3
1992,all,zeros_included,theil_t,atoll,3.090570558606031,1.912283446520188,1.1782871120858427,0.6187477070197366,0.38125229298026336,,4.440892098500626e-16,22
1993,all,zeros_included,theil_t,atoll,2.9683554786305466,1.9401713238708116,1.0281841547597348,0.6536182535542917,0.3463817464457082,,0.0,22
1994,all,zeros_included,theil_t,atoll,2.975015365521361,1.9298187741441208,1.0451965913772396,0.6486752292137916,0.3513247707862082,,4.440892098500626e-16,22
1995,all,zeros_included,theil_t,atoll,2.8712486590863637,1.9259243804660937,0.9453242786202704,0.6707619607836147,0.32923803921638545,,4.440892098500626e-16,22
1996,all,zeros_included,theil_t,atoll,2.8665549970389126,1.9082848295150576,0.9582701675238543,0.6657066867673125,0.33429331323268735,,8.881784197001252e-16,22
1997,all,zeros_included,theil_t,atoll,2.845325387885478,1.9096898901647448,0.9356354977207326,0.671167486957948,0.32883251304205185,,4.440892098500626e-16,22
1998,all,zeros_included,theil_t,atoll,2.8326939900774675,1.9110923827727628,0.9216016073047043,0.674655430296055,0.3253445697039449,,4.440892098500626e-16,22
1999,all,zeros_included,theil_t,atoll,2.820164931013947,1.9124922007240697,0.9076727302898777,0.6781490613162339,0.32185093868376624,,4.440892098500626e-16,22
2000,all,zeros_included,theil_t,atoll,2.7982651157497074,1.8751857861779913,0.9230793295717157,0.6701244194568012,0.32987558054319865,,4.440892098500626e-16,22
2001,all,zeros_included,theil_t,atoll,2.810626636645198,1.9131910747239451,0.897435561921252,0.6806991187586395,0.3193008812413602,,8.881784197001252e-16,22
2002,all,zeros_included,theil_t,atoll,2.8154609214676896,1.9131910747239451,0.9022698467437441,0.6795303249055951,0.3204696750944048,,4.440892098500626e-16,22
2003,all,zeros_included,theil_t,atoll,2.794773190406836,1.8868981387573058,0.90787505164953,0.6751525115648578,0.32484748843514216,,0.0,22
2004,all,zeros_included,theil_t,atoll,2.7588945597221506,1.82297405473892,0.9359205049832306,0.6607624957303596,0.3392375042696404,,0.0,22
