year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,region,all,,13,0.9170189019525319,2.4136463243526367,nan,7477.0,nan
1993,adm1,region,all,,13,0.9156852507442039,2.400960430587285,nan,10545.0,nan
1994,adm1,region,all,,13,0.9150966649284926,2.3926505201147945,nan,11711.0,nan
1995,adm1,region,all,,13,0.913386002021213,2.37749701679773,nan,12873.0,nan
1996,adm1,region,all,,13,0.9114360860865172,2.377574656701308,3.8597148594857438,15096.0,nan
1997,adm1,region,all,,13,0.9112853668890715,2.3787516599612553,3.8237345363074327,15404.0,nan
1998,adm1,region,all,,13,0.9106376015323492,2.374301990531035,3.76976795554277,16305.0,nan
1999,adm1,region,all,,13,0.9105586977211491,2.373945861351791,3.7619427378761023,16539.0,nan
2000,adm1,region,all,,13,0.9102785214064315,2.3706059104918604,3.748462926453658,16857.0,nan
2001,adm1,region,all,,13,0.9101237300551162,2.368049456588062,3.7335419480766383,16811.0,nan
2002,adm1,region,all,,13,0.9101391283038396,2.3684920507952945,3.736672652523357,16990.0,nan
2003,adm1,region,all,,13,0.9100297020985626,2.366325663580254,3.722248290459548,17523.0,nan
2004,adm1,region,all,,13,0.9099174768400027,2.366047219390086,3.7154817669541504,18219.0,nan
2005,adm1,region,all,,13,0.909227510008692,2.359554425812093,3.677867081076973,18651.0,nan
2006,adm1,region,all,,13,0.9086234143244403,2.3565598350130386,3.63849810004404,18767.0,nan
2007,adm1,region,all,,13,0.9094670363855804,2.367253567568002,3.703219006158432,19728.0,nan
2008,adm1,region,all,,13,0.9104381014186553,2.3713041937640003,3.8868733219127165,18326.0,nan
2009,adm1,region,all,,13,0.9098165199161838,2.365362214486064,3.8448505164412103,19028.0,nan
2010,adm1,region,all,,13,0.9079223539286039,2.352709745835659,3.6203228825975824,21379.0,nan
2011,adm1,region,all,,13,0.9080212762116786,2.3526002616765243,3.659524956762914,22609.0,nan
2012,adm1,region,all,,13,0.9058019489665083,2.332712718013608,3.4539350981058394,25034.0,nan
2013,adm1,region,all,,13,0.9051201962062227,2.3183583085229778,3.3959852422477006,26381.0,nan
2014,adm1,region,all,,13,0.9053784693401148,2.317053264690628,3.430268483299946,28099.46433222294,nan
2015,adm1,region,all,,13,0.9044766359558134,2.317174771870189,3.4000607886284557,31541.651465773582,nan
2016,adm1,region,all,,13,0.9062749670962724,2.336550211658954,3.4956429747278417,33573.64186441898,nan
2017,adm1,region,all,,13,0.9047061591043282,2.320339184605008,3.38905317373843,39931.62533915043,nan
2018,adm1,region,all,,13,0.9024597306384379,2.300538224842832,3.3157405422376227,44759.092163681984,nan
2019,adm1,region,all,,13,0.9038778650640635,2.3145087021340327,3.34087057277897,45636.02275240421,nan
2020,adm1,region,all,,13,0.9034310195846231,2.312317604424458,3.3284513742127535,48663.172847151756,nan
2021,adm1,region,all,,13,0.9029862386183063,2.3124821282417676,3.313175106575141,51135.684250473976,nan
