year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,MYS.1.1_1,Batu Pahat,1978,1980.7584,4017.0,2.0308392315470174,2.0280110837978684
1992,MYS.1.2_1,Johor Baharu,979,978.3248,24616.0,25.144024514811033,25.1613779160982
1992,MYS.1.3_1,Keluang,2874,2873.2386,3396.0,1.1816283924843425,1.1819415210928017
1992,MYS.1.4_1,Kota Tinggi,3393,3404.9332,3786.0,1.1158267020335986,1.1119160729948585
1992,MYS.1.5_1,Kulaijaya,757,757.6936,5637.0,7.446499339498018,7.439682486578246
1992,MYS.1.6_1,Ledang,951,953.4391,1487.0,1.5636172450052577,1.55961721545116
1992,MYS.1.7_1,Mersing,2998,2993.3736,242.0,0.08072048032021348,0.08084523890224837
1992,MYS.1.8_1,Muar,1391,1391.1026,2361.0,1.6973400431344356,1.6972149030352814
1992,MYS.1.9_1,Pontian,904,906.9827,1812.0,2.004424778761062,1.9978329246916888
1992,MYS.1.10_1,Segamat,2881,2874.9079,2609.0,0.9055883373828532,0.9075073473967252
1992,MYS.2.1_1,Baling,1537,1534.6988,536.0,0.3487312947299935,0.34925419267175717
1992,MYS.2.2_1,Bandar Baharu,270,270.6046,207.0,0.7666666666666667,0.7649537470692158
1992,MYS.2.3_1,Kota Setar,371,370.5363,3012.0,8.118598382749326,8.12875891671725
1992,MYS.2.4_1,Kuala Muda,917,920.6714,6464.0,7.04907306434024,7.020962924050837
1992,MYS.2.5_1,Kubang Pasu,948,949.444,3206.0,3.3818565400843883,3.3767130896600386
1992,MYS.2.6_1,Kulim,788,789.4468,1832.0,2.3248730964467006,2.3206123596607116
1992,MYS.2.7_1,Langkawi,474,479.5064,1647.0,3.4746835443037973,3.434782179162181
1992,MYS.2.8_1,Padang Terap,1347,1349.6651,499.0,0.370452858203415,0.3697213480033628
1992,MYS.2.9_1,Pendang,647,645.2341,77.0,0.11901081916537867,0.11933653576044798
1992,MYS.2.10_1,Pokok Sena,290,289.5827,340.0,1.1724137931034482,1.1741034688063825
1992,MYS.2.11_1,Sik,1674,1670.5717,146.0,0.08721624850657109,0.08739523041397278
1992,MYS.2.12_1,Yan,246,247.845,209.0,0.8495934959349594,0.8432689017060938
1992,MYS.3.1_1,Bachok,277,280.3464,846.0,3.0541516245487363,3.0176950074691957
1992,MYS.3.2_1,Gua Musang,8178,8167.2536,1590.0,0.19442406456346295,0.1946798853958476
1992,MYS.3.3_1,Jeli,1434,1430.1226,1009.0,0.703626220362622,0.7055339221174732
1992,MYS.3.4_1,Kota Bharu,407,403.3412,5650.0,13.882063882063882,14.00799267757633
1992,MYS.3.5_1,Kuala Krai,2288,2278.273,546.0,0.23863636363636365,0.2396552171921693
1992,MYS.3.6_1,Machang,524,526.8293,490.0,0.9351145038167938,0.9300926023886126
1992,MYS.3.7_1,Pasir Mas,594,593.4392,1565.0,2.6346801346801345,2.6371697109647454
1992,MYS.3.8_1,Pasir Putih,401,403.3122,1073.0,2.6758104738154613,2.660470113880416
1992,MYS.3.9_1,Tanah Merah,856,855.6144,833.0,0.9731308411214953,0.9735693653019739
1992,MYS.3.10_1,Tumpat,195,193.4709,2360.0,12.102564102564102,12.198218332606686
1992,MYS.4.1_1,Kuala Lumpur,271,271.957,16168.0,59.66051660516605,59.450578435176915
1992,MYS.5.1_1,Labuan,90,90.6464,2536.0,28.177777777777777,27.976829061329767
1992,MYS.6.1_1,Alor Gajah,674,670.294,4115.0,6.105341246290801,6.139097429900924
1992,MYS.6.2_1,Jasin,699,698.6773,1060.0,1.5164520743919885,1.5171524431798384
1992,MYS.6.3_1,Melaka Tengah,285,285.0539,6713.0,23.55438596491228,23.549928398363146
1992,MYS.7.1_1,Jelebu,1353,1355.4682,0.0,0.0,0.0
1992,MYS.7.2_1,Jempol,1561,1554.6563,346.0,0.2216527866752082,0.22255723486885556
1992,MYS.7.3_1,Kuala Pilah,964,963.3182,379.0,0.39315352697095435,0.3934317885831267
1992,MYS.7.4_1,Port Dickson,562,563.3474,1514.0,2.693950177935943,2.6875069059232533
1992,MYS.7.5_1,Rembau,396,393.4474,496.0,1.2525252525252526,1.2606512392749603
1992,MYS.7.6_1,Seremban,977,979.8201,7343.0,7.515864892528147,7.4942325952717805
1992,MYS.7.7_1,Tampin,852,857.2584,846.0,0.9929577464788732,0.9868669894778531
1992,MYS.8.1_1,Bentong,1818,1815.1296,1356.0,0.7458745874587459,0.747054097630289
1992,MYS.8.2_1,Bera,2193,2191.2528,295.0,0.13451892384860922,0.1346261827286499
1992,MYS.8.3_1,Cameron Highlands,704,707.513,10512.0,14.931818181818182,14.857678352693085
1992,MYS.8.4_1,Jerantut,7233,7242.0658,483.0,0.06677727084197428,0.06669367717038895
1992,MYS.8.5_1,Kuantan,3012,3018.052,8651.0,2.8721779548472774,2.8664184899256595
1992,MYS.8.6_1,Lipis,5440,5438.6946,420.0,0.07720588235294118,0.07722441279714129
1992,MYS.8.7_1,Maran,2010,2014.4512,398.0,0.19800995024875623,0.19757241756543747
1992,MYS.8.8_1,Pekan,3795,3788.9694,1091.0,0.28748353096179186,0.2879410953972801
1992,MYS.8.9_1,Raub,2283,2288.2057,478.0,0.20937363118703461,0.20889730753474478
1992,MYS.8.10_1,Rompin,5065,5072.0985,233.0,0.04600197433366239,0.045937593262567765
1992,MYS.8.11_1,Temerloh,2280,2276.0207,2574.0,1.1289473684210527,1.1309211912518364
1992,MYS.9.1_1,Batang Padang,2749,2747.3836,1632.0,0.5936704256093125,0.5940197113036858
1992,MYS.9.2_1,Hilir Perak,1791,1786.3183,1924.0,1.0742601898380792,1.0770756951802574
1992,MYS.9.3_1,Hulu Perak,6581,6580.8931,173.0,0.02628779820695943,0.02628822504750275
1992,MYS.9.4_1,Kampar,728,733.017,0.0,0.0,0.0
1992,MYS.9.5_1,Kerian,927,930.6991,1501.0,1.6192017259978424,1.612766093276211
