year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,state,all,,16,0.6867702041136627,0.896728953129365,1.115274175316415,335833.0,
1993,adm1,state,all,,16,0.6220997303606519,0.69735484213605,0.8838206727413629,541483.0,
1994,adm1,state,all,,16,0.6191672161026658,0.6867985883919736,0.8763356039151593,564252.0,
1995,adm1,state,all,,16,0.6029333348623203,0.6423919744297192,0.8291125717749714,644574.0,
1996,adm1,state,all,,16,0.5824060816949512,0.5902310136021064,0.7724296334096169,737362.0,
1997,adm1,state,all,,16,0.5675975617731706,0.5535938905059264,0.7513200837163749,814333.0,
1998,adm1,state,all,,16,0.5513833137871971,0.5165340154800182,0.728799284046254,895613.0,
1999,adm1,state,all,,16,0.547149378100054,0.5100969773148478,0.7343384960430931,922060.0,
2000,adm1,state,all,,16,0.5471804135804113,0.5107873277803533,0.7378863589299403,943072.0,
2001,adm1,state,all,,16,0.5449296512456805,0.5070181822859046,0.7350119068548319,969905.0,
2002,adm1,state,all,,16,0.5447302965313401,0.5050772426832476,0.7368021467169985,994056.0,
2003,adm1,state,all,,16,0.5430512840028145,0.5015280407038556,0.7324667712405417,1021312.0,
2004,adm1,state,all,,16,0.5397291439080079,0.49427818240832,0.7156181515131861,1062982.0,
2005,adm1,state,all,,16,0.5371647009650768,0.489482582583343,0.7183617341144763,1073496.0,
2006,adm1,state,all,,16,0.5360027916187429,0.4879215671360803,0.7191263132355412,1091117.0,
2007,adm1,state,all,,16,0.5351646824862055,0.4863825934327439,0.7159648576805959,1103287.0,
2008,adm1,state,all,,16,0.5400785962345265,0.4976622937285411,0.7431569469995646,1086790.0,
2009,adm1,state,all,,16,0.5333327200578994,0.48448381280816033,0.7250340012372103,1132117.0,
2010,adm1,state,all,,16,0.5148207700147789,0.44966095358719993,0.6670986921865403,1281429.0,
2011,adm1,state,all,,16,0.5123453739063795,0.4456456846521638,0.6641575094906926,1300906.0,
2012,adm1,state,all,,16,0.5067341061737671,0.4358430745417472,0.6516887049480972,1352925.0,
2013,adm1,state,all,,16,0.49979858757886175,0.4235283848617799,0.6354218506292426,1405935.0,
2014,adm1,state,all,,16,0.4929736764794457,0.41189944198769163,0.6080357361490325,1486442.071875453,
2015,adm1,state,all,,16,0.4910088712891818,0.40807672745207735,0.5969487661387824,1516330.958322525,
2016,adm1,state,all,,16,0.486889804159526,0.4015107752561844,0.593363478213081,1550235.3094670773,
2017,adm1,state,all,,16,0.47673439070368784,0.38451461820560473,0.5691043790349205,1653285.8838170767,
2018,adm1,state,all,,16,0.47093455759973524,0.3747865429988483,0.5533996184473595,1716170.2934638262,
2019,adm1,state,all,,16,0.46754871554145727,0.3694158201880441,0.5452876369350723,1757954.8033549786,
2020,adm1,state,all,,16,0.4595581776999549,0.35719142121144065,0.5256389414847727,1848743.5213861465,
2021,adm1,state,all,,16,0.45527624878145545,0.35069032219002094,0.5156014368658738,1897830.5518134832,
2022,adm1,state,all,,16,0.4535589281770738,0.3482140286503641,0.5101418905088232,1929134.3919984102,
1992,adm2,district,all,,144,0.7977188970393887,1.3287112699651096,,335833.0,
1993,adm2,district,all,,144,0.7274055483635984,1.0134373714163678,,541483.0,
1994,adm2,district,all,,144,0.7249024800058652,1.0032485423909183,,564252.0,
1995,adm2,district,all,,144,0.7064482286117506,0.9369091681077912,,644574.0,
1996,adm2,district,all,,144,0.687330562874797,0.8734527827009662,,737362.0,
1997,adm2,district,all,,144,0.6807719019626435,0.8501971591992917,,814333.0,
1998,adm2,district,all,,144,0.6683152294422641,0.811423066692996,,895613.0,
1999,adm2,district,all,,144,0.6697838642478575,0.8147775317956483,,922060.0,
2000,adm2,district,all,,144,0.6682123467760528,0.8092315815636802,1.515447663915536,943072.0,
2001,adm2,district,all,,144,0.6649627785815184,0.7995280996536379,,969905.0,
2002,adm2,district,all,,144,0.6623232498005525,0.7920231497978638,,994056.0,
2003,adm2,district,all,,144,0.6597412772580897,0.7840671014235552,,1021312.0,
2004,adm2,district,all,,144,0.6525120541588358,0.7631417981075672,,1062982.0,
2005,adm2,district,all,,144,0.6543978407111528,0.768081788039471,,1073496.0,
2006,adm2,district,all,,144,0.6548660029907765,0.7688359049422641,,1091117.0,
2007,adm2,district,all,,144,0.6534104906080653,0.7643230567463382,,1103287.0,
2008,adm2,district,all,,144,0.6636767022003518,0.7938821113641567,,1086790.0,
2009,adm2,district,all,,144,0.6575508018461664,0.7759458895762015,,1132117.0,
2010,adm2,district,all,,144,0.6363646583862905,0.716821104933675,1.2782812192852049,1281429.0,
2011,adm2,district,all,,144,0.636317830456866,0.7165914994295169,1.3031205619305397,1300906.0,
2012,adm2,district,all,,144,0.6327143852342043,0.7065197657598796,,1352925.0,
2013,adm2,district,all,,144,0.6256054059740828,0.6881849197506832,,1405935.0,
2014,adm2,district,all,,144,0.617535967158148,0.667790123480378,,1486442.071875453,
2015,adm2,district,all,,144,0.6150783816218384,0.6615213566498997,1.2191665892006547,1516330.958322525,
2016,adm2,district,all,,144,0.6158179819560139,0.6643362521862328,,1550235.3094670773,
2017,adm2,district,all,,144,0.6057738622602553,0.6405716964759416,,1653285.8838170767,
2018,adm2,district,all,,144,0.5977347340221355,0.6216071867223419,1.1656415222037584,1716170.2934638262,
2019,adm2,district,all,,144,0.5945984294209481,0.6144844547082282,1.152427729771239,1757954.8033549786,
2020,adm2,district,all,,144,0.5859797442598156,0.5943747815459296,1.0900421386199264,1848743.5213861465,
2021,adm2,district,all,,144,0.5807055629181632,0.5823457695725889,1.0591922886626233,1897830.5518134832,
2022,adm2,district,all,,144,0.576768955641827,0.5731984284621767,1.0203880748443732,1929134.3919984102,
1992,pixel,pixel (1 km),all,lit_only,21571,0.49863558069787484,0.41825815892369733,0.47210883395212705,335833.0,0.0654515553505759
1993,pixel,pixel (1 km),all,lit_only,38781,0.4593691072215662,0.37587449386793015,0.3696551399396096,541483.0,0.11767079727646766
1994,pixel,pixel (1 km),all,lit_only,42302,0.4917015020018043,0.425228380589206,0.44198022371044066,564252.0,0.12835435049093977
1995,pixel,pixel (1 km),all,lit_only,47105,0.46537501138236137,0.3870113429836357,0.37579492581050933,644574.0,0.14292779726433072
1996,pixel,pixel (1 km),all,lit_only,56149,0.4750245272943874,0.4073263862684059,0.3876318789184072,737362.0,0.17036944886094693
1997,pixel,pixel (1 km),all,lit_only,66863,0.5192312173356601,0.480364874368558,0.49609861275803474,814333.0,0.2028782784945323
1998,pixel,pixel (1 km),all,lit_only,69010,0.4864210435757248,0.42351228605198377,0.40786970741824335,895613.0,0.20939278822230042
1999,pixel,pixel (1 km),all,lit_only,68565,0.48218734426813237,0.4158591926949902,0.3970237485493595,922060.0,0.20804255215855716
2000,pixel,pixel (1 km),all,lit_only,71181,0.4908544379678641,0.43097266392535594,0.41890844962487794,943072.0,0.21598011967036035
2001,pixel,pixel (1 km),all,lit_only,74052,0.4992931921988717,0.4461744301971151,0.4361751844457868,969905.0,0.22469141796026362
2002,pixel,pixel (1 km),all,lit_only,72922,0.48835613543108236,0.42628323176302846,0.4062272089686484,994056.0,0.22126272862985932
2003,pixel,pixel (1 km),all,lit_only,73670,0.48839441946798434,0.4236967755156049,0.4095133827964005,1021312.0,0.22353233891228624
2004,pixel,pixel (1 km),all,lit_only,80100,0.5019185906871355,0.4491746448315661,0.43955638715618145,1062982.0,0.24304249147379026
2005,pixel,pixel (1 km),all,lit_only,76166,0.48931975393624305,0.423527336730569,0.4077934584928449,1073496.0,0.23110579782263058
2006,pixel,pixel (1 km),all,lit_only,75535,0.49143558554934264,0.4245934739417315,0.4140611733726737,1091117.0,0.22919119342662606
2007,pixel,pixel (1 km),all,lit_only,74588,0.4901347883694862,0.42013023582748543,0.4138539501289472,1103287.0,0.22631776971344653
2008,pixel,pixel (1 km),all,lit_only,63903,0.4632382858500992,0.3671087124245095,0.35815483359861494,1086790.0,0.19389693299188038
2009,pixel,pixel (1 km),all,lit_only,65221,0.46331911119097935,0.3652616286442579,0.36372666525463926,1132117.0,0.19789605913123687
2010,pixel,pixel (1 km),all,lit_only,80646,0.4790296430895853,0.40156883301643215,0.39318821300584317,1281429.0,0.24469918561042808
2011,pixel,pixel (1 km),all,lit_only,75512,0.46298296353096013,0.3696018829371041,0.35868416356004806,1300906.0,0.22912140594467978
2012,pixel,pixel (1 km),all,lit_only,75260,0.4636075687154364,0.3664755973083577,0.36507664890385416,1352925.0,0.22835677788161615
2013,pixel,pixel (1 km),all,lit_only,79082,0.46644964950515955,0.3700741098601824,0.3794362429156188,1405935.0,0.2399536368380809
2014,pixel,pixel (1 km),all,lit_only,80500,0.47252258140339287,0.3771547616124684,0.40634228414474927,1486442.071875453,0.24425618681198646
2015,pixel,pixel (1 km),all,lit_only,78988,0.47179363993544476,0.3725873170410724,0.4194013654819987,1516330.958322525,0.23966841843360479
2016,pixel,pixel (1 km),all,lit_only,78554,0.47202658531949093,0.37142954895884933,0.4265764694674484,1550235.3094670773,0.2383515589916619
2017,pixel,pixel (1 km),all,lit_only,87300,0.4963012852713593,0.4108441950739719,0.49430045720759097,1653285.8838170767,0.26488900756132194
2018,pixel,pixel (1 km),all,lit_only,89554,0.49602404473330197,0.408821738906773,0.4933451623074657,1716170.2934638262,0.27172818079205757
2019,pixel,pixel (1 km),all,lit_only,92021,0.5025000977964744,0.41989012985840224,0.5134726459511613,1757954.8033549786,0.2792136467903827
2020,pixel,pixel (1 km),all,lit_only,97556,0.512881998642259,0.4382277785104167,0.5459559751512543,1848743.5213861465,0.29600815603267266
2021,pixel,pixel (1 km),all,lit_only,98170,0.5063456569613158,0.4255281590702136,0.5190838803196035,1897830.5518134832,0.2978711783768039
2022,pixel,pixel (1 km),all,lit_only,100923,0.5129111722221003,0.43758943801383204,0.539679834026525,1929134.3919984102,0.30622443654193926
1992,pixel,pixel (1 km),all,zeros_included,329572,0.9671849189592376,3.1447031818815443,,335833.0,0.0654515553505759
1993,pixel,pixel (1 km),all,zeros_included,329572,0.9363835318144733,2.5157389008684365,,541483.0,0.11767079727646766
1994,pixel,pixel (1 km),all,zeros_included,329572,0.9347576764339214,2.4781888573012494,,564252.0,0.12835435049093977
1995,pixel,pixel (1 km),all,zeros_included,329572,0.9235872280144131,2.332427033453431,,644574.0,0.14292779726433072
1996,pixel,pixel (1 km),all,zeros_included,329572,0.9105602180496297,2.177112357651973,,737362.0,0.17036944886094693
1997,pixel,pixel (1 km),all,zeros_included,329572,0.9024624570191468,2.075513967476299,,814333.0,0.2028782784945323
1998,pixel,pixel (1 km),all,zeros_included,329572,0.8924602703420217,1.9870557073898998,,895613.0,0.20939278822230042
1999,pixel,pixel (1 km),all,zeros_included,329572,0.892272933561542,1.9858718352135993,,922060.0,0.20804255215855716
2000,pixel,pixel (1 km),all,zeros_included,329572,0.8900346805826664,1.9635415780222831,,943072.0,0.21598011967036035
2001,pixel,pixel (1 km),all,zeros_included,329572,0.8874954773728074,1.9392017240406114,,969905.0,0.22469141796026362
2002,pixel,pixel (1 km),all,zeros_included,329572,0.8867922824387551,1.9346876979815064,,994056.0,0.22126272862985932
2003,pixel,pixel (1 km),all,zeros_included,329572,0.8856396079831006,1.9218959577913088,,1021312.0,0.22353233891228624
2004,pixel,pixel (1 km),all,zeros_included,329572,0.8789450533238248,1.8636936337276793,,1062982.0,0.24304249147379026
2005,pixel,pixel (1 km),all,zeros_included,329572,0.8819788343011781,1.888407010808381,,1073496.0,0.23110579782263058
2006,pixel,pixel (1 km),all,zeros_included,329572,0.8834415149177406,1.8977921919164698,,1091117.0,0.22919119342662606
2007,pixel,pixel (1 km),all,zeros_included,329572,0.8846084424493077,1.9059454424360651,,1103287.0,0.22631776971344653
2008,pixel,pixel (1 km),all,zeros_included,329572,0.8959235498788698,2.007537246756679,,1086790.0,0.19389693299188038
