year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,district,0.47210883395212705,0.15819916711128348,0.31390966684084354,0.3350904616356432,0.6649095383643567,,5.551115123125783e-17,123
1993,all,lit_only,theil_l,district,0.3696551399396096,0.1298364372920422,0.23981870264756583,0.3512366615901879,0.6487633384098079,,1.5543122344752192e-15,137
1994,all,lit_only,theil_l,district,0.44198022371044066,0.15211631423906735,0.28986390947137236,0.3441699562076447,0.6558300437923532,,9.43689570931383e-16,141
1995,all,lit_only,theil_l,district,0.37579492581050933,0.1399908767351946,0.23580404907531227,0.37251933733076414,0.6274806626692293,,2.4424906541753444e-15,141
1996,all,lit_only,theil_l,district,0.3876318789184072,0.14666000320146494,0.24097187571693937,0.378348663197372,0.6216513368026205,,2.886579864025407e-15,141
1997,all,lit_only,theil_l,district,0.49609861275803474,0.1825056035555186,0.31359300920251476,0.3678817050926389,0.6321182949073583,,1.3877787807814457e-15,141
1998,all,lit_only,theil_l,district,0.40786970741824335,0.16579012893035802,0.2420795784878828,0.40647816181247126,0.5935218381875226,,2.55351295663786e-15,140
1999,all,lit_only,theil_l,district,0.3970237485493595,0.1637894705482866,0.23323427800106972,0.41254325754249854,0.5874567424574935,,3.219646771412954e-15,140
2000,all,lit_only,theil_l,district,0.41890844962487794,0.17223669100445158,0.24667175862042323,0.4111559247818592,0.5888440752181333,,3.1086244689504383e-15,144
2001,all,lit_only,theil_l,district,0.4361751844457868,0.18152645509996132,0.25464872934582317,0.4161778605782275,0.5838221394217672,,2.275957200481571e-15,143
2002,all,lit_only,theil_l,district,0.4062272089686484,0.17120259253490622,0.23502461643373956,0.4214454097488069,0.5785545902511867,,2.609024107869118e-15,143
2003,all,lit_only,theil_l,district,0.4095133827964005,0.16985624258399526,0.23965714021240214,0.4147758039654675,0.585224196034525,,3.1086244689504383e-15,143
2004,all,lit_only,theil_l,district,0.43955638715618145,0.18384550215756307,0.2557108849986166,0.41825237336897075,0.5817476266310252,,1.7763568394002505e-15,143
2005,all,lit_only,theil_l,district,0.4077934584928449,0.17075760670615134,0.2370358517866921,0.41873552199010433,0.5812644780098921,,1.4432899320127035e-15,143
2006,all,lit_only,theil_l,district,0.4140611733726737,0.17383680183607236,0.24022437153659962,0.41983362124999685,0.5801663787499991,,1.6653345369377348e-15,143
2007,all,lit_only,theil_l,district,0.4138539501289472,0.17179434624458692,0.2420596038843585,0.4151086299673105,0.5848913700326851,,1.7763568394002505e-15,143
2008,all,lit_only,theil_l,district,0.35815483359861494,0.15125876106810268,0.20689607253050918,0.42232785063461903,0.5776721493653724,,3.0531133177191805e-15,140
2009,all,lit_only,theil_l,district,0.36372666525463926,0.14889367929093805,0.21483298596369835,0.4093559629088507,0.5906440370911414,,2.886579864025407e-15,142
2010,all,lit_only,theil_l,district,0.39318821300584317,0.16378379292129613,0.22940442008454426,0.4165531608112122,0.5834468391887808,,2.7755575615628914e-15,144
2011,all,lit_only,theil_l,district,0.35868416356004806,0.14923525045980185,0.20944891310024372,0.4160631151891323,0.5839368848108607,,2.4980018054066022e-15,144
