year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,commune,0.6608154627662342,0.43127709096362554,0.22953837180260867,0.6526437640521607,0.3473562359478393,nan,0.0,23
1993,all,lit_only,theil_l,commune,0.4370302356461388,0.29143131208754347,0.14559892355859538,0.666844735940682,0.3331552640593181,nan,5.551115123125783e-17,28
1994,all,lit_only,theil_l,commune,0.44820649006828556,0.29608343166998596,0.1521230583982995,0.6605960382788674,0.3394039617211324,nan,5.551115123125783e-17,28
1995,all,lit_only,theil_l,commune,0.37915935073820034,0.24930357470717252,0.12985577603102763,0.6575166199166486,0.34248338008335094,nan,1.6653345369377348e-16,28
1996,all,lit_only,theil_l,commune,0.3586033178800875,0.2345353088895531,0.12406800899053429,0.6540243695346366,0.3459756304653631,nan,1.1102230246251565e-16,29
1997,all,lit_only,theil_l,commune,0.43034434796708554,0.25017379484391555,0.18017055312316982,0.5813339852741597,0.4186660147258399,nan,1.6653345369377348e-16,30
1998,all,lit_only,theil_l,commune,0.43649823488678563,0.24305170424147327,0.19344653064531245,0.5568217344670672,0.443178265532933,nan,1.1102230246251565e-16,29
1999,all,lit_only,theil_l,commune,0.3893820653666147,0.22045527505388837,0.1689267903127264,0.5661669980776419,0.4338330019223583,nan,1.1102230246251565e-16,29
2000,all,lit_only,theil_l,commune,0.41125688015903106,0.22759911397028454,0.18365776618874663,0.5534232372775698,0.44657676272243046,nan,1.1102230246251565e-16,31
2001,all,lit_only,theil_l,commune,0.42663657890651463,0.2307625693743075,0.19587400953220735,0.5408879144065906,0.45911208559341,nan,2.220446049250313e-16,33
2002,all,lit_only,theil_l,commune,0.41417371410162407,0.2324334722167989,0.1817402418848255,0.561198029481339,0.43880197051866177,nan,3.3306690738754696e-16,33
2003,all,lit_only,theil_l,commune,0.3950753514721312,0.22276396903327292,0.17231138243885857,0.5638518530786824,0.43614814692131837,nan,2.7755575615628914e-16,33
2004,all,lit_only,theil_l,commune,0.410895151231834,0.22024706650584974,0.19064808472598455,0.5360176819939708,0.46398231800602985,nan,2.7755575615628914e-16,33
2005,all,lit_only,theil_l,commune,0.3900717384291378,0.2163580411266189,0.17371369730251923,0.5546621808540059,0.445337819145995,nan,3.3306690738754696e-16,32
2006,all,lit_only,theil_l,commune,0.36315950154206855,0.20668619020949502,0.15647331133257375,0.5691333679329671,0.4308666320670335,nan,2.220446049250313e-16,33
2007,all,lit_only,theil_l,commune,0.38496123548769623,0.20915412267472683,0.17580711281296965,0.543312165989273,0.45668783401072766,nan,2.220446049250313e-16,31
2008,all,lit_only,theil_l,commune,0.34595177814000355,0.1973322699378227,0.148619508202181,0.5704039765275152,0.4295960234724853,nan,1.6653345369377348e-16,30
2009,all,lit_only,theil_l,commune,0.3313526187432879,0.1877040651932551,0.14364855355003295,0.5664782910277131,0.4335217089722873,nan,1.1102230246251565e-16,31
2010,all,lit_only,theil_l,commune,0.30655351432784667,0.17026115214799944,0.1362923621798478,0.5554043395043646,0.4445956604956373,nan,6.106226635438361e-16,30
2011,all,lit_only,theil_l,commune,0.29555367247517206,0.15685946552069985,0.13869420695447285,0.5307308963784803,0.46926910362152185,nan,6.661338147750939e-16,30
2012,all,lit_only,theil_l,commune,0.31683407337539043,0.1629523423663759,0.15388173100901514,0.5143144505588172,0.48568554944118475,nan,6.106226635438361e-16,32
2013,all,lit_only,theil_l,commune,0.3605466608554167,0.1726392305723694,0.18790743028304788,0.4788263193528776,0.521173680647124,nan,6.106226635438361e-16,33
2014,all,lit_only,theil_l,commune,0.3815225552578366,0.17246174384548033,0.20906081141235647,0.45203551262894276,0.5479644873710576,nan,1.6653345369377348e-16,33
2015,all,lit_only,theil_l,commune,0.40311614277705987,0.17246117275703646,0.23065497002002372,0.4278200609108693,0.5721799390891315,nan,3.3306690738754696e-16,33
2016,all,lit_only,theil_l,commune,0.4183394913778016,0.17141418269887335,0.2469253086789285,0.4097489867244437,0.590251013275557,nan,2.7755575615628914e-16,33
2017,all,lit_only,theil_l,commune,0.42398098624267133,0.16384242653419231,0.26013855970847916,0.3864381466399412,0.6135618533600591,nan,1.1102230246251565e-16,33
2018,all,lit_only,theil_l,commune,0.41572616344515395,0.17337084427610724,0.2423553191690469,0.4170313526562053,0.5829686473437952,nan,1.6653345369377348e-16,33
2019,all,lit_only,theil_l,commune,0.42396496968233655,0.18103137842353054,0.24293359125880623,0.42699607601819456,0.573003923981806,nan,2.220446049250313e-16,33
2020,all,lit_only,theil_l,commune,0.44219547501250295,0.1723179725445164,0.2698775024679868,0.3896873267182215,0.6103126732817791,nan,2.7755575615628914e-16,34
2021,all,lit_only,theil_l,commune,0.43416588317902555,0.17392374450174225,0.26024213867728374,0.40059284075535223,0.5994071592446488,nan,4.440892098500626e-16,34
2022,all,lit_only,theil_l,commune,0.4616198097630202,0.1863515816618527,0.2752682281011679,0.4036906079865143,0.5963093920134865,nan,4.440892098500626e-16,34
1992,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
1993,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
1994,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
1995,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
1996,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
1997,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
1998,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
1999,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2000,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2001,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2002,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2003,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2004,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2005,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2006,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2007,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2008,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2009,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
2010,all,zeros_included,theil_l,commune,nan,nan,nan,nan,nan,nan,nan,0
