year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,NER.1.1_1,Arlit,201418,201433.2912,2393.0,0.011880765373501872,0.01187986347912225
1992,NER.1.2_1,Bilma,277404,277400.0988,18.0,6.488731236752173e-05,6.488822490633781e-05
1992,NER.1.3_1,Tchighozerine,144719,144685.1976,778.0,0.005375935433495256,0.005377191399605167
1992,NER.2.1_1,Diffa,6951,6936.8553,193.0,0.02776578909509423,0.027822405286546757
1992,NER.2.2_1,Maïné-Soroa,15363,15365.1009,29.0,0.001887652151272538,0.0018873940530577706
1992,NER.2.3_1,N'Guigmi,123904,123931.7106,74.0,0.0005972365702479338,0.0005971030305062017
1992,NER.3.1_1,Boboye,4479,4485.0151,0.0,0.0,0.0
1992,NER.3.2_1,Dogon-Doutchi,11123,11104.259,89.0,0.008001438460846893,0.0080149427401869
1992,NER.3.3_1,Dosso,7988,7983.2535,399.0,0.04994992488733099,0.04997962324255673
1992,NER.3.4_1,Gaya,4063,4072.6005,95.0,0.02338173763229141,0.02332661920757861
1992,NER.3.5_1,Loga,3808,3818.0819,0.0,0.0,0.0
1992,NER.4.1_1,Aguié,2856,2853.4485,42.0,0.014705882352941176,0.014719032239849926
1992,NER.4.2_1,Dakoro,16505,16522.8367,0.0,0.0,0.0
1992,NER.4.3_1,Groumdji,4742,4738.7443,288.0,0.060733867566427666,0.060775594142348004
1992,NER.4.4_1,Madarounfa,3644,3641.8232,805.0,0.22091108671789242,0.2210431309555196
1992,NER.4.5_1,Mayahi,6484,6484.0589,0.0,0.0,0.0
1992,NER.4.6_1,Tessaoua,5081,5086.0197,153.0,0.03011218264121236,0.030082463036901142
1992,NER.5.1_1,Niamey,402,400.1669,5999.0,14.922885572139304,14.991243434344826
1992,NER.6.1_1,Bkonni,4830,4827.8182,278.0,0.05755693581780538,0.05758294720104339
1992,NER.6.2_1,Bouza,3541,3540.7198,0.0,0.0,0.0
1992,NER.6.3_1,Illéla,6461,6467.1557,0.0,0.0,0.0
1992,NER.6.4_1,Keita,4962,4944.316,45.0,0.009068923821039904,0.009101360102465861
1992,NER.6.5_1,Madaoua,4495,4497.1258,116.0,0.025806451612903226,0.025794252750183988
1992,NER.6.6_1,Tahoua,9095,9111.4878,526.0,0.05783397471137988,0.05772932085165182
1992,NER.6.7_1,Tchin-Tabarade,72973,72977.01,0.0,0.0,0.0
1992,NER.7.1_1,Filingué,24137,24141.9468,30.0,0.0012429050834817915,0.00124265040589015
1992,NER.7.2_1,Kollo,7854,7853.2892,232.0,0.029539088362617774,0.02954176193108517
1992,NER.7.3_1,Ouallam,20717,20732.326,16.0,0.0007723125935222282,0.0007717416766894973
1992,NER.7.4_1,Say,14735,14743.9851,55.0,0.0037326094333220224,0.0037303347404486274
1992,NER.7.5_1,Téra,14999,15007.0637,7.0,0.00046669777985199013,0.0004664470117180413
1992,NER.7.6_1,Tillabéry,8161,8142.8916,120.0,0.01470408038230609,0.01473677972406781
1992,NER.8.1_1,Gouré,89140,89128.6458,0.0,0.0,0.0
1992,NER.8.2_1,Magaria,7989,7990.2301,114.0,0.01426962072850169,0.014267423856005346
1992,NER.8.3_1,Matameye,2213,2208.6033,112.0,0.05061003163126977,0.050710782916032586
1992,NER.8.4_1,Mirriah,13397,13401.5251,1161.0,0.08666119280435919,0.08663193138533076
1992,NER.8.5_1,Tanout,33007,33011.9327,42.0,0.0012724573575302208,0.001272267225628576
1993,NER.1.1_1,Arlit,201418,201433.2912,2998.0,0.014884469113981868,0.014883339202009405
1993,NER.1.2_1,Bilma,277404,277400.0988,53.0,0.00019105708641548066,0.000191059773335328
1993,NER.1.3_1,Tchighozerine,144719,144685.1976,1131.0,0.007815145212446188,0.007816971044927306
1993,NER.2.1_1,Diffa,6951,6936.8553,272.0,0.03913106027909653,0.039210850973786106
1993,NER.2.2_1,Maïné-Soroa,15363,15365.1009,61.0,0.003970578663021545,0.00397003576677669
1993,NER.2.3_1,N'Guigmi,123904,123931.7106,99.0,0.0007990056818181819,0.0007988270272988375
1993,NER.3.1_1,Boboye,4479,4485.0151,23.0,0.005135074793480687,0.005128187845184139
1993,NER.3.2_1,Dogon-Doutchi,11123,11104.259,170.0,0.015283646498246876,0.015309441189121045
