year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,province,all,,14,0.2647206668656099,0.11489367457694707,0.1344459328777093,935057.0,nan
1993,adm1,province,all,,14,0.2582599063369393,0.10849383277138357,0.1252254017697066,1017529.0,nan
1994,adm1,province,all,,14,0.2545632256500374,0.1050656429701129,0.11974099788304493,1027943.0,nan
1995,adm1,province,all,,14,0.2505240293319222,0.10262856329725198,0.11840519926691581,1064209.0,nan
1996,adm1,province,all,,14,0.2496526468414666,0.1023457719375292,0.1187166078013045,1071378.0,nan
1997,adm1,province,all,,14,0.24945692667408914,0.10219968476224515,0.11835363838714899,1075201.0,nan
1998,adm1,province,all,,14,0.247639238848822,0.10068167587730437,0.11640124454366274,1078241.0,nan
1999,adm1,province,all,,14,0.24506035316338082,0.09815084436751134,0.11236117354971586,1092478.0,nan
2000,adm1,province,all,,14,0.24181427948284706,0.09497110712750192,0.1072600480230596,1096680.0,nan
2001,adm1,province,all,,14,0.24219266211830748,0.09533943112372043,0.10786719619219948,1096798.0,nan
2002,adm1,province,all,,14,0.24255830861074346,0.09567357121941107,0.1083716981285677,1097099.0,nan
2003,adm1,province,all,,14,0.24221496796425113,0.09533318157701835,0.10781927920897545,1097670.0,nan
2004,adm1,province,all,,14,0.24175918982575095,0.09487514790434454,0.1070924186279569,1097883.0,nan
2005,adm1,province,all,,14,0.24145181688409578,0.09461413081764171,0.10675877571400927,1098348.0,nan
2006,adm1,province,all,,14,0.2414280784953038,0.09462447468627823,0.10687045985055746,1098770.0,nan
2007,adm1,province,all,,14,0.24239607808650976,0.0956082420323084,0.10858614839773534,1100381.0,nan
2008,adm1,province,all,,14,0.24321045777879746,0.09627236155798329,0.10950318593189431,1100125.0,nan
2009,adm1,province,all,,14,0.24052491266039744,0.09374748774240144,0.10583702259969213,1104937.0,nan
2010,adm1,province,all,,14,0.23414305568081062,0.08942136135288775,0.10187701229359097,1142726.0,nan
2011,adm1,province,all,,14,0.2339537778440055,0.08929106413972736,0.10178253795587422,1143973.0,nan
2012,adm1,province,all,,14,0.23674308210317463,0.09221443633238158,0.10675100827727368,1143846.0,nan
2013,adm1,province,all,,14,0.2417508652597442,0.09574834904609592,0.11076741292053763,1136776.0,nan
2014,adm1,province,all,,14,0.24248865973601097,0.09640988757482659,0.11171345042103475,1139614.6304340363,nan
2015,adm1,province,all,,14,0.24698246536072932,0.09975095248665214,0.11580637768868052,1134724.9973211288,nan
2016,adm1,province,all,,14,0.24660984056650737,0.09948216511161977,0.11556636610847956,1135730.617340088,nan
2017,adm1,province,all,,14,0.241191130264504,0.09547501725522047,0.11104919911518377,1146025.4380184412,nan
2018,adm1,province,all,,14,0.2414857130852326,0.09562514816473311,0.11109512829177248,1147268.654757142,nan
2019,adm1,province,all,,14,0.2398522844573332,0.0942224589989843,0.10918572113454897,1150806.8936978579,nan
2020,adm1,province,all,,14,0.2374392719458316,0.09239270926175708,0.10689854488354358,1155626.4425183535,nan
2021,adm1,province,all,,14,0.23387157766792743,0.08967863345509244,0.10349180289086968,1163529.6433653831,nan
2022,adm1,province,all,,14,0.23101058087421267,0.0877564031747318,0.10132690471286779,1167703.0106682777,nan
1992,adm2,municipality,all,,355,0.25456209104148564,0.10444214124223095,0.13100555409029138,935057.0,nan
1993,adm2,municipality,all,,355,0.2447115540648208,0.09655884942176016,0.11839446547044094,1017529.0,nan
1994,adm2,municipality,all,,355,0.2426987143398116,0.09494111564813974,0.1158713283761991,1027943.0,nan
1995,adm2,municipality,all,,355,0.2355774593098101,0.08981553576498061,0.10945102699008523,1064209.0,nan
1996,adm2,municipality,all,,355,0.2338988912199056,0.08864270983363591,0.10810399815792987,1071378.0,nan
1997,adm2,municipality,all,,355,0.23340446530307535,0.08843616996116554,0.10820443327266195,1075201.0,nan
1998,adm2,municipality,all,,355,0.23265864728148178,0.08792556050085716,0.10780903288663252,1078241.0,nan
1999,adm2,municipality,all,,355,0.23037186712171676,0.08639417355371663,0.10591151034439855,1092478.0,nan
2000,adm2,municipality,all,,355,0.22938020683041183,0.0854781299010273,0.10400960371990789,1096680.0,nan
2001,adm2,municipality,all,,355,0.22939266780035683,0.08554363469282181,0.10432531943562144,1096798.0,nan
2002,adm2,municipality,all,,355,0.22930230511633187,0.08548673516031707,0.10427206112967152,1097099.0,nan
2003,adm2,municipality,all,,355,0.22917529030806616,0.08537406469238293,0.1040234831688446,1097670.0,nan
2004,adm2,municipality,all,,355,0.22916069763633828,0.08536958856720187,0.10411452090709107,1097883.0,nan
2005,adm2,municipality,all,,355,0.2291471518819832,0.08540365152850408,0.10454446174066016,1098348.0,nan
2006,adm2,municipality,all,,355,0.22909473093204014,0.08543758887441007,0.10485480857630003,1098770.0,nan
2007,adm2,municipality,all,,355,0.2287950640083829,0.08532397960762107,0.10519188630089465,1100381.0,nan
2008,adm2,municipality,all,,355,0.22920577085056837,0.08626987367044972,nan,1100125.0,nan
2009,adm2,municipality,all,,355,0.22816414704208743,0.08552492649825948,nan,1104937.0,nan
2010,adm2,municipality,all,,355,0.2171528965234224,0.07784094926520783,0.09907481006880199,1142726.0,nan
2011,adm2,municipality,all,,355,0.21698888886495582,0.07794879683397397,0.09986760586639709,1143973.0,nan
2012,adm2,municipality,all,,355,0.216910500204059,0.07801426462555265,0.10014490335900442,1143846.0,nan
2013,adm2,municipality,all,,355,0.218634116904032,0.07941350863700862,0.10145481698578299,1136776.0,nan
2014,adm2,municipality,all,,355,0.21876696127710193,0.07973924533478029,0.10220614107855845,1139614.6304340363,nan
2015,adm2,municipality,all,,355,0.2203742299421927,0.08132003897164038,0.10503220905593891,1134724.9973211288,nan
2016,adm2,municipality,all,,355,0.22002668018656024,0.08111032665086883,0.10481218010360888,1135730.617340088,nan
2017,adm2,municipality,all,,355,0.21741846542233279,0.07905731334032166,0.10190746255263483,1146025.4380184412,nan
2018,adm2,municipality,all,,355,0.2173336270254378,0.07930576777700041,0.10330877916863308,1147268.654757142,nan
2019,adm2,municipality,all,,355,0.2168083470616946,0.07907457159702919,0.10339581461053837,1150806.8936978579,nan
2020,adm2,municipality,all,,355,0.2157529920208625,0.0782604208213045,0.102241759325677,1155626.4425183535,nan
2021,adm2,municipality,all,,355,0.2142487986953734,0.07706679949985777,0.10052742881734877,1163529.6433653831,nan
2022,adm2,municipality,all,,355,0.21317995493821984,0.07608899644018553,0.09890223803323019,1167703.0106682777,nan
1992,pixel,pixel (1 km),all,lit_only,35373,0.34355648672049877,0.1854687416230044,0.208392376290573,935057.0,0.9392474974111149
1993,pixel,pixel (1 km),all,lit_only,36049,0.34156834347791,0.18268901887934288,0.20241891543234497,1017529.0,0.9571971004487401
1994,pixel,pixel (1 km),all,lit_only,36429,0.34386581849503584,0.18557115385335954,0.20843000213698196,1027943.0,0.9672871139906004
1995,pixel,pixel (1 km),all,lit_only,36259,0.3365417169121372,0.17726401591988872,0.1972349016701868,1064209.0,0.9627731605639787
1996,pixel,pixel (1 km),all,lit_only,36190,0.33310510205791566,0.17343964222812597,0.19225527303113346,1071378.0,0.9609410265261146
1997,pixel,pixel (1 km),all,lit_only,36260,0.3341482398119451,0.1749160914242896,0.19606714969854844,1075201.0,0.9627997132311941
1998,pixel,pixel (1 km),all,lit_only,36304,0.3338231909457299,0.17467984864129799,0.19652374523679852,1078241.0,0.9639680305886726
1999,pixel,pixel (1 km),all,lit_only,36481,0.33437466434737595,0.17575295134225824,0.20014983485266935,1092478.0,0.9686678526858022
2000,pixel,pixel (1 km),all,lit_only,36740,0.33615655373691933,0.17771700039561245,0.2027519728279218,1096680.0,0.9755449934945966
2001,pixel,pixel (1 km),all,lit_only,36656,0.33481820830950726,0.17602795394910686,0.19929180974731556,1096798.0,0.9733145694485011
2002,pixel,pixel (1 km),all,lit_only,36651,0.3346898219580754,0.1759343547610195,0.1994683668156789,1097099.0,0.973181806112424
2003,pixel,pixel (1 km),all,lit_only,36714,0.3354657278805915,0.1769040273057096,0.20140354887360662,1097670.0,0.9748546241469955
2004,pixel,pixel (1 km),all,lit_only,36772,0.3362900355028462,0.177934231557362,0.20345493551172478,1097883.0,0.97639467884549
2005,pixel,pixel (1 km),all,lit_only,36744,0.33565803911511183,0.1771088137699087,0.20161495737414498,1098348.0,0.9756512041634582
