year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,county,all,,19,0.601886261737753,0.7001174418007738,nan,809988.0,nan
1993,adm1,county,all,,19,0.5388159191762711,0.557181207692665,0.5316142478378192,1163605.0,nan
1994,adm1,county,all,,19,0.5329405923673813,0.537565533994344,0.5302447296557943,1209292.0,nan
1995,adm1,county,all,,19,0.5165423286816082,0.49602587842939083,0.49292330209734536,1348398.0,nan
1996,adm1,county,all,,19,0.516608181472086,0.49186543712758635,0.48243191262140644,1373073.0,nan
1997,adm1,county,all,,19,0.5371845082653637,0.5334138485391192,0.5969479465282687,1282634.0,nan
1998,adm1,county,all,,19,0.576697973301312,0.6203155886595237,nan,1116498.0,nan
1999,adm1,county,all,,19,0.5705006566085087,0.6059134330598386,nan,1158074.0,nan
2000,adm1,county,all,,19,0.5367011986853252,0.5239341813123203,0.5449115041977277,1307918.0,nan
2001,adm1,county,all,,19,0.5459042292746166,0.5411243985626251,0.5843353115612688,1284027.0,nan
2002,adm1,county,all,,19,0.5470804871807504,0.5445128298804621,0.5787392450242693,1266016.0,nan
2003,adm1,county,all,,19,0.5287652033241523,0.5123728227860568,0.5057463072555253,1341451.0,nan
2004,adm1,county,all,,19,0.5236086396295583,0.5025468916375113,0.4919707951598801,1370559.0,nan
2005,adm1,county,all,,19,0.5118110614443652,0.4812671876519583,0.46683864389154156,1434780.0,nan
2006,adm1,county,all,,19,0.5093333290470903,0.4758900945830852,0.4604125396560416,1441675.0,nan
2007,adm1,county,all,,19,0.49551623611782203,0.4528248503706039,0.42611632511990305,1509134.0,nan
2008,adm1,county,all,,19,0.5134248231548311,0.48639567773578857,0.4668257992727558,1417575.0,nan
2009,adm1,county,all,,19,0.5072103233328249,0.47373275925310054,0.4546422711024308,1470959.0,nan
2010,adm1,county,all,,19,0.49159879178411714,0.4341350320264168,0.42491552488289397,1611646.0,nan
2011,adm1,county,all,,19,0.49686812557455395,0.4422841771001538,0.4343801374850274,1573615.0,nan
2012,adm1,county,all,,19,0.48973138156990714,0.43126340253187495,0.4181549952759598,1604582.0,nan
2013,adm1,county,all,,19,0.49140198387974054,0.43747933292921914,0.41653654301491966,1575580.0,nan
2014,adm1,county,all,,19,0.5013099515773642,0.45402129993817586,0.4393964039964167,1514731.9837932587,nan
2015,adm1,county,all,,19,0.5107676127405631,0.4698900521574185,0.46107722546461044,1477566.7197930813,nan
2016,adm1,county,all,,19,0.5080559618787523,0.464492041665448,0.45427871578990586,1496222.5289150476,nan
2017,adm1,county,all,,19,0.5006768226506251,0.450392804449921,0.43942191085214455,1543832.5108126402,nan
2018,adm1,county,all,,19,0.5005966494934238,0.4498887219914711,0.4397997703143557,1548524.627044201,nan
2019,adm1,county,all,,19,0.48960613002811715,0.4333488459173983,0.4160657934702053,1609162.387975812,nan
2020,adm1,county,all,,19,0.4783708173922969,0.41453958883433784,0.3910051164959956,1679878.5391495228,nan
2021,adm1,county,all,,19,0.45809884465117845,0.3785097542345429,0.35283080169207715,1821687.613116622,nan
2022,adm1,county,all,,19,0.455244413862981,0.374373793806711,0.3479794304655589,1838957.9960787296,nan
1992,adm2,municipality,all,,438,0.7169989868088189,0.9614285526527466,nan,809988.0,nan
1993,adm2,municipality,all,,438,0.6407221304179476,0.7261647469537745,nan,1163605.0,nan
1994,adm2,municipality,all,,438,0.6270678714933027,0.6893252861881793,nan,1209292.0,nan
1995,adm2,municipality,all,,438,0.60826361896764,0.640437916279899,nan,1348398.0,nan
1996,adm2,municipality,all,,438,0.6099025908953346,0.6443850971881318,nan,1373073.0,nan
1997,adm2,municipality,all,,438,0.6301355421430734,0.6971419725804373,nan,1282634.0,nan
1998,adm2,municipality,all,,438,0.6728701544645113,0.8197603740984991,nan,1116498.0,nan
1999,adm2,municipality,all,,438,0.6658987167032324,0.7996946465498633,nan,1158074.0,nan
2000,adm2,municipality,all,,438,0.6243284160397862,0.6801966317129504,nan,1307918.0,nan
2001,adm2,municipality,all,,438,0.6375841579310189,0.7143709542156641,nan,1284027.0,nan
2002,adm2,municipality,all,,438,0.640127205653106,0.7213636320659571,nan,1266016.0,nan
2003,adm2,municipality,all,,438,0.625647864089973,0.683596820909078,nan,1341451.0,nan
2004,adm2,municipality,all,,438,0.6204339339300027,0.6701554303011348,nan,1370559.0,nan
2005,adm2,municipality,all,,438,0.6080156866412618,0.6393145957804818,nan,1434780.0,nan
2006,adm2,municipality,all,,438,0.6069042881397402,0.6366674163819179,nan,1441675.0,nan
2007,adm2,municipality,all,,438,0.5939617936163955,0.606362845051356,nan,1509134.0,nan
2008,adm2,municipality,all,,438,0.6132021626200947,0.6523508510154236,nan,1417575.0,nan
2009,adm2,municipality,all,,438,0.6046708045789295,0.6313630721832735,nan,1470959.0,nan
2010,adm2,municipality,all,,438,0.5798388173656519,0.5722117441448454,0.7256511537105138,1611646.0,nan
2011,adm2,municipality,all,,438,0.5885534733740403,0.5920025138715904,0.7617726754874814,1573615.0,nan
2012,adm2,municipality,all,,438,0.5829709752291976,0.5793813616574738,0.7317637244169103,1604582.0,nan
2013,adm2,municipality,all,,438,0.5862888715823484,0.5875150717937814,0.738163701331819,1575580.0,nan
2014,adm2,municipality,all,,438,0.5975930487540655,0.6137693202894586,0.7828659419101232,1514731.9837932587,nan
2015,adm2,municipality,all,,438,0.6074569227556907,0.637457200447646,nan,1477566.7197930813,nan
2016,adm2,municipality,all,,438,0.6047635040658248,0.6309034518380673,nan,1496222.5289150476,nan
2017,adm2,municipality,all,,438,0.5925841690756961,0.601342953033343,0.7708616380579771,1543832.5108126402,nan
2018,adm2,municipality,all,,438,0.5924593420921564,0.6009932178275872,0.7785338850997325,1548524.627044201,nan
2019,adm2,municipality,all,,438,0.5832293248981608,0.5801001548745852,0.740957223889388,1609162.387975812,nan
2020,adm2,municipality,all,,438,0.5718502006721538,0.5549037872863747,0.6910938621804779,1679878.5391495228,nan
2021,adm2,municipality,all,,438,0.5463051914632757,0.5005163552846272,0.6064043609769676,1821687.613116622,nan
2022,adm2,municipality,all,,438,0.5435639983556138,0.49499898953605215,0.5979835812157968,1838957.9960787296,nan
1992,pixel,pixel (1 km),all,lit_only,38352,0.3722757642732857,0.22688664604895487,0.2737671099842809,809988.0,0.11798400915520471
1993,pixel,pixel (1 km),all,lit_only,52652,0.35564423353333496,0.20537209573835674,0.2473691659646001,1163605.0,0.1619757522434251
1994,pixel,pixel (1 km),all,lit_only,58356,0.3920328434331659,0.2481175349057747,0.3013272935731197,1209292.0,0.17952322794798514
1995,pixel,pixel (1 km),all,lit_only,59136,0.35711726234636343,0.20374557895914425,0.23440608881921143,1348398.0,0.181922777570979
1996,pixel,pixel (1 km),all,lit_only,59726,0.36202328470448086,0.20877671738573894,0.23967858094807987,1373073.0,0.1837378215165769
1997,pixel,pixel (1 km),all,lit_only,53742,0.3573618598120065,0.20337900917645224,0.23804402753067055,1282634.0,0.16532896902427544
1998,pixel,pixel (1 km),all,lit_only,46831,0.35242676668084494,0.19804106840469232,0.2295831226481861,1116498.0,0.14406834409541594
1999,pixel,pixel (1 km),all,lit_only,49027,0.36542593458407313,0.21456606666567973,0.2615667752136879,1158074.0,0.15082399918784475
2000,pixel,pixel (1 km),all,lit_only,66362,0.41709466564226627,0.2807229754783334,0.33424422095501255,1307918.0,0.20415245138604754
2001,pixel,pixel (1 km),all,lit_only,63501,0.4187776633780922,0.2839759304279106,0.3497571108328737,1284027.0,0.19535102642273297
2002,pixel,pixel (1 km),all,lit_only,59398,0.3970880117806057,0.25368714045492685,0.30326350806909785,1266016.0,0.18272878013665128
2003,pixel,pixel (1 km),all,lit_only,61807,0.3950936408580683,0.2513744579525798,0.30796308996741106,1341451.0,0.19013969685689763
2004,pixel,pixel (1 km),all,lit_only,67364,0.4226971881760384,0.2895919561142611,0.36553909428957265,1370559.0,0.20723494974789347
2005,pixel,pixel (1 km),all,lit_only,75794,0.4406419013125433,0.3139078316986349,0.3792994729493947,1434780.0,0.23316854375024995
2006,pixel,pixel (1 km),all,lit_only,76821,0.4429096784301132,0.31701913961038114,0.379717944914308,1441675.0,0.2363279507538585
2007,pixel,pixel (1 km),all,lit_only,83561,0.4441065303975591,0.31930910436293397,0.36783269096914495,1509134.0,0.25706252057306167
2008,pixel,pixel (1 km),all,lit_only,67800,0.39765035518871117,0.25175637844040144,0.2806201098297636,1417575.0,0.20857623646023363
2009,pixel,pixel (1 km),all,lit_only,72792,0.40613294017514634,0.2641735801736735,0.2978797584477136,1470959.0,0.22393335404739417
2010,pixel,pixel (1 km),all,lit_only,88198,0.432579354713865,0.3039102876028252,0.33048417088641985,1611646.0,0.271327535447193
2011,pixel,pixel (1 km),all,lit_only,77437,0.3990383261210464,0.2546727493142855,0.2717281325828377,1573615.0,0.23822297968688955
2012,pixel,pixel (1 km),all,lit_only,78949,0.3986226394819854,0.2548718803013612,0.2770579092900757,1604582.0,0.24287441434069298
2013,pixel,pixel (1 km),all,lit_only,76988,0.40605864692165294,0.26490751111760835,0.3031000746609523,1575580.0,0.23684170048083283
2014,pixel,pixel (1 km),all,lit_only,70300,0.3983773977803067,0.254163990535052,0.30069631581184664,1514731.9837932587,0.21626710063649593
2015,pixel,pixel (1 km),all,lit_only,70436,0.4252327255794941,0.2933922476941484,0.3821771030227224,1477566.7197930813,0.21668548364768458
2016,pixel,pixel (1 km),all,lit_only,74893,0.44506821107634287,0.32251996065143385,0.4239806830886196,1496222.5289150476,0.23039675630112502
2017,pixel,pixel (1 km),all,lit_only,78542,0.44512227663328297,0.3211221205035634,0.406538138023574,1543832.5108126402,0.24162234165279747
2018,pixel,pixel (1 km),all,lit_only,78230,0.44181693168811287,0.31574804098389364,0.3952624580690003,1548524.627044201,0.24066252180359993
2019,pixel,pixel (1 km),all,lit_only,88836,0.4685289646864301,0.3575025024168976,0.4450823566819897,1609162.387975812,0.27329024398497515
2020,pixel,pixel (1 km),all,lit_only,98684,0.4799671946995647,0.3771414949782858,0.46103361443124136,1679878.5391495228,0.3035860961481076
2021,pixel,pixel (1 km),all,lit_only,108796,0.4663026366067058,0.3558004570809918,0.4110618634414575,1821687.613116622,0.33469410356825335
2022,pixel,pixel (1 km),all,lit_only,111250,0.4694895727610162,0.36131544257476594,0.41850225234543387,1838957.9960787296,0.34224345584367244
1992,pixel,pixel (1 km),all,zeros_included,325061,0.9259385780250755,2.3640928253823583,nan,809988.0,0.11798400915520471
1993,pixel,pixel (1 km),all,zeros_included,325061,0.8956299900141733,2.0256807282006273,nan,1163605.0,0.1619757522434251
1994,pixel,pixel (1 km),all,zeros_included,325061,0.8908557735667639,1.9655682107215577,nan,1209292.0,0.17952322794798514
1995,pixel,pixel (1 km),all,zeros_included,325061,0.8830449867136154,1.9079185599653572,nan,1348398.0,0.181922777570979
1996,pixel,pixel (1 km),all,zeros_included,325061,0.8827795481533001,1.9030221379321843,nan,1373073.0,0.1837378215165769
1997,pixel,pixel (1 km),all,zeros_included,325061,0.8937532988270414,2.0031970474807714,nan,1282634.0,0.16532896902427544
1998,pixel,pixel (1 km),all,zeros_included,325061,0.9067051965951949,2.135508548629651,nan,1116498.0,0.14406834409541594
1999,pixel,pixel (1 km),all,zeros_included,325061,0.904291001673081,2.1062077569283226,nan,1158074.0,0.15082399918784475
2000,pixel,pixel (1 km),all,zeros_included,325061,0.8809984470648651,1.8696112289979478,nan,1307918.0,0.20415245138604754
2001,pixel,pixel (1 km),all,zeros_included,325061,0.8864576199610912,1.9169331336472002,nan,1284027.0,0.19535102642273297
2002,pixel,pixel (1 km),all,zeros_included,325061,0.8898306278629071,1.9534394417122782,nan,1266016.0,0.18272878013665128
2003,pixel,pixel (1 km),all,zeros_included,325061,0.8849832882459434,1.9113706883203574,nan,1341451.0,0.19013969685689763
2004,pixel,pixel (1 km),all,zeros_included,325061,0.8803626808023437,1.8634940625458856,nan,1370559.0,0.20723494974789347
2005,pixel,pixel (1 km),all,zeros_included,325061,0.8695752866941373,1.7699015548815398,nan,1434780.0,0.23316854375024995
