year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,county,0.2737671099842809,0.012697532366301518,0.26106957761797667,0.04638078097486065,0.9536192190251295,,2.7200464103316335e-15,17
1993,all,lit_only,theil_l,county,0.2473691659646001,0.012984664761520041,0.23438450120307028,0.052491039903405826,0.9475089600965546,,9.769962616701378e-15,19
1994,all,lit_only,theil_l,county,0.3013272935731197,0.016968942436653207,0.28435835113645425,0.056313990795312886,0.9436860092046464,,1.226796442210798e-14,19
1995,all,lit_only,theil_l,county,0.23440608881921143,0.020639163423709833,0.21376692539549016,0.08804875132585843,0.9119512486740928,,1.1435297153639112e-14,19
1996,all,lit_only,theil_l,county,0.23967858094807987,0.022220018825461277,0.21745856212260703,0.09270757001967843,0.9072924299802734,,1.1546319456101628e-14,19
1997,all,lit_only,theil_l,county,0.23804402753067055,0.01953405519639051,0.21850997233427188,0.08206068179498292,0.9179393182049828,,8.1601392309949e-15,19
1998,all,lit_only,theil_l,county,0.2295831226481861,0.013287616672556391,0.21629550597562183,0.057877149327384914,0.9421228506725808,,7.854827899222983e-15,17
1999,all,lit_only,theil_l,county,0.2615667752136879,0.014481523469568458,0.24708525174410909,0.05536453724957127,0.9446354627503892,,1.0325074129013956e-14,17
2000,all,lit_only,theil_l,county,0.33424422095501255,0.05666728433007307,0.2775769366249281,0.16953856125967298,0.830461438740293,,1.1379786002407855e-14,19
2001,all,lit_only,theil_l,county,0.3497571108328737,0.02967090924788125,0.3200862015849831,0.08483289782794168,0.9151671021720316,,9.381384558082573e-15,19
2002,all,lit_only,theil_l,county,0.30326350806909785,0.03191283945578524,0.2713506686133032,0.10523138658843839,0.8947686134115306,,9.43689570931383e-15,19
2003,all,lit_only,theil_l,county,0.30796308996741106,0.022571779348824757,0.28539131061857737,0.07329378124895852,0.9267062187510124,,8.93729534823251e-15,19
2004,all,lit_only,theil_l,county,0.36553909428957265,0.02340497720325078,0.3421341170863114,0.06402865676717422,0.9359713432327972,,1.0436096431476471e-14,19
2005,all,lit_only,theil_l,county,0.3792994729493947,0.027128702116268767,0.352170770833116,0.07152317377432323,0.9284768262256505,,9.936496070395151e-15,19
2006,all,lit_only,theil_l,county,0.379717944914308,0.03199420236508685,0.3477237425492119,0.08425780976010251,0.9157421902398731,,9.2148511043888e-15,19
2007,all,lit_only,theil_l,county,0.36783269096914495,0.038760222681598594,0.32907246828753534,0.10537460001033441,0.8946253999896356,,1.099120794378905e-14,19
2008,all,lit_only,theil_l,county,0.2806201098297636,0.025033183520245597,0.25558692630950675,0.08920666282766342,0.9107933371722965,,1.1268763699945339e-14,19
2009,all,lit_only,theil_l,county,0.2978797584477136,0.02185456791346928,0.27602519053422747,0.07336707947984114,0.9266329205201024,,1.6819878823071122e-14,19
2010,all,lit_only,theil_l,county,0.33048417088641985,0.026697204497173364,0.30378696638922564,0.08078209744680512,0.9192179025531318,,2.0816681711721685e-14,19
2011,all,lit_only,theil_l,county,0.2717281325828377,0.019268568205500262,0.2524595643773161,0.07091120092111236,0.9290887990788091,,2.1316282072803006e-14,19
2012,all,lit_only,theil_l,county,0.2770579092900757,0.024569641923481628,0.2524882673665736,0.08868052887007663,0.9113194711298496,,2.042810365310288e-14,19
2013,all,lit_only,theil_l,county,0.3031000746609523,0.03425971613447985,0.26884035852646315,0.11303103825626823,0.8869689617437011,,9.270362255620057e-15,19
2014,all,lit_only,theil_l,county,0.30069631581184664,0.026100695518013018,0.27459562029381734,0.08680084904779775,0.9131991509521481,,1.6264767310758543e-14,19
2015,all,lit_only,theil_l,county,0.3821771030227224,0.021387268763343605,0.3607898342593643,0.055961669587704266,0.9440383304122578,,1.4488410471358293e-14,19
2016,all,lit_only,theil_l,county,0.4239806830886196,0.0255193774743627,0.39846130561424137,0.06018995320366681,0.9398100467962966,,1.5487611193520934e-14,19
2017,all,lit_only,theil_l,county,0.406538138023574,0.018865137127638487,0.38767300089591955,0.04640434774300203,0.9535956522569586,,1.5987211554602254e-14,19
2018,all,lit_only,theil_l,county,0.3952624580690003,0.018210698008629525,0.3770517600603552,0.04607242007651158,0.953927579923449,,1.559863349598345e-14,19
2019,all,lit_only,theil_l,county,0.4450823566819897,0.03476672324225899,0.41031563343972044,0.07811301149171306,0.9218869885082639,,1.0269562977782698e-14,19
2020,all,lit_only,theil_l,county,0.46103361443124136,0.04001620914258806,0.4210174052886479,0.08679672780900033,0.913203272190988,,5.384581669432009e-15,19
2021,all,lit_only,theil_l,county,0.4110618634414575,0.031175121665250192,0.3798867417762039,0.07584046207606919,0.9241595379239225,,3.3861802251067274e-15,19
2022,all,lit_only,theil_l,county,0.41850225234543387,0.032367120506207485,0.38613513183922504,0.07734037349813712,0.9226596265018597,,1.3322676295501878e-15,19
1992,all,zeros_included,theil_l,county,,,,,,,,0
1993,all,zeros_included,theil_l,county,,,,,,,,0
1994,all,zeros_included,theil_l,county,,,,,,,,0
1995,all,zeros_included,theil_l,county,,,,,,,,0
1996,all,zeros_included,theil_l,county,,,,,,,,0
1997,all,zeros_included,theil_l,county,,,,,,,,0
1998,all,zeros_included,theil_l,county,,,,,,,,0
1999,all,zeros_included,theil_l,county,,,,,,,,0
2000,all,zeros_included,theil_l,county,,,,,,,,0
2001,all,zeros_included,theil_l,county,,,,,,,,0
2002,all,zeros_included,theil_l,county,,,,,,,,0
2003,all,zeros_included,theil_l,county,,,,,,,,0
2004,all,zeros_included,theil_l,county,,,,,,,,0
2005,all,zeros_included,theil_l,county,,,,,,,,0
2006,all,zeros_included,theil_l,county,,,,,,,,0
2007,all,zeros_included,theil_l,county,,,,,,,,0
2008,all,zeros_included,theil_l,county,,,,,,,,0
2009,all,zeros_included,theil_l,county,,,,,,,,0
2010,all,zeros_included,theil_l,county,,,,,,,,0
2011,all,zeros_included,theil_l,county,,,,,,,,0
2012,all,zeros_included,theil_l,county,,,,,,,,0
2013,all,zeros_included,theil_l,county,,,,,,,,0
2014,all,zeros_included,theil_l,county,,,,,,,,0
2015,all,zeros_included,theil_l,county,,,,,,,,0
2016,all,zeros_included,theil_l,county,,,,,,,,0
2017,all,zeros_included,theil_l,county,,,,,,,,0
2018,all,zeros_included,theil_l,county,,,,,,,,0
2019,all,zeros_included,theil_l,county,,,,,,,,0
2020,all,zeros_included,theil_l,county,,,,,,,,0
2021,all,zeros_included,theil_l,county,,,,,,,,0
2022,all,zeros_included,theil_l,county,,,,,,,,0
1992,all,lit_only,theil_l,municipality,0.2737671099842809,0.072181965145901,0.20158514483838036,0.2636619320342956,0.7363380679657061,,4.440892098500626e-16,356
1993,all,lit_only,theil_l,municipality,0.2473691659646001,0.062268219732894925,0.18510094623170548,0.2517218323879778,0.7482781676120235,,3.0531133177191805e-16,425
1994,all,lit_only,theil_l,municipality,0.3013272935731197,0.08796411023992498,0.2133631833331951,0.29192214617153395,0.7080778538284672,,3.3306690738754696e-16,431
1995,all,lit_only,theil_l,municipality,0.23440608881921143,0.07236967624560003,0.16203641257361187,0.30873633278961465,0.6912636672103873,,4.718447854656915e-16,432
1996,all,lit_only,theil_l,municipality,0.23967858094807987,0.07615231822527903,0.16352626272280155,0.3177268403544806,0.6822731596455224,,7.216449660063518e-16,432
1997,all,lit_only,theil_l,municipality,0.23804402753067055,0.07233673638479649,0.16570729114587474,0.30387965258013594,0.6961203474198668,,6.661338147750939e-16,417
1998,all,lit_only,theil_l,municipality,0.2295831226481861,0.06587363165410444,0.16370949099408244,0.28692715254618,0.7130728474538235,,7.771561172376096e-16,352
