year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,development region,all,,5,0.5169145648209026,0.4714163143746735,0.5791866403668147,26075.0,
1993,adm1,development region,all,,5,0.5155953866324801,0.4677809173397297,0.5690948395125469,30789.0,
1994,adm1,development region,all,,5,0.5151460482718007,0.4655926971151292,0.5774808424201638,33341.0,
1995,adm1,development region,all,,5,0.5033970659021927,0.4443154334202723,0.5595727919300466,40616.0,
1996,adm1,development region,all,,5,0.4901708907704232,0.4184872944070547,0.5109934105050112,43895.0,
1997,adm1,development region,all,,5,0.48787202481555036,0.41382942692393865,0.5058443360197739,44466.0,
1998,adm1,development region,all,,5,0.48444313551714946,0.40877489091686553,0.5057889650618667,48679.0,
1999,adm1,development region,all,,5,0.4796887817012665,0.4015560817735616,0.5016478560038413,53524.0,
2000,adm1,development region,all,,5,0.47831320552398093,0.3977933528220872,0.5096354380085417,60807.0,
2001,adm1,development region,all,,5,0.4810335178535361,0.40326116646204846,0.5266600432099139,61328.0,
2002,adm1,development region,all,,5,0.48304446928621836,0.4073642584610599,0.5301050809796369,59864.0,
2003,adm1,development region,all,,5,0.48001340916713375,0.4025639984743761,0.5262637301358781,60608.0,
2004,adm1,development region,all,,5,0.47859016488044137,0.3982997731520084,0.5191738626443227,64737.0,
2005,adm1,development region,all,,5,0.4750020296464923,0.39093256878915683,0.5025942590890792,65774.0,
2006,adm1,development region,all,,5,0.45984141449139804,0.36311535533583256,0.45871609127515073,64048.0,
2007,adm1,development region,all,,5,0.44349512572966376,0.3351623526613215,0.410765241000553,59861.0,
2008,adm1,development region,all,,5,0.43698281582630005,0.3239378321056085,0.37377861443275534,49978.0,
2009,adm1,development region,all,,5,0.4204699372638361,0.29934360037249436,0.3313394549878246,51240.0,
2010,adm1,development region,all,,5,0.41489787927832933,0.2949714088302686,0.3374418183324358,58810.0,
2011,adm1,development region,all,,5,0.4386519749635953,0.32844560446627297,0.3801006742916716,44436.0,
2012,adm1,development region,all,,5,0.4427472729520525,0.33684673781848684,0.39528537827859644,44832.0,
2013,adm1,development region,all,,5,0.4781505273996225,0.3961991567964348,0.4762524245688137,52535.0,
2014,adm1,development region,all,,5,0.4699067916043538,0.3824230239243527,0.4660431298722385,52373.81310260296,
2015,adm1,development region,all,,5,0.48056618988373967,0.41125913922015944,0.5365194465090948,52071.17981112003,
2016,adm1,development region,all,,5,0.48061765133932166,0.4128058632733688,0.5406938168662954,52620.15839600563,
2017,adm1,development region,all,,5,0.4793158676491607,0.4050055997709914,0.532492807087942,66750.25670564175,
2018,adm1,development region,all,,5,0.4753781382598392,0.3984416221773738,0.5272024135944662,68787.45783531666,
2019,adm1,development region,all,,5,0.47627469391597854,0.39821981764462805,0.5234001811609381,80635.83935809135,
2020,adm1,development region,all,,5,0.4581723570833445,0.3683667914007362,0.4803470515529998,101799.72631752491,
2021,adm1,development region,all,,5,0.4393958515769194,0.33689889697654085,0.426325299429819,123390.02765583992,
2022,adm1,development region,all,,5,0.4352911812958502,0.3265357370515983,0.40160044436017456,144887.0374881029,
1992,adm2,administrative zone,all,,14,0.6090277825257622,0.668805893780942,,26075.0,
1993,adm2,administrative zone,all,,14,0.596422690010808,0.6329993820502386,,30789.0,
1994,adm2,administrative zone,all,,14,0.5923675595324083,0.6216195732092923,,33341.0,
1995,adm2,administrative zone,all,,14,0.5722149757001769,0.5781656650111023,,40616.0,
1996,adm2,administrative zone,all,,14,0.5591025432470449,0.5512275478756855,,43895.0,
1997,adm2,administrative zone,all,,14,0.5568851637616212,0.5464847753821711,,44466.0,
1998,adm2,administrative zone,all,,14,0.5497750301499094,0.5328690585685505,,48679.0,
1999,adm2,administrative zone,all,,14,0.5430249630601534,0.5199985559254923,,53524.0,
2000,adm2,administrative zone,all,,14,0.5367248675707093,0.5064577456362428,,60807.0,
2001,adm2,administrative zone,all,,14,0.5399495844663125,0.5146123262285948,,61328.0,
2002,adm2,administrative zone,all,,14,0.5422060330868566,0.5201076562317752,,59864.0,
2003,adm2,administrative zone,all,,14,0.5400673846516768,0.517279900632779,,60608.0,
2004,adm2,administrative zone,all,,14,0.532378526277764,0.5055597282171032,,64737.0,
2005,adm2,administrative zone,all,,14,0.5273676140878303,0.49460860400857193,,65774.0,
2006,adm2,administrative zone,all,,14,0.5205937498961815,0.48071929282821024,,64048.0,
2007,adm2,administrative zone,all,,14,0.5208921099040935,0.479918034873149,,59861.0,
2008,adm2,administrative zone,all,,14,0.5409775181304113,0.5189564719706751,,49978.0,
2009,adm2,administrative zone,all,,14,0.5362589394596025,0.5022439811990171,,51240.0,
2010,adm2,administrative zone,all,,14,0.5289814820686161,0.48743415478115415,,58810.0,
2011,adm2,administrative zone,all,,14,0.5598990148880683,0.5503984627223192,,44436.0,
2012,adm2,administrative zone,all,,14,0.5606932781405782,0.5530978571885872,,44832.0,
2013,adm2,administrative zone,all,,14,0.5476219680810581,0.5191027788843483,0.921521230265218,52535.0,
2014,adm2,administrative zone,all,,14,0.5410738234030523,0.5055564357049483,0.904746246107218,52373.81310260296,
2015,adm2,administrative zone,all,,14,0.5508915233669041,0.5253075529650064,0.9417039557281607,52071.17981112003,
2016,adm2,administrative zone,all,,14,0.5505958373091198,0.5244977901161428,0.9447185035918306,52620.15839600563,
2017,adm2,administrative zone,all,,14,0.5330658583244139,0.49782214531868374,0.967710752224412,66750.25670564175,
2018,adm2,administrative zone,all,,14,0.5300664385175424,0.49297417800081234,0.9646978438837548,68787.45783531666,
2019,adm2,administrative zone,all,,14,0.5219343803941132,0.4792693842763483,0.9609241552134516,80635.83935809135,
2020,adm2,administrative zone,all,,14,0.5052918826602284,0.44546621426155997,0.9014036961871496,101799.72631752491,
2021,adm2,administrative zone,all,,14,0.4866621852162718,0.41062963938822067,0.8401460774946957,123390.02765583992,
2022,adm2,administrative zone,all,,14,0.484449026833099,0.4049975751650926,0.8307424340305951,144887.0374881029,
1992,pixel,pixel (1 km),all,lit_only,2620,0.47441541940819576,0.4033152839829027,0.3977332608679171,26075.0,0.01774310423057909
1993,pixel,pixel (1 km),all,lit_only,2978,0.42777845070002574,0.3354470449221015,0.31346561765221836,30789.0,0.020167543663612415
1994,pixel,pixel (1 km),all,lit_only,3703,0.4605827184187281,0.3882965692944859,0.37893611417983675,33341.0,0.025077372124364262
1995,pixel,pixel (1 km),all,lit_only,4555,0.4139349300681685,0.32837584474560055,0.3011708960060101,40616.0,0.030847267087896087
1996,pixel,pixel (1 km),all,lit_only,4649,0.39427671741833126,0.30137646044291,0.2625264706420476,43895.0,0.031483851743497014
1997,pixel,pixel (1 km),all,lit_only,4801,0.41122414928905293,0.32261067677106753,0.29514146071107555,44466.0,0.032513222675958096
1998,pixel,pixel (1 km),all,lit_only,5679,0.42321471180184633,0.3406297174844486,0.3185273272766666,48679.0,0.03845919424635826
1999,pixel,pixel (1 km),all,lit_only,6480,0.4219511773188629,0.3399298707587858,0.31874976245103076,53524.0,0.04388370817334065
2000,pixel,pixel (1 km),all,lit_only,8301,0.42306507332222276,0.3479452341587574,0.3178767935768314,60807.0,0.05621584283131184
2001,pixel,pixel (1 km),all,lit_only,7977,0.3999405527390072,0.31744042107098763,0.2768528574915775,61328.0,0.05402165742264481
2002,pixel,pixel (1 km),all,lit_only,7277,0.3839203913277589,0.296629645802696,0.25162303650364615,59864.0,0.049281133391574056
2003,pixel,pixel (1 km),all,lit_only,7531,0.39314544059141965,0.3082685882699886,0.27117672663797576,60608.0,0.05100126639713402
2004,pixel,pixel (1 km),all,lit_only,9143,0.42240290060731867,0.34964459969034967,0.3147986896883308,64737.0,0.06191801602297123
2005,pixel,pixel (1 km),all,lit_only,9107,0.4100197271196693,0.3346549473007317,0.2936536424365288,65774.0,0.06167421764423044
2006,pixel,pixel (1 km),all,lit_only,8651,0.41144376517057357,0.3354177690938293,0.29633389195595666,64048.0,0.05858610484684721
2007,pixel,pixel (1 km),all,lit_only,7393,0.4006639503433418,0.3169314710637868,0.27649447710584096,59861.0,0.05006670594529435
2008,pixel,pixel (1 km),all,lit_only,5045,0.3821694786538583,0.282866051563661,0.23883519845666928,49978.0,0.03416563390964561
2009,pixel,pixel (1 km),all,lit_only,5105,0.3762268168615208,0.2769344325018204,0.24084173112730117,51240.0,0.03457196454088025
2010,pixel,pixel (1 km),all,lit_only,6717,0.37265311917974575,0.2859467311956263,0.24438632726359882,58810.0,0.04548871416671746
2011,pixel,pixel (1 km),all,lit_only,3812,0.36802417039510327,0.2564123975379563,0.21935350832311495,44436.0,0.02581553943777385
2012,pixel,pixel (1 km),all,lit_only,3915,0.3765180727504438,0.26724073685654404,0.24048367912451712,44832.0,0.026513073688059975
2013,pixel,pixel (1 km),all,lit_only,5957,0.4232989449354523,0.34174915860454097,0.3245347088712054,52535.0,0.040341859504412075
2014,pixel,pixel (1 km),all,lit_only,6154,0.4540569896474014,0.3834263688901841,0.3894123938469992,52373.81310260296,0.04167597841029913
2015,pixel,pixel (1 km),all,lit_only,6441,0.4941775433995945,0.4428696139287621,0.46147527505284275,52071.17981112003,0.04361959326303813
2016,pixel,pixel (1 km),all,lit_only,6590,0.49765555522097604,0.44951988517480557,0.4671012253319582,52620.15839600563,0.04462864766393748
2017,pixel,pixel (1 km),all,lit_only,10716,0.508411713584787,0.4804945260853365,0.4618325570712687,66750.25670564175,0.07257065073850592
2018,pixel,pixel (1 km),all,lit_only,11030,0.50272782540197,0.47093497487707286,0.4492615768836803,68787.45783531666,0.07469711437530052
2019,pixel,pixel (1 km),all,lit_only,13781,0.4994029721558564,0.4677466649410039,0.4445194335943895,80635.83935809135,0.09332737381740856
2020,pixel,pixel (1 km),all,lit_only,16678,0.49516009994142496,0.4569127374727905,0.44316713737261254,101799.72631752491,0.11294637112885421
2021,pixel,pixel (1 km),all,lit_only,19416,0.48612900505725887,0.4411015722383978,0.4252786430842841,123390.02765583992,0.1314885922675281
2022,pixel,pixel (1 km),all,lit_only,22852,0.5028827785518075,0.4708661815990374,0.4607972082952795,144887.0374881029,0.15475779308289822
1992,pixel,pixel (1 km),all,zeros_included,147663,0.9906744980045745,4.435073616578862,,26075.0,0.01774310423057909
1993,pixel,pixel (1 km),all,zeros_included,147663,0.9884596969192327,4.239127761029249,,30789.0,0.020167543663612415
1994,pixel,pixel (1 km),all,zeros_included,147663,0.9864728320994736,4.074085917731976,,33341.0,0.025077372124364262
1995,pixel,pixel (1 km),all,zeros_included,147663,0.9819214942569263,3.8070829644026443,,40616.0,0.030847267087896087
1996,pixel,pixel (1 km),all,zeros_included,147663,0.9809294979736143,3.7596569681034273,,43895.0,0.031483851743497014
1997,pixel,pixel (1 km),all,zeros_included,147663,0.9808569996596084,3.7487190975912297,,44466.0,0.032513222675958096
1998,pixel,pixel (1 km),all,zeros_included,147663,0.9778173025627455,3.598787206958118,,48679.0,0.03845919424635826
1999,pixel,pixel (1 km),all,zeros_included,147663,0.9746330741555178,3.466142010763567,,53524.0,0.04388370817334065
2000,pixel,pixel (1 km),all,zeros_included,147663,0.9675671168379876,3.226501895054824,,60807.0,0.05621584283131184
2001,pixel,pixel (1 km),all,zeros_included,147663,0.967583794106845,3.2358106705109604,,61328.0,0.05402165742264481
2002,pixel,pixel (1 km),all,zeros_included,147663,0.9696388986251945,3.3068436068067117,,59864.0,0.049281133391574056
2003,pixel,pixel (1 km),all,zeros_included,147663,0.9690496489512876,3.2841734035197385,,60608.0,0.05100126639713402
2004,pixel,pixel (1 km),all,zeros_included,147663,0.9642363335449822,3.1315886908770247,,64737.0,0.06191801602297123
