year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,region,all,,19,0.6950840404646443,0.9829010093670065,nan,192028.0,nan
1993,adm1,region,all,,19,0.6745058183830694,0.8622823722095816,nan,265789.0,nan
1994,adm1,region,all,,19,0.6727748883858029,0.8588688156383208,nan,268385.0,nan
1995,adm1,region,all,,19,0.6670154559443595,0.8432996750680217,nan,281597.0,nan
1996,adm1,region,all,,19,0.6645198792222113,0.834833880116927,nan,293971.0,nan
1997,adm1,region,all,,19,0.6602810841942768,0.8210741175511966,nan,303665.0,nan
1998,adm1,region,all,,19,0.6609968547416223,0.8236965662161099,nan,303343.0,nan
1999,adm1,region,all,,19,0.6604813478084854,0.8241967572801422,nan,304586.0,nan
2000,adm1,region,all,,19,0.656683719066016,0.8133816011251033,nan,311773.0,nan
2001,adm1,region,all,,19,0.6575784705535996,0.8147532074396848,nan,311306.0,nan
2002,adm1,region,all,,19,0.6584400858833857,0.8159154627178454,nan,313479.0,nan
2003,adm1,region,all,,19,0.6581150101280413,0.8153592926097554,nan,314030.0,nan
2004,adm1,region,all,,19,0.6542931247862116,0.8037316970793782,nan,320791.0,nan
2005,adm1,region,all,,19,0.6538585192372748,0.8034280660360811,nan,320968.0,nan
2006,adm1,region,all,,19,0.6554569689715479,0.8087227684640245,nan,317334.0,nan
2007,adm1,region,all,,19,0.6568681862046695,0.8131978754207642,nan,312145.0,nan
2008,adm1,region,all,,19,0.6577159229641867,0.8160227488810657,nan,309629.0,nan
2009,adm1,region,all,,19,0.654418381267204,0.8063434469636857,nan,315871.0,nan
2010,adm1,region,all,,19,0.650412662364674,0.7959628011213079,nan,328960.0,nan
2011,adm1,region,all,,19,0.6545256978361205,0.8053145648928748,nan,327346.0,nan
2012,adm1,region,all,,19,0.65168918657957,0.796582320715107,nan,328796.0,nan
2013,adm1,region,all,,19,0.6490570583595021,0.7886112309376575,nan,333198.0,nan
2014,adm1,region,all,,19,0.6474480534861997,0.7850945999298545,nan,337986.1360453367,nan
2015,adm1,region,all,,19,0.6476388561126263,0.7855410600481941,nan,336559.074095726,nan
2016,adm1,region,all,,19,0.6467019923601474,0.7830475101694333,nan,338337.5747078657,nan
2017,adm1,region,all,,19,0.6446506846564084,0.7798881611811039,nan,363062.3443697691,nan
2018,adm1,region,all,,19,0.6449881689707473,0.782490073559196,nan,365572.28131341934,nan
2019,adm1,region,all,,19,0.6449181965769688,0.7828844123823279,nan,368063.86887419224,nan
2020,adm1,region,all,,19,0.6410566148183479,0.7732603000177556,nan,387708.23083782196,nan
2021,adm1,region,all,,19,0.6404675099888564,0.7724037957531121,nan,390497.9619964361,nan
2022,adm1,region,all,,19,0.6376609135430384,0.765190246613011,nan,399902.26278424263,nan
1992,adm2,district,all,,75,0.8143666294496692,1.419860764649473,nan,192028.0,nan
1993,adm2,district,all,,75,0.7942340314593224,1.3090125364414977,nan,265789.0,nan
1994,adm2,district,all,,75,0.7940375026318143,1.3086355592977652,nan,268385.0,nan
1995,adm2,district,all,,75,0.7895112599642333,1.286801279277617,nan,281597.0,nan
1996,adm2,district,all,,75,0.7862993304579722,1.271562445484859,nan,293971.0,nan
1997,adm2,district,all,,75,0.7826639256359291,1.2553358043843286,nan,303665.0,nan
1998,adm2,district,all,,75,0.7836240191683215,1.259661475594574,nan,303343.0,nan
1999,adm2,district,all,,75,0.7834464710893185,1.2601769475591844,nan,304586.0,nan
2000,adm2,district,all,,75,0.7807983784310859,1.248243070447267,nan,311773.0,nan
2001,adm2,district,all,,75,0.781258459777697,1.2499009869433604,nan,311306.0,nan
2002,adm2,district,all,,75,0.7808204797269376,1.2480584871388438,nan,313479.0,nan
2003,adm2,district,all,,75,0.7806046536766558,1.2469486825575387,nan,314030.0,nan
