year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,OMN.1.1_1,Adam,16266,16266.7773,1026.0,0.06307635558834379,0.0630733414785235
1992,OMN.1.2_1,Al Hamra,3714,3710.9829,1262.0,0.3397953688745288,0.34007163322950207
1992,OMN.1.3_1,Bahla,3772,3773.4523,4128.0,1.0943796394485683,1.0939584437482666
1992,OMN.1.4_1,Bid Bid,1442,1450.72,1317.0,0.9133148404993066,0.9078250536317366
1992,OMN.1.5_1,Izki,1800,1804.0582,2286.0,1.27,1.267143161897101
1992,OMN.1.6_1,Manah,1776,1774.3969,1976.0,1.1126126126126126,1.1136178343751997
1992,OMN.1.7_1,Nizwa,1009,1004.9524,4759.0,4.716551040634291,4.735547849057169
1992,OMN.1.8_1,Samail,1728,1727.0192,3439.0,1.990162037037037,1.9912922237658095
1992,OMN.2.1_1,Al Khabourah,2651,2651.8164,6122.0,2.30931723877782,2.308606259686094
1992,OMN.2.2_1,As Suwaiq,675,674.5326,7185.0,10.644444444444444,10.651820861703495
1992,OMN.2.3_1,Liwa,1072,1070.1247,2907.0,2.7117537313432836,2.716505751405937
1992,OMN.2.4_1,Saham,1462,1462.3093,7076.0,4.839945280437757,4.838921539091997
1992,OMN.2.5_1,Shinas,1068,1068.6293,3192.0,2.9887640449438204,2.9870039044719765
1992,OMN.2.6_1,Sohar,1055,1055.3535,8358.0,7.9222748815165875,7.919620915040384
1992,OMN.3.1_1,A Rustaq,1653,1655.1159,3500.0,2.117362371445856,2.114655476669818
1992,OMN.3.2_1,Al Awabi,857,854.7717,1629.0,1.9008168028004668,1.9057720309833912
1992,OMN.3.3_1,Al Masnaah,357,357.1579,2482.0,6.9523809523809526,6.949306929362164
1992,OMN.3.4_1,Barka,455,458.0808,8373.0,18.4021978021978,18.27843389048282
1992,OMN.3.5_1,Nakhal,679,679.2024,1791.0,2.637702503681885,2.6369165970124273
1992,OMN.4.1_1,Al Buraimi,1780,1783.9279,6741.0,3.7870786516853934,3.778740266403711
1992,OMN.4.2_1,Mahdha,3178,3172.3558,6344.0,1.9962240402769038,1.99977570132302
1992,OMN.5.1_1,Dhank,6215,6213.6618,8511.0,1.3694288012872085,1.3697237339747164
1992,OMN.5.2_1,Ibri,19358,19355.1965,55100.0,2.84636842649034,2.846780712060098
1992,OMN.5.3_1,Yanqul,3263,3265.6542,1232.0,0.3775666564511186,0.37725978439570196
1992,OMN.6.1_1,Al Wusta,67193,67198.3552,29077.0,0.43273852931108897,0.4327040431115071
1992,OMN.7.1_1,Al Mudhaibi,6540,6536.4279,2915.0,0.44571865443425074,0.4459622347112152
1992,OMN.7.2_1,Al Qabil,1912,1914.0676,2273.0,1.1888075313807531,1.1875233925277549
1992,OMN.7.3_1,Al Wafi,315,314.3252,640.0,2.0317460317460316,2.036107847778497
1992,OMN.7.4_1,Biddiya,12915,12920.7057,2160.0,0.1672473867595819,0.16717353201071242
1992,OMN.7.5_1,Ibra,2957,2957.0452,3207.0,1.0845451471085559,1.0845285573381132
1992,OMN.8.1_1,Jalan Bani,4473,4467.72,3061.0,0.6843281913704449,0.6851369405291258
1992,OMN.8.2_1,Masirah,669,666.1666,549.0,0.820627802690583,0.824118163550446
1992,OMN.8.3_1,Sur,1249,1243.4532,1938.0,1.5516413130504403,1.558562868945552
1992,OMN.9.1_1,Al Halaniyat Islands,81,80.1538,8.0,0.09876543209876543,0.09980816629852741
1992,OMN.9.2_1,Marbat,2098,2097.4143,454.0,0.2163965681601525,0.21645699878244223
1992,OMN.9.3_1,Muqshin,60557,60559.1223,27561.0,0.45512492362567497,0.45510897373106324
1992,OMN.9.4_1,Salalah,8214,8211.0262,15494.0,1.8862916971025079,1.8869748472788972
1992,OMN.9.5_1,Sudh,8067,8064.9682,9699.0,1.202305689847527,1.2026085810211056
1992,OMN.9.6_1,Taqah,2746,2736.7773,3803.0,1.384923525127458,1.3895906147013886
1992,OMN.9.7_1,Thumrait,45919,45920.9422,3729.0,0.0812082144646007,0.08120477972306353
1992,OMN.10.1_1,Al Khasab,661,673.8848,1470.0,2.2239031770045385,2.181381903987351
1992,OMN.10.2_1,Bukha,359,360.6667,476.0,1.3259052924791086,1.3197779689076048
1992,OMN.10.3_1,Diba,524,520.8813,1484.0,2.83206106870229,2.8490175591369495
1992,OMN.10.4_1,Madha,76,77.7829,758.0,9.973684210526315,9.745066457955302
1992,OMN.11.1_1,A Seeb,509,505.0095,17732.0,34.83693516699411,35.11220920845577
1992,OMN.11.2_1,Bausher,536,536.4005,8692.0,16.21641791044776,16.204310282072562
1992,OMN.11.3_1,Muscat,443,442.8525,5135.0,11.591422121896162,11.595283994000354
1992,OMN.11.4_1,Muttrah,79,79.4517,4466.0,56.53164556962025,56.210263645919404
1992,OMN.11.5_1,Quriyat,2778,2769.085,3039.0,1.093952483801296,1.0974744376062833
1993,OMN.1.1_1,Adam,16266,16266.7773,1433.0,0.08809787286364196,0.08809366309817172
1993,OMN.1.2_1,Al Hamra,3714,3710.9829,1918.0,0.5164243403338719,0.5168442096150435
1993,OMN.1.3_1,Bahla,3772,3773.4523,6513.0,1.7266702014846236,1.7260056550708478
1993,OMN.1.4_1,Bid Bid,1442,1450.72,1879.0,1.3030513176144245,1.2952188882111109
1993,OMN.1.5_1,Izki,1800,1804.0582,3286.0,1.8255555555555556,1.8214490069964453
1993,OMN.1.6_1,Manah,1776,1774.3969,3018.0,1.6993243243243243,1.7008596276034171
1993,OMN.1.7_1,Nizwa,1009,1004.9524,5966.0,5.912784935579782,5.9365998040502355
1993,OMN.1.8_1,Samail,1728,1727.0192,4254.0,2.4618055555555554,2.4632035824076053
1993,OMN.2.1_1,Al Khabourah,2651,2651.8164,7301.0,2.754055073557148,2.753207171180688
