year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,district,0.48293659459697524,0.1070730166787953,0.3758635779181817,0.22171236944293046,0.7782876305570732,,1.7763568394002505e-15,36
1993,all,lit_only,theil_l,district,0.4245851344568924,0.14295503155362227,0.2816301029032711,0.3366934448528987,0.6633065551471037,,9.992007221626409e-16,54
1994,all,lit_only,theil_l,district,0.4594242798855706,0.1603471946124993,0.2990770852730724,0.3490176763240227,0.6509823236759797,,1.1102230246251565e-15,55
1995,all,lit_only,theil_l,district,0.4131397911378586,0.14491118705570488,0.26822860408215526,0.35075582203446043,0.6492441779655433,,1.5543122344752192e-15,61
1996,all,lit_only,theil_l,district,0.3927865407839928,0.14922287425493072,0.24356366652906292,0.3799083185413771,0.6200916814586251,,8.881784197001252e-16,66
1997,all,lit_only,theil_l,district,0.45122661080414495,0.16732076048873487,0.2839058503154111,0.3708131490528614,0.6291868509471409,,9.992007221626409e-16,65
1998,all,lit_only,theil_l,district,0.4254801274812281,0.15137942958100775,0.2741006979002222,0.3557849586939557,0.6442150413060486,,1.8318679906315083e-15,65
1999,all,lit_only,theil_l,district,0.43230391778253535,0.15332079443664273,0.2789831233458943,0.3546597385077798,0.6453402614922241,,1.7208456881689926e-15,67
2000,all,lit_only,theil_l,district,0.47722374481937024,0.17715627931408104,0.3000674655052909,0.3712226837772603,0.6287773162227432,,1.6653345369377348e-15,68
2001,all,lit_only,theil_l,district,0.44451895044445094,0.17005285959793096,0.2744660908465215,0.38255480318196583,0.6174451968180376,,1.4988010832439613e-15,68
2002,all,lit_only,theil_l,district,0.38903616878309993,0.1383997294141087,0.2506364393689929,0.35575028884080684,0.6442497111591974,,1.609823385706477e-15,61
2003,all,lit_only,theil_l,district,0.4051157379541287,0.14298369827313775,0.2621320396809928,0.3529453064332144,0.6470546935667901,,1.887379141862766e-15,62
